date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091602,FWS.ABQ.20140409.CORRA.01.20140409.160217.3474869860,20,103,2,22.2222222222,7,11.176,-2.0,20.5555555556,9.0,4.9180888464,21.3001342773,6.72113217301,-2.27886782699,8.48545,-0.278867826991,18.9607177734,10.0305512372,6.94129,-3.03055123722,35.275,-108.37167,BLWN5
1404081606,FWS.ABQ.20140408.CORRA.01.20140408.160607.2448832916,18,103,6,-12.2222222222,12,5.36448,1.0,18.3333333333,11.0,4.0229555208,17.2107788086,11.1515114897,0.151511489685,4.10003,-0.848488510315,16.8542419434,12.442879872,5.57556,-0.442879872037,35.275,-108.33833,BLWN5
1404071442,FWS.ABQ.20140407.PILAR.01.20140407.144233.288348076,16,103,78,13.3333333333,23,11.176,9.14,13.0,13.86,11.31777768,12.3453918457,20.8540835578,6.99408355776,5.7,-2.14591644224,14.4323059082,16.034195064,6.75979,6.96580493596,36.32167,-105.75167,KSKX
1403031745,FWS.ABQ.20140303.HONDO.01.20140303.174510.1339163693,13,243,15,13.8888888889,32,4.91744,-8.0,8.88888888889,40.0,2.6802555324,9.61971435547,31.0755369133,-8.92446308667,4.11363,-0.924463086667,10.0516601563,40.1581150323,3.5962,-8.15811503233,35.11588,-106.38235,TJRN5
1402271455,FWS.ABQ.20140227.MUDCA.01.20140227.145519.2397503463,27,272,10,12.2222222222,40,13.85824,-1.0,11.1111111111,41.0,4.4705221836,11.7703186035,38.298247151,-2.70175284897,7.59972,-1.70175284897,11.2351928711,36.5912886142,6.62474,3.40871138577,36.84972,-107.89139,CWRN5
1402141620,FWS.ABQ.20140214.CANJI.01.20140214.162002.423604575,28,217,10,12.7777777778,30,11.62304,-8.0,10.0,38.0,5.813222172,,,,,,11.5387512207,35.0333343817,7.44583,-5.03333438174,36.49322,-106.4625,DPKN5
1402121735,FWS.ABQ.20140212.PUMPC.01.20140212.173539.509727569,31,232,10,10.5555555556,27,8.04672,-2.84,8.9,29.84,7.7166666,9.45668945313,25.2651122495,-4.57488775051,5.20807,-1.73488775051,8.7276550293,26.5509886981,5.83924,0.449011301878,36.86418,-107.7358,KDRO
1402051434,FWS.ABQ.20140205.PIETO.01.20140205.143445.1038944366,37,193,176,1.11111111111,66,5.36448,-4.0,-3.33333333333,70.0,3.575388858,-0.813909912109,53.0208969203,-16.9791030797,3.81994,-12.9791030797,-0.297094726562,77.1982841438,2.41997,-11.1982841438,34.31384,-108.17508,DTLN5
1401161620,FWS.ABQ.20140116.GALLI.01.20140116.162046.461913487,17,80,10,10.5555555556,18,2.68224,13.0,10.5555555556,5.0,2.6802555324,12.0399719238,15.4094602398,10.4094602398,4.228,-2.59053976021,,,,,35.745,-105.3975,GSCN5
1312211343,FWS.ABQ.20131221.SCOUT.01.20131221.134358.907079291,0,0,17,0.555555555556,62,5.36448,11.0,0.555555555556,51.0,2.2326888696,0.141778564453,58.6791863664,7.67918636637,8.06201,-3.32081363363,,,,,35.90306,-105.88722,TR315
1312181042,FWS.ABQ.20131218.SCOUT.01.20131218.104246.252196711,0,0,198,10.5555555556,25,4.02336,2.0,9.44444444444,23.0,1.3426999884,10.8007446289,23.5823046818,0.582304681761,2.21408,-1.41769531824,,,,,35.90306,-105.88722,TR315
1311261239,FWS.ABQ.20131126.SCOUT.01.20131126.123937.2146678595,0,-49,81,2.77777777778,62,2.2352,4.0,3.88888888889,58.0,0.8951333256,2.79555664063,57.5143962099,-0.485603790132,2.1,-4.48560379013,2.9483581543,64.4078169275,1.98318,-2.40781692754,35.90806,-105.89278,TR315
1311251426,FWS.ABQ.20131125.SCOUT.01.20131125.142649.490279830,0,-49,14,1.11111111111,65,5.81152,-0.0,1.11111111111,65.0,3.1278221952,-0.00443115234373,64.6867990766,-0.313200923393,5.7,-0.313200923393,-0.416510009766,67.0418828392,2.72678,-2.04188283921,35.90806,-105.89278,TR315
1311191208,FWS.ABQ.20131119.7130R.01.20131119.120838.355367524,5,178,232,8.33333333333,51,6.25856,21.0,8.33333333333,30.0,3.1278221952,8.41585693359,37.24062364,7.24062364001,7.66386,-13.75937636,9.93380126953,29.670455917,7.56531,21.329544083,36.03128,-108.88167,WPSN5
1311181409,FWS.ABQ.20131118.SCOUT.01.20131118.140911.4195162909,0,-49,16,11.6666666667,32,3.12928,-10.0,7.77777777778,42.0,1.3426999884,11.0955444336,29.3612817779,-12.6387182221,3.348,-2.63871822206,6.40017089844,48.8691955975,3.88896,-16.8691955975,35.90806,-105.89278,TR315
1311041732,FWS.ABQ.20131104.CAPUL.01.20131104.173247.2566363042,15,-222,18,8.33333333333,41,5.36448,16.72,11.0,24.28,7.20222216,,,,,,10.0307556152,27.3917879698,4.79203,13.6082120302,36.38194,-105.45389,KAXX
1310311604,FWS.ABQ.20131031.PALIZ.01.20131031.160413.3844887568,12,-38,1,5.55555555556,39,6.7056,-13.0,4.44444444444,52.0,4.9180888464,6.46175537109,33.2803545295,-18.7196454705,7.99981,-5.71964547049,3.85323486328,48.4064471501,4.65645,-9.40644715012,35.73973,-106.5584,JESN5
1310231708,FWS.ABQ.20131023.MESAC.01.20131023.170850.2846364331,18,-41,17,18.8888888889,17,4.4704,4.0,19.4444444444,13.0,1.7902666512,16.5140625,19.3700775442,6.37007754425,2.86291,2.37007754425,17.9639221191,13.0658161957,2.62533,3.93418380434,36.28147,-106.665,DPKN5
