date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1309161335,FWS.AER.20130916.UNIVE.01.20130915.133554.1379252151131,1,28,145,14.4444444444,46,2.2352,-35.2,8.0,81.2,1.54333332,,,,,,,,,,61.4328,-142.9108,PAMX
1305271546,FWS.AER.20130527.MIDTH.01.20130527.154653.1369669613031,2,-64,194,21.6666666667,25,6.7056,-4.0,22.7777777778,29.0,2.2326888696,,,,,,,,,,61.36667,-149.68333,JBRA2
1305261550,FWS.AER.20130526.MIDTH.01.20130526.155054.1369583454767,2,-64,190,19.4444444444,30,3.57632,-3.0,17.2222222222,33.0,1.7902666512,,,,,,,,,,61.36667,-149.68333,JBRA2
1305251609,FWS.AER.20130525.MIDTH.01.20130525.160922.1369498162447,7,-6,171,21.1111111111,22,3.57632,-8.0,20.5555555556,30.0,2.2326888696,,,,,,,,,,61.27233,-149.6035,GRZA2
1305241617,FWS.AER.20130524.MIDTH.01.20130524.161737.1369412257552,1,-6,163,16.6666666667,40,2.2352,2.0,20.0,38.0,1.7902666512,,,,,,,,,,61.21667,-149.66667,GRZA2
1305171539,FWS.AER.20130517.WRSTB.01.20130523.153917.1369323557625,0,-6,21,15.0,29,3.12928,-7.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171557,FWS.AER.20130517.WRSTB.01.20130520.155706.1369065425959,0,-6,3,10.0,35,3.12928,-1.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171430,FWS.AER.20130517.WRSTB.01.20130522.143002.1369233002537,0,-6,90,15.0,32,4.4704,-4.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171552,FWS.AER.20130517.WRSTB.01.20130518.155227.1368892347040,0,-6,8,6.66666666667,57,4.4704,21.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171536,FWS.AER.20130517.WRSTB.01.20130519.153623.1368977782706,0,-6,24,7.77777777778,25,4.4704,-11.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171556,FWS.AER.20130517.WRSTB.01.20130524.155645.1369411005793,0,-6,4,18.3333333333,28,4.4704,-8.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1305171408,FWS.AER.20130517.WRSTB.01.20130521.140824.1369145304685,0,-6,112,12.7777777778,30,4.4704,-6.0,12.2222222222,36.0,2.2326888696,,,,,,,,,,61.34263,-142.69578,MCKA2
1304271545,FWS.AER.20130427.UNIVE.02.20130428.154545.1367163945817,2,-2,15,3.88888888889,24,5.36448,-23.45,4.0,47.45,6.17333328,,,,,,,,,,61.41594,-142.9232,PAMX
1304271551,FWS.AER.20130427.UNIVE.02.20130427.155155.1367077915291,2,-2,9,0.0,34,4.4704,-13.45,4.0,47.45,6.17333328,,,,,,,,,,61.41594,-142.9232,PAMX
1304251515,FWS.AER.20130425.UNIVE.01.20130425.151533.1366902933551,3,5,75,3.33333333333,45,3.57632,12.18,5.0,32.82,8.23111104,,,,,,,,,,61.403,-142.961,PAMX
1304251543,FWS.AER.20130425.UNIVE.01.20130426.154333.1366991013286,3,5,47,4.44444444444,30,5.36448,-2.82,5.0,32.82,8.23111104,,,,,,,,,,61.403,-142.961,PAMX
1304251508,FWS.AER.20130425.UNIVE.01.20130425.150809.1366902489894,3,5,82,3.33333333333,45,3.57632,12.18,5.0,32.82,8.23111104,,,,,,,,,,61.403,-142.961,PAMX
1304251419,FWS.AER.20130425.UNIVE.01.20130425.141945.1366899585023,3,5,131,3.33333333333,45,3.57632,12.18,5.0,32.82,8.23111104,,,,,,,,,,61.403,-142.961,PAMX
1304241522,FWS.AER.20130424.UNIVE.01.20130424.152235.1366816955263,3,5,68,6.11111111111,55,2.68224,-31.58,3.0,86.58,1.54333332,,,,,,,,,,61.403,-142.961,PAMX
1304231432,FWS.AER.20130423.UNIVE.01.20130423.143231.1366727551439,3,5,118,5.55555555556,55,2.68224,-19.6,2.0,74.6,2.5722222,,,,,,,,,,61.403,-142.961,PAMX
1209221907,FWS.AER.20120922.HOPEP.01.20120922.190727.1348340847829,20,-53,7,11.1111111111,84,15.6464,4.0,11.1111111111,80.0,3.575388858,,,,,,,,,,60.868,-149.529,GRAA2
1207211546,FWS.AER.20120721.WRSTB.01.20120721.154605.256257344,29,-6,6,22.7777777778,30,4.4704,2.0,25.5555555556,28.0,1.7902666512,,,,,,,,,,61.21463,-142.2328,MCKA2
1205231707,FWS.AER.20120523.WRSTB.01.20120523.170748.051518473,38,-128,27,10.0,40,4.4704,8.0,20.5555555556,32.0,2.2326888696,,,,,,,,,,61.2075,-142.0475,MCKA2
1205231819,FWS.AER.20120523.WRSTB.02.20120523.181942.880352261,28,23,9,16.6666666667,35,4.4704,2.16,18.9,32.84,3.08666664,,,,,,,,,,62.017,-144.9755,PAGK
1205221642,FWS.AER.20120522.WRSTB.01.20120522.164247.246905374,38,-128,7,12.7777777778,45,4.4704,12.0,18.3333333333,33.0,2.6802555324,,,,,,,,,,61.2075,-142.0475,MCKA2
1205121427,FWS.AER.20120512.RTARX.01.20120512.142727.520065898,0,57,333,9.44444444444,40,6.7056,-17.0,7.22222222222,57.0,1.3426999884,,,,,,,,,,61.22028,-149.6947,GRZA2
