date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091612,FWS.AFG.20140409.WILLS.01.20140409.161228.141923835,0,18,228,-8.88888888889,45,4.4704,12.0,-7.22222222222,33.0,2.6802555324,,,,,,,,,,63.97726,-145.7755,DOYA2
1404071631,FWS.AFG.20140407.WILLR.01.20140407.163112.3452377047,1,9,149,-1.66666666667,78,6.25856,-4.0,-2.77777777778,82.0,4.0229555208,,,,,,,,,,63.88111,-145.8642,BTAA2
1312111930,FWS.AFG.20131211.ADMIN.01.20131211.193010.2306543340,0,15,90,-10.5555555556,65,3.12928,1.0,-16.6666666667,64.0,3.575388858,,,,,,,,,,63.73181,-148.90433,DVCA2
1312101721,FWS.AFG.20131210.ADMIN.01.20131210.172117.1949403935,0,15,99,-6.11111111111,90,4.4704,10.0,-6.11111111111,80.0,3.1278221952,,,,,,,,,,63.73181,-148.90433,DVCA2
1312041544,FWS.AFG.20131204.ADMIN.01.20131204.154456.760994625,0,15,4,-5.55555555556,48,3.12928,-28.0,-12.2222222222,76.0,0.8951333256,,,,,,,,,,63.73181,-148.90433,DVCA2
1310291814,FWS.AFG.20131029.MRFRA.01.20131029.181434.1131883775,25,-57,46,2.77777777778,80,3.12928,-6.58,3.0,86.58,4.11555552,,,,,,,,,,64.448,-146.8305,PAEI
1310101705,FWS.AFG.20131010.BEARS.01.20131010.170510.4283109689,15,218,115,4.44444444444,75,2.2352,-17.0,-1.66666666667,92.0,1.7902666512,,,,,,,,,,65.15,-147.81667,CPKA2
1310091718,FWS.AFG.20131009.BEARS.01.20131009.171849.368597742,15,218,102,3.88888888889,72,6.7056,-24.0,-1.11111111111,96.0,4.4705221836,,,,,,,,,,65.15,-147.81667,CPKA2
1310081644,FWS.AFG.20131008.BEARS.01.20131008.164400.3996353871,15,218,136,5.55555555556,66,8.9408,8.0,4.44444444444,58.0,5.3656555092,,,,,,,,,,65.15,-147.81667,CPKA2
1310031636,FWS.AFG.20131003.BEARS.01.20131003.163630.2769936006,15,218,144,8.33333333333,60,3.12928,9.0,7.22222222222,51.0,2.2326888696,,,,,,,,,,65.15,-147.81667,CPKA2
1310021647,FWS.AFG.20131002.BEARS.01.20131002.164726.2604027230,15,218,133,2.77777777778,65,4.4704,8.0,5.0,57.0,2.2326888696,,,,,,,,,,65.15,-147.81667,CPKA2
1310011714,FWS.AFG.20131001.BEARS.01.20131001.171411.2522424437,15,218,106,1.11111111111,70,3.57632,-11.0,0.0,81.0,2.2326888696,,,,,,,,,,65.15,-147.81667,CPKA2
1309301647,FWS.AFG.20130930.BEARS.02.20130930.164757.2704172558,15,218,3,2.22222222222,69,5.81152,-2.0,-0.555555555556,71.0,5.813222172,,,,,,,,,,65.15,-147.81667,CPKA2
1309251627,FWS.AFG.20130925.BEARS.01.20130925.162701.63834377,15,218,153,10.0,60,5.81152,2.0,6.66666666667,58.0,3.575388858,,,,,,,,,,65.15,-147.81667,CPKA2
1309241653,FWS.AFG.20130924.BEARS.01.20130924.165333.2414851501,15,218,127,3.88888888889,59,5.81152,3.0,-0.555555555556,56.0,3.1278221952,,,,,,,,,,65.15,-147.81667,CPKA2
1309231633,FWS.AFG.20130923.FWABI.01.20130923.163329.4180264753,2,-68,3,2.77777777778,63,3.57632,1.0,4.44444444444,62.0,0.4475666628,,,,,,,,,,64.86903,-147.55833,FRBA2
1309231727,FWS.AFG.20130923.BEARS.01.20130923.172742.3361808186,15,218,123,2.77777777778,63,3.57632,6.0,-1.66666666667,57.0,2.6802555324,,,,,,,,,,65.15,-147.81667,CPKA2
1309201636,FWS.AFG.20130920.HARDI.01.20130920.163608.1098758516,25,-76,144,5.55555555556,54,2.68224,-13.23,1.3,67.23,2.05777776,,,,,,,,,,64.43306,-146.94972,PAEI
1309181723,FWS.AFG.20130918.HARDI.01.20130918.172324.1379525001548,25,-76,97,4.44444444444,65,2.2352,-6.18,2.9,71.18,2.05777776,,,,,,,,,,64.43306,-146.94972,PAEI
1309171716,FWS.AFG.20130917.HARDI.01.20130917.171654.1379438210550,25,-76,104,5.55555555556,50,1.34112,4.06,6.5,45.94,2.05777776,,,,,,,,,,64.43306,-146.94972,PAEI
1309171721,FWS.AFG.20130917.HARDI.02.20130917.172147.1379438505859,25,-76,99,5.55555555556,50,1.34112,4.06,6.5,45.94,2.05777776,,,,,,,,,,64.43306,-146.94972,PAEI
1309161810,FWS.AFG.20130916.HARDI.01.20130916.181043.1379355038225,25,-76,80,9.44444444444,42,2.68224,10.09,12.6,31.91,7.20222216,,,,,,,,,,64.43306,-146.94972,PAEI
1309131641,FWS.AFG.20130913.HARDI.01.20130913.164119.1379090475060,25,-76,19,13.8888888889,48,3.12928,-35.75,9.0,83.75,4.11555552,,,,,,,,,,64.43306,-146.94972,PAEI
