date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1311071755,FWS.AFG.20131107.MISSI.01.20131107.175546.2972526730,20,38,85,-13.3333333333,60,7.15264,-10.34,-8.9,70.34,10.80333324,,,,,,,,,,64.15917,-145.93389,PABI
1311011423,FWS.AFG.20131101.MISSI.02.20131102.142300.1911132927,20,38,413,-2.22222222222,67,3.57632,-18.93,-3.9,85.93,2.5722222,,,,,,,,,,64.15917,-145.93389,PABI
1310242307,FWS.AFG.20131024.MISSI.01.20131024.230706.1182692430,20,38,442,4.44444444444,35,17.8816,-31.03,-1.7,66.03,11.31777768,,,,,,,,,,64.15917,-145.93389,PABI
1310241634,FWS.AFG.20131024.MISSI.01.20131024.163436.1737618822,20,38,49,1.11111111111,54,11.176,-12.03,-1.7,66.03,11.31777768,,,,,,,,,,64.15917,-145.93389,PABI
1310211643,FWS.AFG.20131021.MISSI.01.20131021.164350.3411164297,20,38,5,8.33333333333,34,4.4704,-16.41,4.4,50.41,4.62999996,,,,,,,,,,64.15917,-145.93389,PABI
1310191559,FWS.AFG.20131019.MISSI.01.20131019.155920.3133846913,20,38,12,11.1111111111,35,10.72896,6.08,13.3,28.92,13.37555544,,,,,,,,,,64.15917,-145.93389,PABI
1309132017,FWS.AFG.20130913.MISSI.01.20130913.201745.1379103462575,7,-112,19,14.4444444444,49,8.9408,10.0,16.6666666667,39.0,6.2607888348,,,,,,,,,,63.89306,-145.99306,BTAA2
1309101225,FWS.AFG.20130910.MISSI.01.20130911.122519.1378902314155,7,-112,526,13.3333333333,60,3.57632,14.0,16.1111111111,46.0,10.2837443556,,,,,,,,,,63.89306,-145.99306,BTAA2
1309071647,FWS.AFG.20130907.MISSI.01.20130907.164750.1378572468858,7,-112,47,16.6666666667,35,15.6464,-4.0,17.2222222222,39.0,8.9410443672,,,,,,,,,,63.89306,-145.99306,BTAA2
1309041633,FWS.AFG.20130904.MISSI.01.20130904.163303.1378312381938,20,38,22,17.7777777778,46,5.81152,10.75,17.2,35.25,12.34666656,,,,,,,,,,64.15917,-145.93389,PABI
1309031808,FWS.AFG.20130903.MISSI.01.20130903.180858.1378231733853,20,38,10,20.0,42,9.83488,3.55,18.9,38.45,17.49111096,,,,,,,,,,64.15917,-145.93389,PABI
1308171859,FWS.AFG.20130817.TETLI.01.20130817.185921.1376765961191,27,-273,49,18.8888888889,57,4.02336,10.0,20.5555555556,47.0,3.575388858,,,,,,,,,,63.30972,-142.44663,TKFA2
1308161542,FWS.AFG.20130816.MISSI.01.20130816.154239.1376667759494,7,-112,22,20.0,44,3.57632,-0.0,22.2222222222,44.0,3.1278221952,,,,,,,,,,63.89306,-145.99305,BTAA2
1308121413,FWS.AFG.20130812.BIRCH.01.20130812.141335.1376316815156,23,-45,343,25.0,36,3.12928,-2.0,25.5555555556,38.0,3.1278221952,,,,,,,,,,65.37778,-144.29444,BIRA2
1308121441,FWS.AFG.20130812.BIRCH.02.20130812.144135.1376318495457,23,-45,6,25.0,36,3.12928,-2.0,25.5555555556,38.0,3.1278221952,,,,,,,,,,65.37778,-144.29444,BIRA2
1308121355,FWS.AFG.20130812.TOKLA.01.20130812.135551.1376315750995,6,-60,321,19.4444444444,48,2.2352,-22.0,14.4444444444,70.0,0.4475666628,,,,,,,,,,63.79333,-150.25306,SMPA2
1308111335,FWS.AFG.20130811.TOKLA.01.20130811.133555.1376228154974,6,-60,256,18.3333333333,50,3.12928,3.0,17.7777777778,47.0,0.4475666628,,,,,,,,,,63.79333,-150.25306,SMPA2
1308111446,FWS.AFG.20130811.STUAR.01.20130811.144652.1376232412255,2,-63,320,23.8888888889,30,2.2352,-4.0,25.0,34.0,2.2326888696,,,,,,,,,,64.7,-146.46667,STUA2
1308111346,FWS.AFG.20130811.BIRCH.01.20130811.134658.1376228818214,23,-45,259,25.5555555556,30,3.12928,-17.0,21.6666666667,47.0,2.6802555324,,,,,,,,,,65.37778,-144.29444,BIRA2
1308111357,FWS.AFG.20130811.MISSI.01.20130811.135727.1376229447206,7,-112,273,22.7777777778,30,6.25856,-5.0,25.5555555556,35.0,3.1278221952,,,,,,,,,,63.89306,-145.99305,BTAA2
1308101344,FWS.AFG.20130810.STUAR.01.20130810.134406.1376142246425,2,-63,245,22.2222222222,42,2.2352,3.0,20.5555555556,39.0,6.2607888348,,,,,,,,,,64.7,-146.46667,STUA2
1308101907,FWS.AFG.20130810.MISSI.01.20130810.190722.1376161642575,7,-112,18,21.1111111111,32,5.36448,-15.0,18.8888888889,47.0,9.38861103,,,,,,,,,,63.89306,-145.99305,BTAA2
1308101449,FWS.AFG.20130810.TOKLA.01.20130810.144920.1376146160212,10,-60,313,21.1111111111,45,6.7056,-6.0,15.5555555556,51.0,0.8951333256,,,,,,,,,,63.69278,-150.14333,SMPA2
1308101420,FWS.AFG.20130810.BIRCH.01.20130810.142052.1376144452875,23,-45,280,23.8888888889,32,7.15264,-6.0,22.2222222222,38.0,2.2326888696,,,,,,,,,,65.37778,-144.29444,BIRA2
1308091608,FWS.AFG.20130809.TOKLA.01.20130809.160846.1376064526020,10,-60,14,21.1111111111,30,9.38784,-7.0,18.3333333333,37.0,0.8951333256,,,,,,,,,,63.69278,-150.14333,SMPA2
1308071349,FWS.AFG.20130807.BEAVE.01.20130807.134902.1375883342004,31,71,68,28.3333333333,31,6.7056,6.0,31.6666666667,25.0,2.2326888696,,,,,,,,,,66.18111,-147.18083,WBQA2
1308071350,FWS.AFG.20130807.TOKLA.01.20130807.135034.1375883433951,6,-60,75,23.3333333333,25,4.4704,-4.0,22.7777777778,29.0,1.3426999884,,,,,,,,,,63.79583,-150.2525,SMPA2
1308061340,FWS.AFG.20130806.DISCO.01.20130806.134042.1375796442757,28,11,3,27.7777777778,30,5.36448,-4.0,28.3333333333,34.0,1.7902666512,,,,,,,,,,65.98306,-145.63306,PCKA2
1308061746,FWS.AFG.20130806.TOKLA.01.20130806.174604.1375811164305,6,-60,257,23.8888888889,37,5.36448,11.0,21.6666666667,26.0,1.3426999884,,,,,,,,,,63.79598,-150.25268,SMPA2
1308061342,FWS.AFG.20130806.TOKLA.01.20130806.134210.1375796530850,6,-60,13,23.3333333333,35,3.12928,9.0,21.6666666667,26.0,1.3426999884,,,,,,,,,,63.79598,-150.25268,SMPA2
1308051327,FWS.AFG.20130805.STUAR.01.20130805.132750.1375709270436,5,165,22,23.3333333333,35,4.02336,-0.0,23.8888888889,35.0,2.2326888696,,,,,,,,,,64.69373,-146.5915,STUA2
