date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091312,FWS.AKQ.20140409.FIELD.01.20140409.131238.807874809,8,2,168,17.7777777778,35,4.4704,4.0,18.8888888889,31.0,4.9180888464,17.2186828613,36.6212838664,5.62128386643,5.36904,1.62128386643,19.1303649902,31.5433088539,3.96632,3.4566911461,38.37861,-76.06,BLWM2
1404061152,FWS.AKQ.20140406.PINEY.01.20140406.115235.3866315712,6,0,8,16.1111111111,28,4.4704,-3.86,15.6,31.86,2.5722222,14.9500061035,30.5163509339,-1.34364906605,4.1,2.51635093395,15.0309997559,34.1017863459,2.63207,-6.10178634595,36.97,-77.07333,KAKQ
1404061203,FWS.AKQ.20140406.CA3__.01.20140406.120325.807380703,24,-15,117,16.6666666667,25,1.78816,5.07,17.0,19.93,3.60111108,15.550012207,27.0566797839,7.12667978392,2.1,2.05667978392,16.0430541992,20.3561216957,2.33651,4.64387830426,38.09167,-77.28333,KEZF
1404061215,FWS.AKQ.20140406.TA12C.01.20140406.121531.386463662,14,-30,285,16.6666666667,25,4.4704,5.07,17.0,19.93,3.60111108,15.550012207,27.0566797839,7.12667978392,2.1,2.05667978392,16.0096374512,20.6292885672,2.29666,4.37071143284,38.16667,-77.34167,KEZF
1404051145,FWS.AKQ.20140405.JAMES.01.20140405.114530.3262737263,1,-3,255,18.8888888889,35,4.02336,12.0,21.6666666667,23.0,1.7902666512,17.7499938965,32.7318949539,9.73189495391,4.6,-2.26810504609,20.7290283203,25.7468889434,3.61452,9.25311105662,37.2734,-77.1295,PRGV2
1404051339,FWS.AKQ.20140405.GREAT.01.20140405.133951.4213698756,0,3,51,16.1111111111,35,4.91744,6.0,23.3333333333,29.0,3.1278221952,18.35,34.1062746722,5.10627467222,4.57794,-0.893725327778,21.5848632813,39.5428669604,3.97699,-4.54286696045,36.61544,-76.55336,GDSV2
1404051250,FWS.AKQ.20140405.TA6__.01.20140405.125030.1261478474,17,-30,130,17.7777777778,29,5.36448,1.44,18.0,27.56,6.68777772,16.5378967285,32.1377567237,4.57775672366,5.7,3.13775672366,17.4114929199,31.1947364015,4.13043,-2.19473640154,38.125,-77.375,KEZF
1404041402,FWS.AKQ.20140404.PINEY.01.20140404.140246.3400625120,7,3,58,26.6666666667,30,5.81152,8.67,29.4,21.33,6.17333328,27.7499938965,38.3290041097,16.9990041097,6.8585,8.32900410972,29.7211853027,21.8640164779,6.50402,8.13598352211,36.98333,-77.08778,KAKQ
1404041121,FWS.AKQ.20140404.ANTIO.01.20140404.112102.4026069585,13,4,219,28.3333333333,35,6.7056,17.09,31.0,17.91,7.20222216,27.7499938965,38.0209056566,20.1109056566,7.52604,3.02090565662,28.9631286621,25.8482569947,7.42311,9.15174300527,36.81806,-76.84889,KFKN
1404041125,FWS.AKQ.20140404.JAMES.01.20140404.112516.1069149093,1,-3,215,27.7777777778,37,5.81152,16.0,30.5555555556,21.0,1.7902666512,27.2290283203,40.8294229715,19.8294229715,6.7,3.82942297154,29.3833862305,23.2505202145,6.89403,13.7494797855,37.2734,-77.1295,PRGV2
1404041220,FWS.AKQ.20140404.RANGE.01.20140404.122025.3747451289,33,-9,220,23.8888888889,47,3.12928,-4.18,20.5,51.18,5.1444444,23.3660827637,49.6940210662,-1.48597893377,4.1,2.69402106623,21.051171875,59.5005476858,1.72446,-12.5005476858,38.05,-77.18333,KXSA
