date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1109291037,FWS.AKQ.20110929.LATER.01.20110929.103753.998414567,6,7,13,29.4444444444,42,5.36448,-8.0,28.3333333333,50.0,3.1278221952,28.85,46.2796566248,-3.72034337518,6.2,4.27965662482,27.7866760254,59.9681831002,3.96293,-17.9681831002,36.57778,-76.50083,GDSV2
1109261009,FWS.AKQ.20110926.LATER.01.20110926.100919.710492726,6,7,16,26.1111111111,70,2.68224,-0.0,27.7777777778,70.0,1.7902666512,26.149987793,76.3421457859,6.34214578592,3.1,6.34214578592,27.6002441406,78.0667235271,1.95023,-8.06672352714,36.57778,-76.50056,GDSV2
1109221051,FWS.AKQ.20110922.LATER.01.20110922.105144.745186324,6,7,12,28.3333333333,64,3.57632,-2.0,30.5555555556,66.0,4.4705221836,27.7499938965,69.5085634705,3.50856347052,4.1,5.50856347052,28.1462341309,78.5720772586,2.3788,-14.5720772586,36.57778,-76.50083,GDSV2
1109210924,FWS.AKQ.20110921.LATER.01.20110921.092436.047214431,6,7,5,25.5555555556,70,3.12928,2.0,28.3333333333,68.0,3.1278221952,,,,,,28.0043579102,71.355418091,3.41097,-1.35541809101,36.57778,-76.50083,GDSV2
1109201013,FWS.AKQ.20110920.LATER.01.20110920.101348.824304309,6,7,3,26.6666666667,59,1.34112,-4.0,26.1111111111,63.0,1.7902666512,26.149987793,62.2548113739,-0.745188626138,1.42314,3.25481137386,25.7680603027,66.8931560586,1.96674,-7.89315605865,36.57778,-76.50083,GDSV2
1109191016,FWS.AKQ.20110919.LATER.01.20110919.101639.262522533,6,7,4,23.3333333333,58,3.12928,-7.0,24.4444444444,65.0,2.2326888696,22.2499938965,63.7412370553,-1.25876294474,3.6,5.74123705526,24.3325744629,66.5856621152,3.8194,-8.58566211518,36.57778,-76.50083,GDSV2
1109180958,FWS.AKQ.20110918.LATER.01.20110918.095846.441191231,6,7,6,20.5555555556,72,5.81152,-5.0,21.1111111111,77.0,3.575388858,19.4500061035,77.6871744394,0.687174439404,6.7,5.6871744394,20.1869445801,87.9381133038,3.86613,-15.9381133038,36.57778,-76.50083,GDSV2
1109170944,FWS.AKQ.20110917.LATER.01.20110917.094415.162428928,6,7,7,20.0,72,5.36448,-23.0,16.1111111111,95.0,4.0229555208,19.5239196777,74.9079196573,-20.0920803427,6.12314,2.9079196573,16.5703369141,94.0234223762,4.54242,-22.0234223762,36.57778,-76.50083,GDSV2
1109160931,FWS.AKQ.20110916.LATER.01.20110916.093110.955073918,6,7,5,19.4444444444,44,4.4704,-5.0,19.4444444444,49.0,3.1278221952,18.9627624512,46.812980605,-2.18701939496,5.79101,2.81298060504,18.5141845703,59.4989643221,5.6447,-15.4989643221,36.57778,-76.50083,GDSV2
1109150926,FWS.AKQ.20110915.LATER.01.20110915.092601.348797792,6,7,6,32.2222222222,41,4.4704,-6.0,32.2222222222,47.0,3.575388858,31.649987793,46.162288914,-0.837711085963,6.10604,5.16228891404,31.8673339844,49.3788084314,5.43305,-8.37880843139,36.57778,-76.50083,GDSV2
1109140922,FWS.AKQ.20110914.LATER.01.20110914.092258.883337298,6,7,9,31.6666666667,39,2.2352,-3.0,32.2222222222,42.0,2.6802555324,31.149987793,41.8772661736,-0.122733826397,2.6,2.8772661736,32.7303405762,43.398698881,3.15417,-4.39869888098,36.57778,-76.50083,GDSV2
1109130930,FWS.AKQ.20110913.LATER.01.20110913.093011.710270494,6,7,9,31.1111111111,40,2.2352,-5.0,31.6666666667,45.0,3.1278221952,31.149987793,41.8772661736,-3.1227338264,2.6,1.8772661736,30.9773193359,49.6555925151,2.54165,-9.65559251515,36.57778,-76.50083,GDSV2
1109111120,FWS.AKQ.20110911.LATER.01.20110911.112054.320228961,6,7,17,30.5555555556,44,2.68224,3.0,32.2222222222,41.0,3.1278221952,29.9500061035,46.5803881468,5.58038814683,3.1,2.58038814683,31.9664245605,45.5733694419,3.11335,-1.57336944191,36.57778,-76.50083,GDSV2
1109101000,FWS.AKQ.20110910.LATER.01.20110910.100032.101996227,6,7,26,30.5555555556,43,2.68224,-0.0,31.6666666667,43.0,2.6802555324,29.9500061035,46.5803881468,3.58038814683,3.1,3.58038814683,31.5828796387,45.5576265508,4.45273,-2.55762655078,36.57778,-76.50083,GDSV2
1109090932,FWS.AKQ.20110909.LATER.01.20110909.093239.879105221,6,7,10,28.8888888889,54,1.34112,6.0,30.0,48.0,2.6802555324,,,,,,29.8122497559,48.2701474876,3.2534,5.72985251238,36.57778,-76.50083,GDSV2
1109081023,FWS.AKQ.20110908.LATER.01.20110908.102358.358167376,6,7,15,29.4444444444,64,3.57632,-1.0,31.6666666667,65.0,3.575388858,28.85,69.7195522143,4.71955221426,3.1,5.71955221426,29.2313476563,78.918654915,1.25432,-14.918654915,36.57778,-76.50083,GDSV2
1109071022,FWS.AKQ.20110907.LATER.01.20110907.102216.418997033,6,7,16,30.5555555556,62,4.4704,-4.0,30.0,66.0,5.3656555092,29.9500061035,65.4435445585,-0.556455441461,5.1,3.44354455854,30.1373535156,70.7211729184,4.64855,-8.72117291841,36.57778,-76.50083,GDSV2
1109061016,FWS.AKQ.20110906.LATER.01.20110906.101637.609555596,6,7,11,30.5555555556,66,4.4704,9.0,33.3333333333,57.0,5.3656555092,29.9500061035,72.4186136427,15.4186136427,4.19101,6.41861364271,33.9800048828,61.4154156606,4.91891,4.58458433941,36.57778,-76.50083,GDSV2
1109051023,FWS.AKQ.20110905.LATER.01.20110905.102359.856964489,6,7,18,29.4444444444,54,4.91744,-11.0,28.8888888889,65.0,4.0229555208,29.4500061035,60.9599148632,-4.04008513679,5.7,6.95991486321,29.6986022949,66.1460385899,4.97655,-12.1460385899,36.57778,-76.50083,GDSV2
1109041025,FWS.AKQ.20110904.LATER.01.20110904.102500.044130476,6,7,10,30.5555555556,47,4.02336,1.0,31.1111111111,46.0,3.575388858,29.4500061035,51.3700298881,5.37002988807,4.6,4.37002988807,31.998651123,43.2096275876,3.30947,3.79037241238,36.57778,-76.50083,GDSV2
1108101417,FWS.AKQ.20110810.LATER.01.20110810.141723.792794821,6,7,36,35.5555555556,28,4.4704,11.0,36.6666666667,17.0,4.0229555208,34.4500061035,35.2868419217,18.2868419217,4.43214,7.28684192168,36.3716369629,32.9088271318,4.85718,-4.90882713175,36.57778,-76.50083,GDSV2
1108091634,FWS.AKQ.20110809.LATER.02.20110809.163439.104814756,6,7,11,36.1111111111,37,6.7056,3.0,36.6666666667,34.0,4.4705221836,36.149987793,40.4349341826,6.43493418258,4.6,3.43493418258,35.8463989258,41.5396490306,6.32596,-4.53964903061,36.57778,-76.50083,GDSV2
1108091001,FWS.AKQ.20110809.LATER.01.20110809.100145.478822086,6,7,6,36.1111111111,37,4.02336,3.0,36.6666666667,34.0,4.4705221836,36.149987793,40.4349341826,6.43493418258,4.6,3.43493418258,35.8463989258,41.5396490306,6.32596,-4.53964903061,36.57778,-76.50083,GDSV2
1108081005,FWS.AKQ.20110808.LATER.01.20110808.100523.738235736,6,7,9,36.1111111111,36,4.02336,3.0,36.1111111111,33.0,4.0229555208,36.149987793,38.9655516485,5.96555164845,4.6,2.96555164845,35.5242858887,41.5206631542,4.1178,-5.52066315419,36.57778,-76.50083,GDSV2
1108071010,FWS.AKQ.20110807.LATER.01.20110807.101057.170280289,6,7,16,35.0,45,4.4704,-0.0,36.1111111111,45.0,4.4705221836,34.4500061035,47.7583326021,2.75833260206,5.1,2.75833260206,35.2592407227,55.320226289,4.40907,-10.320226289,36.57778,-76.50083,GDSV2
1108071748,FWS.AKQ.20110807.LATER.02.20110807.174838.571110543,6,7,24,35.5555555556,48,4.4704,3.0,36.1111111111,45.0,4.4705221836,34.4500061035,47.7583326021,2.75833260206,5.1,-0.24166739794,35.2592407227,55.320226289,4.40907,-7.32022628896,36.57778,-76.50083,GDSV2
1108061014,FWS.AKQ.20110806.LATER.01.20110806.101418.011047930,6,7,17,30.5555555556,64,3.57632,4.0,32.2222222222,60.0,4.4705221836,30.550012207,70.0417044352,10.0417044352,4.1,6.04170443519,29.0309997559,75.8305883617,4.03636,-11.8305883617,36.57778,-76.50083,GDSV2
1108051213,FWS.AKQ.20110805.LATER.01.20110805.121353.559737204,6,7,13,32.2222222222,53,4.02336,1.0,31.6666666667,52.0,3.1278221952,31.6415344238,57.721512275,5.72151227501,3.6,4.72151227501,30.3387695313,61.6156400224,4.29237,-8.61564002244,36.571,-76.507,GDSV2
1108031553,FWS.AKQ.20110803.NORTH.01.20110803.155334.875125243,12,4,18,33.8888888889,45,4.4704,8.0,37.2222222222,37.0,4.9180888464,32.2499938965,48.8171390215,11.8171390215,4.99336,3.81713902154,33.3801513672,54.7641495099,2.31496,-9.76414950992,36.45,-76.23333,ELRN7
1108021528,FWS.AKQ.20110802.NORTH.01.20110802.152821.850122625,12,4,23,35.0,33,4.4704,-5.0,35.5555555556,38.0,3.1278221952,33.85,40.4658228419,2.46582284193,3.93417,7.46582284193,32.5330444336,55.4100608923,3.3354,-22.4100608923,36.45,-76.23333,ELRN7
1107291156,FWS.AKQ.20110729.MORRI.01.20110729.115618.342560718,6,0,11,35.5555555556,44,3.12928,1.0,36.6666666667,43.0,4.9180888464,34.9500061035,49.0968910511,6.09689105108,3.6,5.09689105108,28.8304382324,80.9443802508,3.95039,-36.9443802508,38.42,-76.02,BLWM2
1107281339,FWS.AKQ.20110728.MORRI.01.20110728.133953.949244731,6,0,7,32.2222222222,41,3.12928,-4.0,33.3333333333,45.0,4.4705221836,31.649987793,43.6366108653,-1.36338913473,3.68375,2.63661086527,28.2104431152,68.9199318663,5.54192,-27.9199318663,38.42,-76.02,BLWM2
1102151442,FWS.AKQ.20110215.FLUVA.01.20110215.144242.007581952,34,28,1,11.1111111111,21,2.68224,6.68,11.0,14.32,4.62999996,11.149987793,20.6831484479,6.36314844785,4.6,-0.316851552147,10.8120361328,18.3466194732,1.82868,2.6533805268,37.8,-78.26667,KLKU
1102151448,FWS.AKQ.20110215.FLUVA.01.20110215.144840.041392093,34,28,5,11.1111111111,21,2.68224,6.68,11.0,14.32,4.62999996,11.149987793,20.6831484479,6.36314844785,4.6,-0.316851552147,10.8120361328,18.3466194732,1.82868,2.6533805268,37.8,-78.26667,KLKU
1102151816,FWS.AKQ.20110215.NAMAZ.01.20110215.181654.281906590,12,35,9,10.5555555556,16,6.7056,0.19,12.0,15.81,5.1444444,10.5592590332,20.1931283679,4.3831283679,5.7,4.1931283679,10.5491271973,18.9521815999,2.22242,-2.95218159987,37.2203,-77.6472,KPTB
1008101649,FWS.AKQ.20100810.CRAPO.01.20100810.164923.233268116,14,3,19,35.0,40,3.57632,-1.0,36.6666666667,41.0,3.575388858,33.0747619629,50.6754810144,9.6754810144,3.79063,10.6754810144,31.7838684082,66.3148903395,3.99022,-26.3148903395,38.31833,-76.11361,BLWM2
1007071223,FWS.AKQ.20100707.WICOM.01.20100707.122343.077732007,4,8,4,36.6666666667,31,3.12928,-6.0,36.6666666667,37.0,2.2326888696,36.5454650879,32.0611690224,-4.93883097764,4.6,1.06116902236,,,,,38.35542,-75.38181,PWLM2
1005101309,FWS.AKQ.20100510.SUF19.01.20100510.130951,7,14,12,19.4444444444,21,3.57632,-10.88,19.0,31.88,4.11555552,19.0141540527,21.7411517585,-10.1388482415,3.6,0.741151758474,,,,,36.7447,-76.6433,KSFQ
