date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1306291702,FWS.ALU.20130629.HOHOL.01.20130629.170207.1372525327710,32,-22,8,22.2222222222,44,4.4704,-2.5,22.0,46.5,4.11555552,,,,,,,,,,61.455,-156.88917,PASL
1306281710,FWS.ALU.20130628.HOHOL.01.20130628.171052.1372439452839,32,-22,30,18.3333333333,55,4.4704,-12.36,17.0,67.36,2.5722222,,,,,,,,,,61.455,-156.88917,PASL
1306271836,FWS.ALU.20130627.LIMEH.01.20130627.183614.1372358174136,40,179,17,21.1111111111,49,4.4704,-19.2,19.0,68.2,2.5722222,,,,,,,,,,61.4555,-155.69067,PASV
1306271822,FWS.ALU.20130627.KRIST.01.20130627.182207.1372357326992,15,68,70,17.2222222222,56,4.4704,-38.0,15.5555555556,94.0,1.7902666512,,,,,,,,,,61.04233,-154.189,STNA2
1306252020,FWS.ALU.20130625.KRIST.02.20130625.202059.1372191659431,15,68,17,22.2222222222,40,3.12928,-1.0,23.3333333333,41.0,1.7902666512,,,,,,,,,,61.04233,-154.189,STNA2
1306221646,FWS.ALU.20130622.LIMEH.01.20130622.164633.1371919593573,44,-25,32,17.7777777778,40,3.12928,10.0,22.2222222222,30.0,5.3656555092,,,,,,,,,,61.4555,-155.69067,SRVA2
1306212209,FWS.ALU.20130621.LIMEH.01.20130621.220928.1371852567650,44,-25,45,17.2222222222,40,5.36448,-5.0,17.2222222222,45.0,3.575388858,,,,,,,,,,61.4555,-155.69067,SRVA2
1306201730,FWS.ALU.20130620.KRIST.01.20130620.173014.1371749414102,9,53,47,19.4444444444,32,4.4704,8.0,22.7777777778,24.0,2.6802555324,,,,,,,,,,61.07893,-154.06995,STNA2
1306201757,FWS.ALU.20130620.KRIST.01.20130620.175750.1371751070404,9,53,74,19.4444444444,36,3.57632,12.0,22.7777777778,24.0,2.6802555324,,,,,,,,,,61.07893,-154.06995,STNA2
1306201741,FWS.ALU.20130620.LIMEH.01.20130620.174121.1371750081608,40,285,57,21.6666666667,33,5.36448,-18.76,17.0,51.76,3.60111108,,,,,,,,,,61.4555,-155.69067,PASV
1306201813,FWS.ALU.20130620.KRIST.01.20130620.181321.1371752000949,9,53,90,19.4444444444,32,4.4704,8.0,22.7777777778,24.0,2.6802555324,,,,,,,,,,61.07893,-154.06995,STNA2
1306191841,FWS.ALU.20130619.LIMEH.01.20130619.184105.1371667264999,40,255,43,26.6666666667,29,2.68224,-13.61,19.0,42.61,5.65888884,,,,,,,,,,61.4555,-155.69067,PASV
1306181713,FWS.ALU.20130618.LIMEH.01.20130618.171334.1371575614301,40,285,51,33.3333333333,16,5.36448,-20.59,26.0,36.59,2.5722222,,,,,,,,,,61.4555,-155.69067,PASV
1306171806,FWS.ALU.20130617.LIMEH.01.20130617.180609.1371492369238,40,285,43,33.3333333333,15,4.4704,-9.79,28.0,24.79,4.62999996,,,,,,,,,,61.4555,-155.69067,PASV
1306161749,FWS.ALU.20130616.LIMEH.01.20130616.174929.1371404969832,40,285,17,30.0,13,4.4704,-10.97,25.0,23.97,2.5722222,,,,,,,,,,61.4555,-155.69067,PASV
1306011728,FWS.ALU.20130601.FISHF.01.20130601.172856.1370107736518,44,-6,10,21.1111111111,33,3.12928,-10.49,20.0,43.49,2.5722222,,,,,,,,,,61.1585,-160.64306,PALG
1211072001,FWS.ALU.20121107.SNAKE.01.20121107.200103.1352318463497,6,10,31,-6.66666666667,46,6.7056,-11.02,-8.0,57.02,6.68777772,,,,,,,,,,58.99417,-158.55233,PADL
1211061924,FWS.ALU.20121106.SNAKE.01.20121106.192445.1352229885662,6,10,25,-5.55555555556,32,8.9408,-0.65,-4.0,32.65,7.7166666,,,,,,,,,,58.99417,-158.55233,PADL
1211051952,FWS.ALU.20121105.SNAKE.01.20121105.195234.1352145154365,6,10,17,-5.55555555556,37,8.04672,9.18,-3.0,27.82,6.17333328,,,,,,,,,,58.99417,-158.55233,PADL
0907211928,FWS.ALU.20090721.MUSKE.01.20090721.192847,7,0,45,18.3333333333,54,9.83488,11.0,20.5555555556,43.0,2.6802555324,,,,,,,,,,61.655,-156.295,SRVA2
0907161801,FWS.ALU.20090716.WINTE.01.20090716.180145,15,0,34,22.2222222222,38,3.57632,-2.63,22.0,40.63,4.62999996,,,,,,,,,,61.5925,-159.84056,PANI
0907151821,FWS.ALU.20090715.WINTE.01.20090715.182121,15,0,30,16.6666666667,55,2.2352,-16.47,12.0,71.47,4.11555552,,,,,,,,,,61.5925,-159.84056,PANI
0907131716,FWS.ALU.20090713.WINTE.01.20090713.171630,15,0,34,21.6666666667,51,8.9408,7.81,22.0,43.19,6.17333328,,,,,,,,,,61.5925,-159.84056,PANI
0907121734,FWS.ALU.20090712.WINTE.01.20090712.173458,15,0,45,28.8888888889,30,2.2352,-2.25,28.0,32.25,3.08666664,,,,,,,,,,61.5925,-159.84056,PANI
0907091924,FWS.ALU.20090709.WINTE.01.20090709.192440,0,0,50,18.8888888889,45,3.57632,-6.48,17.0,51.48,3.08666664,,,,,,,,,,61.58,-159.54,PANI
0907081652,FWS.ALU.20090708.WINTE.01.20090708.165251,15,-56,40,18.8888888889,48,3.57632,-18.93,13.0,66.93,2.5722222,,,,,,,,,,61.5925,-159.84056,PANI
0907071729,FWS.ALU.20090707.WINTE.01.20090707.172901,15,4,73,22.2222222222,41,5.36448,-11.83,21.0,52.83,4.62999996,,,,,,,,,,61.5925,-159.84056,PANI
0906211759,FWS.ALU.20090621.FIRE2.01.20090621.175942,16,-93,39,14.4444444444,48,8.04672,-2.37,13.0,50.37,5.1444444,,,,,,,,,,61.59861,-159.84528,PANI
1508051700,FWS.ALU.20150805.ANIAK.01.20150805.170043.955854956,33,-28,30,22.7777777778,38,3.12928,-16.35,20.0,54.35,3.08666664,,,,,,,,,,61.25218,-160.56692,PALG,0
