date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403191546,FWS.AMA.20140319.BULLD.01.20140319.154624.1658979615,41,256,164,13.8888888889,18,2.2352,1.2,15.0,16.8,4.62999996,,,,,,14.1601501465,16.5537481437,4.14288,1.44625185628,35.66259,-101.3993,KBPC
1402151512,FWS.AMA.20140215.TATE_.01.20140215.151243.1028251574,48,-42,168,25.0,16,5.36448,-0.0,26.6666666667,16.0,7.150777716,23.35,15.3484698992,-0.651530100757,8.2,-0.651530100757,23.6896606445,19.1598062323,3.53978,-3.15980623235,34.8448,-101.019,CAPT2
1312141644,FWS.AMA.20131214.NORTH.01.20131214.164429.883428639,4,15,16,10.0,30,8.9408,4.0,11.1111111111,26.0,8.0459110416,9.40520629883,32.7595075566,6.75950755664,8.2,2.75950755664,,,,,35.73153,-101.55528,CEDT2
1303191342,FWS.AMA.20130319.BEAVE.01.20130319.134241.1363700560929,42,147,78,15.0,19,6.25856,0.14,13.0,18.86,8.74555548,15.550012207,22.9184034575,4.05840345754,5.7,3.91840345754,13.504510498,15.4934769581,5.24315,3.50652304194,36.82688,-100.57404,KLBL
1303121208,FWS.AMA.20130312.MCCLE.01.20130312.120831.1363090111549,45,150,82,12.7777777778,33,8.9408,0.39,11.0,32.61,7.7166666,12.9229675293,34.8019180012,2.19191800115,10.1541,1.80191800115,11.9474731445,37.0325652231,7.43474,-4.03256522311,35.21713,-100.86478,KPPA
1303111502,FWS.AMA.20130311.MCCLE.01.20130311.150205.1363014060001,45,150,178,17.2222222222,20,4.4704,4.15,18.1,15.85,5.65888884,16.649987793,20.4099507923,4.55995079226,5.52078,0.40995079226,18.7191711426,17.8451109285,5.07166,2.15488907155,35.21713,-100.86478,KPPA
1204071412,FWS.AMA.20120407.BUFFA.01.20120407.141239.618212342,19,13,2,19.4444444444,21,12.07008,0.81,18.0,20.19,14.91888876,19.4500061035,21.340439721,1.15043972102,13.4,0.340439721018,18.1047302246,22.3601029335,13.1984,-1.36010293348,34.90128,-102.12187,KHRX
1204062043,FWS.AMA.20120406.BUFFA.01.20120406.204336.836835517,19,13,413,25.0,39,8.9408,22.8,28.0,16.2,10.80333324,26.149987793,19.3672646843,3.16726468431,9.84165,-19.6327353157,27.7944885254,20.0892823415,9.19715,18.9107176585,34.90128,-102.12187,KHRX
1204061336,FWS.AMA.20120406.BUFFA.01.20120406.133605.180373676,19,13,14,25.0,19,8.9408,2.8,28.0,16.2,10.80333324,26.149987793,19.3672646843,3.16726468431,9.84165,0.367264684306,27.7944885254,20.0892823415,9.19715,-1.08928234149,34.90128,-102.12187,KHRX
1204052049,FWS.AMA.20120405.BUFFA.01.20120405.204925.934100691,19,13,374,23.8888888889,24,4.02336,7.06,26.0,16.94,6.68777772,23.1531616211,24.511402606,7.57140260602,7.2,0.511402606024,23.700982666,23.5429454194,7.88948,0.457054580587,34.90128,-102.12187,KHRX
1204051423,FWS.AMA.20120405.BUFFA.01.20120405.142350.038133906,19,13,12,23.8888888889,24,4.02336,7.06,26.0,16.94,6.68777772,23.1531616211,24.511402606,7.57140260602,7.2,0.511402606024,23.700982666,23.5429454194,7.88948,0.457054580587,34.90128,-102.12187,KHRX
1203291004,FWS.AMA.20120329.BUFFA.01.20120329.100459.038599491,22,101,236,29.4444444444,8,6.25856,3.49,30.0,4.51,6.68777772,29.349206543,8.22137689334,3.71137689334,6.7,0.221376893337,27.8821044922,8.67513004444,5.7877,-0.675130044439,34.92722,-102.08917,KHRX
1203281118,FWS.AMA.20120328.BUFFA.02.20120328.111855.983400749,22,101,17,30.0,13,6.25856,7.68,30.0,5.32,7.7166666,29.9500061035,12.9125382679,7.59253826795,7.2,-0.0874617320518,30.3409362793,7.76747931362,7.90684,5.23252068638,34.92722,-102.08917,KHRX
1101281206,FWS.AMA.20110128.HALLS.01.20110128.120617.467569612,47,49,114,23.3333333333,9,6.7056,5.0,24.4444444444,4.0,5.3656555092,,,,,,23.0288330078,7.91126961877,4.08174,1.08873038123,34.83869,-101.02564,CAPT2
1101271237,FWS.AMA.20110127.RANCH.01.20110127.123732.680314957,39,276,203,19.4444444444,9,6.25856,-11.62,15.0,20.62,6.17333328,,,,,,17.7543884277,14.1480161577,6.57622,-5.14801615766,34.91167,-101.49778,KAMA
1101271227,FWS.AMA.20110127.HALLS.01.20110127.122759.282631780,47,49,93,20.0,10,6.25856,2.0,20.0,8.0,8.0459110416,,,,,,18.439263916,12.1318533549,5.28353,-2.13185335485,34.83869,-101.02564,CAPT2
1101261400,FWS.AMA.20110126.RANCH.02.20110126.140027.189429412,45,291,180,11.6666666667,27,6.7056,-16.79,8.3,43.79,7.7166666,,,,,,10.6187683105,41.7337243809,7.48053,-14.7337243809,34.87944,-101.44028,KAMA
1101261258,FWS.AMA.20110126.RANCH.01.20110126.125813.358429554,45,291,242,11.6666666667,27,6.7056,-16.79,8.3,43.79,7.7166666,,,,,,10.6187683105,41.7337243809,7.48053,-14.7337243809,34.87944,-101.44028,KAMA
1101251226,FWS.AMA.20110125.RANCH.01.20110125.122631.465632583,45,291,274,11.6666666667,17,4.02336,-6.33,10.6,23.33,5.65888884,,,,,,12.5748535156,22.0785008726,3.90744,-5.07850087261,34.87944,-101.44028,KAMA
1101241558,FWS.AMA.20110124.RANCH.02.20110124.155806.195978386,45,291,62,6.11111111111,38,9.38784,2.91,7.2,35.09,13.37555544,,,,,,10.5162597656,30.506710854,10.9568,7.49328914602,34.87944,-101.44028,KAMA
1101241214,FWS.AMA.20110124.RANCH.02.20110124.121403.497857832,45,291,286,6.11111111111,38,8.9408,2.91,7.2,35.09,13.37555544,,,,,,10.5162597656,30.506710854,10.9568,7.49328914602,34.87944,-101.44028,KAMA
1012161139,FWS.AMA.20101216.HALLS.01.20101216.113918.896617640,47,49,141,9.44444444444,37,5.36448,4.0,8.88888888889,33.0,4.0229555208,8.35790405273,36.8081375559,3.80813755592,5.1,-0.191862444079,9.08373413086,32.5990529575,3.46574,4.40094704254,34.83869,-101.02564,CAPT2
1010011513,FWS.AMA.20101001.BUFFA.03.20100930.151343.254646989,28,9,73,25.0,39,5.81152,6.08,28.3,32.92,8.74555548,29.3964172363,25.8792211137,-7.04077888626,8.7,-13.1207788863,26.835534668,35.6901698074,6.96589,3.3098301926,35.01715,-101.9165,KAMA
1002061923,FWS.AMA.20100206.ISLAN.01.20100206.192310,45,68,83,1.66666666667,70,2.68224,3.0,4.44444444444,67.0,2.6802555324,7.21819458008,53.2765043213,-13.7234956787,3.1,-16.7234956787,4.1283203125,70.3846298306,2.01654,-0.384629830611,34.81783,-101.02347,CAPT2
1002061401,FWS.AMA.20100206.ISLAN.01.20100206.140155,45,68,239,5.55555555556,62,2.68224,-5.0,4.44444444444,67.0,2.6802555324,7.21819458008,53.2765043213,-13.7234956787,3.1,-8.72349567875,4.1283203125,70.3846298306,2.01654,-8.38462983061,34.81783,-101.02347,CAPT2
1001211226,FWS.AMA.20100121.ROSIT.01.20100121.122610,31,169,154,15.5555555556,24,5.36448,5.1,17.8,18.9,8.74555548,14.8194519043,26.1075279321,7.20752793208,5.1,2.10752793208,18.3076721191,21.9533334716,4.9715,2.04666652838,35.48278,-101.85333,KAMA
1001201225,FWS.AMA.20100120.ROSIT.01.20100120.122540,31,169,185,15.0,27,8.9408,-3.36,12.8,30.36,10.2888888,13.1440673828,34.3031002113,3.94310021134,9.3,7.30310021134,13.9700256348,27.6032927622,6.50063,-0.603292762221,35.48278,-101.85333,KAMA
1001191232,FWS.AMA.20100119.ROSIT.01.20100119.123207,31,169,178,18.3333333333,23,11.62304,-5.78,17.2,28.78,14.91888876,16.649987793,27.3760969413,-1.40390305871,7.87382,4.37609694129,17.4289794922,32.1659692398,15.0995,-9.16596923984,35.48278,-101.85361,KAMA
1001181825,FWS.AMA.20100118.MULLI.02.20100118.182535,24,0,5,16.6666666667,25,4.4704,-6.0,15.5555555556,31.0,3.1278221952,16.4376464844,24.627613014,-6.37238698602,3.1,-0.372386986017,15.3582092285,29.7559679682,2.84224,-4.75596796823,35.52944,-101.75861,CEDT2
1001181217,FWS.AMA.20100118.MULLI.01.20100118.121719,24,0,163,17.2222222222,20,4.4704,-11.0,15.5555555556,31.0,3.1278221952,16.4376464844,24.627613014,-6.37238698602,3.1,4.62761301398,15.3582092285,29.7559679682,2.84224,-9.75596796823,35.52944,-101.75861,CEDT2
1001171408,FWS.AMA.20100117.CROSS.01.20100117.140823,30,93,12,16.6666666667,23,3.57632,9.07,18.9,13.93,6.17333328,15.7896057129,22.5699591615,8.63995916152,3.28001,-0.430040838482,19.4255615234,15.8796634155,2.94082,7.12033658455,35.41667,-101.95806,KAMA
1001171209,FWS.AMA.20100117.MULLI.01.20100117.120931,24,0,201,15.5555555556,25,3.12928,7.0,20.0,18.0,2.2326888696,15.550012207,23.3558060897,5.35580608966,4.1,-1.64419391034,19.5338378906,17.8883622744,3.42208,7.1116377256,35.52944,-101.75861,CEDT2
1001161603,FWS.AMA.20100116.CROSS.01.20100116.160327,30,93,7,15.5555555556,25,2.68224,-6.07,12.2,31.07,4.11555552,15.1895996094,24.9516409924,-6.11835900762,2.6,-0.0483590076223,13.894708252,31.8393597952,2.73952,-6.83935979516,35.41667,-101.95806,KAMA
1001161609,FWS.AMA.20100116.CROSS.01.20100116.160916,30,93,1,15.5555555556,25,2.68224,-6.07,12.2,31.07,4.11555552,15.1895996094,24.9516409924,-6.11835900762,2.6,-0.0483590076223,13.894708252,31.8393597952,2.73952,-6.83935979516,35.41667,-101.95806,KAMA
1001151334,FWS.AMA.20100115.NORTH.01.20100115.133437,21,28,146,10.5555555556,44,4.4704,9.74,12.2,34.26,4.11555552,10.4272399902,44.5000144154,10.2400144154,4.77167,0.500014415439,12.0211425781,34.9562129575,3.16249,9.04378704247,34.92028,-102.10361,KHRX
1001151522,FWS.AMA.20100115.CROSS.01.20100115.152234,30,93,8,10.5555555556,41,4.02336,3.15,11.7,37.85,3.08666664,10.8655334473,40.4968576385,2.64685763848,4.28001,-0.503142361521,12.6451049805,38.6469962986,1.65734,2.35300370141,35.41667,-101.95806,KAMA
1001141548,FWS.AMA.20100114.CROSS.01.20100114.154831,30,93,12,12.2222222222,32,6.7056,-5.33,10.0,37.33,8.23111104,9.64968261719,46.8755131834,9.5455131834,5.7,14.8755131834,12.3532653809,33.6681355729,6.72677,-1.6681355729,35.41667,-101.95806,KAMA
1001142057,FWS.AMA.20100114.NORTH.03.20100114.205745,21,28,327,11.6666666667,34,6.7056,-5.64,10.0,39.64,9.77444436,9.76329956055,45.1799465277,5.5399465277,6.2,11.1799465277,9.4083190918,39.3083469557,7.75776,-5.30834695571,34.92028,-102.10361,KHRX
1001141303,FWS.AMA.20100114.NORTH.03.20100114.130318,21,28,147,11.6666666667,34,7.15264,-5.64,10.0,39.64,9.77444436,9.76329956055,45.1799465277,5.5399465277,6.2,11.1799465277,9.4083190918,39.3083469557,7.75776,-5.30834695571,34.92028,-102.10361,KHRX
1001131355,FWS.AMA.20100113.CROSS.02.20100113.135553,30,93,20,18.3333333333,14,9.38784,2.54,18.9,11.46,10.2888888,17.2499938965,15.2066432356,3.74664323563,9.73672,1.20664323563,,,,,35.41667,-101.95806,KAMA
0906291208,FWS.AMA.20090629.CEDAR.01.20090629.120829,2,61,12,33.3333333333,33,4.4704,-6.0,34.4444444444,39.0,5.3656555092,33.4905334473,32.9296676959,-6.07033230413,5.1,-0.0703323041288,33.3422180176,34.8629374587,3.85418,-1.86293745868,35.69611,-101.5925,CEDT2
0906121451,FWS.AMA.20090612.ANTEL.01.20090612.145138,2,61,6,30.0,14,6.7056,-0.0,35.5555555556,14.0,3.575388858,31.1221557617,38.2222807992,24.2222807992,5.99652,24.2222807992,34.1417480469,13.0549990249,3.90897,0.945000975131,35.70639,-101.54972,CEDT2
1405021020,FWS.AMA.20140502.MARRY.01.20140502.102004.1181602766,38,256,460,25.5555555556,10,4.4704,-1.05,25.0,11.05,5.65888884,25.550012207,11.3819609325,0.33196093255,5.10307,1.38196093255,24.8678833008,10.7507099627,3.48539,-0.750709962685,35.68727,-101.38283,KBPC
1502061302,FWS.AMA.20150206.TATE_.01.20150206.130245.3397136892,48,-42,178,25.5555555556,21,8.04672,12.0,29.4444444444,9.0,7.150777716,25.050012207,16.4630228108,7.46302281077,8.4,-4.53697718923,25.3021179199,15.1516005317,4.49427,5.84839946827,34.8448,-101.019,CAPT2,0
1502071242,FWS.AMA.20150207.TATE_.01.20150207.124207.923085176,48,-42,18,27.7777777778,10,4.4704,3.0,31.1111111111,7.0,4.9180888464,27.157434082,14.6465312667,7.64653126673,5.6,4.64653126673,29.8111816406,8.0126161258,5.90849,1.9873838742,34.8448,-101.019,CAPT2,0
1502181357,FWS.AMA.20150218.MULLI.01.20150218.135736.4126131621,24,31,153,11.6666666667,29,2.68224,9.0,14.4444444444,20.0,2.2326888696,12.4038635254,29.4125799847,9.41257998469,3.2,0.412579984691,13.1575561523,24.1890655572,3.63932,4.81093444278,35.54639,-101.78028,CEDT2,0
1502191332,FWS.AMA.20150219.NORTH.02.20150219.133209.1285234218,2,31,148,20.5555555556,15,6.25856,1.0,23.8888888889,14.0,7.5983443788,19.85,17.7527010225,3.7527010225,7.2,2.7527010225,21.8850341797,17.2497196719,8.3444,-2.24971967193,35.71111,-101.56472,CEDT2,0
1502201330,FWS.AMA.20150220.NORTH.01.20150220.133039.576933119,2,31,10,21.6666666667,18,2.2352,4.0,26.1111111111,14.0,4.9180888464,22.35,16.8560810955,2.85608109547,3.2,-1.14391890453,22.9345031738,14.974011572,3.30062,3.02598842803,35.71111,-101.56472,CEDT2,0
1502211331,FWS.AMA.20150221.SOUTH.02.20150221.133121.4031901941,24,31,4,13.8888888889,35,4.02336,-0.0,12.2222222222,35.0,4.0229555208,7.08986816406,52.8424854186,17.8424854186,5.6,17.8424854186,12.9392028809,35.7704973142,4.30158,-0.770497314212,35.54639,-101.78056,CEDT2,0
1503081358,FWS.AMA.20150308.MULLI.01.20150307.135818.4008179212,24,15,152,18.8888888889,23,2.68224,-3.0,20.5555555556,26.0,3.575388858,18.0573669434,31.1934463982,5.19344639821,4.8,8.19344639821,18.7901550293,28.9977950563,3.42683,-5.99779505627,35.54639,-101.78028,CEDT2,0
1503081242,FWS.AMA.20150308.MULLI.02.20150308.124241.2601770466,24,15,7,18.3333333333,31,3.57632,5.0,20.5555555556,26.0,3.575388858,18.0573669434,31.1934463982,5.19344639821,4.8,0.193446398209,18.7901550293,28.9977950563,3.42683,2.00220494373,35.54639,-101.78028,CEDT2,0
1503091302,FWS.AMA.20150309.NORTH.01.20150309.130215.2273128141,2,15,238,15.0,45,3.57632,13.0,18.3333333333,32.0,3.1278221952,13.6353088379,48.0809315983,16.0809315983,3.2,3.08093159828,18.3855529785,32.2011866176,4.34732,12.7988133824,35.70639,-101.54972,CEDT2,0
1503111251,FWS.AMA.20150311.NORTH.01.20150311.125120.3026011545,5,15,159,23.8888888889,22,3.12928,7.0,25.0,15.0,2.6802555324,23.7898498535,21.614751879,6.61475187897,3.75689,-0.385248121033,22.9152160645,15.7250145635,2.99021,6.27498543652,35.73944,-101.56667,CEDT2,0
1503111345,FWS.AMA.20150311.UNIT1.01.20150311.134526.2344999093,22,45,375,21.1111111111,26,3.12928,7.51,22.6,18.49,4.62999996,21.649987793,27.0294359993,8.5394359993,4.0,1.0294359993,20.6815734863,22.9557253946,3.49936,3.04427460535,34.91833,-102.08583,KHRX,0
1503121219,FWS.AMA.20150312.XLRAN.01.20150312.121938.20936425,39,153,101,21.6666666667,24,5.36448,3.35,22.2,20.65,7.7166666,22.2499938965,23.8851545198,3.23515451984,5.51014,-0.114845480158,22.3190246582,21.4757808019,6.23684,2.52421919809,35.50544,-102.02882,KDUX,0
1503121259,FWS.AMA.20150312.UNIT5.02.20150312.125931.2437434392,22,45,121,20.0,26,5.36448,2.79,21.6,23.21,6.68777772,20.7667785645,26.1657042777,2.95570427768,5.6,0.165704277677,20.1198364258,24.8846742396,5.63403,1.11532576041,34.91833,-102.08583,KHRX,0
1503121700,FWS.AMA.20150312.NORTH.01.20150312.170053.2226843888,5,15,60,22.2222222222,23,4.02336,7.0,24.4444444444,16.0,4.9180888464,22.3036132813,22.3977966378,6.39779663784,4.8,-0.602203362159,22.1212097168,18.3574969894,5.74697,4.6425030106,35.73944,-101.56667,CEDT2,0
1503131257,FWS.AMA.20150313.NORTH.01.20150313.125747.2400272484,5,15,183,21.1111111111,25,8.04672,8.0,23.3333333333,17.0,6.2607888348,20.9930969238,22.8083460261,5.80834602605,10.0,-2.19165397395,22.4770751953,19.0275287735,9.64344,5.9724712265,35.73944,-101.56667,CEDT2,0
1503161730,FWS.AMA.20150316.CROSS.02.20150316.173006.2721561486,30,93,315,27.7777777778,10,10.28192,-4.88,27.8,14.88,10.80333324,27.35,13.1485416062,-1.73145839384,10.8,3.14854160616,28.5004516602,14.8919382154,10.2394,-4.89193821539,35.42861,-101.93222,KAMA,0
1503161158,FWS.AMA.20150316.CROSS.02.20150316.115832.2799182995,30,93,17,27.7777777778,13,15.6464,-1.88,27.8,14.88,10.80333324,27.35,13.1485416062,-1.73145839384,10.8,0.14854160616,28.5004516602,14.8919382154,10.2394,-1.89193821539,35.42861,-101.93222,KAMA,0
1503171336,FWS.AMA.20150317.CROSS.01.20150317.133649.187966418,30,93,11,13.3333333333,40,17.8816,4.13,10.6,35.87,12.34666656,13.2499938965,40.3257660912,4.45576609119,12.4,0.325766091193,11.8234191895,33.9081593418,10.7448,6.09184065824,35.42861,-101.93222,KAMA,0
1503182107,FWS.AMA.20150318.LXRAN.01.20150317.210717.4007486174,23,93,367,20.5555555556,35,4.4704,-16.51,16.1,51.51,5.65888884,20.3881774902,37.0969929102,-14.4130070898,5.6,2.09699291018,17.1762634277,49.8582649946,4.53885,-14.8582649946,35.42639,-101.76583,KAMA,0
1503181250,FWS.AMA.20150318.CROSS.01.20150318.125009.3590701454,8,210,130,20.0,34,5.36448,-6.77,17.2,40.77,6.68777772,20.0183044434,33.8454301679,-6.92456983211,5.6,-0.154569832113,16.7250610352,43.575005915,5.21261,-9.57500591504,35.96667,-102.48333,KDHT,0
1503181103,FWS.AMA.20150318.LXRAN.02.20150318.110309.1448350369,23,93,327,20.5555555556,36,5.36448,-15.51,16.1,51.51,5.65888884,20.3881774902,37.0969929102,-14.4130070898,5.6,1.09699291018,17.1762634277,49.8582649946,4.53885,-13.8582649946,35.42639,-101.76583,KAMA,0
1503211326,FWS.AMA.20150321.LXRAN.01.20150320.132647.3908465017,23,93,26,17.2222222222,39,3.12928,-1.0,18.9,40.0,6.68777772,20.06875,35.5524005611,-4.44759943894,4.0,-3.44759943894,20.6745849609,37.2031725702,3.70487,1.79682742975,35.42639,-101.76583,KAMA,0
1503211135,FWS.AMA.20150321.LXRAN.02.20150321.113528.3403731949,23,93,175,20.5555555556,35,2.68224,-5.0,18.9,40.0,6.68777772,20.06875,35.5524005611,-4.44759943894,4.0,0.552400561058,20.6745849609,37.2031725702,3.70487,-2.20317257025,35.42639,-101.76583,KAMA,0
1511121129,FWS.AMA.20151112.BORGE.03.20151112.112926.317965772,3,-14,211,15.5555555556,27,2.68224,3.76,16.7,23.24,4.11555552,,,,,,17.0487304688,24.015859659,4.1075,2.98414034099,35.66808,-101.37041,KBGD,0
1511231222,FWS.AMA.20151123.BORGE.01.20151123.122200.1569586646,5,16,158,18.3333333333,18,6.7056,0.22,18.9,17.78,6.68777772,,,,,,19.140222168,16.8395697617,7.37346,1.16043023832,35.64836,-101.38565,KBGD,0
1511231211,FWS.AMA.20151123.BORGE.01.20151123.121127.1379351060,5,16,169,18.3333333333,18,6.7056,0.22,18.9,17.78,6.68777772,,,,,,19.140222168,16.8395697617,7.37346,1.16043023832,35.64836,-101.38565,KBGD,0
1511241310,FWS.AMA.20151124.BORGE.01.20151124.131025.4124829546,1,16,140,22.2222222222,16,6.25856,3.96,23.9,12.04,8.74555548,,,,,,23.5596252441,12.9578358753,7.70635,3.04216412467,35.68569,-101.40712,KBGD,0
1512031332,FWS.AMA.20151203.BORGE.01.20151203.133247.3090145456,1,16,148,14.4444444444,28,3.57632,6.78,16.1,21.22,5.65888884,,,,,,16.8190246582,19.7784861465,5.55983,8.22151385352,35.68718,-101.40729,KBGD,0
1512081145,FWS.AMA.20151208.BORGE.01.20151208.114505.2125852194,7,-36,255,21.6666666667,20,4.4704,2.7,22.8,17.3,9.77444436,,,,,,21.9190612793,18.2476550818,8.35634,1.75234491822,35.63985,-101.44766,KBGD,0
1512091145,FWS.AMA.20151209.BORGE.01.20151209.114521.1051039625,2,16,255,21.6666666667,22,6.7056,0.53,20.6,21.47,7.7166666,,,,,,20.8967834473,21.1109420284,8.87256,0.889057971607,35.67582,-101.40755,KBGD,0
1512101137,FWS.AMA.20151210.BORGE.01.20151210.113720.761762858,7,-14,293,21.1111111111,22,4.4704,-0.11,19.4,22.11,4.11555552,,,,,,19.2505737305,21.29714546,5.07818,0.702854539979,35.64131,-101.44545,KBGD,0
1512212023,FWS.AMA.20151221.STINN.01.20151221.202302.3761309688,43,13,38,12.7777777778,34,6.7056,10.48,15.8,23.52,8.74555548,,,,,,14.0165344238,32.0373218347,5.89197,1.96267816532,35.89222,-101.32666,KPPA,0
1512291313,FWS.AMA.20151229.BORGE.01.20151229.131322.1151723021,4,16,137,-0.555555555556,75,3.57632,11.88,1.7,63.12,5.65888884,,,,,,1.31392822266,67.8002253078,4.34176,7.19977469215,35.67341,-101.3557,KBGD,0
1601221434,FWS.AMA.20160122.BORGE.02.20160122.143435.1189732821,2,-44,146,10.0,33,2.68224,3.63,11.1,29.37,2.5722222,,,,,,11.4731079102,28.315885979,2.336,4.68411402099,35.67731,-101.40722,KBGD,0
1601291234,FWS.AMA.20160129.JARAN.01.20160129.123418.2190208399,40,-57,326,22.7777777778,17,8.04672,7.0,25.5555555556,10.0,9.38861103,,,,,,24.8321777344,11.1590951044,10.9922,5.84090489565,34.75583,-101.17944,CAPT2,0
1602081640,FWS.AMA.20160208.ROSIT.01.20160208.164019.3716011463,29,169,5,13.3333333333,19,7.15264,-5.78,12.2,24.78,9.77444436,,,,,,13.507409668,23.3826195452,7.97067,-4.38261954516,35.47028,-101.82889,KAMA,0
1602101314,FWS.AMA.20160210.SOUTH.02.20160210.131403.796658633,31,230,166,24.4444444444,12,8.9408,4.28,25.6,7.72,9.25999992,,,,,,26.3597351074,7.86277540309,7.18018,4.13722459691,35.47722,-101.85361,KAMA,0
1602100501,FWS.AMA.20160210.SOUTH.03.20160211.050124.2786978404,31,230,2099,18.8888888889,22,3.12928,14.28,25.6,7.72,9.25999992,,,,,,26.2252746582,7.83020579669,7.21079,14.1697942033,35.48278,-101.85361,KAMA,0
1602112031,FWS.AMA.20160211.SOUTH.02.20160211.203125.2121330348,31,230,11,18.8888888889,19,2.2352,1.76,19.4,17.24,3.08666664,,,,,,20.4381347656,17.1799184416,2.32538,1.82008155839,35.48278,-101.85361,KAMA,0
1602122156,FWS.AMA.20160212.SOUTH.02.20160212.215611.1445424314,31,230,4,20.0,23,4.4704,0.19,18.9,22.81,7.20222216,,,,,,19.2957702637,22.8448299806,5.58757,0.155170019384,35.48278,-101.85361,KAMA,0
1602161211,FWS.AMA.20160216.GALAH.03.20160216.121147.2937588941,5,-14,169,17.7777777778,24,4.4704,2.26,15.0,21.74,7.20222216,,,,,,15.3853088379,18.3966055042,6.33332,5.60339449583,35.64921,-101.38493,KBGD,0
1602261150,FWS.AMA.20160226.DOUBL.03.20160226.115037.3567898965,40,-57,190,18.8888888889,17,6.25856,-4.0,20.0,21.0,7.150777716,,,,,,19.1450744629,19.1209447712,7.51962,-2.12094477117,34.75583,-101.17944,CAPT2,0
