date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1105241528,FWS.AMA.20110524.AMAPR.01.20110524.152825.758871103,1,1,36,32.2222222222,6,11.62304,0.03,30.6,5.97,17.49111096,31.649987793,7.1072765813,1.1372765813,16.5,1.1072765813,29.161126709,7.50768268675,13.9177,-1.50768268675,35.224,-101.697,KAMA
1105011706,FWS.AMA.20110501.MULBE.01.20110501.170609.276129837,42,92,11,11.1111111111,28,10.72896,-1.32,12.2,29.32,11.31777768,,,,,,11.2264038086,32.2704682954,4.71871,-4.27046829538,35.17,-101.25778,KAMA
1011041309,FWS.AMA.20101104.MCCLE.01.20101104.130933.961650412,45,45,10,16.1111111111,18,7.15264,0.08,14.0,17.92,8.74555548,15.7518554688,18.2316321796,0.311632179583,8.16229,0.231632179583,14.9551635742,17.908119322,7.37553,0.091880677973,35.21917,-100.86583,KPPA
1011031854,FWS.AMA.20101103.LAKEM.01.20101103.185413.481971392,46,97,30,20.0,29,10.28192,2.82,20.0,26.18,11.31777768,19.6346984863,28.4757418931,2.29574189312,11.3,-0.524258106877,21.1956726074,25.2605731238,9.84719,3.73942687622,35.20917,-100.88333,KPPA
0911050757,FWS.AMA.20091105.BUSHL.01.20091105.075712,31,1,6,23.3333333333,26,8.04672,0.16,23.3,25.84,12.34666656,,,,,,21.3359008789,30.4377496197,12.0037,-4.43774961973,35.26,-102.06,KAMA
1405051547,FWS.AMA.20140505.PULLM.01.20140505.154737.2621873413,3,1,8,35.5555555556,4,8.9408,1.26,36.1,2.74,10.2888888,34.5878540039,5.37370131392,2.63370131392,9.71027,1.37370131392,33.5800720215,4.81511123232,9.141,-0.815111232315,35.18889,-101.70639,KAMA,0
1405121353,FWS.AMA.20140512.DOUBL.01.20140512.135314.12264528,7,-38,8,16.6666666667,28,13.4112,-1.0,17.7777777778,29.0,9.8361776928,15.6054016113,34.2472169109,5.24721691092,10.8462,6.24721691092,17.2441650391,29.644215349,11.7855,-1.64421534895,35.63883,-101.62067,CEDT2,0
1512211951,FWS.AMA.20151221.SUNDA.01.20151221.195156.965304940,43,13,783,12.7777777778,34,6.7056,10.48,15.8,23.52,8.74555548,,,,,,14.0165344238,32.0373218347,5.89197,1.96267816532,35.89222,-101.32666,KPPA,0
1601311559,FWS.AMA.20160131.RIVER.01.20160131.155941.1938503874,26,0,12,13.3333333333,35,5.36448,-7.58,11.7,42.58,6.17333328,,,,,,11.993951416,42.1008924823,5.37324,-7.10089248233,35.42967,-101.85183,KAMA,0
1602102124,FWS.AMA.20160210.998__.01.20160210.212412.3055828074,18,72,11,26.6666666667,5,4.4704,0.86,26.7,4.14,6.17333328,,,,,,25.436730957,6.51873325995,5.29225,-1.51873325995,35.85333,-102.53017,KDHT,0
1602222033,FWS.AMA.20160222.STINE.01.20160222.203325.2674351344,12,-23,7,13.3333333333,27,4.4704,2.0,13.8888888889,25.0,5.3656555092,,,,,,13.7581115723,22.6616796113,5.95855,4.33832038867,35.80469,-101.57838,CEDT2,0
1603211953,FWS.AMA.20160321.JOHNS.01.20160321.195317.414905995,16,15,11,27.2222222222,10,7.15264,2.0,28.8888888889,8.0,9.8361776928,,,,,,28.0152526855,9.57172513275,11.0999,0.428274867248,35.83083,-101.51583,CEDT2,0
1603231643,FWS.AMA.20160323.CANYO.01.20160323.164337.3528677421,25,1,9,17.7777777778,11,14.75232,0.94,18.0,10.06,16.97666652,,,,,,18.183190918,12.6111821251,16.1643,-1.61118212513,35.05194,-101.91028,KAMA,0
1603231539,FWS.AMA.20160323.BORGE.01.20160323.153923.3023979091,10,16,20,17.7777777778,12,16.98752,1.11,19.4,10.89,14.40444432,,,,,,18.991784668,11.2325222361,15.9622,0.767477763871,35.60439,-101.41734,KBGD,0
1603232053,FWS.AMA.20160323.AMARI.01.20160323.205329.3337712166,8,1,22,17.7777777778,11,13.85824,0.94,18.0,10.06,16.97666652,,,,,,18.4510742188,11.8685669584,14.2552,-0.868566958449,35.25,-101.8,KAMA,0
1603232108,FWS.AMA.20160323.CRUTC.01.20160323.210834.1347103821,18,-9,30,17.7777777778,11,26.8224,1.23,20.4,9.77,18.0055554,,,,,,18.7711730957,11.8153305919,15.6927,-0.815330591897,35.62867,-101.20267,KPPA,0
1603241453,FWS.AMA.20160324.CRUTC.01.20160324.145302.3476022881,18,248,11,15.5555555556,18,6.7056,-2.39,15.7,20.39,11.31777768,,,,,,15.2708679199,21.277725251,9.35555,-3.27772525101,35.62867,-101.20267,KPPA,0
1603241357,FWS.AMA.20160324.I40FI.01.20160324.135728.3632580377,27,14,22,16.6666666667,17,8.9408,-1.0,15.5555555556,18.0,8.4934777044,,,,,,15.3764587402,21.3973417421,9.85759,-4.39734174209,35.22762,-100.34352,WHRT2,0
1606241838,FWS.AMA.20160624.BLESS.02.20160624.183851.2154331925,32,159,17,36.1111111111,29,8.9408,5.91,36.2,23.09,9.25999992,,,,,,34.3955932617,28.9207115,9.89824,0.0792884999629,34.98278,-102.00028,KHRX,0
1606241722,FWS.AMA.20160624.BLESS.01.20160624.172242.3669503539,32,159,10,36.6666666667,26,8.9408,2.91,36.2,23.09,9.25999992,,,,,,34.3955932617,28.9207115,9.89824,-2.92071150004,34.98278,-102.00028,KHRX,0
