date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091524,FWS.APX.20140409.MERRI.02.20140409.152412.1600747101,14,-24,11,12.7777777778,22,4.4704,-4.0,12.2222222222,26.0,5.813222172,11.844934082,24.6167901417,-1.38320985827,4.1,2.61679014173,13.6862731934,21.1180984192,4.85183,0.881901580821,44.56507,-84.21953,MMOM4
1404091240,FWS.APX.20140409.MERRI.01.20140409.124033.1407772402,16,-117,170,12.2222222222,28,4.4704,2.0,13.3333333333,26.0,3.575388858,12.2499938965,30.4503971871,4.45039718708,4.30574,2.45039718708,13.4321228027,30.8167613808,5.02828,-2.81676138077,44.00899,-84.00342,AGRM4
1312161434,FWS.APX.20131216.SUNRI.01.20131216.143401.3411799564,22,53,9,-7.77777777778,56,2.2352,6.0,-4.44444444444,50.0,3.1278221952,-7.75000610352,68.821171662,18.821171662,2.6121,12.821171662,,,,,44.64643,-84.42412,RSCM4
1312131432,FWS.APX.20131213.MEADO.01.20131213.143247.339740982,19,-15,22,-7.77777777778,66,2.2352,14.0,-8.88888888889,52.0,3.1278221952,-9.49906005859,67.1045621393,15.1045621393,3.1,1.10456213925,,,,,44.55725,-84.30198,MMOM4
1312121331,FWS.APX.20131212.RAVEN.01.20131212.133101.707992044,3,-15,89,-9.44444444444,70,4.91744,12.0,-8.33333333333,58.0,5.813222172,-9.0999206543,61.8859901962,3.88599019619,6.2,-8.11400980381,,,,,44.64442,-84.12249,MMOM4
1312111402,FWS.APX.20131211.RAVEN.01.20131211.140246.3206296628,3,-15,118,-9.44444444444,63,4.4704,10.0,-9.44444444444,53.0,6.7032110532,-9.34982910156,55.2294973033,2.22949730334,5.49558,-7.77050269666,,,,,44.64442,-84.12249,MMOM4
1312091318,FWS.APX.20131209.COYOT.01.20131209.131826.2919016152,16,-58,222,-2.77777777778,65,5.81152,5.0,-2.77777777778,60.0,7.5983443788,-2.75000610352,65.2724831169,5.27248311691,7.2,0.272483116911,,,,,44.53,-84.19,MMOM4
1312051338,FWS.APX.20131205.MACKL.01.20131205.133824.1943829974,12,-15,142,4.44444444444,66,4.91744,15.0,1.66666666667,51.0,7.150777716,0.292016601563,67.3717210877,16.3717210877,5.7,1.37172108775,,,,,44.5726,-84.06102,MMOM4
1312041355,FWS.APX.20131204.MACKL.01.20131204.135524.2594549577,10,-15,10,5.0,92,4.02336,-4.0,2.77777777778,96.0,4.0229555208,4.45000610352,95.8765701923,-0.123429807728,5.01893,3.87657019227,,,,,44.59,-84.09,MMOM4
1312031346,FWS.APX.20131203.MACKL.01.20131203.134651.2672576970,10,-15,74,0.0,85,2.68224,-4.0,-2.77777777778,89.0,3.1278221952,-0.0535034179687,84.9669059639,-4.03309403611,3.1,-0.0330940361122,,,,,44.59,-84.09,MMOM4
1310291422,FWS.APX.20131029.MIOPI.01.20131029.142257.521956907,10,-52,38,4.44444444444,50,2.68224,9.0,5.0,41.0,2.6802555324,4.45000610352,50.033217622,9.03321762201,2.1,0.0332176220144,4.54458007813,42.1722640555,3.07958,7.82773594448,44.59,-84.09,MMOM4
1310281255,FWS.APX.20131028.MIOPI.01.20131028.125514.944849055,10,-52,125,3.88888888889,38,3.12928,1.0,5.55555555556,37.0,3.575388858,3.94307861328,45.4400158123,8.44001581231,4.6,7.44001581231,4.85970458984,42.604477264,3.29516,-4.60447726402,44.59,-84.09,MMOM4
