date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404031232,FWS.BMX.20140403.C29__.01.20140403.123204.3633396856,16,3,13,26.1111111111,46,4.4704,14.0,29.4444444444,32.0,0.4475666628,27.7546020508,44.2223144795,12.2223144795,6.7,-1.77768552053,28.5547729492,42.182262731,6.63248,3.817737269,32.9466,-87.34479,OKMA1
1404031220,FWS.BMX.20140403.C130_.01.20140403.122055.3297459427,7,49,160,26.6666666667,43,4.4704,6.0,28.8888888889,37.0,1.3426999884,27.9992004395,45.0247233548,8.02472335475,6.7,2.02472335475,28.571496582,40.1480853099,5.91581,2.85191469015,32.75942,-87.03446,TT242
1404031225,FWS.BMX.20140403.WESTE.01.20140403.122526.1212023698,16,-15,15,25.5555555556,42,4.02336,-2.0,27.7777777778,44.0,2.6802555324,26.2107177734,39.2873975042,-4.71260249585,5.22961,-2.71260249585,25.9418884277,50.525918214,3.88573,-8.52591821397,33.79889,-85.61472,LGLA1
1404031045,FWS.BMX.20140403.SLICK.01.20140403.104526.337797212,19,-37,195,25.5555555556,51,5.81152,2.85,28.0,48.15,5.1444444,26.149987793,50.1737058912,2.0237058912,7.7,-0.826294108799,25.8883300781,57.2445844318,5.05294,-6.24458443181,34.07861,-87.27833,KJFX
1404031233,FWS.BMX.20140403.TIPTO.01.20140403.123312.3846230828,1,-73,147,25.5555555556,43,4.02336,-4.0,26.1111111111,47.0,2.6802555324,26.5508972168,39.8872462878,-7.11275371218,5.1,-3.11275371218,25.3083740234,52.5695308683,3.70089,-9.56953086831,33.66111,-85.62194,SHLA1
1404031224,FWS.BMX.20140403.BIGJO.01.20140403.122446.3234951507,32,-112,96,27.2222222222,36,5.36448,-7.0,29.4444444444,43.0,2.2326888696,27.4041381836,39.5080005309,-3.49199946914,6.7,3.50800053086,27.6191345215,41.3519463376,4.25865,-5.35194633763,33.15583,-86.17583,TLDA1
1404021051,FWS.BMX.20140402.COMP4.01.20140402.105129.2522137017,19,-26,249,27.2222222222,45,4.02336,-7.0,27.2222222222,52.0,0.4475666628,26.1932006836,46.613702674,-5.38629732605,5.1,1.61370267395,24.7632080078,59.6147404733,5.67602,-14.6147404733,32.93192,-87.37358,OKMA1
1404021041,FWS.BMX.20140402.SLICK.01.20140402.104109.4018833873,19,-37,199,27.2222222222,43,4.02336,-8.05,27.0,51.05,4.11555552,25.758416748,44.5179417802,-6.53205821981,5.1,1.51794178019,23.5668273926,59.2146585223,4.18194,-16.2146585223,34.07861,-87.27833,KJFX
1404021034,FWS.BMX.20140402.COMPA.01.20140402.103446.3334351280,7,36,266,27.7777777778,36,3.57632,-0.0,29.4444444444,36.0,2.6802555324,27.0024047852,37.23636447,1.23636447004,4.6,1.23636447004,28.9883666992,42.0895222389,3.61522,-6.08952223889,32.46139,-85.62639,TKGA1
1404021231,FWS.BMX.20140402.WESTE.01.20140402.123158.754777915,16,-15,149,26.6666666667,32,3.12928,-10.0,27.2222222222,42.0,2.6802555324,25.2081542969,35.7987747265,-6.2012252735,3.6,3.7987747265,26.1886230469,45.5544798949,3.57147,-13.5544798949,33.79889,-85.61472,LGLA1
