date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021247,FWS.BMX.20140402.TOUGH.01.20140402.124755.4155681642,27,-46,13,26.6666666667,30,3.12928,-16.0,25.5555555556,46.0,4.0229555208,26.3526855469,33.1934486729,-12.8065513271,3.577,3.19344867291,25.9509216309,45.5726775346,3.285,-15.5726775346,33.86972,-85.50444,SHLA1
1404011353,FWS.BMX.20140401.CANTG.01.20140401.135355.1072006532,27,-46,19,26.1111111111,26,3.12928,17.0,27.2222222222,9.0,3.575388858,25.2049804688,27.1622250285,18.1622250285,3.6,1.16222502845,26.9993835449,13.9106788725,3.65015,12.0893211275,33.86972,-85.50444,SHLA1
1403111035,FWS.BMX.20140311.BRUSH.01.20140311.103526.2089059935,8,16,2,23.8888888889,48,3.57632,1.0,23.3333333333,47.0,2.6802555324,23.3901306152,46.2579588507,-0.742041149258,4.93815,-1.74204114926,23.2136169434,50.5853740989,2.17825,-2.58537409887,34.28917,-87.26633,BHFA1
1401271344,FWS.BMX.20140127.SHOEB.01.20140127.134456.3668106948,23,-72,3,1.66666666667,35,6.7056,8.6,9.0,26.4,6.68777772,1.41564331055,34.7810360877,8.38103608774,8.2,-0.218963912261,,,,,34.10297,-87.39642,KJFX
1401241240,FWS.BMX.20140124.MTLON.01.20140124.124003.199578293,1,-137,6,-3.33333333333,17,3.12928,-1.0,1.66666666667,18.0,2.2326888696,-1.0923828125,19.0628250376,1.06282503759,2.6762,2.06282503759,,,,,33.7133,-85.7424,LGLA1
1401211626,FWS.BMX.20140121.LONGL.01.20140121.162654.2077654513,9,-76,7,7.77777777778,46,7.15264,2.0,8.33333333333,44.0,4.4705221836,5.83373413086,46.8941610091,2.89416100905,10.0674,0.894161009051,,,,,33.38,-86.015,TLDA1
1401201724,FWS.BMX.20140120.BARBA.01.20140120.172427.1512149829,11,-91,10,16.1111111111,26,3.12928,6.0,20.0,20.0,1.7902666512,15.1207214355,33.7940610542,13.7940610542,3.6,7.79406105419,,,,,33.3445,-86.0375,TLDA1
1401202025,FWS.BMX.20140120.LONGL.01.20140120.202535.364183146,9,-76,34,17.7777777778,24,3.12928,4.0,20.0,20.0,1.7902666512,15.2714477539,34.5323221566,14.5323221566,3.6,10.5323221566,,,,,33.38011,-86.01486,TLDA1
1312191350,FWS.BMX.20131219.FORNE.01.20131219.135030.4181323381,10,-43,2,16.6666666667,34,2.2352,14.0,20.0,20.0,1.7902666512,13.9546447754,33.9882583534,13.9882583534,2.6,-0.011741646557,,,,,33.80472,-85.71611,LGLA1
1312181526,FWS.BMX.20131218.CHIMN.01.20131218.152652.92962696,10,-43,31,12.2222222222,30,0.89408,7.0,13.8888888889,23.0,3.1278221952,11.3418518066,32.3872256396,9.38722563956,2.1,2.38722563956,,,,,33.80472,-85.71611,LGLA1
1311251311,FWS.BMX.20131125.HORNM.01.20131125.131131.2959470256,24,-182,7,7.77777777778,22,3.57632,-11.0,10.0,33.0,1.7902666512,8.87062988281,26.6682806389,-6.33171936106,4.6,4.66828063894,7.61077270508,46.144153651,5.89629,-24.144153651,33.22444,-86.08056,TLDA1
1311241315,FWS.BMX.20131124.HORNM.01.20131124.131533.808043012,24,-182,7,7.22222222222,17,5.36448,-5.0,7.77777777778,22.0,2.6802555324,7.28618774414,17.0450675644,-4.95493243556,6.2,0.0450675644398,6.50838623047,25.486592397,5.48504,-8.48659239697,33.22444,-86.08056,TLDA1
