date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091236,FWS.BOI.20140409.POLEM.01.20140409.123657.971624490,38,-120,324,17.7777777778,35,6.7056,-3.0,16.1111111111,38.0,4.0229555208,15.7086730957,33.4331438455,-4.56685615445,2.6,-1.56685615445,13.4403930664,54.2711086553,6.20806,-19.2711086553,44.67461,-116.85389,WEFI1
1404081625,FWS.BOI.20140408.POLEM.02.20140408.162555.2703285284,38,-120,0,22.2222222222,28,2.2352,-10.0,18.3333333333,38.0,5.813222172,19.7167907715,30.9268590021,-7.07314099795,3.1,2.92685900205,18.2776123047,44.5677089461,3.37402,-16.5677089461,44.67461,-116.85389,WEFI1
1404081227,FWS.BOI.20140408.POLEM.01.20140408.122756.3935528705,38,-120,333,22.2222222222,28,2.2352,-10.0,18.3333333333,38.0,5.813222172,19.7167907715,30.9268590021,-7.07314099795,3.1,2.92685900205,18.2776123047,44.5677089461,3.37402,-16.5677089461,44.67461,-116.85389,WEFI1
1404081152,FWS.BOI.20140408.TWINS.01.20140408.115218.973881340,32,-140,308,24.4444444444,23,2.68224,-4.11,23.3,27.11,3.08666664,21.893762207,24.6040984112,-2.50590158885,3.23532,1.60409841115,22.6547485352,24.7677287815,2.47444,-1.76772878147,43.7904,-117.2629,KONO
1404071108,FWS.BOI.20140407.TWINS.01.20140407.110817.852710085,28,-47,352,20.5555555556,28,2.68224,-2.0,21.1111111111,30.0,2.2326888696,19.2989746094,29.5346958712,-0.465304128753,2.62333,1.53469587125,20.2679992676,29.6744169853,2.53099,-1.67441698526,43.83444,-117.28944,TS802
1403161655,FWS.BOI.20140316.JACKI.01.20140316.165558.1827068962,2,0,15,20.0,11,3.12928,-1.0,20.5555555556,12.0,7.5983443788,19.5497070313,15.3913659839,3.39136598388,6.7,4.39136598388,21.534173584,8.62129027945,10.1018,2.37870972055,42.6346,-117.41764,GSFO3
1403151846,FWS.BOI.20140315.JACKI.04.20140315.184645.2780610640,13,136,16,18.8888888889,13,2.68224,4.74,18.9,8.26,5.1444444,15.5030151367,20.1152634024,11.8552634024,4.1,7.11526340245,17.9532409668,7.64281180775,1.94763,5.35718819225,42.62156,-117.71083,KREO
1403151511,FWS.BOI.20140315.JACKI.02.20140315.151102.678685860,16,94,169,17.7777777778,14,2.68224,3.0,15.5555555556,11.0,1.7902666512,14.8755737305,21.00544457,10.00544457,3.6,7.00544457002,16.9483276367,7.52354054221,2.25256,6.47645945779,42.62107,-117.59233,GSFO3
1403151214,FWS.BOI.20140315.OWYHE.01.20140315.121408.174798563,47,228,346,17.7777777778,16,2.2352,7.74,18.9,8.26,5.1444444,16.4610229492,23.0956995609,14.8356995609,3.42848,7.09569956092,18.4706054688,9.99365049387,2.59228,6.00634950613,43.00558,-117.71818,KREO
1403141418,FWS.BOI.20140314.OWYHE.02.20140314.141816.2843105030,47,228,222,17.2222222222,28,4.4704,8.79,15.6,19.21,10.80333324,15.1536499023,30.09228176,10.88228176,6.52417,2.09228175997,16.375970459,23.4935088544,9.69577,4.50649114561,43.00558,-117.71818,KREO
1403141223,FWS.BOI.20140314.JACKI.02.20140314.122356.3179411124,16,94,337,15.0,27,4.4704,-12.0,12.2222222222,39.0,7.150777716,13.775567627,30.3351425722,-8.66485742784,7.62874,3.33514257216,14.6867614746,20.9392423118,9.16905,6.0607576882,42.62107,-117.59233,GSFO3
1403141206,FWS.BOI.20140314.TUBSP.03.20140314.120650.3052663923,49,106,354,16.1111111111,30,3.57632,10.79,15.6,19.21,10.80333324,14.4512573242,31.5129886404,12.3029886404,6.20056,1.51298864043,15.8579650879,21.9210555672,10.2917,8.07894443282,43.03227,-117.79949,KREO
1402261843,FWS.BOI.20140226.NORTH.01.20140226.184347.1656991877,0,12,7,15.5555555556,38,1.78816,-3.0,15.5555555556,41.0,2.2326888696,13.5259033203,39.5579610734,-1.4420389266,2.74384,1.5579610734,14.2400146484,52.0777588,3.53856,-14.0777588,42.85113,-118.88394,TS674
1402251556,FWS.BOI.20140225.WESTC.01.20140225.155617.3929704004,24,204,124,12.7777777778,48,2.2352,-16.0,11.6666666667,64.0,3.1278221952,9.91729125977,60.6585303079,-3.34146969207,3.1,12.6585303079,8.85112915039,73.3436309249,3.33555,-25.3436309249,44.12381,-117.99111,KBFO3
1402251551,FWS.BOI.20140225.NORTH.01.20140225.155159.201835855,0,12,9,19.4444444444,30,1.34112,-5.0,17.7777777778,35.0,3.575388858,15.3662963867,35.3502334177,0.350233417737,1.85459,5.35023341774,16.8487182617,46.947932622,2.56571,-16.947932622,42.85113,-118.88394,TS674
1402051708,FWS.BOI.20140205.NORTH.01.20140205.170816.1396497071,0,12,68,0.555555555556,48,4.91744,-7.0,-2.77777777778,55.0,4.0229555208,-1.30151977539,48.2770177042,-6.72298229579,1.9274,0.277017704206,-2.22302856445,66.5112506207,3.3676,-18.5112506207,42.85113,-118.88394,TS674
1402041647,FWS.BOI.20140204.NORTH.01.20140204.164716.2697311361,0,12,17,2.22222222222,41,2.2352,2.0,-1.11111111111,39.0,3.575388858,-2.5741027832,51.6909383753,12.6909383753,2.30451,10.6909383753,-1.6160949707,60.0070582441,2.76577,-19.0070582441,42.85113,-118.88394,TS674
