date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091050,FWS.BOX.20140409.SMOOT.01.20140409.105003.1551616247,6,10,310,10.5555555556,50,5.81152,8.62,12.8,41.38,8.74555548,8.84041748047,60.513653987,19.133653987,5.23553,10.513653987,9.64373168945,63.779927027,5.53934,-13.779927027,41.25069,-70.1341,KACK
1404091125,FWS.BOX.20140409.PENIK.01.20140409.112515.1800627480,24,15,155,8.88888888889,56,6.25856,32.05,17.2,23.95,8.74555548,8.72194824219,58.638336009,34.688336009,5.03414,2.63833600897,12.7173095703,40.6617668662,5.86084,15.3382331338,41.46,-70.93,KEWB
1404071126,FWS.BOX.20140407.WAQUO.01.20140407.112634.2746490011,8,32,154,12.2222222222,48,6.25856,20.41,13.0,27.59,6.17333328,10.7276550293,50.7266005087,23.1366005087,6.34551,2.72660050868,8.47368774414,55.4182203235,4.22523,-7.41822032348,41.5755,-70.52167,KFMH
1404031410,FWS.BOX.20140403.RAMPA.01.20140403.141025.3599580892,8,9,0,10.0,51,6.25856,6.88,9.4,44.12,8.23111104,7.44838867188,52.7958286526,8.67582865264,4.7984,1.79582865264,5.84645996094,59.7017832014,6.53648,-8.70178320141,41.25846,-70.16339,KACK
1403190918,FWS.BOX.20140319.FACRA.01.20140319.091805.3597576534,4,9,282,5.0,62,6.25856,13.66,6.0,48.34,6.68777772,,,,,,5.0469909668,58.1815570979,4.22256,3.81844290211,41.63,-70.56,KFMH
1403180931,FWS.BOX.20140318.FACRA.01.20140318.093141.3666258922,4,9,269,1.66666666667,47,5.36448,3.12,2.0,43.88,6.17333328,0.649102783203,46.0060594228,2.12605942275,5.1,-0.993940577245,2.04345092773,47.0829259419,3.59179,-0.0829259419473,41.63,-70.56,KFMH
1403111233,FWS.BOX.20140311.FACRA.01.20140311.123307.2055254358,3,9,87,11.6666666667,58,5.81152,22.42,14.0,35.58,5.1444444,10.7796875,51.7083534847,16.1283534847,5.40365,-6.29164651535,13.0543457031,40.6263680246,4.28303,17.3736319754,41.641,-70.5607,KFMH
1402251439,FWS.BOX.20140225.TEST_.02.20140225.143927.532430837,6,8,21,-1.11111111111,38,5.81152,5.16,0.0,32.84,6.68777772,-1.91702880859,38.5703761622,5.73037616223,5.95225,0.570376162226,-2.23636474609,47.7893750724,3.11657,-9.78937507243,41.9,-71.09028,KTAN
1311211112,FWS.BOX.20131121.SMOOT.01.20131121.111229.1888479880,5,7,228,8.33333333333,51,4.02336,-2.45,8.3,53.45,3.60111108,7.80141601563,53.3001711616,-0.149828838408,3.1,2.30017116159,8.45507202148,54.3528324568,2.66476,-3.35283245683,41.24743,-70.12483,KACK
1311201341,FWS.BOX.20131120.FACRA.01.20131120.134134.1299215208,3,14,139,5.0,37,6.25856,-3.87,3.0,40.87,6.68777772,4.79842529297,35.9219830199,-4.94801698015,6.7,-1.07801698015,3.47609863281,42.4344933721,5.3493,-5.43449337208,41.64,-70.56,KFMH
