date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404031004,FWS.BRO.20140403.TEXAS.01.20140403.100422.1534459090,16,3,4,26.6666666667,72,7.59968,-9.55,25.6,81.55,8.74555548,26.2176757813,73.7207303255,-7.82926967455,8.70615,1.72073032545,24.3781066895,85.3348897283,7.73225,-13.3348897283,27.542,-97.28,KNGP
1402281455,FWS.BRO.20140228.BOBCA.01.20140228.145500.3928184666,3,-7,125,25.0,63,8.04672,14.0,28.3333333333,49.0,8.0459110416,25.2112365723,64.742237451,15.742237451,8.2,1.74223745105,23.717401123,67.8820998299,9.46135,-4.88209982994,26.25611,-97.36611,ATRT2
1402281800,FWS.BRO.20140228.BOBCA.02.20140228.180039.3896913898,3,4,10,25.0,63,8.49376,14.0,28.3333333333,49.0,8.0459110416,25.2112365723,64.742237451,15.742237451,8.2,1.74223745105,23.717401123,67.8820998299,9.46135,-4.88209982994,26.25611,-97.36611,ATRT2
1402281530,FWS.BRO.20140228.BOBCA.01.20140228.153000.483857152,3,-7,90,25.0,63,7.59968,14.0,28.3333333333,49.0,8.0459110416,25.2112365723,64.742237451,15.742237451,8.2,1.74223745105,23.717401123,67.8820998299,9.46135,-4.88209982994,26.25611,-97.36611,ATRT2
1402211340,FWS.BRO.20140221.BROWN.02.20140221.134053.1552342248,2,-8,20,22.2222222222,55,7.15264,13.86,22.8,41.14,8.74555548,22.8876586914,43.5777271635,2.43772716347,7.70627,-11.4222728365,21.79921875,44.5528301992,5.76245,10.4471698008,25.9,-97.4,KBRO
1402212041,FWS.BRO.20140221.BROWN.01.20140220.204111.3640248755,2,-8,401,22.7777777778,43,7.59968,1.86,22.8,41.14,8.74555548,22.8876586914,43.5777271635,2.43772716347,7.70627,0.577727163475,21.79921875,44.5528301992,5.76245,-1.55283019922,25.9,-97.4,KBRO
1402051443,FWS.BRO.20140205.MARIN.01.20140205.144304.4201142347,2,12,77,19.4444444444,49,11.176,-26.0,14.4444444444,75.0,4.9180888464,20.2090393066,46.9545098682,-28.0454901318,7.0357,-2.04549013181,11.0532470703,77.7736360696,6.75789,-28.7736360696,26.08333,-98.13667,LWRT2
1401151110,FWS.BRO.20140115.BAHIA.03.20140115.111036.240884179,9,-1,230,18.8888888889,31,9.38784,-4.58,18.3,35.58,8.23111104,18.85,27.4551785251,-8.12482147494,10.2754,-3.54482147494,,,,,26.07833,-97.31444,KPIL
1401152146,FWS.BRO.20140115.BAHIA.02.20140114.214606.2319567134,9,-1,406,18.8888888889,28,10.72896,-7.58,18.3,35.58,8.23111104,18.85,27.4551785251,-8.12482147494,10.2754,-0.544821474945,,,,,26.07833,-97.31444,KPIL
1311221411,FWS.BRO.20131122.BRUSH.01.20131122.141132.1028258650,4,-33,169,28.3333333333,59,5.81152,-1.0,31.6666666667,60.0,6.2607888348,30.550012207,57.550432599,-2.44956740103,5.7,-1.44956740103,29.0020385742,67.0655116049,9.92965,-8.06551160489,26.07361,-98.19917,LWRT2
1311211250,FWS.BRO.20131121.STOVE.01.20131121.125047.833470658,3,-13,190,28.8888888889,70,8.49376,7.42,31.0,62.58,8.74555548,28.1926818848,67.7418165679,5.16181656791,8.72259,-2.25818343209,27.5862365723,74.3888151456,6.88231,-4.38881514556,26.15722,-97.30083,KPIL
1311201903,FWS.BRO.20131120.MORAN.03.20131120.190351.4292277543,3,-1,27,27.7777777778,70,4.4704,0.02,28.0,69.98,6.17333328,26.9443603516,72.8589824533,2.87898245327,4.99619,2.85898245327,26.4529052734,77.4753622454,4.5207,-7.47536224541,26.15722,-97.30083,KPIL
