date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1305161509,FWS.BTV.20130516.MAYOM.01.20130516.150930.1368716970555,31,-270,111,20.0,25,7.59968,3.47,23.0,21.53,10.2888888,17.4900146484,34.0931947674,12.5631947674,10.3,9.09319476742,,,,,43.79425,-72.7876,KRUT
1305161421,FWS.BTV.20130516.WIDOW.01.20130516.142155.1368714115227,43,-170,39,18.3333333333,24,8.9408,2.89,22.2,21.11,8.74555548,16.885949707,35.0287658955,13.9187658955,10.1153,11.0287658955,,,,,44.02222,-73.04694,KMPV
1305151323,FWS.BTV.20130515.MAYOM.01.20130515.132337.1368624217445,31,-274,37,17.7777777778,35,9.38784,1.35,16.0,33.65,8.74555548,15.490625,35.0060712662,1.35607126616,8.84311,0.00607126615851,15.7613464355,29.3010828439,8.57745,5.69891715605,43.79425,-72.7946,KRUT
1305101132,FWS.BTV.20130510.PEAVI.01.20130510.113254.1368185574045,32,3,58,22.2222222222,46,3.57632,7.76,23.0,38.24,3.60111108,22.6176696777,46.2602342792,8.02023427923,2.6,0.260234279232,22.3870483398,52.1111208415,3.0867,-6.11112084154,43.79056,-72.76444,KRUT
1305101547,FWS.BTV.20130510.MAYO_.01.20130510.154708.1368200828050,31,-226,27,22.2222222222,44,3.12928,5.76,23.0,38.24,3.60111108,22.459954834,45.9690112872,7.72901128718,2.6,1.96901128718,22.7399841309,49.3504105917,3.50729,-5.35041059171,43.79028,-72.79611,KRUT
1305101343,FWS.BTV.20130510.PEAVI.03.20130510.134334.1368193414807,33,3,3,21.1111111111,49,2.68224,10.76,23.0,38.24,3.60111108,22.7278991699,46.015343988,7.77534398804,2.6,-2.98465601196,22.5711914063,53.3467676649,2.74898,-4.34676766489,43.79033,-72.73083,KRUT
1305090946,FWS.BTV.20130509.WANAK.01.20130509.094618.1368092778560,1,-47,434,18.3333333333,52,4.4704,8.0,22.2222222222,44.0,0.8951333256,18.5415283203,50.7224195496,6.72241954957,3.6,-1.27758045043,20.1139465332,50.4556166794,1.60329,1.54438332058,44.15722,-74.9,WNKN6
1305021328,FWS.BTV.20130502.MARTE.01.20130502.132811.1367501291281,35,-134,272,22.2222222222,23,3.57632,-0.7,26.0,23.7,11.83222212,21.7967163086,23.0113681662,-0.688631833755,3.5473,0.0113681662449,24.3620849609,23.9579001265,8.65919,-0.957900126517,43.83837,-72.81093,KRUT
1305021328,FWS.BTV.20130502.MAYOM.01.20130502.132834.1367501314854,31,-211,272,22.2222222222,22,3.12928,-1.7,26.0,23.7,11.83222212,21.6247497559,22.6843888689,-1.01561113109,3.28635,0.684388868908,24.3970581055,23.5558721571,8.80717,-1.55587215713,43.79078,-72.79487,KRUT
1305021401,FWS.BTV.20130502.NATUR.01.20130502.140111.1367503271749,39,-254,239,21.1111111111,25,3.57632,1.37,25.6,23.63,4.62999996,20.7468811035,25.2034575071,1.57345750715,3.79922,0.20345750715,20.8835388184,26.2525536235,10.0522,-1.25255362347,43.9925,-72.96611,KMPV
1304261328,FWS.BTV.20130426.ROCHE.01.20130426.132848.1366982928609,39,86,3,11.6666666667,36,2.68224,-1.05,10.6,37.05,3.08666664,11.1758361816,37.4247581356,0.374758135592,2.6,1.42475813559,9.45006713867,35.3347624494,5.61537,0.66523755057,43.89602,-72.81923,KMPV
1206151427,FWS.BTV.20120615.GUARD.01.20120615.142724.494010361,20,-300,2,25.5555555556,31,2.2352,3.69,26.0,27.31,4.62999996,,,,,,24.5974365234,36.5945617145,3.31886,-5.59456171449,43.34833,-72.98194,KRUT
1205071131,FWS.BTV.20120507.TANNE.01.20120507.113132.683622025,49,-30,269,22.7777777778,31,4.02336,17.0,25.0,14.0,1.3426999884,20.550012207,31.279903096,17.279903096,4.1405,0.279903095964,23.5302978516,18.0057254876,3.71241,12.9942745124,44.5,-75.26,BFAN6
1204301423,FWS.BTV.20120430.VICTO.02.20120430.142353.903836911,17,-61,2,15.5555555556,16,4.4704,-5.0,16.6666666667,21.0,1.3426999884,13.1450134277,24.5901972017,3.59019720168,3.1,8.59019720168,13.1428466797,33.1718059223,3.83694,-17.1718059223,44.55083,-71.78667,LNCN3
1204191018,FWS.BTV.20120419.WHIPP.03.20120419.101823.608190086,18,-28,297,19.4444444444,26,4.02336,2.22,20.0,23.78,5.1444444,19.5841308594,26.4484653843,2.66846538427,4.22151,0.448465384275,20.0769287109,25.732310461,6.25313,0.267689539013,43.67333,-73.065,KRUT
1204131344,FWS.BTV.20120413.DEADC.02.20120413.134432.496067183,40,198,11,18.3333333333,21,5.81152,6.0,16.6666666667,15.0,3.1278221952,16.649987793,21.366875561,6.36687556097,5.7,0.366875560974,19.0362792969,21.1894766786,3.65368,-0.189476678628,44.04143,-73.32971,SRON6
1204071912,FWS.BTV.20120407.PAWLE.01.20120405.191208.300717734,14,-45,432,10.5555555556,28,6.7056,2.0,10.5555555556,26.0,4.9180888464,8.03179321289,34.2426169507,8.24261695068,6.2,6.24261695068,10.1227050781,33.0114807837,6.96761,-5.01148078374,43.3451,-73.1654,DBYV1
1204051910,FWS.BTV.20120405.DEADC.01.20120404.191010.706100021,40,204,340,8.33333333333,50,6.7056,13.0,5.55555555556,37.0,3.1278221952,8.85,27.589718725,-9.41028127501,5.7,-22.410281275,6.33504638672,35.2239558045,8.29903,14.7760441955,44.0415,-73.3295,SRON6
1203211458,FWS.BTV.20120321.CUTTS.01.20120321.145815.974369691,32,-201,92,26.6666666667,33,3.12928,-3.3,25.0,36.3,2.5722222,26.0731445313,33.2487444619,-3.05125553813,3.11205,0.248744461865,24.6161743164,38.9768231164,2.44528,-5.97682311643,44.149,-72.96133,KMPV
1203201538,FWS.BTV.20120320.FRENC.01.20120320.153832.952221761,40,-185,52,22.2222222222,42,2.2352,8.08,25.0,33.92,2.5722222,22.3563171387,42.1173523737,8.19735237369,2.12445,0.117352373687,24.6373840332,41.4613317242,5.9889,0.538668275796,44.05967,-73.03,KMPV
1105121223,FWS.BTV.20110512.RSBUR.01.20110512.122351.333762402,1,-48,307,25.0,32,3.57632,16.0,26.1111111111,16.0,1.7902666512,21.1229187012,31.725543917,15.725543917,3.6,-0.27445608302,24.8731628418,20.5077557465,1.96441,11.4922442535,44.156,-74.8998,WNKN6
1105121222,FWS.BTV.20110512.BULLT.01.20110512.122215.275455216,13,13,158,21.6666666667,36,2.2352,-3.0,21.6666666667,39.0,2.6802555324,19.6924987793,36.6454871359,-2.35451286412,2.13339,0.645487135876,18.1139160156,45.6054700634,3.40173,-9.60547006344,44.65053,-71.68105,NLHV1
1105101327,FWS.BTV.20110510.LEEFI.01.20110510.132726.922611544,17,-92,93,13.3333333333,53,7.15264,8.0,17.2222222222,45.0,0.0,,,,,,14.7362304688,42.3398573503,5.74985,10.6601426497,44.55417,-71.78444,LNCN3
1105021132,FWS.BTV.20110502.WHIPP.01.20110501.113215.763358170,18,-28,208,17.2222222222,44,7.15264,6.93,20.0,37.07,6.17333328,16.8235717773,49.1363141008,12.0663141008,5.7,5.13631410085,17.6857543945,48.4790359441,3.99294,-4.47903594412,43.67333,-73.065,KRUT
1104221257,FWS.BTV.20110422.NOTCH.01.20110422.125748.893272858,40,-188,153,10.5555555556,24,3.57632,5.07,11.7,18.93,3.60111108,10.7948547363,24.0846474898,5.15464748983,3.6,0.0846474898256,10.6201721191,30.6715689782,5.549,-6.6715689782,44.0332,-73.0145,KMPV
1004241238,FWS.BTV.20100424.BEAVE.01.20100424.123846,14,-269,172,15.5555555556,20,3.57632,-1.79,18.0,21.79,5.1444444,,,,,,,,,,43.415,-72.87,KRUT
1004231345,FWS.BTV.20100423.VOTER.01.20100423.134555,43,-232,15,14.4444444444,22,6.7056,-3.82,14.0,25.82,7.20222216,9.59157714844,29.2289873846,3.4089873846,6.83645,7.2289873846,,,,,43.92192,-73.0244,KRUT
1004141302,FWS.BTV.20100414.SANDB.01.20100414.130209,13,43,2,17.2222222222,17,6.7056,-1.0,17.2222222222,18.0,4.0229555208,17.0941711426,17.5408875103,-0.45911248972,6.57016,0.54088751028,,,,,44.61,-73.21,ESXV1
1004061338,FWS.BTV.20100406.BLUEB.02.20100406.133837,38,-287,82,13.3333333333,49,3.57632,-1.93,14.0,50.93,6.17333328,14.9500061035,47.0520839675,-3.87791603254,2.81429,-1.94791603254,,,,,43.873,-73.01,KRUT
1004051339,FWS.BTV.20100405.KENNE.01.20100405.133915,35,-102,141,17.2222222222,29,6.7056,5.01,19.4,23.99,7.7166666,17.4638000488,29.3278398988,5.33783989881,9.27398,0.327839898813,,,,,43.969,-72.863,KMPV
0911131732,FWS.BTV.20091113.WESTH.02.20091113.173237,36,-296,187,11.6666666667,15,2.68224,-1.06,12.0,16.06,9.25999992,9.9801574707,26.5402255456,10.4802255456,1.51007,11.5402255456,7.66182861328,29.3429336775,7.51295,-14.3429336775,43.8625,-72.91889,KRUT
0911131431,FWS.BTV.20091113.WESTH.02.20091113.143112,36,-296,6,10.0,31,3.12928,14.94,12.0,16.06,9.25999992,9.9801574707,26.5402255456,10.4802255456,1.51007,-4.45977445442,7.66182861328,29.3429336775,7.51295,1.65706632246,43.8625,-72.91889,KRUT
0905131211,FWS.BTV.20090513.BULLT.01.20090513.121137,12,13,169,19.4444444444,22,3.12928,6.0,21.1111111111,16.0,4.0229555208,19.3455749512,26.5258305528,10.5258305528,3.1,4.5258305528,18.4985595703,21.8220183886,6.62351,0.177981611419,44.66,-71.66472,NLHV1
0905041436,FWS.BTV.20090504.VICTO.01.20090504.143612,7,-28,24,18.8888888889,28,4.02336,5.18,19.4,22.82,4.62999996,17.3280578613,31.902641358,9.08264135805,4.06512,3.90264135805,19.3613525391,23.0948781472,3.51696,4.90512185282,44.33,-71.47,KHIE
0904291310,FWS.BTV.20090429.MAYOM.01.20090429.131010,31,-223,15,13.8888888889,21,4.4704,2.82,15.0,18.18,4.62999996,12.944329834,21.1948689673,3.01486896729,4.31045,0.194868967294,14.6487976074,29.0765324091,4.26619,-8.07653240907,43.78833,-72.79167,KRUT
0904281432,FWS.BTV.20090428.MAYOM.01.20090428.143207,31,-223,32,28.8888888889,31,6.7056,8.91,31.0,22.09,10.80333324,21.8443237305,47.2151739517,25.1251739517,6.41045,16.2151739517,27.6456542969,32.5235768363,9.13672,-1.52357683635,43.78833,-72.79167,KRUT
0904281420,FWS.BTV.20090428.MAYOM.01.20090428.142039,31,-223,20,28.8888888889,41,6.7056,18.91,31.0,22.09,10.80333324,21.8443237305,47.2151739517,25.1251739517,6.41045,6.2151739517,27.6456542969,32.5235768363,9.13672,8.47642316365,43.78833,-72.79167,KRUT
0904271411,FWS.BTV.20090427.MAYOM.01.20090427.141115,31,-223,1,26.6666666667,30,5.36448,7.39,32.0,22.61,6.68777772,25.9547668457,33.2977119774,10.6877119774,5.35328,3.29771197741,28.4527526855,33.5014379309,5.5043,-3.50143793091,43.78833,-72.79167,KRUT
0904261314,FWS.BTV.20090426.MAYOM.01.20090426.131434,31,-223,1,15.5555555556,50,5.81152,-4.08,15.0,54.08,5.65888884,15.3080078125,41.4373756244,-12.6426243756,5.27407,-8.56262437555,15.0842224121,67.445580889,4.45448,-17.445580889,43.78833,-72.79167,KRUT
0904201506,FWS.BTV.20090420.GOSHE.01.20090420.150652,47,-231,96,13.3333333333,31,6.7056,7.19,12.2,23.81,9.25999992,11.5490661621,24.4246965816,0.614696581637,8.63788,-6.57530341836,9.5543762207,38.9923502548,8.70937,-7.99235025485,43.81,-72.79,KMPV
0904191409,FWS.BTV.20090419.ROBER.01.20090419.140950,44,-50,19,11.1111111111,22,4.4704,6.29,13.3,15.71,4.62999996,10.4851013184,24.6337707178,8.9237707178,4.60177,2.6337707178,11.7525878906,24.5077374885,4.15113,-2.50773748854,43.96,-73.01,KMPV
0904161331,FWS.BTV.20090416.GOSHE.01.20090420.133153,47,-231,34,13.3333333333,31,6.7056,16.68,15.0,14.32,5.65888884,12.5122314453,18.0147982736,3.69479827356,3.6,-12.9852017264,13.3188110352,25.7550476493,4.5002,5.24495235069,43.81,-72.79,KMPV
0904161510,FWS.BTV.20090416.GOSHE.01.20090420.151021,47,-231,65,13.3333333333,17,4.4704,2.68,15.0,14.32,5.65888884,12.5122314453,18.0147982736,3.69479827356,3.6,1.01479827356,13.3188110352,25.7550476493,4.5002,-8.75504764931,43.81,-72.79,KMPV
0904161344,FWS.BTV.20090416.GOSHE.01.20090420.134413,47,-231,21,13.3333333333,31,6.7056,16.68,15.0,14.32,5.65888884,12.5122314453,18.0147982736,3.69479827356,3.6,-12.9852017264,13.3188110352,25.7550476493,4.5002,5.24495235069,43.81,-72.79,KMPV
0904161415,FWS.BTV.20090416.GOSHE.01.20090416.141525,47,-231,10,13.3333333333,17,4.4704,2.68,15.0,14.32,5.65888884,12.5122314453,18.0147982736,3.69479827356,3.6,1.01479827356,13.3188110352,25.7550476493,4.5002,-8.75504764931,43.81,-72.79,KMPV
