date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1110011849,FWS.BYZ.20111001.CLYDE.01.20111001.184952.579455150,12,-13,11,31.1111111111,12,7.15264,1.16,32.2,10.84,10.2888888,30.6333251953,11.7252242965,0.885224296487,12.4383,-0.274775703513,31.8069702148,14.4050273936,4.85653,-2.40502739364,45.8,-110.53,KLVM
1011171318,FWS.BYZ.20101117.SHELL.01.20101117.131824.259470551,10,263,222,-3.33333333333,44,15.6464,1.0,-2.22222222222,43.0,4.9180888464,,,,,,,,,,44.54192,-107.50003,MCRW4
1011171448,FWS.BYZ.20101117.SLASH.01.20101117.144852.335262818,25,-61,192,1.11111111111,60,13.4112,-1.0,1.66666666667,61.0,3.575388858,,,,,,,,,,45.65528,-107.13861,LBHM8
1004071630,FWS.BYZ.20100407.FTSMI.01.20100407.163006,35,213,570,12.2222222222,23,6.25856,4.0,11.6666666667,19.0,5.3656555092,,,,,,,,,,45.32361,-107.8875,HBOM8
1003251404,FWS.BYZ.20100325.CROWA.01.20100325.140433,3,53,176,16.6666666667,21,4.4704,-9.0,16.6666666667,30.0,2.6802555324,,,,,,,,,,45.59444,-107.4525,LBHM8
1003161629,FWS.BYZ.20100316.SUNDA.01.20100316.162903,22,106,1,19.4444444444,22,4.4704,9.5,21.1,12.5,8.23111104,18.3413635254,29.1114966538,16.6114966538,6.7,7.11149665379,,,,,45.64969,-108.73167,KBIL
1003161646,FWS.BYZ.20100316.CROWA.01.20100316.164610,3,53,59,19.4444444444,21,4.4704,7.0,21.6666666667,14.0,3.1278221952,17.2499938965,29.9884318478,15.9884318478,2.6,8.98843184784,,,,,45.59444,-107.4525,LBHM8
1003151856,FWS.BYZ.20100315.SUNDA.01.20100315.185624,22,106,1,16.1111111111,30,4.4704,7.96,16.1,22.04,5.1444444,,,,,,,,,,45.64969,-108.73167,KBIL
0906191528,FWS.BYZ.20090619.CROWA.01.20090619.152849,2,18,92,28.8888888889,24,4.4704,4.0,28.3333333333,20.0,4.0229555208,27.4029785156,26.4526000342,6.4526000342,3.40809,2.4526000342,27.5864807129,26.6641675244,3.43264,-2.66416752437,45.58889,-107.43194,LBHM8
0906051558,FWS.BYZ.20090605.MALLU.01.20090605.155851,21,-74,2,15.5555555556,32,8.9408,-5.29,14.4,37.29,8.74555548,14.9500061035,47.3963101199,10.1063101199,6.7,15.3963101199,13.7397094727,39.0635369952,7.27462,-7.06353699516,45.66594,-103.8125,K2WX
0906051408,FWS.BYZ.20090605.BLACK.01.20090605.140848,22,273,112,15.5555555556,52,6.7056,-2.0,14.4444444444,54.0,9.8361776928,14.0266662598,53.6110338025,-0.388966197501,8.68465,1.6110338025,16.4413085938,48.7686247393,9.81484,3.23137526068,45.64139,-106.78667,BAFM8
0906041807,FWS.BYZ.20090604.MALLU.01.20090604.180730,21,-74,8,23.8888888889,28,6.7056,-2.99,21.7,30.99,4.62999996,19.5015197754,41.7338264809,10.7438264809,5.1,13.7338264809,21.1613098145,29.9038984274,4.13565,-1.90389842744,45.66594,-103.8125,K2WX
0906041419,FWS.BYZ.20090604.TIECR.01.20090604.141919,2,58,221,21.1111111111,27,6.7056,-6.0,21.1111111111,33.0,4.4705221836,20.5331665039,35.4459358149,2.44593581494,2.25661,8.44593581494,20.3407531738,43.097244673,1.52552,-16.097244673,45.49694,-106.54556,TR713
0905071549,FWS.BYZ.20090507.POMPE.01.20090507.154955,33,280,131,15.5555555556,38,8.9408,17.0,17.2222222222,21.0,5.813222172,14.7731872559,36.7186408696,15.7186408696,7.55596,-1.28135913042,14.3376403809,27.4858714714,8.32164,10.5141285286,45.99278,-107.89028,STBM8
0904131629,FWS.BYZ.20090413.LODGE.01.20090413.162918,29,-77,121,20.5555555556,25,4.4704,4.0,20.5555555556,21.0,8.4934777044,,,,,,18.8413330078,26.5311140553,3.71625,-1.53111405528,45.30639,-107.39361,LBHM8
1404221248,FWS.BYZ.20140422.STOCK.02.20140422.124846.1235344527,9,25,72,23.3333333333,20,5.81152,-2.0,22.2222222222,22.0,6.2607888348,23.6706787109,24.7418939948,2.74189399476,5.31517,4.74189399476,23.1879211426,20.0747930548,7.65928,-0.0747930547982,45.34797,-106.33233,TS897
1404251259,FWS.BYZ.20140425.STOCK.02.20140425.125916.1415279611,9,25,121,18.3333333333,27,6.25856,-0.0,18.8888888889,27.0,4.9180888464,18.0848632813,29.2060930423,2.20609304228,8.7,2.20609304228,18.4092346191,26.3495618825,4.37326,0.650438117513,45.34718,-106.31367,TS897
1409041418,FWS.BYZ.20140904.REDRO.01.20140904.141828.3303071267,4,10,23,16.6666666667,42,6.25856,3.0,16.6666666667,39.0,6.2607888348,,,,,,15.8788391113,37.775296644,7.23055,4.22470335597,45.30297,-106.32433,TS897,0
1409051249,FWS.BYZ.20140905.REDRO.01.20140905.124954.1780396526,4,10,161,20.0,24,2.2352,-9.0,21.1111111111,33.0,3.1278221952,,,,,,20.8182312012,28.2197184816,3.06007,-4.21971848163,45.30317,-106.32333,TS897,0
1409061303,FWS.BYZ.20140906.REDRO.01.20140906.130306.1774528211,5,-18,177,24.4444444444,25,2.68224,3.0,25.5555555556,22.0,3.1278221952,,,,,,25.5085998535,19.0347178566,5.79386,5.96528214337,45.30955,-106.32737,TS897,0
1409071346,FWS.BYZ.20140907.REDRO.01.20140907.134630.3987854479,5,10,11,28.3333333333,17,3.57632,1.0,29.4444444444,16.0,3.575388858,,,,,,28.0299926758,15.6936259392,9.41478,1.30637406083,45.30955,-106.32733,TS897,0
1410061335,FWS.BYZ.20141006.REDRO.01.20141006.133532.2158470513,4,-20,0,22.2222222222,32,9.83488,4.0,21.6666666667,28.0,9.8361776928,,,,,,20.7178588867,30.1084714784,11.5774,1.89152852161,45.31115,-106.339,TS897,0
1410061412,FWS.BYZ.20141006.MILLC.01.20141006.141244.3917462768,15,120,108,17.2222222222,40,2.2352,11.0,24.4444444444,29.0,5.813222172,,,,,,23.2567687988,26.7807446573,9.69457,13.2192553427,46.19736,-107.92611,STBM8,0
1410071401,FWS.BYZ.20141007.REDRO.01.20141007.140150.395494486,4,10,11,16.1111111111,38,2.68224,-0.0,17.2222222222,38.0,2.6802555324,,,,,,15.3447814941,40.3641628983,2.76381,-2.36416289831,45.3112,-106.33982,TS897,0
1410081231,FWS.BYZ.20141008.REDRO.01.20141008.123141.1571101505,5,10,149,22.2222222222,29,3.57632,1.0,22.7777777778,28.0,5.813222172,,,,,,22.0534606934,32.4302042962,3.99842,-3.43020429624,45.31141,-106.34034,TS897,0
1410091348,FWS.BYZ.20141009.REAVI.01.20141009.134806.1932106149,0,25,192,16.1111111111,47,3.12928,-6.0,13.3333333333,53.0,4.9180888464,,,,,,14.3682495117,53.2335904011,5.578,-6.23359040112,45.27427,-106.35299,TS897,0
1410161347,FWS.BYZ.20141016.REAVI.01.20141016.134744.538689718,0,10,73,16.1111111111,29,10.72896,-6.0,15.0,35.0,7.5983443788,,,,,,15.2616516113,33.1228912897,8.00097,-4.12289128972,45.27482,-106.35325,TS897,0
1410201249,FWS.BYZ.20141020.REAVI.02.20141020.124953.2381730363,0,10,131,23.3333333333,23,3.12928,2.0,23.8888888889,21.0,2.6802555324,,,,,,24.2585693359,20.1663576844,1.9403,2.83364231562,45.27424,-106.35323,TS897,0
1410211348,FWS.BYZ.20141021.REAVI.01.20141021.134856.1000427591,0,10,13,25.0,21,2.68224,3.0,26.6666666667,18.0,5.813222172,,,,,,27.0475402832,15.6780129541,7.26968,5.3219870459,45.27424,-106.35323,TS897,0
1410241406,FWS.BYZ.20141024.BROKE.01.20141024.140620.1217314940,9,93,174,16.1111111111,41,4.02336,1.0,14.4444444444,40.0,5.3656555092,,,,,,14.1868835449,39.3393808733,4.56339,1.6606191267,45.57944,-106.57972,BAFM8,0
1410241406,FWS.BYZ.20141024.BROKE.01.20141024.140620.1217314940,9,93,174,16.1111111111,41,4.02336,1.0,14.4444444444,40.0,5.3656555092,16.3161865234,39.0235157529,-0.976484247139,4.91392,-1.97648424714,14.1868835449,39.3393808733,4.56339,1.6606191267,45.57944,-106.57972,BAFM8,0
1410211348,FWS.BYZ.20141021.REAVI.01.20141021.134856.1000427591,0,10,13,25.0,21,2.68224,3.0,26.6666666667,18.0,5.813222172,24.6748291016,22.1221413174,4.12214131739,4.0,1.12214131739,27.0475402832,15.6780129541,7.26968,5.3219870459,45.27424,-106.35323,TS897,0
1410201254,FWS.BYZ.20141020.NEEDM.02.20141020.125434.2685064627,0,74,66,22.7777777778,26,4.02336,-2.0,22.7777777778,28.0,4.9180888464,22.7499938965,26.3048861923,-1.69511380771,7.03578,0.304886192289,23.5574584961,26.8012389065,5.12318,-0.801238906521,45.80889,-104.46222,EKIM8,0
1410201249,FWS.BYZ.20141020.REAVI.02.20141020.124953.2381730363,0,10,131,23.3333333333,23,3.12928,2.0,23.8888888889,21.0,2.6802555324,23.35,23.4728545823,2.47285458225,3.56299,0.472854582254,24.2585693359,20.1663576844,1.9403,2.83364231562,45.27424,-106.35323,TS897,0
1410161347,FWS.BYZ.20141016.REAVI.01.20141016.134744.538689718,0,10,73,16.1111111111,29,10.72896,-6.0,15.0,35.0,7.5983443788,15.1550842285,35.0350946247,0.0350946246968,11.8,6.0350946247,15.2616516113,33.1228912897,8.00097,-4.12289128972,45.27482,-106.35325,TS897,0
1410091348,FWS.BYZ.20141009.REAVI.01.20141009.134806.1932106149,0,25,192,16.1111111111,47,3.12928,-6.0,13.3333333333,53.0,4.9180888464,17.7271057129,44.7308317006,-8.26916829945,5.68745,-2.26916829945,14.3682495117,53.2335904011,5.578,-6.23359040112,45.27427,-106.35299,TS897,0
1410081231,FWS.BYZ.20141008.REDRO.01.20141008.123141.1571101505,5,10,149,22.2222222222,29,3.57632,1.0,22.7777777778,28.0,5.813222172,21.6401000977,35.1282267636,7.12822676358,4.6,6.12822676358,22.0534606934,32.4302042962,3.99842,-3.43020429624,45.31141,-106.34034,TS897,0
1410071401,FWS.BYZ.20141007.REDRO.01.20141007.140150.395494486,4,10,11,16.1111111111,38,2.68224,-0.0,17.2222222222,38.0,2.6802555324,14.9579101563,47.3722256044,9.37222560436,3.1,9.37222560436,15.3447814941,40.3641628983,2.76381,-2.36416289831,45.3112,-106.33982,TS897,0
1410061335,FWS.BYZ.20141006.REDRO.01.20141006.133532.2158470513,4,-20,0,22.2222222222,32,9.83488,4.0,21.6666666667,28.0,9.8361776928,21.649987793,30.0834801297,2.08348012965,10.8059,-1.91651987035,20.7178588867,30.1084714784,11.5774,1.89152852161,45.31115,-106.339,TS897,0
1410061412,FWS.BYZ.20141006.MILLC.01.20141006.141244.3917462768,15,120,108,17.2222222222,40,2.2352,11.0,24.4444444444,29.0,5.813222172,23.85,27.9698009831,-1.03019901686,8.7,-12.0301990169,23.2567687988,26.7807446573,9.69457,13.2192553427,46.19736,-107.92611,STBM8,0
1409071346,FWS.BYZ.20140907.REDRO.01.20140907.134630.3987854479,5,10,11,28.3333333333,17,3.57632,1.0,29.4444444444,16.0,3.575388858,27.7847229004,11.7799419946,-4.22005800538,4.6,-5.22005800538,28.0299926758,15.6936259392,9.41478,1.30637406083,45.30955,-106.32733,TS897,0
1409061303,FWS.BYZ.20140906.REDRO.01.20140906.130306.1774528211,5,-18,177,24.4444444444,25,2.68224,3.0,25.5555555556,22.0,3.1278221952,24.376763916,22.3293126541,0.329312654138,2.59625,-2.67068734586,25.5085998535,19.0347178566,5.79386,5.96528214337,45.30955,-106.32737,TS897,0
1409051249,FWS.BYZ.20140905.REDRO.01.20140905.124954.1780396526,4,10,161,20.0,24,2.2352,-9.0,21.1111111111,33.0,3.1278221952,20.2158447266,30.8055299376,-2.19447006239,2.1,6.80552993761,20.8182312012,28.2197184816,3.06007,-4.21971848163,45.30317,-106.32333,TS897,0
1409041418,FWS.BYZ.20140904.REDRO.01.20140904.141828.3303071267,4,10,23,16.6666666667,42,6.25856,3.0,16.6666666667,39.0,6.2607888348,16.3718811035,41.5048460666,2.5048460666,12.6398,-0.495153933403,15.8788391113,37.775296644,7.23055,4.22470335597,45.30297,-106.32433,TS897,0
1503111259,FWS.BYZ.20150311.HAYCR.01.20150311.125941.1402355842,14,-169,211,21.1111111111,12,3.12928,-7.0,20.0,19.0,4.4705221836,21.35,19.9171559553,0.917155955268,3.6,7.91715595527,18.5648742676,13.6253681558,5.77599,-1.62536815584,45.34544,-106.32891,FHFM8,0
1503191333,FWS.BYZ.20150319.SOAPS.02.20150319.133358.1753380938,10,-138,27,15.5555555556,27,5.81152,3.0,15.0,24.0,7.5983443788,13.7239318848,29.2885618977,5.28856189772,6.8,2.28856189772,13.9317565918,26.5795255551,7.69962,0.420474444891,45.36597,-106.25125,FHFM8,0
1503201238,FWS.BYZ.20150320.SOAPS.01.20150320.123802.3315754227,10,-138,112,17.2222222222,19,7.59968,-3.0,18.3333333333,22.0,4.4705221836,18.22109375,22.0407446671,0.0407446670552,6.8,3.04074466706,18.4453979492,19.4717033597,5.562,-0.471703359701,45.36597,-106.25125,FHFM8,0
1504101658,FWS.BYZ.20150410.STAGS.01.20150409.165848.3471053539,12,-93,118,10.5555555556,35,2.2352,18.0,18.8888888889,17.0,4.4705221836,16.0913330078,21.8245379677,4.82453796768,3.2,-13.1754620323,16.5669189453,19.0219379687,3.98225,15.9780620313,45.38782,-106.24753,FHFM8,0
1504101151,FWS.BYZ.20150410.SOAPS.01.20150410.115158.3208105193,12,-93,219,16.1111111111,19,4.4704,2.0,18.8888888889,17.0,4.4705221836,16.0913330078,21.8245379677,4.82453796768,3.2,2.82453796768,16.5669189453,19.0219379687,3.98225,-0.0219379687342,45.38782,-106.24753,FHFM8,0
1504121246,FWS.BYZ.20150412.SOAPS.01.20150412.124627.4271490338,12,-93,74,10.0,19,11.176,4.0,11.6666666667,15.0,9.38861103,8.84044799805,17.3584958409,2.35849584095,16.1293,-1.64150415905,10.163659668,16.1058130714,13.9687,2.8941869286,45.38782,-106.24753,FHFM8,0
1504131208,FWS.BYZ.20150413.SOAPS.01.20150413.120818.777227186,12,-93,3,18.8888888889,13,5.36448,-3.0,19.4444444444,16.0,4.9180888464,18.6206604004,12.890449853,-3.10955014699,5.2,-0.109550146986,17.5228820801,16.7330998851,5.78805,-3.73309988512,45.38782,-106.24753,FHFM8,0
1504141245,FWS.BYZ.20150414.SOAPS.01.20150414.124548.1429412262,12,-93,75,26.6666666667,11,9.83488,6.0,28.8888888889,5.0,8.4934777044,26.5913330078,10.8549899711,5.85498997111,11.4191,-0.145010028895,27.3147216797,7.17194522853,12.1857,3.82805477147,45.38782,-106.24753,FHFM8,0
1510241440,FWS.BYZ.20151024.LEROY.01.20151024.144016.3058938126,8,-20,80,13.3333333333,29,3.57632,14.0,16.1111111111,15.0,1.7902666512,,,,,,14.0607849121,20.805407621,4.37906,8.19459237896,45.55583,-106.53194,TR713,0
1602101500,FWS.BYZ.20160210.HAYCR.01.20160210.150050.924498184,15,-169,240,14.4444444444,29,4.02336,7.0,15.5555555556,22.0,7.5983443788,,,,,,10.9044433594,45.391797087,6.79101,-16.391797087,45.36217,-106.34267,FHFM8,0
1602251358,FWS.BYZ.20160225.HAYCR.01.20160225.135817.3699159175,15,-123,182,8.88888888889,28,4.4704,6.0,11.1111111111,22.0,4.0229555208,,,,,,8.41237792969,28.3244913123,5.76928,-0.324491312348,45.35508,-106.34083,FHFM8,0
1602261804,FWS.BYZ.20160226.HAYCR.02.20160226.180418.510400378,15,-123,21,15.0,18,6.25856,6.0,18.3333333333,12.0,4.9180888464,,,,,,15.3227172852,16.8316034118,4.44908,1.16839658818,45.35508,-106.34083,FHFM8,0
1603051554,FWS.BYZ.20160305.YARGE.02.20160305.155446.2350619126,36,123,14,21.1111111111,17,3.57632,5.0,22.2222222222,12.0,2.6802555324,,,,,,22.8350158691,11.0403751421,5.05553,5.95962485791,45.292,-105.6238,BSHM8,0
1603061325,FWS.BYZ.20160306.YARGE.01.20160306.132527.3860670481,37,123,125,22.7777777778,15,3.57632,-0.0,21.6666666667,15.0,4.9180888464,,,,,,22.1404663086,17.4350963994,6.42335,-2.4350963994,45.30785,-105.63233,BSHM8,0
1603091437,FWS.BYZ.20160309.LOSTF.03.20160309.143737.1381726036,30,14,83,11.6666666667,30,5.36448,1.0,8.88888888889,29.0,4.9180888464,,,,,,8.98705444336,24.0315855444,6.3173,5.96841445565,45.60247,-104.20318,EKIM8,0
1604071655,FWS.BYZ.20160407.YARGE.01.20160406.165553.3811278113,4,0,55,15.0,29,5.81152,2.0,13.8888888889,27.0,5.3656555092,,,,,,13.8223510742,26.561534566,7.69069,2.43846543395,45.2958,-105.668,TS584,0
1604121156,FWS.BYZ.20160412.DIVID.01.20160412.115607.425442182,1,16,244,23.8888888889,18,4.4704,-2.0,22.2222222222,20.0,7.150777716,,,,,,22.2426086426,20.6778909349,6.71451,-2.67789093493,45.26028,-106.37218,TS897,0
1604131204,FWS.BYZ.20160413.DIVID.01.20160413.120416.2311712450,1,16,24,21.6666666667,25,5.81152,-0.0,22.2222222222,25.0,8.9410443672,,,,,,21.995904541,23.7461940431,8.14823,1.25380595694,45.26028,-106.37218,TS897,0
1605061435,FWS.BYZ.20160506.YARGE.02.20160506.143556.1351747227,3,197,5,22.7777777778,39,6.25856,-4.0,18.8888888889,43.0,7.150777716,,,,,,20.3983703613,39.746299907,8.95885,-0.746299907013,45.29218,-105.62383,TS584,0
