date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404031054,FWS.CAE.20140403.ENORE.01.20140403.105426.3576454055,15,43,156,30.0,25,3.57632,2.91,30.0,22.09,9.77444436,29.6682678223,25.6439233676,3.55392336758,5.7,0.643923367583,29.8670288086,21.1743407705,5.72487,3.82565922955,34.41667,-81.53333,KEOE
1404021119,FWS.CAE.20140402.CSNWR.01.20140402.111903.1646902148,10,36,101,29.4444444444,15,4.02336,3.0,30.5555555556,12.0,3.575388858,29.4500061035,18.0437108912,6.04371089116,5.7,3.04371089116,29.746697998,17.2020730576,4.65645,-2.2020730576,34.57861,-80.23278,JEFS1
1404021303,FWS.CAE.20140402.FTG_T.01.20140402.130346.586867545,21,-21,57,28.3333333333,18,2.68224,8.21,31.1,9.79,6.17333328,27.7499938965,22.0422377166,12.2522377166,4.6,4.04223771662,29.4559570313,13.9596294232,5.02574,4.04037057684,33.3821,-82.2416,KDNL
1404011228,FWS.CAE.20140401.FTG_2.01.20140401.122835.4003341142,20,-13,32,27.7777777778,18,2.68224,6.89,28.9,11.11,4.62999996,27.5553833008,18.7319786378,7.62197863784,4.1,0.731978637844,29.1379333496,15.0579343228,3.66977,2.9420656772,33.3853,-82.2401,KDNL
1404011105,FWS.CAE.20140401.CSNWR.01.20140401.110540.542688545,10,36,115,26.6666666667,15,3.12928,7.0,29.4444444444,8.0,3.575388858,26.649987793,19.7516140869,11.7516140869,4.6,4.75161408687,28.6123291016,11.2547307672,3.85109,3.7452692328,34.57861,-80.23278,JEFS1
1404011231,FWS.CAE.20140401.FTG_1.01.20140401.123111.3932237441,16,13,29,27.7777777778,19,2.68224,7.89,28.9,11.11,4.62999996,27.7499938965,19.3229007035,8.21290070348,4.01577,0.322900703479,29.2530151367,14.0486709914,3.81414,4.95132900865,33.3629,-82.1654,KDNL
1403311114,FWS.CAE.20140331.CSNWR.01.20140331.111459.957655844,10,36,106,23.8888888889,12,2.2352,-0.0,24.4444444444,12.0,2.6802555324,23.5963378906,17.1762545926,5.17625459265,3.34634,5.17625459265,24.0862670898,12.9176651776,2.63597,-0.917665177584,34.57861,-80.23278,JEFS1
1403311126,FWS.CAE.20140331.FTG_S.01.20140331.112605.3611209559,16,0,94,24.4444444444,16,1.34112,6.13,26.1,9.87,3.60111108,24.4500061035,16.9365238057,7.06652380575,2.1,0.936523805748,25.5372253418,15.3022277641,1.35479,0.697772235886,33.3728,-82.1761,KDNL
1403311253,FWS.CAE.20140331.FORTG.01.20140331.125336.3546122841,15,-4,67,24.4444444444,16,1.34112,6.13,26.1,9.87,3.60111108,24.4500061035,16.9365238057,7.06652380575,2.1,0.936523805748,25.6728149414,14.9597312455,1.35471,1.0402687545,33.3727,-82.1635,KDNL
1403271148,FWS.CAE.20140327.FTG_1.01.20140327.114853.170847723,18,-65,72,18.8888888889,34,4.02336,11.39,20.6,22.61,6.68777772,18.85,33.562144011,10.952144011,5.1,-0.437855989046,20.1869445801,26.3355122992,4.57518,7.66448770076,33.3629,-82.1663,KAGS
1403271047,FWS.CAE.20140327.CSNWR.01.20140327.104724.608921300,6,40,133,16.6666666667,30,3.12928,12.0,17.7777777778,18.0,3.1278221952,16.752923584,30.7385741745,12.7385741745,5.01422,0.738574174513,17.4146057129,22.3995809277,4.6546,7.60041907232,34.60861,-80.24833,JEFS1
1403271149,FWS.CAE.20140327.LC297.01.20140327.114932.759993331,13,-20,161,18.3333333333,34,3.57632,14.0,18.3333333333,20.0,2.2326888696,18.35,33.39681666,13.39681666,4.60412,-0.603183340036,19.5847106934,27.7750972025,4.47274,6.22490279746,33.8,-82.16667,LCRS1
