date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1305021137,FWS.CAR.20130502.FIELD.01.20130502.113707.1367494627306,0,-1,83,16.6666666667,31,5.36448,1.0,18.3333333333,30.0,2.2326888696,16.8807312012,31.7038843656,1.70388436564,7.7,0.703884365638,16.9435668945,29.8111501508,5.95528,1.18884984918,45.11361,-67.28583,MWRM1
1305011149,FWS.CAR.20130501.SHIPI.01.20130501.114908.1367408948297,21,123,191,12.2222222222,38,4.4704,19.0,20.0,19.0,3.575388858,17.4781738281,25.9964482951,6.99644829514,6.67685,-12.0035517049,17.2750488281,31.0425519113,7.94526,6.95744808866,44.23417,-68.44139,ANPM1
1304231714,FWS.CAR.20130423.MCNAL.01.20130423.171416.1366737255815,37,-49,16,12.7777777778,27,4.4704,11.17,12.2,15.83,4.11555552,11.649987793,26.708513722,10.878513722,4.6,-0.291486277959,11.1170898438,28.5640035876,7.31237,-1.56400358763,46.01497,-68.25608,KHUL
1304231116,FWS.CAR.20130423.CHARL.01.20130423.111621.1366715781281,2,9,104,9.44444444444,44,2.2352,-2.0,8.88888888889,46.0,2.2326888696,9.51256713867,43.6248320119,-2.37516798814,4.6,-0.375167988145,8.58550415039,43.4888277147,3.77141,0.511172285275,45.09583,-67.27639,MWRM1
1304211452,FWS.CAR.20130421.GODIN.01.20130421.145243.1366555963648,29,-88,128,6.11111111111,21,2.2352,-0.89,6.0,21.89,7.7166666,6.01616821289,22.1437416454,0.253741645402,5.1,1.1437416454,5.10534057617,35.2179131083,7.3991,-14.2179131083,46.60408,-68.41386,KPQI
1212071543,FWS.CAR.20121207.JORDA.02.20121207.154337.1354894976045,6,53,52,6.66666666667,55,2.68224,-9.0,5.55555555556,64.0,4.4705221836,6.14998779297,63.4502831241,-0.549716875919,5.21852,8.45028312408,7.55318603516,69.9066791935,5.94034,-14.9066791935,44.32161,-68.25408,ANPM1
1205031511,FWS.CAR.20120503.PMPGR.01.20120503.151123.668394901,28,117,169,10.0,58,2.68224,-6.0,13.3333333333,64.0,2.6802555324,10.6740356445,60.5221171214,-3.47788287864,3.6,2.52211712136,11.5978027344,70.1637016232,5.09075,-12.1637016232,44.41222,-67.905,ANPM1
1204261218,FWS.CAR.20120426.FISHI.01.20120426.121858.223013913,1,33,162,13.8888888889,43,3.57632,12.0,16.6666666667,31.0,2.6802555324,13.0714050293,44.1747679534,13.1747679534,4.6,1.17476795344,13.6679016113,42.239909246,4.71756,0.760090753958,45.13028,-67.27583,MWRM1
1204251412,FWS.CAR.20120425.FIRER.01.20120425.141233.742330590,8,7,117,12.2222222222,45,5.36448,-14.0,14.4444444444,59.0,4.9180888464,10.7181030273,53.5758369213,-5.42416307869,6.7,8.57583692131,9.05553588867,77.8615129679,5.8529,-32.8615129679,44.30333,-68.25958,ANPM1
1204251216,FWS.CAR.20120425.BILLS.01.20120425.121636.800353778,27,51,284,9.44444444444,60,4.4704,31.0,16.6666666667,29.0,2.6802555324,9.32732543945,62.3893305297,33.3893305297,5.7,2.38933052973,10.8487182617,62.8474366042,4.64314,-2.84743660418,44.87778,-67.18056,MWRM1
1204251500,FWS.CAR.20120425.BILLS.02.20120425.150016.481086732,27,51,120,11.1111111111,60,4.4704,31.0,16.6666666667,29.0,2.6802555324,9.32732543945,62.3893305297,33.3893305297,5.7,2.38933052973,10.8487182617,62.8474366042,4.64314,-2.84743660418,44.87778,-67.18056,MWRM1
1204191102,FWS.CAR.20120419.BAKER.01.20120419.110239.289402579,2,5,118,14.4444444444,42,3.57632,3.0,15.5555555556,39.0,2.2326888696,13.9764953613,42.3945189153,3.39451891533,4.6,0.394518915331,12.0445800781,50.8480096554,3.81638,-8.84800965543,45.14111,-67.2825,MWRM1
1204181417,FWS.CAR.20120418.WATER.01.20120418.141722.021024090,41,-91,223,13.8888888889,19,4.02336,-12.35,13.9,31.35,3.60111108,12.7401367188,20.220843991,-11.129156009,4.53061,1.22084399105,11.3040710449,39.1269016818,6.35955,-20.1269016818,46.00203,-68.50675,KMLT
1204171158,FWS.CAR.20120417.BARNM.01.20120417.115819.654549530,2,38,242,22.2222222222,34,2.68224,-16.0,22.7777777778,50.0,1.7902666512,21.649987793,35.0781350766,-14.9218649234,3.27303,1.0781350766,19.958795166,58.3725164255,3.13112,-24.3725164255,45.13528,-67.29222,MWRM1
1204171411,FWS.CAR.20120417.BARNM.01.20120417.141116.309839419,2,38,109,22.2222222222,34,3.57632,-16.0,22.7777777778,50.0,1.7902666512,21.649987793,35.0781350766,-14.9218649234,3.27303,1.0781350766,19.958795166,58.3725164255,3.13112,-24.3725164255,45.13528,-67.29222,MWRM1
1204161129,FWS.CAR.20120416.MOOSE.01.20120416.112956.811694552,0,9,301,18.3333333333,69,4.91744,17.0,21.1111111111,52.0,2.6802555324,16.8831420898,62.5517004863,10.5517004863,6.2,-6.44829951375,16.1745239258,62.1841777983,4.51988,6.81582220169,45.11472,-67.27694,MWRM1
1204151010,FWS.CAR.20120415.20CON.01.20120415.101002.822145194,31,-10,140,22.7777777778,29,4.02336,7.1,22.8,21.9,8.74555548,22.6108642578,29.3821047153,7.48210471531,4.6,0.382104715305,22.9659362793,31.3627879948,3.57217,-2.36278799477,44.80789,-69.21995,KBGR
1204131539,FWS.CAR.20120413.BURNT.01.20120413.153924.982221648,14,56,26,12.2222222222,22,3.12928,5.69,13.0,16.31,5.65888884,12.1324401855,28.6075528062,12.2975528062,3.6,6.60755280619,13.4618164063,22.4640828373,4.58797,-0.464082837306,46.54889,-68.04603,KPQI
1204131540,FWS.CAR.20120413.WHITN.01.20120413.154026.847352774,13,-19,140,12.7777777778,22,3.12928,5.69,13.0,16.31,5.65888884,12.2488037109,28.3895591532,12.0795591532,3.6,6.38955915322,13.398034668,22.3151848324,4.33477,-0.315184832399,46.56128,-68.092,KPQI
1204131541,FWS.CAR.20120413.ALDER.01.20120413.154127.065028155,7,25,139,13.3333333333,21,3.12928,4.69,13.0,16.31,5.65888884,12.4345336914,29.0495990218,12.7395990218,3.6,8.04959902182,13.3113037109,20.9224572681,4.67007,0.0775427318771,46.63078,-68.10869,KPQI
1204071456,FWS.CAR.20120407.MCNAL.01.20120407.145607.528816506,46,-171,10,7.22222222222,37,4.4704,1.02,5.6,35.98,5.65888884,5.87694702148,32.2498737882,-3.73012621182,6.23214,-4.75012621182,4.5306640625,39.6740676324,5.48033,-2.67406763236,46.03153,-68.44833,KMLT
1204071202,FWS.CAR.20120407.WEIRR.01.20120407.120241.336814761,29,51,118,11.6666666667,29,4.4704,-2.0,7.77777777778,31.0,2.2326888696,10.5088134766,24.851663287,-6.14833671304,5.7,-4.14833671304,6.24685058594,45.5582219153,4.8394,-16.5582219153,44.85444,-67.21028,MWRM1
