date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404051025,FWS.CHS.20140405.C1631.01.20140405.102526.346835556,20,2,215,26.6666666667,40,2.68224,-0.0,28.8888888889,40.0,2.2326888696,25.3012939453,42.0334728178,2.0334728178,3.24502,2.0334728178,26.3328186035,53.0783362668,3.6587,-13.0783362668,33.15,-79.59333,TT165
1404041036,FWS.CHS.20140404.C149_.01.20140404.103649.272621676,24,8,204,29.4444444444,41,6.25856,3.56,29.0,37.44,9.25999992,27.0411621094,44.9254523902,7.48545239022,7.70929,3.92545239022,27.4346252441,47.0273836457,4.81142,-6.02738364571,33.16667,-79.51667,KGGE
1404031030,FWS.CHS.20140403.C160_.01.20140403.103021.3737378993,22,2,210,29.4444444444,32,8.49376,-3.0,28.8888888889,35.0,2.2326888696,27.6566711426,32.3798148911,-2.62018510889,5.94638,0.37981489111,27.4377685547,42.4432055903,4.61461,-10.4432055903,33.15,-79.55,TT165
1404031340,FWS.CHS.20140403.C158_.01.20140403.134050.3219657175,23,2,80,27.2222222222,34,4.91744,-1.0,28.8888888889,35.0,2.2326888696,26.8745056152,34.6764398468,-0.323560153166,6.18748,0.676439846834,25.9008117676,48.1339198076,4.97039,-14.1339198076,33.13333,-79.5,TT165
1404031045,FWS.CHS.20140403.C74__.01.20140403.104535.772659885,4,12,195,30.5555555556,28,4.02336,3.0,31.1111111111,25.0,2.2326888696,29.4500061035,28.8394177401,3.8394177401,5.29038,0.839417740098,28.9893737793,35.4236702561,4.10437,-7.42367025606,33.2,-79.85,WTHS1
1404021109,FWS.CHS.20140402.C1571.01.20140402.110926.1473604147,23,2,231,28.3333333333,27,4.91744,2.0,29.4444444444,25.0,1.7902666512,26.8925415039,29.4242210812,4.42422108121,6.21252,2.42422108121,26.4520812988,38.8440513027,4.8497,-11.8440513027,33.13333,-79.5,TT165
1404011138,FWS.CHS.20140401.C1571.01.20140401.113847.3263054965,23,2,202,26.6666666667,26,5.36448,-3.0,27.2222222222,29.0,2.2326888696,25.7895446777,26.2704489811,-2.72955101888,6.21503,0.270448981122,23.2770629883,40.3163727226,4.75481,-14.3163727226,33.13333,-79.5,TT165
1404011150,FWS.CHS.20140401.SOUTH.01.20140401.115037.2935233971,23,9,220,28.8888888889,20,4.4704,5.0,30.0,15.0,1.7902666512,27.4964233398,22.0756660358,7.07566603585,4.40203,2.07566603585,28.3054443359,22.3948872829,2.47563,-2.39488728292,33.37083,-79.85306,WTHS1
1403281153,FWS.CHS.20140328.C101A.01.20140328.115326.1717043945,11,2,187,23.8888888889,55,5.36448,-27.0,20.5555555556,82.0,1.3426999884,23.3499084473,57.4060623045,-24.5939376955,6.7,2.40606230451,19.4648986816,88.0262759103,2.73341,-33.0262759103,33.06667,-79.73333,TT165
1403271259,FWS.CHS.20140327.C9618.01.20140327.125912.3832933188,10,0,31,17.2222222222,37,5.36448,2.0,17.2222222222,35.0,2.6802555324,17.7499938965,47.533294531,12.533294531,6.63991,10.533294531,15.3835388184,41.6613064192,3.79631,-4.6613064192,33.06667,-79.7,TT165
1403271151,FWS.CHS.20140327.PINCK.01.20140327.115154.1336844028,6,3,189,17.7777777778,45,5.36448,-6.48,16.0,51.48,8.23111104,17.5273986816,55.9636307829,4.48363078291,6.71735,10.9636307829,16.1028686523,50.167756745,5.57118,-5.16775674501,32.24583,-80.75917,KHXD
1403261245,FWS.CHS.20140326.G4___.01.20140326.124514.650046811,2,-1,15,12.7777777778,23,4.02336,-2.0,13.3333333333,25.0,4.0229555208,12.2499938965,24.1266579505,-0.873342049491,5.1,1.12665795051,13.5286499023,23.0148484819,3.89402,-0.0148484819199,32.68056,-80.3875,ABRS1
