date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1402231701,FWS.CHS.20140223.TUPEL.01.20140223.170118.2122464573,25,-19,15,21.1111111111,55,3.12928,-0.41,17.0,55.41,3.08666664,20.8924194336,57.7599674791,2.34996747906,3.33848,2.75996747906,17.967401123,64.0011688101,1.82386,-9.00116881006,33.1036,-79.4308,KGGE
1306051305,FWS.CHS.20130605.HICKE.01.20130605.130503.1370437503801,36,4,31,27.7777777778,79,4.4704,-4.71,28.0,83.71,6.68777772,26.2594543457,78.6734866082,-5.03651339177,4.25193,-0.326513391768,26.0079284668,80.820174393,6.09455,-1.82017439297,31.48582,-81.20599,KBQK
1211031240,FWS.CHS.20121103.MUZZL.01.20121103.124052.1351946452779,23,11,51,20.5555555556,49,4.4704,5.52,22.4,43.48,4.11555552,20.6775146484,49.6843369065,6.20433690646,3.93151,0.684336906461,18.2233825684,66.3610044129,4.52738,-17.3610044129,31.90694,-80.93889,KSVN
1108090810,FWS.CHS.20110809.TERRE.01.20110809.081040.304426734,8,-10,57,36.6666666667,45,4.4704,-0.04,35.8,45.04,11.83222212,36.149987793,44.8643321439,-0.175667856111,5.7,-0.135667856111,35.1476989746,48.6225771033,4.58764,-3.62257710332,31.80569,-81.56286,KLHW
1108081042,FWS.CHS.20110808.TERRE.01.20110808.104228.730993561,8,-10,24,36.6666666667,43,4.02336,0.31,37.9,42.69,16.97666652,36.149987793,44.8643321439,2.17433214389,5.1,1.86433214389,36.3586669922,45.9417421514,4.67149,-2.94174215136,31.80569,-81.56286,KLHW
1108081037,FWS.CHS.20110808.TERRE.01.20110808.103700.893161601,8,-10,19,36.6666666667,43,4.02336,0.31,37.9,42.69,16.97666652,36.149987793,44.8643321439,2.17433214389,5.1,1.86433214389,36.3586669922,45.9417421514,4.67149,-2.94174215136,31.80569,-81.56286,KLHW
1108071100,FWS.CHS.20110807.TERRE.01.20110807.110043.789563211,8,-10,9,36.1111111111,46,4.02336,2.6,36.3,43.4,4.11555552,35.5676818848,49.5075619406,6.10756194058,5.1,3.50756194058,35.861138916,47.93409501,4.22586,-1.93409500996,31.80569,-81.56286,KLHW
1108061055,FWS.CHS.20110806.TERRE.01.20110806.105510.984416802,8,-10,11,35.5555555556,46,3.57632,-11.06,35.0,57.06,9.25999992,35.550012207,45.8342427607,-11.2257572393,3.6,-0.165757239289,32.5276428223,65.7076984312,1.33137,-19.7076984312,31.80569,-81.56286,KLHW
1108051100,FWS.CHS.20110805.TERRE.01.20110805.110023.832250754,8,-10,13,36.1111111111,49,3.57632,10.53,37.8,38.47,12.34666656,35.550012207,49.5556756441,11.0856756441,3.1,0.555675644079,36.1020446777,49.1434411384,3.39733,-0.143441138416,31.80569,-81.56286,KLHW
1108041012,FWS.CHS.20110804.TERRE.01.20110804.101249.669028561,8,-10,16,37.2222222222,45,4.4704,3.13,37.7,41.87,6.68777772,37.3269897461,44.9717292542,3.10172925416,4.6,-0.028270745843,36.6310668945,48.6592791364,4.27447,-3.6592791364,31.80569,-81.56286,KLHW
1108031201,FWS.CHS.20110803.TERRE.01.20110803.120152.858589866,8,-10,7,38.3333333333,37,4.4704,-7.82,37.0,44.82,7.20222216,37.2499938965,38.0813254645,-6.73867453547,4.1,1.08132546453,35.6787963867,51.5327386845,3.46919,-14.5327386845,31.80569,-81.56286,KLHW
1107311103,FWS.CHS.20110731.TERRE.01.20110731.110322.827191802,8,-10,21,43.3333333333,50,3.12928,13.1,38.0,36.9,8.23111104,36.149987793,49.4145272067,12.5145272067,4.02302,-0.585472793314,37.0160461426,45.5181886697,3.07491,4.48181133028,31.80569,-81.56286,KLHW
1107301802,FWS.CHS.20110730.TERRE.01.20110730.180235.867534829,8,-10,18,37.7777777778,38,4.4704,3.59,38.5,34.41,15.4333332,36.8395629883,43.2065736211,8.79657362109,3.1,5.20657362109,36.8262878418,41.8071707412,4.17766,-3.80717074119,31.80569,-81.56286,KLHW
1107081144,FWS.CHS.20110708.TERRE.01.20110708.114407.385213327,11,4,18,33.8888888889,52,2.68224,-6.3,31.5,58.3,4.62999996,33.85,52.5055590397,-5.7944409603,3.6,0.505559039696,30.5762573242,64.0728568851,2.70583,-12.0728568851,31.80165,-81.63572,KLHW
1107071002,FWS.CHS.20110707.TERRE.01.20110707.100254.865235152,11,4,28,35.0,48,2.68224,1.1,34.0,46.9,5.65888884,34.1914001465,49.9609876552,3.06098765517,3.1,1.96098765517,32.9776550293,53.711314788,3.84036,-5.71131478802,31.80165,-81.63572,KLHW
