date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404061021,FWS.CRP.20140406.PINS_.01.20140406.102102.1481352470,29,6,14,22.7777777778,83,3.57632,-4.08,23.9,87.08,10.2888888,22.952355957,83.2337965532,-3.84620344676,4.1,0.233796553237,21.3322387695,90.9612971581,7.67881,-7.96129715806,27.425,-97.305,KNGP
1403211255,FWS.CRP.20140321.VIDAU.01.20140321.125556.3841097996,34,0,120,24.4444444444,66,6.7056,-18.0,23.8888888889,84.0,5.3656555092,24.4500061035,59.7874478077,-24.2125521923,7.7,-6.21255219231,24.0686279297,70.859102118,8.75463,-4.85910211802,28.42768,-97.14617,AFWT2
1403061127,FWS.CRP.20140306.MATAG.01.20140306.112712.2020925272,1,3,273,17.2222222222,46,7.15264,2.0,19.4444444444,44.0,5.813222172,16.8435913086,46.7736548145,2.77365481451,9.3,0.773654814512,14.6026550293,58.585817192,7.05294,-12.585817192,28.118,-96.789,MIRT2
1402211025,FWS.CRP.20140221.SEADA.01.20140221.102524.3485159341,22,0,155,19.4444444444,36,6.25856,8.0,20.0,28.0,5.813222172,19.9775939941,40.4261011102,12.4261011102,7.17701,4.42610111023,17.450982666,36.5366302234,6.06256,-0.536630223395,28.375,-96.609,AFWT2
1402201557,FWS.CRP.20140220.SEADA.01.20140220.155702.1271761653,20,0,117,23.8888888889,72,5.36448,-28.0,23.3333333333,100.0,3.575388858,23.7969299316,71.6097790187,-28.3902209813,6.24459,-0.390220981311,20.294519043,92.3914748893,1.69544,-20.3914748893,28.4158,-96.65687,AFWT2
1402191237,FWS.CRP.20140219.CRANE.01.20140219.123705.2760438608,11,3,3,21.1111111111,76,6.25856,2.34,23.9,73.66,9.25999992,24.102532959,67.7112119962,-5.94878800382,7.7,-8.28878800382,21.3030029297,95.1627098361,7.09957,-19.1627098361,28.1598,-96.965,KRKP
1402171444,FWS.CRP.20140217.INGRA.01.20140217.144455.2506526687,42,2,11,26.1111111111,60,3.57632,-15.0,27.2222222222,75.0,6.7032110532,26.5630126953,54.3740056688,-20.6259943312,7.2,-5.62599433118,29.0555969238,53.0092670782,5.8358,6.99073292178,28.53497,-97.17083,AFWT2
1402121159,FWS.CRP.20140212.WHITM.01.20140212.115910.3045139759,22,6,361,11.1111111111,53,5.81152,2.08,11.4,50.92,8.74555548,10.9482971191,54.9657975095,4.04579750946,7.2,1.96579750946,10.1485839844,57.4537328594,7.65648,-4.45373285944,28.4986,-96.539,KPKV
1401221347,FWS.CRP.20140122.PARKS.01.20140122.134732.3519413678,38,33,133,21.6666666667,33,4.02336,9.11,22.2,23.89,7.20222216,21.4060302734,32.9773607818,9.08736078182,4.6,-0.0226392181809,,,,,28.65583,-97.24472,KVCT
1401201357,FWS.CRP.20140120.JRRAN.01.20140120.135709.3611057674,48,78,118,26.1111111111,41,5.81152,13.11,28.2,27.89,7.20222216,24.9500061035,43.6854881,15.7954881,5.7,2.68548809999,,,,,28.62889,-97.40361,KBEA
