date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1212161924,FWS.CRP.20121216.DUNDI.01.20121216.192457.1355685897829,37,12,7,23.3333333333,90,4.4704,31.58,29.0,58.42,7.20222216,25.5774169922,72.5399494758,14.1199494758,5.7,-17.4600505242,21.0660949707,94.7281853689,6.03098,-4.72818536894,27.49849,-97.29102,KCRP
1207171405,FWS.CRP.20120717.6MILE.01.20120717.140543.951580346,40,4,15,30.5555555556,70,6.25856,-14.92,29.4,84.92,6.17333328,29.6384216309,69.8337940297,-15.0862059703,7.23626,-0.1662059703,28.8755432129,77.7312804904,6.99501,-7.73128049036,27.33,-97.36111,KNGP
1207161128,FWS.CRP.20120716.6MILE.01.20120716.112836.889225335,40,4,11,30.5555555556,70,6.25856,-4.59,31.1,74.59,6.17333328,29.6021362305,71.3383159427,-3.25168405729,7.2,1.33831594271,28.8491149902,74.1973805052,6.91402,-4.19738050523,27.33,-97.36111,KNGP
1207161602,FWS.CRP.20120716.6MILE.01.20120716.160234.066679079,40,4,285,30.5555555556,72,6.25856,-2.59,31.1,74.59,6.17333328,29.6021362305,71.3383159427,-3.25168405729,7.2,-0.661684057289,28.8491149902,74.1973805052,6.91402,-2.19738050523,27.33,-97.36111,KNGP
1207151408,FWS.CRP.20120715.6MILE.01.20120715.140800.001028524,40,4,26,29.4444444444,72,5.81152,1.86,31.1,70.14,7.7166666,29.4500061035,71.9649109788,1.82491097882,6.7,-0.0350890211767,28.9475646973,68.949371212,7.17137,3.05062878796,27.33,-97.36111,KNGP
1207081220,FWS.CRP.20120708.BURGE.01.20120708.122044.252121616,11,0,6,33.3333333333,56,4.4704,-10.0,33.3333333333,66.0,4.9180888464,33.3593383789,55.9412626882,-10.0587373118,5.7,-0.0587373117913,32.3352600098,63.0545716941,6.50501,-7.05457169411,28.24304,-96.91667,AFWT2
1207071147,FWS.CRP.20120707.BRUGE.01.20120707.114757.316347541,11,0,6,33.8888888889,55,4.4704,-5.0,32.7777777778,60.0,4.4705221836,33.8646179199,54.7765781597,-5.22342184031,5.81354,-0.223421840307,32.1662841797,57.9593317745,5.53691,-2.95933177447,28.24304,-96.91667,AFWT2
1101021507,FWS.CRP.20110102.FM250.01.20110102.150724.510731335,11,8,6,17.7777777778,30,3.57632,10.21,17.8,19.79,5.1444444,17.7499938965,28.3432787856,8.55327878556,4.24261,-1.65672121444,18.0895935059,23.6279475405,4.48651,6.37205245948,27.64275,-98.01227,KALI
1003171706,FWS.CRP.20100317.CHAPA.01.20100317.170613,13,-4,26,20.5555555556,50,3.57632,6.0,22.7777777778,44.0,4.0229555208,20.550012207,45.9294560729,1.92945607293,4.6,-4.07054392707,,,,,28.21856,-96.91581,AFWT2
0910041402,FWS.CRP.20091004.HEADA.01.20091004.140217,0,-3,35,30.0,73,6.25856,-6.0,31.6666666667,79.0,6.7032110532,31.2522216797,68.1979519671,-10.8020480329,8.2,-4.80204803291,30.6986022949,77.5194444248,6.899,-4.51944442482,28.3044,-96.8233,AFWT2
0910031255,FWS.CRP.20091003.HEADA.01.20091003.125539,0,0,3,28.3333333333,79,4.4704,-0.0,31.6666666667,79.0,4.9180888464,28.85,76.6852380523,-2.31476194765,6.93715,-2.31476194765,29.4369750977,81.4136173369,7.86794,-2.41361733694,28.3044,-96.8233,AFWT2
0910021119,FWS.CRP.20091002.HEADA.01.20091002.111908,0,0,17,29.4444444444,67,4.4704,-5.0,30.0,72.0,4.4705221836,28.85,69.7195522143,-2.28044778574,3.32246,2.71955221426,28.9089294434,73.566540413,7.58404,-6.56654041303,28.3044,-96.8233,AFWT2
0908090620,FWS.CRP.20090809.LAMAR.02.20090809.062025,0,-3,5,32.7777777778,55,6.7056,-9.0,34.4444444444,64.0,5.813222172,32.7888427734,55.4752959078,-8.52470409216,7.73237,0.475295907836,32.4050231934,70.3361530204,7.03696,-15.3361530204,28.3,-96.82,AFWT2
0908090518,FWS.CRP.20090809.LAMAR.02.20090809.051840,0,-3,57,32.7777777778,55,6.7056,-9.0,34.4444444444,64.0,5.813222172,32.7888427734,55.4752959078,-8.52470409216,7.73237,0.475295907836,32.4050231934,70.3361530204,7.03696,-15.3361530204,28.3,-96.82,AFWT2
0904041433,FWS.CRP.20090404.TURTL.01.20090404.143352,39,6,19,23.3333333333,86,7.15264,25.66,27.8,60.34,10.2888888,,,,,,,,,,27.34167,-97.33667,KNGP
1602131522,FWS.CRP.20160213.NWEBB.01.20160213.152251.2708975275,39,235,8,26.1111111111,33,4.4704,10.14,27.0,22.86,6.68777772,,,,,,28.3986450195,25.5996374672,7.13189,7.40036253281,27.86917,-99.88556,KFTN,0
