date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404090854,FWS.CTP.20140409.SGL22.01.20140409.085451.2419719453,32,-143,366,12.7777777778,30,6.25856,6.18,15.6,23.82,7.20222216,10.62734375,32.0412790908,8.22127909077,6.2,2.04127909077,13.9788757324,30.4599250641,5.35573,-0.459925064052,41.11766,-76.56468,KIPT
1404091308,FWS.CTP.20140409.RANGE.01.20140409.130852.2886643509,5,-15,82,13.8888888889,36,6.7056,17.0,17.2222222222,19.0,3.575388858,11.5986877441,36.4172350818,17.4172350818,6.70181,0.417235081796,15.9898620605,25.8028396859,4.08763,10.1971603141,40.41165,-76.64395,TT247
1404011036,FWS.CTP.20140401.BONNE.01.20140401.103659.2975316868,33,-21,204,15.0,33,4.02336,-1.41,14.4,34.41,5.65888884,14.6291748047,33.4533232556,-0.956676744376,4.52368,0.453323255624,14.7556396484,29.7199790817,3.69693,3.28002091834,41.27974,-77.32006,KIPT
1404011124,FWS.CTP.20140401.FORTD.01.20140401.112412.806979438,27,26,156,16.1111111111,42,4.4704,10.14,17.8,31.86,4.11555552,16.149987793,40.6092488977,8.74924889772,4.6,-1.39075110228,19.0183654785,30.2000752561,3.16453,11.7999247439,39.75,-78.046,KHGR
1403271228,FWS.CTP.20140327.RANGE.01.20140327.122851.2409938580,6,-129,152,5.55555555556,33,6.25856,7.78,7.2,25.22,6.17333328,5.42962036133,34.2901921562,9.07019215616,6.30665,1.29019215616,5.05074462891,37.0770538081,2.91935,-4.0770538081,40.45546,-76.64137,KMUI
1403241303,FWS.CTP.20140324.CLARK.01.20140324.130345.3282349768,11,-7,147,0.555555555556,24,5.81152,1.0,1.11111111111,23.0,3.575388858,-1.33545532227,26.7605901972,3.76059019717,5.1,2.76059019717,0.539208984375,30.0991546103,3.34456,-6.09915461028,40.43,-76.84,TT247
1403241157,FWS.CTP.20140324.B09AR.01.20140324.115754.3167363518,4,-82,183,0.0,25,5.81152,0.49,1.0,24.51,6.68777772,-1.1490234375,26.764049063,2.25404906302,5.7,1.76404906302,0.156213378906,29.4888719364,3.30716,-4.48887193636,40.45853,-76.60656,KMUI
1403231446,FWS.CTP.20140323.BUCKR.01.20140322.144646.67755168,34,141,14,11.6666666667,41,13.4112,28.32,4.0,12.68,5.65888884,2.77352294922,29.5126364836,16.8326364836,6.1893,-11.4873635164,5.07564697266,26.9832901312,3.99559,14.0167098688,40.60093,-77.59807,KUNV
1403230927,FWS.CTP.20140323.BUCKR.02.20140323.092703.283600557,32,167,453,3.33333333333,30,5.81152,17.32,4.0,12.68,5.65888884,2.53908691406,29.3766948472,16.6966948472,6.21329,-0.623305152785,4.74358520508,26.9373616671,4.03308,3.06263833291,40.61556,-77.61417,KUNV
1403230939,FWS.CTP.20140323.BUCKR.01.20140323.093937.4271067906,34,141,321,4.44444444444,28,5.81152,15.32,4.0,12.68,5.65888884,2.77352294922,29.5126364836,16.8326364836,6.1893,1.51263648364,5.07564697266,26.9832901312,3.99559,1.01670986883,40.60093,-77.59807,KUNV
1403181045,FWS.CTP.20140318.BLUEM.01.20140318.104502.145847896,9,-17,315,5.55555555556,46,2.68224,19.6,7.8,26.4,4.11555552,4.95000610352,42.2883185655,15.8883185655,3.1,-3.71168143453,7.20372924805,36.1922586965,2.12046,9.80774130348,40.3735,-76.076,KRDG
1311191544,FWS.CTP.20131119.RANGE.01.20131119.154409.152910821,8,-100,196,7.77777777778,40,7.15264,1.11,7.2,38.89,8.23111104,6.97252807617,42.3475390635,3.45753906346,6.7,2.34753906346,6.66594848633,44.0433892439,6.61182,-4.04338924389,40.416,-76.659,KMUI
1311151319,FWS.CTP.20131115.RANGE.01.20131115.131902.869169011,4,-52,161,12.2222222222,31,2.68224,2.69,12.1,28.31,4.11555552,8.84621582031,35.5038200473,7.19382004727,2.70466,4.50382004727,11.8795715332,28.4729558742,1.74989,2.52704412579,40.45796,-76.616,KMUI
