date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403271352,FWS.CYS.20140327.MATHE.01.20140327.135208.733544140,13,49,68,8.33333333333,42,7.15264,-9.22,8.3,51.22,8.74555548,8.37145385742,41.9918676085,-9.22813239149,8.6033,-0.00813239149365,5.25505981445,64.6903844184,7.85026,-22.6903844184,41.17583,-103.11583,KSNY
1403141445,FWS.CYS.20140314.MATHE.01.20140314.144505.3523845370,13,49,15,15.5555555556,24,5.36448,10.84,16.7,13.16,7.7166666,13.8083740234,29.1578963187,15.9978963187,5.7,5.15789631868,15.3821350098,17.8476899022,6.06752,6.15231009784,41.17583,-103.11583,KSNY
1312031633,FWS.CYS.20131203.PILEB.01.20131203.163357.1033073113,8,0,237,-2.22222222222,72,8.04672,-6.0,-3.33333333333,78.0,5.813222172,-4.46921386719,69.4965096654,-8.50349033459,7.50646,-2.50349033459,,,,,41.15056,-106.10917,SAWW4
1309241244,FWS.CYS.20130924.MONTG.02.20130924.124419.4273151907,33,-202,226,17.7777777778,18,8.9408,-6.0,19.4444444444,24.0,11.1737332368,17.5299621582,21.0141400127,-2.98585998732,14.0356,3.01414001268,16.4034667969,19.8095914342,10.4367,-1.80959143418,41.59594,-107.43816,COWW4
1309231508,FWS.CYS.20130923.MONTG.02.20130922.150844.3017574421,33,-180,112,16.6666666667,46,8.04672,16.0,13.8888888889,30.0,9.38861103,14.4921508789,39.4710519837,9.47105198369,9.8,-6.52894801631,11.729699707,31.2101825938,8.81728,14.7898174062,41.59594,-107.43817,COWW4
1309232111,FWS.CYS.20130923.MONTG.01.20130920.211156.3787463608,30,-285,281,17.7777777778,15,4.02336,-9.93,15.6,24.93,11.83222212,14.4921508789,39.4710519837,14.5410519837,9.8,24.4710519837,11.729699707,31.2101825938,8.81728,-16.2101825938,41.59594,-107.43817,KRWL
1309211637,FWS.CYS.20130921.290FI.01.20130921.163731.51325653,39,117,7,28.8888888889,15,8.9408,2.0,31.6666666667,13.0,3.1278221952,28.3788696289,17.5283212971,4.52832129708,7.17112,2.52832129708,29.9959960938,11.2164353318,6.12575,3.78356466818,42.04399,-104.95196,TS954
1305191512,FWS.CYS.20130519.MORGA.01.20130519.151209.1368976329440,45,-120,168,8.88888888889,57,8.9408,6.72,11.7,50.28,10.2888888,11.7637268066,46.3656595387,-3.91434046126,8.00764,-10.6343404613,9.58672485352,63.5245232479,10.2977,-6.52452324789,42.1728,-106.9537,KRWL
1305181214,FWS.CYS.20130518.MORGA.01.20130518.121448.1368879287852,45,-120,346,15.5555555556,25,8.9408,-1.2,17.2,26.2,14.40444432,17.3321166992,27.1781080559,0.978108055929,8.71381,2.17810805593,18.0704284668,17.4431969679,6.57768,7.55680303205,42.1728,-106.9537,KRWL
1305181442,FWS.CYS.20130518.MORGA.01.20130518.144259.1368888179065,45,-120,198,14.4444444444,34,8.04672,7.8,17.2,26.2,14.40444432,17.3321166992,27.1781080559,0.978108055929,8.71381,-6.82189194407,18.0704284668,17.4431969679,6.57768,16.5568030321,42.1728,-106.9537,KRWL
