date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404081239,FWS.DLH.20140408.CUBAH.01.20140408.123916.4244510915,9,0,141,10.5555555556,36,6.7056,-0.0,8.88888888889,36.0,4.4705221836,10.5211120605,36.4405768921,0.440576892141,4.71484,0.440576892141,9.18889770508,35.2408258839,4.1336,0.759174116129,47.365,-94.48972,CASM5
1404071453,FWS.DLH.20140407.CUBAH.01.20140407.145343.52849575,9,0,7,10.0,50,4.91744,19.0,10.5555555556,31.0,4.4705221836,9.53896484375,49.666121387,18.666121387,5.46741,-0.333878613037,10.8935180664,38.7387602617,4.54159,11.2612397383,47.365,-94.49,CASM5
1309261652,FWS.DLH.20130926.11WES.03.20130926.165229.2609612546,22,18,128,22.2222222222,46,5.36448,-1.0,24.4444444444,47.0,4.0229555208,22.7491699219,52.4438277768,5.44382777683,6.19919,6.44382777683,24.4642578125,47.5608047335,4.29002,-1.56080473346,46.31508,-91.83607,MRZW3
1309261620,FWS.DLH.20130926.11WES.01.20130926.162003.804237361,22,18,160,22.2222222222,46,5.36448,-1.0,24.4444444444,47.0,4.0229555208,22.7491699219,52.4438277768,5.44382777683,6.19919,6.44382777683,24.4642578125,47.5608047335,4.29002,-1.56080473346,46.31508,-91.83607,MRZW3
1309261647,FWS.DLH.20130926.11WES.03.20130926.164755.3168426830,22,18,133,22.2222222222,46,5.36448,-1.0,24.4444444444,47.0,4.0229555208,22.7491699219,52.4438277768,5.44382777683,6.19919,6.44382777683,24.4642578125,47.5608047335,4.29002,-1.56080473346,46.31508,-91.83607,MRZW3
1309261257,FWS.DLH.20130926.FORES.01.20130926.125716.1694366263,0,-20,183,22.2222222222,53,8.49376,4.0,24.4444444444,49.0,4.0229555208,22.4642883301,54.2178542893,5.21785428928,6.98571,1.21785428928,24.1383605957,49.4488365097,5.86597,3.55116349033,48.16452,-92.5688,TR669
1309251259,FWS.DLH.20130925.FORES.02.20130925.125959.2383562134,0,-20,181,22.2222222222,45,3.57632,3.0,24.4444444444,42.0,3.1278221952,22.4642883301,47.9508797591,5.95087975908,3.88822,2.95087975908,23.9207397461,42.5790144896,4.02308,2.42098551037,48.16452,-92.5688,TR669
1309241149,FWS.DLH.20130924.IUNIT.01.20130924.114957.2964194966,2,5,311,22.2222222222,51,1.34112,13.0,23.8888888889,38.0,2.6802555324,22.2499938965,48.3753698295,10.3753698295,5.1,-2.62463017054,23.6340270996,38.0562704596,3.88086,12.9437295404,45.94889,-92.61556,SCXM5
1309241033,FWS.DLH.20130924.BEARI.01.20130924.103332.2858574266,12,9,207,21.1111111111,57,1.34112,16.37,22.0,40.63,4.62999996,20.550012207,52.7139698132,12.0839698132,5.1,-4.28603018681,22.3805480957,48.1625761883,4.61749,8.83742381167,47.77017,-91.98783,KELO
1309171620,FWS.DLH.20130917.MITAW.01.20130917.162039.1379434836462,9,88,40,18.3333333333,37,4.91744,-12.0,17.7777777778,49.0,4.4705221836,18.8201538086,38.6878252932,-10.3121747068,6.158,1.68782529321,18.4827514648,47.6124352072,6.60171,-10.6124352072,47.69833,-91.43778,ISAM5
