date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091126,FWS.DMX.20140409.BETTS.01.20140409.112623.501849496,14,28,124,23.3333333333,20,10.28192,1.68,23.0,18.32,10.80333324,23.5870910645,19.9778382318,1.65783823182,10.6683,-0.0221617681785,23.0732971191,21.6772777871,8.50194,-1.67727778709,41.7292,-93.7332,KIKV
1404090930,FWS.DMX.20140409.CONEF.01.20140409.093005.2383649577,0,-3,210,23.3333333333,21,11.176,3.0,22.7777777778,18.0,10.2837443556,23.35,21.2605132902,3.26051329019,10.8,0.260513290192,22.0104919434,21.9343669708,9.09506,-0.934366970833,41.573,-93.265,NSWI4
1404081349,FWS.DMX.20140408.BIGCR.01.20140408.134934.1540063569,21,1,251,12.2222222222,41,7.15264,1.72,12.2,39.28,9.77444436,12.1166320801,42.9242881593,3.64428815934,7.2,1.92428815934,12.682611084,38.4774692702,7.34476,2.52253072978,41.826,-93.758,KAMW
1404080911,FWS.DMX.20140408.PLCWE.01.20140408.091128.1763622478,2,9,379,13.3333333333,38,8.9408,5.0,13.8888888889,33.0,10.2837443556,13.083581543,39.0544415161,6.05444151612,8.17661,1.05444151612,13.220513916,38.7839402522,8.26342,-0.783940252217,41.558,-93.28,NSWI4
1404070910,FWS.DMX.20140407.PLCWE.01.20140407.091022.2291662127,2,9,410,16.6666666667,46,5.81152,13.0,17.7777777778,33.0,8.0459110416,16.6375061035,45.9605582709,12.9605582709,5.7,-0.0394417291444,16.8989196777,37.8863821041,6.08381,8.11361789585,41.558,-93.28,NSWI4
1404071249,FWS.DMX.20140407.BANNE.02.20140407.124956.1327634631,15,-13,341,16.6666666667,44,6.25856,9.15,17.2,34.85,7.7166666,16.649987793,45.9241708982,11.0741708982,5.8506,1.92417089821,17.0544372559,36.7213389436,4.17675,7.27866105637,41.45725,-93.51267,KDSM
1404071448,FWS.DMX.20140407.BOONE.01.20140407.144828.2449469919,14,53,132,15.5555555556,49,6.7056,-5.62,16.0,54.62,12.34666656,15.550012207,49.2588948765,-5.36110512346,6.7,0.258894876542,14.9996582031,53.3434309319,6.91014,-4.34343093195,42.314,-93.938,KEBS
1404071234,FWS.DMX.20140407.BANNE.01.20140407.123439.728660162,16,-13,116,16.6666666667,44,6.25856,9.15,17.2,34.85,7.7166666,16.649987793,45.9241708982,11.0741708982,5.75734,1.92417089821,17.1864257813,36.1040668701,4.30384,7.89593312988,41.46892,-93.49156,KDSM
1404011105,FWS.DMX.20140401.BOBOL.01.20140401.110526.2559419609,3,7,385,9.44444444444,37,10.28192,-2.0,7.77777777778,39.0,8.0459110416,9.13237915039,34.9309787219,-4.06902127809,7.2,-2.06902127809,6.85216674805,44.8943172348,7.54415,-7.89431723477,41.58,-93.299,NSWI4
1404011319,FWS.DMX.20140401.COLFA.01.20140401.131906.2776255006,12,-31,311,8.88888888889,38,11.176,-1.0,7.77777777778,39.0,8.0459110416,8.53426513672,36.4103584515,-2.58964154853,7.2,-1.58964154853,6.58886108398,47.2627032321,7.71465,-9.26270323215,41.67478,-93.30206,NSWI4
