date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404051231,FWS.ILM.20140405.SHAKE.01.20140405.123143.4066894516,8,-9,14,24.4444444444,30,6.7056,7.0,29.4444444444,23.0,4.4705221836,22.632409668,35.2838020536,12.2838020536,4.08839,5.28380205357,27.845513916,24.9970142878,4.58176,5.0029857122,34.59183,-77.66433,BKIN7
1403011812,FWS.LWX.20140301.ROCKS.02.20140301.181235.1646648970,7,-128,28,8.33333333333,28,3.57632,3.0,8.88888888889,25.0,4.9180888464,8.45327148438,26.7903298318,1.79032983182,4.11967,-1.20967016818,10.3697143555,21.374795462,3.90764,6.62520453801,38.17011,-78.80003,CROV2
1403010904,FWS.LWX.20140301.ROCKS.01.20140301.090438.3498853319,7,-128,9,9.44444444444,26,3.12928,1.0,8.88888888889,25.0,4.9180888464,8.45327148438,26.7903298318,1.79032983182,4.11967,0.790329831816,10.3697143555,21.374795462,3.90764,4.62520453801,38.17011,-78.80003,CROV2
1402231701,FWS.CHS.20140223.TUPEL.01.20140223.170118.2122464573,25,-19,15,21.1111111111,55,3.12928,-0.41,17.0,55.41,3.08666664,20.8924194336,57.7599674791,2.34996747906,3.33848,2.75996747906,17.967401123,64.0011688101,1.82386,-9.00116881006,33.1036,-79.4308,KGGE
1402231416,FWS.RNK.20140223.SLIDE.01.20140223.141626.263144770,21,-64,18,15.5555555556,27,4.91744,6.0,17.7777777778,21.0,3.1278221952,16.4389282227,32.2515396558,11.2515396558,5.91305,5.25153965582,15.6397644043,27.2237624614,4.42341,-0.22376246139,37.14833,-81.01,SFRV2
1401281340,FWS.GSP.20140128.OAKEY.01.20140128.134029.1165021469,14,-131,44,0.0,18,2.2352,-12.0,-0.555555555556,30.0,2.2326888696,-3.90653076172,55.5971753288,25.5971753288,1.23508,37.5971753288,,,,,34.93639,-83.16083,WLHS1
1401271753,FWS.GSP.20140127.JONES.01.20140127.175356.2574163492,18,-3,20,12.2222222222,44,5.81152,10.29,14.5,33.71,6.68777772,5.63289794922,38.4827199576,4.77271995761,6.68151,-5.51728004239,,,,,35.98002,-81.67982,KMRN
1401271143,FWS.GSP.20140127.OAKEY.01.20140127.114331.955805926,14,-131,17,8.88888888889,42,5.36448,10.0,17.2222222222,32.0,2.6802555324,9.98098144531,37.454500379,5.45450037902,6.16809,-4.54549962098,,,,,34.93652,-83.16087,WLHS1
1312221241,FWS.LWX.20131222.FRIDL.01.20131222.124126.55138620,44,-97,12,21.1111111111,68,9.38784,-6.0,16.6666666667,74.0,4.4705221836,20.4251037598,68.6635826912,-5.33641730881,11.9759,0.663582691193,,,,,38.49139,-78.69361,CROV2
1312201844,FWS.GSP.20131220.REDTA.01.20131220.184406.861013328,8,-245,132,15.5555555556,28,3.57632,-8.0,16.1111111111,36.0,1.7902666512,15.2713867188,44.8199316004,8.8199316004,5.7,16.8199316004,,,,,35.48528,-83.34056,TOSN7
1312191759,FWS.GSP.20131219.REDTA.01.20131219.175944.1291943690,8,-245,9,15.5555555556,21,2.68224,-2.0,15.5555555556,23.0,0.8951333256,15.972467041,20.4117997551,-2.58820024491,2.70109,-0.588200244914,,,,,35.48528,-83.34056,TOSN7
1311250933,FWS.LWX.20131125.SOUTH.01.20131125.093347.2026072851,6,-160,7,3.88888888889,27,4.02336,8.0,5.0,19.0,3.1278221952,2.58080444336,26.5126002239,7.51260022387,5.05392,-0.487399776126,3.44423828125,24.8867461055,3.22541,2.11325389447,38.78833,-78.42944,FVRV2
1311251437,FWS.RNK.20131125.LANDF.01.20131125.143752.1481651250,19,-18,40,2.77777777778,24,2.68224,-7.71,3.1,31.71,3.08666664,2.74999389648,28.1958159211,-3.51418407895,3.1,4.19581592105,1.9225402832,40.5128930695,1.7371,-16.5128930695,36.80167,-81.16639,KMKJ
1311240924,FWS.LWX.20131124.SOUTH.01.20131124.092406.3629324605,6,-160,43,-1.11111111111,30,7.59968,3.0,-2.22222222222,27.0,6.2607888348,-2.64938964844,32.0174704451,5.01747044507,9.72097,2.01747044507,-1.90433349609,29.1753766842,3.1002,0.824623315826,38.78833,-78.42944,FVRV2
1311230913,FWS.LWX.20131123.SOUTH.01.20131123.091330.2704519021,6,-160,22,8.88888888889,38,5.81152,11.0,9.44444444444,27.0,4.0229555208,7.63561401367,40.9531311376,13.9531311376,7.93639,2.95313113758,8.93346557617,30.9391065342,3.9763,7.06089346576,38.78833,-78.42944,FVRV2
1311231718,FWS.LWX.20131123.SMOKE.01.20131123.171804.337211156,7,-257,5,4.44444444444,47,5.36448,9.0,5.55555555556,38.0,5.3656555092,5.40297851563,44.9244826926,6.92448269259,8.20347,-2.07551730741,4.39400634766,61.8918264849,8.30759,-14.8918264849,38.88333,-79.28333,UPTW2
1311221110,FWS.LWX.20131122.SOUTH.01.20131122.111001.1511191120,6,-160,15,16.1111111111,75,2.68224,15.0,18.8888888889,60.0,3.1278221952,15.2001586914,72.0810822624,12.0810822624,3.88247,-2.91891773758,18.0228210449,55.8386456944,4.10323,19.1613543056,38.78833,-78.42944,FVRV2
1311221151,FWS.RNK.20131122.LANDF.01.20131122.115144.1933868272,19,-18,21,16.1111111111,69,4.02336,3.19,18.1,65.81,6.17333328,15.8950134277,66.266369171,0.456369171032,5.1,-2.73363082897,15.9692626953,82.2686884157,4.07437,-13.2686884157,36.80167,-81.16639,KMKJ
1311221447,FWS.LWX.20131122.SMOKE.01.20131122.144741.1145572148,7,-257,11,16.1111111111,64,3.57632,6.0,17.2222222222,58.0,4.0229555208,14.7238098145,69.4315886971,11.4315886971,4.10803,5.43158869711,14.3127990723,76.0750208603,2.98702,-12.0750208603,38.88333,-79.28333,UPTW2
1311211148,FWS.LWX.20131121.SOUTH.01.20131121.114855.1882928899,6,-160,26,10.0,65,2.68224,7.0,11.1111111111,58.0,1.7902666512,9.01452026367,63.4949502926,5.49495029257,3.6,-1.50504970743,10.8533874512,68.7725146606,1.72102,-3.77251466059,38.78833,-78.42944,FVRV2
1311211546,FWS.RNK.20131121.LANDF.01.20131121.154628.2613346249,19,-18,35,10.5555555556,67,2.68224,9.21,15.2,57.79,5.1444444,9.45000610352,62.687465172,4.89746517197,3.1,-4.31253482803,14.1934753418,74.41510406,2.4629,-7.41510406,36.80167,-81.16639,KMKJ
1311201144,FWS.LWX.20131120.SOUTH.01.20131120.114423.411996287,6,-160,5,8.33333333333,32,2.68224,-0.0,8.88888888889,32.0,1.7902666512,6.74456176758,34.377659912,2.37765991202,3.1,2.37765991202,7.1124206543,33.4767546353,1.97349,-1.47675463528,38.78833,-78.42944,FVRV2
1311201602,FWS.RNK.20131120.LANDF.01.20131120.160217.2222074820,19,-18,13,7.22222222222,38,2.68224,4.6,9.4,33.4,5.1444444,7.74999389648,35.2636995184,1.86369951844,3.6,-2.73630048156,8.45995483398,46.7465073576,3.14241,-8.74650735756,36.80167,-81.16639,KMKJ
1311191753,FWS.OKX.20131119.STATE.01.20131119.175335.950063288,10,-23,7,10.5555555556,33,7.59968,-2.8,9.7,35.8,8.23111104,8.18798217773,29.2120734812,-6.58792651883,9.25379,-3.78792651883,8.45159301758,40.8720785001,9.81699,-7.87207850009,40.52802,-74.19278,KLDJ
1311191826,FWS.RNK.20131119.LANDF.02.20131119.182636.123493912,19,-18,15,10.0,30,3.57632,2.31,9.6,27.69,3.08666664,6.14998779297,39.3536329445,11.6636329445,5.7,9.3536329445,8.27514038086,47.080486763,4.57196,-17.080486763,36.80167,-81.16639,KMKJ
1311191533,FWS.RNK.20131119.LANDF.01.20131119.153319.2327159610,19,-18,15,7.22222222222,35,4.4704,7.31,9.6,27.69,3.08666664,6.14998779297,39.3536329445,11.6636329445,5.7,4.3536329445,8.27514038086,47.080486763,4.57196,-12.080486763,36.80167,-81.16639,KMKJ
1311191842,FWS.RNK.20131119.LANDF.02.20131119.184201.2072299434,19,-18,31,10.0,30,3.57632,2.31,9.6,27.69,3.08666664,6.14998779297,39.3536329445,11.6636329445,5.7,9.3536329445,8.27514038086,47.080486763,4.57196,-17.080486763,36.80167,-81.16639,KMKJ
1311191138,FWS.LWX.20131119.SOUTH.01.20131119.113826.2409450388,6,-152,5,9.44444444444,38,4.91744,-3.0,7.22222222222,41.0,4.0229555208,8.05516967773,39.0276952114,-1.97230478864,6.2,1.02769521136,7.01046142578,45.1928170964,1.54359,-7.19281709643,38.78833,-78.42944,FVRV2
1311181808,FWS.LWX.20131118.SMOKE.03.20131118.180855.3595009102,7,-257,11,15.0,26,7.59968,3.0,15.5555555556,23.0,5.813222172,14.2593017578,32.6967029309,9.6967029309,8.42073,6.6967029309,13.4113098145,39.544584866,8.62106,-13.544584866,38.88333,-79.28333,UPTW2
1311181138,FWS.LWX.20131118.SMOKE.01.20131118.113831.3799894568,7,-257,8,13.8888888889,32,7.59968,9.0,15.5555555556,23.0,5.813222172,14.2593017578,32.6967029309,9.6967029309,8.42073,0.696702930899,13.4113098145,39.544584866,8.62106,-7.54458486603,38.88333,-79.28333,UPTW2
1311181354,FWS.LWX.20131118.SMOKE.02.20131118.135403.554730242,7,-257,20,15.0,30,7.59968,7.0,15.5555555556,23.0,5.813222172,14.2593017578,32.6967029309,9.6967029309,8.42073,2.6967029309,13.4113098145,39.544584866,8.62106,-9.54458486603,38.88333,-79.28333,UPTW2
1311171633,FWS.RNK.20131117.LANDF.01.20131117.163317.2081167873,21,-262,34,16.6666666667,73,5.81152,11.2,19.1,61.8,4.62999996,16.149987793,77.700142791,15.900142791,5.5893,4.70014279104,16.7623535156,78.2535128901,2.95415,-5.25351289012,36.81,-81.14233,KMKJ
1311171803,FWS.LWX.20131117.SMOKE.02.20131117.180349.3942207775,7,-257,8,17.7777777778,67,6.25856,-2.0,16.6666666667,69.0,4.4705221836,17.5272766113,62.518925619,-6.48107438097,5.70803,-4.48107438097,16.8401428223,68.0958624467,6.15074,-1.09586244671,38.88333,-79.28333,UPTW2
1311171550,FWS.LWX.20131117.SMOKE.01.20131117.155030.653684129,7,-257,16,17.7777777778,65,4.4704,-4.0,16.6666666667,69.0,4.4705221836,17.5272766113,62.518925619,-6.48107438097,5.70803,-2.48107438097,16.8401428223,68.0958624467,6.15074,-3.09586244671,38.88333,-79.28333,UPTW2
1311171333,FWS.GSP.20131117.TABLE.01.20131117.133325.3386988826,9,-88,44,16.6666666667,77,3.57632,-23.0,11.6666666667,100.0,0.0,16.3469482422,77.7387817001,-22.2612182999,3.85723,0.738781700134,13.6489501953,88.3773415038,2.52711,-11.3773415038,35.88639,-81.88583,NCVN7
1311161546,FWS.RNK.20131116.LANDF.01.20131116.154642.1726668104,21,-292,19,13.8888888889,70,2.68224,-26.12,12.1,96.12,4.11555552,14.9500061035,62.0888798757,-34.0311201243,2.06665,-7.91112012433,11.2099853516,94.2644675584,1.94025,-24.2644675584,36.81,-81.14233,KMKJ
1311161826,FWS.RNK.20131116.RIVER.01.20131116.182625.3918836626,10,32,17,14.4444444444,72,2.2352,-12.0,12.7777777778,84.0,0.4475666628,14.2218261719,72.5158346172,-11.4841653828,2.01947,0.5158346172,13.5829406738,84.6931137124,1.41548,-12.6931137124,37.6008,-79.399,GLNV2
1311161907,FWS.OKX.20131116.HADDA.01.20131116.190730.3488877255,8,-4,51,16.6666666667,42,1.34112,8.35,16.0,33.65,4.11555552,12.6646057129,46.2168296746,12.5668296746,2.1,4.21682967456,14.950982666,38.4836927188,2.51567,3.51630728121,41.45876,-72.53899,KSNC
1311161447,FWS.LWX.20131116.SMOKE.01.20131116.144722.1965967194,7,-105,45,16.1111111111,55,1.34112,-0.0,17.2222222222,55.0,2.2326888696,15.889276123,55.5006262277,0.500626227739,2.1,0.500626227739,17.8022399902,54.3052819625,4.74675,0.694718037501,38.88333,-79.28333,UPTW2
1311151426,FWS.OKX.20131115.ORANG.02.20131115.142651.1306968816,19,60,56,14.4444444444,29,2.68224,9.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-0.435395982421,12.093347168,31.0955232966,2.86683,-2.09552329659,41.07146,-73.93783,KHPN
1311151600,FWS.RNK.20131115.LANDF.01.20131115.160005.2446477295,19,-268,43,14.4444444444,28,4.4704,7.33,14.9,20.67,6.17333328,11.2061096191,33.5610671351,12.8910671351,3.1,5.56106713512,14.2268005371,31.3307334548,3.61921,-3.33073345481,36.81,-81.159,KMKJ
1311151245,FWS.OKX.20131115.ORANG.02.20131116.124527.1569078583,19,60,45,14.4444444444,44,2.2352,24.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-15.4353959824,12.093347168,31.0955232966,2.86683,12.9044767034,41.07146,-73.93783,KHPN
1311151251,FWS.OKX.20131115.ORANG.02.20131117.125137.1593802154,19,60,39,17.7777777778,67,2.2352,47.33,13.3,19.67,3.08666664,12.8472229004,28.5646040176,8.89460401758,3.1,-38.4353959824,12.093347168,31.0955232966,2.86683,35.9044767034,41.07146,-73.93783,KHPN
1311151608,FWS.GSP.20131115.TABLE.01.20131115.160821.872119822,7,-88,30,12.7777777778,27,2.68224,-16.0,11.1111111111,43.0,0.0,11.4630981445,46.8715840487,3.87158404874,2.60305,19.8715840487,11.5931640625,44.1859957096,1.20018,-17.1859957096,35.86356,-81.88231,NCVN7
1311151918,FWS.RNK.20131115.LANDF.02.20131115.191832.2154725384,19,-268,28,16.1111111111,38,2.68224,17.33,14.9,20.67,6.17333328,11.2061096191,33.5610671351,12.8910671351,3.1,-4.43893286488,14.2268005371,31.3307334548,3.61921,6.66926654519,36.81,-81.159,KMKJ
1311151859,FWS.LWX.20131115.SMOKE.01.20131115.185936.1347827561,7,-28,14,13.8888888889,27,2.68224,14.0,18.3333333333,13.0,2.2326888696,13.0847106934,20.8405457194,7.84054571936,3.31271,-6.15945428064,16.3780456543,20.2888916366,4.35331,6.71110836341,38.88333,-79.28333,UPTW2
1311141702,FWS.RNK.20131114.RIVER.01.20131114.170246.4168983775,10,83,17,15.5555555556,17,4.4704,4.0,16.6666666667,13.0,1.3426999884,12.0167480469,23.1700014666,10.1700014666,3.71846,6.1700014666,16.2026000977,11.5079678073,3.44792,5.49203219272,37.60078,-79.39814,GLNV2
1311141542,FWS.RNK.20131114.LANDF.01.20131114.154249.600635648,19,-219,16,12.7777777778,23,4.4704,5.86,11.6,17.14,7.20222216,9.75423583984,26.5284045465,9.38840454647,3.6,3.52840454647,11.1670166016,26.9655331901,4.99125,-3.96553319015,36.81,-81.159,KMKJ
1311141908,FWS.RNK.20131114.RIVER.02.20131114.190841.1239047797,10,32,10,15.5555555556,20,2.68224,7.0,16.6666666667,13.0,1.3426999884,11.967767334,23.2175584994,10.2175584994,3.7476,3.21755849937,16.1137329102,11.5621994493,3.48856,8.43780055073,37.60083,-79.39972,GLNV2
1311131655,FWS.RNK.20131113.LANDF.02.20131113.165547.623180073,19,109,397,1.66666666667,38,5.36448,-1.39,3.6,39.39,7.20222216,2.0118347168,36.9769233925,-2.41307660753,6.2,-1.02307660753,3.51821289063,42.2874026078,3.99396,-4.28740260779,36.80167,-81.165,KMKJ
1311131043,FWS.RNK.20131113.LANDF.02.20131113.104319.3923018699,19,109,25,2.22222222222,38,5.81152,-1.39,3.6,39.39,7.20222216,2.0118347168,36.9769233925,-2.41307660753,6.2,-1.02307660753,3.51821289063,42.2874026078,3.99396,-4.28740260779,36.80167,-81.165,KMKJ
1311131826,FWS.RNK.20131113.LANDF.03.20131113.182623.1546502308,19,109,10,4.44444444444,30,4.02336,-9.39,3.6,39.39,7.20222216,2.0118347168,36.9769233925,-2.41307660753,6.2,6.97692339247,3.51821289063,42.2874026078,3.99396,-12.2874026078,36.80167,-81.165,KMKJ
1311121049,FWS.RNK.20131112.KATHR.01.20131112.104954.3281561963,14,16,13,6.66666666667,48,6.7056,8.37,6.1,39.63,7.7166666,5.18850097656,52.8119194977,13.1819194977,6.7,4.81191949772,8.23150024414,49.1450107947,6.52503,-1.14501079473,37.1928,-79.93657,KROA
1311121643,FWS.GSP.20131112.TABLE.01.20131112.164352.982886165,8,-256,15,12.2222222222,44,6.25856,-7.0,8.88888888889,51.0,5.813222172,6.47048339844,59.8230379452,8.82303794519,7.97603,15.8230379452,9.72557983398,51.251317319,6.32306,-7.25131731903,35.88338,-81.88477,NCVN7
1311081709,FWS.RNK.20131108.PEACH.01.20131108.170955.3830505779,37,101,20,6.11111111111,33,6.25856,-13.0,4.44444444444,46.0,3.575388858,4.61663208008,51.7634364355,5.7634364355,6.94981,18.7634364355,5.21236572266,41.3100238553,7.48073,-8.31002385528,37.94083,-80.27111,MARW2
1311071654,FWS.BOX.20131107.QUINC.01.20131107.165431.1790599727,6,182,7,16.6666666667,77,8.9408,2.22,16.7,74.78,7.7166666,15.550012207,67.7300502663,-7.04994973371,8.03762,-9.26994973371,18.5150390625,77.545723127,7.10113,-0.545723127024,42.23498,-71.03625,KMQE
1308251340,FWS.CTP.20130825.KETTL.01.20130825.134044.1377438044340,19,163,4,27.2222222222,35,3.12928,-6.0,25.0,41.0,3.1278221952,24.9500061035,38.2653168389,-2.73468316115,3.1,3.26531683885,26.7560058594,47.8731479709,4.86692,-12.8731479709,41.349,-77.93,COFP1
1306051305,FWS.CHS.20130605.HICKE.01.20130605.130503.1370437503801,36,4,31,27.7777777778,79,4.4704,-4.71,28.0,83.71,6.68777772,26.2594543457,78.6734866082,-5.03651339177,4.25193,-0.326513391768,26.0079284668,80.820174393,6.09455,-1.82017439297,31.48582,-81.20599,KBQK
1305171307,FWS.MHX.20130517.G10__.01.20130517.130733.1368796053808,19,3,20,29.4444444444,49,3.12928,-11.08,26.7,60.08,4.62999996,29.5753723145,47.4188653076,-12.6611346924,3.71405,-1.5811346924,25.9747558594,62.5919236928,4.51794,-13.5919236928,34.65444,-77.23528,KNJM
1305021615,FWS.CTP.20130502.WYKOF.01.20130502.161547.1367511347647,29,-129,9,22.7777777778,24,3.57632,9.89,23.3,14.11,7.20222216,21.3608947754,23.9888214016,9.87882140157,3.6,-0.011178598432,21.690423584,14.9096249378,6.39305,9.09037506219,41.24111,-78.17944,KFIG
1304271224,FWS.GSP.20130427.QUEBE.01.20130427.122419.1367065459814,24,213,5,14.4444444444,63,2.68224,-15.0,10.5555555556,78.0,1.7902666512,13.163659668,63.1383520842,-14.8616479158,2.75803,0.138352084175,11.2979370117,93.3905254819,1.75565,-30.3905254819,35.13897,-82.85275,DARN7
