date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091308,FWS.EAX.20140409.MACON.01.20140409.130804.4130790571,9,7,112,20.0,26,8.9408,1.0,20.5555555556,25.0,7.150777716,20.5213256836,26.3800295107,1.38002951066,8.7,0.380029510657,20.6601196289,22.0300212657,6.72513,3.96997873428,39.77989,-92.51306,ATAM7
1404081323,FWS.EAX.20140408.UNIT9.01.20140408.132303.2577769054,27,34,277,14.4444444444,31,8.9408,7.34,15.0,23.66,9.77444436,14.4500061035,33.2596211469,9.59962114689,8.7,2.25962114689,14.754296875,25.0469221364,7.87333,5.95307786361,40.0928,-95.2716,KFNB
1404071256,FWS.EAX.20140407.BLUFF.01.20140407.125636.1869054056,31,34,184,16.1111111111,39,7.15264,9.3,18.3,29.7,5.1444444,15.550012207,42.2353179831,12.5353179831,5.7,3.23531798306,17.5781188965,39.7267383013,6.89826,-0.726738301322,40.105,-95.225,KFNB
1403281300,FWS.EAX.20140328.BLUFF.01.20140328.130008.2006710478,31,34,240,8.88888888889,51,2.68224,11.72,11.7,39.28,3.60111108,9.45000610352,47.5082482669,8.22824826688,2.6,-3.49175173312,8.69176635742,58.88851257,3.88382,-7.88851256997,40.105,-95.225,KFNB
1403251254,FWS.EAX.20140325.UNIT1.01.20140325.125404.1107071537,48,-14,306,4.44444444444,31,8.04672,9.42,4.4,21.58,10.80333324,,,,,,4.49318847656,20.0134905104,9.65301,10.9865094896,40.105,-95.2708,KSTJ
1403231336,FWS.EAX.20140323.1250R.01.20140323.133645.1734448568,3,-2,9,6.66666666667,25,5.36448,-4.0,6.66666666667,29.0,3.575388858,6.52590332031,25.88598665,-3.11401334995,5.1,0.885986650047,6.21389160156,31.0481007619,5.36104,-6.04810076187,38.2075,-94.65806,TRDK1
1403201404,FWS.EAX.20140320.THILL.01.20140320.140419.2511627034,32,36,116,18.3333333333,30,6.7056,7.0,19.4444444444,23.0,5.3656555092,17.1465698242,34.0013100925,11.0013100925,6.7,4.00131009252,19.8614135742,21.3973986994,5.35368,8.6026013006,39.587,-92.614,ATAM7
1403201230,FWS.EAX.20140320.LONGB.02.20140320.123023.685918936,8,10,210,17.2222222222,27,5.81152,4.0,19.4444444444,23.0,5.3656555092,16.149987793,34.6866697804,11.6866697804,6.2,7.68666978041,19.3093811035,22.129799045,5.00707,4.87020095501,39.79,-92.53,ATAM7
1403201222,FWS.EAX.20140320.LOESI.01.20140320.122246.3381805462,5,1,218,18.8888888889,25,6.7056,9.55,20.2,15.45,7.7166666,18.5769592285,29.761543172,14.311543172,7.2,4.76154317198,20.3256164551,19.4254520702,6.20926,5.57454792981,38.9554,-92.6154,KVER
1403201407,FWS.EAX.20140320.ATLAN.01.20140320.140740.696806632,1,4,113,17.7777777778,28,5.81152,5.0,19.4444444444,23.0,5.3656555092,16.149987793,33.4628895095,10.4628895095,6.2,5.4628895095,19.1282897949,22.5318262167,4.93573,5.46817378332,39.853,-92.517,ATAM7
1403141320,FWS.EAX.20140314.WATTL.02.20140314.132028.3719574226,3,2,10,19.4444444444,22,9.38784,5.0,19.4444444444,17.0,6.2607888348,17.7499938965,27.6571972777,10.6571972777,6.70613,5.65719727765,18.9450622559,22.5513957339,6.32237,-0.551395733882,38.2075,-94.65806,TRDK1
1403131314,FWS.EAX.20140313.UNIT2.02.20140313.131426.1669698475,27,34,16,20.0,17,7.15264,-4.01,19.4,21.01,8.23111104,18.4105773926,26.0948055024,5.08480550242,6.2,9.09480550242,19.295892334,22.9994478784,6.7882,-5.99944787844,40.0679,-95.2651,KFNB
