date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404081532,FWS.EPZ.20140408.SLAUG.02.20140408.153205.2305760321,1,54,12,10.0,8,3.57632,-2.0,21.1111111111,10.0,3.575388858,15.924798584,10.3212253118,0.321225311769,3.57919,2.32122531177,18.5749145508,11.3384501186,4.69643,-3.3384501186,34.04925,-108.44194,SLMN5
1404031442,FWS.EPZ.20140403.SOUTH.01.20140403.144204.956289827,3,-27,3,11.6666666667,11,9.83488,-5.64,9.0,16.64,12.34666656,10.4970947266,11.0659797147,-5.57402028533,13.5406,0.0659797146707,9.4655090332,14.8760042293,8.60399,-3.87600422929,33.45278,-105.56583,KSRR
1403281602,FWS.EPZ.20140328.SOUTH.01.20140328.160220.3148627733,3,-27,2,13.8888888889,16,6.25856,-1.92,14.0,17.92,8.74555548,13.9475952148,16.468692822,-1.45130717803,7.74436,0.468692821969,14.1338439941,18.943569951,7.25754,-2.94356995103,33.45278,-105.56583,KSRR
1403271804,FWS.EPZ.20140327.SOUTH.01.20140327.180409.1988364433,3,-27,19,15.5555555556,16,8.9408,-3.4,15.0,19.4,14.40444432,13.4056030273,20.7345629866,1.33456298655,14.9,4.73456298655,14.4139953613,21.1471655554,9.7767,-5.14716555543,33.45278,-105.56583,KSRR
1403261458,FWS.EPZ.20140326.SOUTH.01.20140326.145806.26710848,3,-27,3,15.5555555556,18,11.176,-1.13,14.0,19.13,18.0055554,16.194329834,22.866191654,3.73619165403,15.3906,4.86619165403,14.4001708984,18.8880803862,11.5552,-0.888080386169,33.45278,-105.56583,KSRR
1403251510,FWS.EPZ.20140325.SOUTH.01.20140325.151058.2456189473,3,-27,10,3.88888888889,25,6.7056,-3.18,13.0,28.18,7.7166666,,,,,,13.0132080078,25.2247287736,5.59569,-0.224728773554,33.45278,-105.56583,KSRR
1403241420,FWS.EPZ.20140324.SOUTH.01.20140324.142008.1818287360,3,-27,5,16.1111111111,10,4.4704,3.54,17.0,6.46,8.74555548,15.6126037598,13.1498418532,6.68984185323,4.10937,3.14984185323,16.5200744629,7.58225946516,5.90535,2.41774053484,33.45278,-105.56583,KSRR
1403201436,FWS.EPZ.20140320.SOUTH.01.20140320.143659.1736142590,3,-27,54,18.8888888889,7,4.4704,-3.72,18.0,10.72,9.25999992,17.8475891113,9.61414379752,-1.10585620248,8.085,2.61414379752,17.2363220215,11.0490826943,7.72676,-4.04908269426,33.45278,-105.56583,KSRR
1403051546,FWS.EPZ.20140305.WALLO.01.20140305.154640.2263338355,4,-92,1,15.5555555556,26,4.4704,12.0,16.6666666667,14.0,3.1278221952,14.6030517578,14.9029172311,0.902917231096,4.95426,-11.0970827689,13.3222900391,20.3478331833,5.37608,5.65216681668,33.86217,-108.9425,LNAN5
1403041537,FWS.EPZ.20140304.WALLO.01.20140304.153711.45185369,15,207,2,16.1111111111,23,4.4704,-7.0,11.6666666667,30.0,4.0229555208,14.6670776367,24.2556431266,-5.7443568734,5.7,1.2556431266,14.3910461426,21.2867653833,6.72,1.71323461673,33.827,-108.01333,DPRN5
1403031716,FWS.EPZ.20140303.WALLO.01.20140303.171653.3713917211,15,207,1,15.0,24,5.36448,-9.0,11.6666666667,33.0,4.0229555208,12.545526123,24.437224569,-8.56277543099,3.6,0.437224569013,12.6980529785,21.6642871119,3.063,2.33571288808,33.827,-108.01333,DPRN5
1402131232,FWS.EPZ.20140213.REDRI.01.20140213.123219.2915811775,10,103,2,18.8888888889,10,8.9408,-6.0,20.0,16.0,8.9410443672,19.8236328125,12.3471140478,-3.65288595225,6.12678,2.34711404775,18.5551391602,16.7667045297,4.80641,-6.76670452971,33.71667,-106.18833,BCHN5
1402121524,FWS.EPZ.20140212.CENTE.01.20140211.152459.883433602,23,-19,66,10.5555555556,30,6.7056,21.0,16.6666666667,9.0,4.9180888464,14.8419433594,17.3513414258,8.35134142579,8.16696,-12.6486585742,14.451776123,12.3035427094,2.90875,17.6964572906,32.4205,-105.86667,MCRN5
1402121801,FWS.EPZ.20140212.CENTE.02.20140212.180111.3719855676,23,-19,1,16.1111111111,14,4.4704,5.0,16.6666666667,9.0,4.9180888464,14.8391967773,17.3509856386,8.35098563858,8.16749,3.35098563858,14.4552246094,12.3058684098,2.90303,1.69413159025,32.42028,-105.86667,MCRN5
1402111930,FWS.EPZ.20140211.RIDGE.01.20140211.193007.1115738740,11,9,265,8.88888888889,28,4.4704,-2.0,6.66666666667,30.0,4.0229555208,2.40694580078,47.4800175023,17.4800175023,5.47588,19.4800175023,3.32647094727,36.3067848941,4.88466,-8.30678489414,32.87569,-105.78417,CSMN5
1402111506,FWS.EPZ.20140211.RIDGE.01.20140211.150625.1884715300,11,9,1,0.555555555556,53,4.4704,23.0,6.66666666667,30.0,4.0229555208,2.40694580078,47.4800175023,17.4800175023,5.47588,-5.51998249767,3.32647094727,36.3067848941,4.88466,16.6932151059,32.87569,-105.78417,CSMN5
1402101532,FWS.EPZ.20140210.RIDGE.01.20140210.153250.3518597065,11,9,2,6.66666666667,40,6.7056,17.0,12.7777777778,23.0,5.3656555092,8.42791137695,35.5395440329,12.5395440329,6.83256,-4.46045596714,8.38375244141,30.9049886016,7.54665,9.09501139837,32.87569,-105.78417,CSMN5
1402061527,FWS.EPZ.20140206.RIDGE.02.20140206.152749.1492176227,11,9,17,-3.33333333333,54,3.57632,3.0,0.0,51.0,3.1278221952,-3.63840332031,59.0169711157,8.01697111566,3.99227,5.01697111566,-2.83395996094,58.7041635673,5.79843,-4.70416356732,32.87569,-105.78417,CSMN5
1401291730,FWS.EPZ.20140129.SHEEP.01.20140129.173030.1357440154,21,50,10,10.5555555556,14,2.2352,4.0,12.7777777778,10.0,3.575388858,11.4048400879,14.8364762237,4.83647622367,4.21584,0.836476223667,,,,,33.58019,-108.74389,MGNN5
1401281800,FWS.EPZ.20140128.SHEEP.01.20140128.180003.3536158528,21,50,5,10.0,17,4.4704,7.0,12.2222222222,10.0,3.1278221952,9.43096313477,14.7243648555,4.72436485554,5.42611,-2.27563514446,,,,,33.58019,-108.74389,MGNN5
1401161711,FWS.EPZ.20140116.SHEEP.01.20140116.171101.1541857708,21,50,1,11.1111111111,15,3.57632,-0.0,13.8888888889,15.0,4.0229555208,10.7176147461,12.1464101513,-2.85358984872,3.76042,-2.85358984872,,,,,33.57486,-108.74222,MGNN5
1401091726,FWS.EPZ.20140109.SPUDF.01.20140109.172644.3453036798,28,199,4,10.5555555556,20,5.81152,-1.0,5.0,21.0,4.9180888464,7.26983032227,33.6190149995,12.6190149995,7.59602,13.6190149995,,,,,32.9675,-105.62083,CSMN5
1401081903,FWS.EPZ.20140108.SPUDF.01.20140108.190356.4226739251,28,199,33,7.77777777778,16,5.36448,-2.0,7.22222222222,18.0,4.0229555208,6.59954223633,18.4423113594,0.442311359409,6.59602,2.44231135941,,,,,32.9675,-105.62083,CSMN5
1401071752,FWS.EPZ.20140107.SPUDF.01.20140107.175252.1469679258,28,199,12,6.66666666667,11,4.4704,-7.0,8.88888888889,18.0,3.1278221952,3.39150390625,12.8994812607,-5.10051873934,5.39278,1.89948126066,,,,,32.9675,-105.62083,CSMN5
1401061734,FWS.EPZ.20140106.SPUDF.01.20140106.173421.3952220338,28,199,11,0.0,14,4.4704,7.0,7.77777777778,7.0,5.813222172,-0.441778564453,20.9649014465,13.9649014465,3.08114,6.96490144651,,,,,32.9675,-105.62083,CSMN5
1312311618,FWS.EPZ.20131231.SPUDF.01.20131231.161848.4083301808,28,199,8,7.77777777778,21,5.36448,-8.0,7.77777777778,29.0,2.6802555324,9.15133056641,23.49548726,-5.50451274004,4.7563,2.49548725996,,,,,32.9675,-105.62056,CSMN5
1312301811,FWS.EPZ.20131230.SPUDF.01.20131230.181151.2502019016,28,199,14,7.22222222222,22,4.4704,10.0,7.22222222222,12.0,7.5983443788,5.10256347656,25.4382597621,13.4382597621,6.52529,3.43825976206,,,,,32.96764,-105.62056,CSMN5
1312131525,FWS.EPZ.20131213.LOWER.01.20131213.152517.3829383628,11,-24,41,10.5555555556,41,8.9408,-4.0,8.88888888889,45.0,6.7032110532,9.35973510742,45.3265167538,0.326516753769,10.2082,4.32651675377,,,,,33.00542,-105.42917,MAYN5
1312121710,FWS.EPZ.20131212.LOWER.01.20131212.171033.1502916605,11,-24,40,7.22222222222,67,3.57632,12.0,12.7777777778,55.0,4.4705221836,6.36739501953,47.2567165849,-7.7432834151,3.26332,-19.7432834151,,,,,33.00542,-105.42917,MAYN5
1312051653,FWS.EPZ.20131205.LOWER.01.20131205.165355.1843042691,14,8,7,3.88888888889,58,9.38784,-0.0,5.55555555556,58.0,8.9410443672,4.07595214844,66.6223501792,8.62235017917,11.7323,8.62235017917,,,,,33.03122,-105.75173,MSCN5
1311201647,FWS.EPZ.20131120.LOWER.01.20131120.164700.4022018580,11,-24,13,18.8888888889,23,4.4704,8.0,19.4444444444,15.0,4.0229555208,17.8215270996,26.3542628349,11.3542628349,6.34733,3.35426283488,17.750177002,20.9926929146,4.86587,2.00730708536,33.00528,-105.42111,MAYN5
1311191740,FWS.EPZ.20131119.LOWER.01.20131119.174010.880121941,11,-24,10,18.3333333333,30,5.36448,12.0,18.3333333333,18.0,4.9180888464,16.8240905762,35.6432322294,17.6432322294,4.92556,5.64323222936,17.0632873535,25.3018261077,5.01256,4.6981738923,33.00528,-105.42111,MAYN5
1311141552,FWS.EPZ.20131114.SHEEP.01.20131114.155240.3306170305,26,50,68,15.5555555556,34,4.4704,3.0,15.5555555556,31.0,4.9180888464,15.5401855469,29.8486714509,-1.1513285491,4.6,-4.1513285491,15.420892334,23.864064889,2.3685,10.135935111,33.60875,-108.69639,MGNN5
1311131547,FWS.EPZ.20131113.SHEEP.01.20131113.154717.3534208486,26,50,73,12.2222222222,32,4.4704,-23.0,12.7777777778,55.0,3.1278221952,13.8270202637,39.4799943067,-15.5200056933,3.1,7.47999430672,14.3277526855,47.4515224907,3.459,-15.4515224907,33.60875,-108.69639,MGNN5
1311121744,FWS.EPZ.20131112.NOGAL.01.20131112.174450.304769657,28,192,44,6.11111111111,64,7.15264,9.0,8.88888888889,55.0,4.4705221836,5.18435058594,66.7971498816,11.7971498816,5.7,2.79714988157,5.50008544922,62.5558170242,8.54389,1.44418297585,33.03122,-105.75173,CSMN5
1310311656,FWS.EPZ.20131031.SHEEP.01.20131031.165626.735474351,26,50,1,12.2222222222,17,4.4704,-6.0,13.3333333333,23.0,3.575388858,11.9522033691,19.6368101694,-3.36318983062,4.32623,2.63681016938,14.8442321777,15.4890208267,2.33346,1.5109791733,33.60875,-108.69639,MGNN5
1309251429,FWS.EPZ.20130925.FTSTA.01.20130925.142906.3070110459,2,-149,64,26.1111111111,21,6.7056,-2.0,26.6666666667,23.0,7.5983443788,25.8497253418,21.6125046176,-1.38749538244,6.84601,0.612504617565,26.6857543945,21.1744109728,7.96767,-0.174410972821,33.529,-105.48,TR724
1309251421,FWS.EPZ.20130925.FTSTA.01.20130925.142138.3131133769,2,-149,56,27.7777777778,16,6.7056,-7.0,26.6666666667,23.0,7.5983443788,25.8497253418,21.6125046176,-1.38749538244,6.84601,5.61250461756,26.6857543945,21.1744109728,7.96767,-5.17441097282,33.529,-105.48,TR724
1309241357,FWS.EPZ.20130924.FTSTA.01.20130924.135728.1818973725,2,-149,17,25.5555555556,12,5.81152,-10.0,24.4444444444,22.0,4.4705221836,23.5657592773,19.3664579423,-2.63354205774,3.95399,7.36645794226,25.1187072754,23.282040148,5.53684,-11.282040148,33.529,-105.48,TR724
1309231428,FWS.EPZ.20130923.FTSTA.01.20130923.142857.1000715382,2,-149,8,23.8888888889,11,6.25856,-8.0,22.2222222222,19.0,6.7032110532,21.5039611816,21.5339657636,2.5339657636,6.7,10.5339657636,22.2617736816,18.9024609748,8.46317,-7.90246097477,33.529,-105.48,TR724
1309101322,FWS.EPZ.20130910.FTSTA.01.20130910.132231.1378819350192,2,-149,2,22.2222222222,59,4.02336,-7.0,21.1111111111,66.0,4.0229555208,19.9067932129,76.8592465657,10.8592465657,4.6,17.8592465657,19.2672973633,74.6300894982,7.02107,-15.6300894982,33.529,-105.48,TR724
