date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401281420,FWS.FFC.20140128.MACKW.01.20140128.142006.3988533599,18,-141,17,-4.44444444444,44,7.15264,-13.58,-6.0,57.58,5.65888884,-3.12677612305,49.6303166684,-7.94968333159,5.60608,5.63031666841,,,,,34.47667,-85.29306,KRMG
1401271658,FWS.FFC.20140127.MACKW.01.20140127.165834.394483255,18,-141,162,7.22222222222,30,8.9408,6.35,12.2,23.65,6.68777772,6.06981811523,37.5220186998,13.8720186998,6.7,7.52201869981,,,,,34.47667,-85.29306,KRMG
1401271458,FWS.FFC.20140127.MACKW.01.20140127.145841.2319293456,18,-141,42,7.22222222222,30,11.176,6.35,12.2,23.65,6.68777772,6.06981811523,37.5220186998,13.8720186998,6.7,7.52201869981,,,,,34.47667,-85.29306,KRMG
1401271431,FWS.FFC.20140127.MACKW.01.20140127.143101.3547250934,18,-141,15,7.22222222222,30,11.176,6.35,12.2,23.65,6.68777772,6.06981811523,37.5220186998,13.8720186998,6.7,7.52201869981,,,,,34.47667,-85.29306,KRMG
1401221453,FWS.FFC.20140122.BLACK.01.20140122.145326.3542282455,11,-34,23,0.555555555556,25,4.4704,6.0,0.555555555556,19.0,2.2326888696,-0.325109863281,24.1462794773,5.14627947733,3.1,-0.853720522665,,,,,34.78806,-85.11111,NAOG1
1401211609,FWS.FFC.20140121.BLACK.01.20140121.160912.2918941411,12,118,24,6.11111111111,45,11.176,-13.0,3.88888888889,58.0,5.813222172,4.45000610352,46.6719524411,-11.3280475589,9.74644,1.67195244114,,,,,34.78617,-85.10011,NAOG1
1311111545,FWS.FFC.20131111.LITTL.02.20131111.154550.2433465944,22,-129,59,18.3333333333,25,2.68224,-3.0,17.2222222222,28.0,2.2326888696,15.4388366699,30.4798540339,2.47985403393,1.5,5.47985403393,17.4777770996,26.6304880816,2.34808,-1.63048808158,34.80817,-84.44948,COHG1
1212031911,FWS.FFC.20121203.GIRLS.01.20121203.191105.1354561865344,16,-14,39,22.2222222222,46,4.4704,-4.0,20.5555555556,50.0,4.0229555208,22.375604248,45.5792127621,-4.42078723792,3.05654,-0.420787237923,21.012902832,52.0043390722,1.87593,-6.00433907218,34.56389,-85.09,NAOG1
1211250754,FWS.FFC.20121125.BLACK.01.20121125.075411.1353830051813,20,-208,26,10.0,24,2.68224,14.0,13.3333333333,10.0,2.6802555324,10.3653503418,24.5450023383,14.5450023383,2.68669,0.545002338289,9.9674621582,17.5534589438,4.0034,6.44654105621,34.62067,-84.21352,TCCG1
1211201248,FWS.FFC.20121120.TURKE.01.20121120.124829.1353415709281,19,-45,10,16.1111111111,45,3.12928,5.0,19.4444444444,40.0,2.2326888696,17.1420837402,42.9869491431,2.98694914312,3.1,-2.01305085688,19.3486877441,37.7748311947,0.969699,7.22516880532,34.53667,-85.08056,NAOG1
1211181657,FWS.FFC.20121118.TURKE.01.20121118.165707.1353257826897,19,-45,32,15.5555555556,35,3.12928,5.0,16.1111111111,30.0,2.6802555324,17.6781860352,36.8637756451,6.86377564512,3.55057,1.86377564512,15.6882263184,43.9899947015,3.03676,-8.98999470154,34.53667,-85.08056,NAOG1
1211181659,FWS.FFC.20121118.TURKE.01.20121118.165941.1353257981468,19,-45,34,-16.6666666667,35,3.12928,5.0,16.1111111111,30.0,2.6802555324,17.6781860352,36.8637756451,6.86377564512,3.55057,1.86377564512,15.6882263184,43.9899947015,3.03676,-8.98999470154,34.53667,-85.08056,NAOG1
1207011544,FWS.FFC.20120701.PINHO.01.20120701.154449.768677847,10,-106,35,38.3333333333,28,3.57632,4.0,40.5555555556,24.0,1.7902666512,39.5858093262,23.9778177316,-0.0221822683979,3.1,-4.0221822684,40.0641418457,26.9844581722,2.91074,1.01554182784,34.67333,-85.05944,NAOG1
1207011543,FWS.FFC.20120701.PINHO.01.20120701.154315.684186965,10,-106,34,38.3333333333,28,3.57632,4.0,40.5555555556,24.0,1.7902666512,39.5858093262,23.9778177316,-0.0221822683979,3.1,-4.0221822684,40.0641418457,26.9844581722,2.91074,1.01554182784,34.67333,-85.05944,NAOG1
1206281245,FWS.FFC.20120628.IRONM.01.20120628.124506.238130662,6,281,18,36.1111111111,26,3.57632,2.0,36.1111111111,24.0,2.2326888696,34.5877624512,29.4324728514,5.43247285143,3.60214,3.43247285143,36.1364685059,27.4255617232,2.93927,-1.42556172317,34.98317,-84.6745,COHG1
1205301104,FWS.FFC.20120530.MEMOR.01.20120530.110452.490412873,7,37,33,30.0,27,5.36448,-7.0,29.4444444444,34.0,2.6802555324,29.7105957031,30.3685660486,-3.63143395138,4.50924,3.36856604862,29.6193786621,33.4439453759,2.52904,-6.4439453759,34.97278,-84.61167,COHG1
1205291335,FWS.FFC.20120529.MEMOR.01.20120529.133525.623096226,7,37,28,29.4444444444,56,8.9408,8.0,30.0,48.0,1.7902666512,28.2906433105,56.6194307809,8.61943078086,3.90155,0.619430780861,28.3401123047,57.541738936,4.17214,-1.541738936,34.96583,-84.59389,COHG1
1109041125,FWS.FFC.20110904.OVERL.01.20110904.112542.698848012,4,-285,16,25.5555555556,69,4.02336,14.0,28.3333333333,55.0,3.1278221952,26.5209289551,65.5602063246,10.5602063246,3.3664,-3.43979367541,28.4922424316,52.3631662092,2.43611,16.6368337908,34.88528,-84.65,COHG1
1107091323,FWS.FFC.20110709.PETTY.01.20110709.132356.021126519,6,83,18,32.2222222222,55,2.68224,8.0,32.7777777778,47.0,2.2326888696,33.2069946289,45.7242335507,-1.27576644935,3.1,-9.27576644935,34.9346862793,49.734965123,1.92785,5.26503487705,34.91,-84.72722,COHG1
1107091408,FWS.FFC.20110709.PETTY.01.20110709.140840.843060857,6,83,63,32.2222222222,55,2.68224,8.0,32.7777777778,47.0,2.2326888696,33.2069946289,45.7242335507,-1.27576644935,3.1,-9.27576644935,34.9346862793,49.734965123,1.92785,5.26503487705,34.91,-84.72722,COHG1
1107081129,FWS.FFC.20110708.PETTY.01.20110708.112905.998830397,6,83,12,32.7777777778,55,3.12928,-5.0,29.4444444444,60.0,3.575388858,32.7759643555,48.7488558003,-11.2511441997,3.6,-6.25114419966,31.2919250488,57.4068036732,2.84229,-2.40680367324,34.91,-84.72722,COHG1
1107071159,FWS.FFC.20110707.PETTY.01.20110707.115948.223336079,6,83,41,30.5555555556,55,2.2352,1.0,30.5555555556,54.0,2.2326888696,32.0737548828,50.6245735063,-3.37542649372,2.12368,-4.37542649372,32.3830200195,55.0447119953,1.80789,-0.0447119952615,34.91,-84.72722,COHG1
1107061135,FWS.FFC.20110706.PETTY.01.20110706.113544.804642134,6,83,16,31.6666666667,48,3.12928,-8.0,30.0,56.0,2.2326888696,,,,,,30.8385253906,63.4001408062,3.10596,-15.4001408062,34.91,-84.72722,COHG1
1107050750,FWS.FFC.20110705.PETTY.01.20110705.075033.754985685,6,83,120,31.1111111111,52,2.68224,4.0,31.6666666667,48.0,2.2326888696,30.3785949707,57.9306388492,9.93063884916,2.62769,5.93063884916,32.9940429688,51.8197207477,1.38461,0.180279252299,34.91,-84.72722,COHG1
1102271141,FWS.FFC.20110227.OLDHW.01.20110227.114101.585960614,5,266,40,21.1111111111,50,3.57632,-8.0,21.6666666667,58.0,4.4705221836,21.8303161621,52.329662721,-5.67033727897,3.62799,2.32966272103,24.0248657227,58.4776328111,3.3267,-8.47763281113,34.94479,-84.70894,COHG1
1102271605,FWS.FFC.20110227.OLDHW.01.20110227.160529.133020171,5,266,304,21.6666666667,60,4.02336,2.0,21.6666666667,58.0,4.4705221836,21.8303161621,52.329662721,-5.67033727897,3.62799,-7.67033727897,24.0248657227,58.4776328111,3.3267,1.52236718887,34.94479,-84.70894,COHG1
1102211039,FWS.FFC.20110221.JONES.01.20110221.103907.380910593,4,-63,30,18.3333333333,50,11.176,1.0,18.8888888889,49.0,4.4705221836,15.8403869629,57.0343153763,8.03431537628,8.25135,7.03431537628,17.775201416,57.9132117037,6.20718,-7.91321170366,34.60225,-84.13439,CPMG1
1102211115,FWS.FFC.20110221.JONES.01.20110221.111531.554218620,4,-63,66,18.3333333333,50,11.176,1.0,18.8888888889,49.0,4.4705221836,15.8403869629,57.0343153763,8.03431537628,8.25135,7.03431537628,17.775201416,57.9132117037,6.20718,-7.91321170366,34.60225,-84.13439,CPMG1
1011131401,FWS.FFC.20101113.VETER.01.20101113.140149.943566011,14,76,12,21.1111111111,27,3.12928,1.0,20.5555555556,26.0,4.0229555208,20.7279296875,28.1931643,2.1931643,2.42731,1.1931643,20.3319946289,27.9262989571,1.98816,-0.926298957065,34.56583,-85.21783,NAOG1
1010211240,FWS.FFC.20101021.MILLC.01.20101021.124027.297366808,10,-60,20,23.3333333333,25,5.36448,5.0,26.1111111111,20.0,3.1278221952,,,,,,24.5027404785,24.7980260913,2.99566,0.201973908662,34.68325,-85.05806,NAOG1
1010201153,FWS.FFC.20101020.MILLC.02.20101020.115327.459351822,10,-60,21,21.1111111111,35,3.57632,4.0,23.3333333333,31.0,2.2326888696,21.7632995605,33.4127532185,2.41275321851,3.6,-1.58724678149,22.9828735352,31.3096803351,2.65276,3.6903196649,34.68325,-85.05806,NAOG1
1010190939,FWS.FFC.20101019.MILLC.01.20101019.093907.450900452,10,-60,24,25.5555555556,33,2.68224,4.0,28.3333333333,29.0,1.7902666512,26.149987793,31.4124155047,2.41241550466,2.25758,-1.58758449534,26.7574707031,29.9316189565,2.51284,3.06838104346,34.68325,-85.05806,NAOG1
1010181202,FWS.FFC.20101018.MILLC.01.20101018.120203.415211623,10,-60,33,25.0,23,2.2352,-3.0,23.8888888889,26.0,1.3426999884,25.550012207,23.7854266136,-2.2145733864,2.1,0.785426613596,23.1408325195,33.967287115,1.57098,-10.967287115,34.68325,-85.05806,NAOG1
1010171711,FWS.FFC.20101017.MILLC.01.20101017.171102.842858358,10,-106,19,23.8888888889,24,2.2352,6.0,26.1111111111,18.0,1.7902666512,24.9500061035,23.6225237478,5.62252374783,1.81118,-0.377476252171,25.929284668,18.7175927917,1.33132,5.28240720834,34.68325,-85.05806,NAOG1
1004021303,FWS.FFC.20100402.WATER.02.20100402.130345,23,-99,27,26.6666666667,25,4.4704,3.0,28.3333333333,22.0,3.575388858,24.9302307129,27.3819828522,5.38198285223,5.39758,2.38198285223,,,,,34.8332,-84.42122,COHG1
1003081404,FWS.FFC.20100308.ANNAR.01.20100308.140429,5,298,14,15.0,22,5.36448,-16.0,15.0,38.0,4.9180888464,14.6536193848,24.1619306173,-13.8380693827,5.21143,2.16193061733,,,,,34.75683,-83.7035,BRSG1
