date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403271345,FWS.FGF.20140327.PILEB.01.20140327.134504.1320538104,3,18,135,-5.0,62,8.04672,22.0,-1.66666666667,40.0,3.575388858,-5.17169799805,64.3260798027,24.3260798027,8.2,2.32607980273,-2.75321044922,54.5539826053,8.5217,7.44601739466,47.96,-99.,FRTN8
1311201405,FWS.FGF.20131120.SHEYE.01.20131120.140547.2377466838,10,-2,235,1.66666666667,59,8.04672,-9.0,1.11111111111,68.0,5.813222172,1.64998779297,65.3990671886,-2.6009328114,9.3,6.3990671886,1.176171875,74.1828467029,6.89591,-15.1828467029,46.38056,-97.35639,SNGN8
1311191353,FWS.FGF.20131119.SHEYE.02.20131119.135307.3565353646,10,-1,187,9.44444444444,48,5.36448,-5.0,8.88888888889,53.0,7.5983443788,7.73021850586,57.8954582885,4.89545828849,4.6,9.89545828849,7.9376159668,61.2175863511,10.0623,-13.2175863511,46.41667,-97.43833,SNGN8
1310291342,FWS.FGF.20131029.RLFAR.01.20131029.134202.1969485407,36,85,198,3.88888888889,43,2.2352,1.2,6.0,41.8,3.60111108,3.35,49.1016651434,7.30166514341,2.6,6.10166514341,3.78780517578,47.5368659169,3.34819,-4.53686591693,47.9,-95.6,KFSE
1310281346,FWS.FGF.20131028.PEMBI.01.20131028.134607.3728119729,26,-62,254,1.66666666667,38,4.02336,-9.14,1.0,47.14,4.62999996,1.14998779297,41.4929465974,-5.64705340255,4.6,3.49294659745,1.83223876953,44.3869384663,5.47316,-6.38693846631,47.68333,-96.36667,KCKN
1310101326,FWS.FGF.20131010.PEMBI.01.20131010.132619.1329024752,26,-62,274,21.6666666667,48,5.36448,-5.1,22.0,53.1,6.17333328,22.3019958496,50.943508744,-2.156491256,3.6,2.943508744,22.0092712402,51.421892796,7.68773,-3.42189279598,47.68333,-96.36667,KCKN
1310021332,FWS.FGF.20131002.THIEF.01.20131002.133222.1553514239,13,14,268,15.5555555556,40,4.02336,-20.0,13.8888888889,60.0,1.7902666512,14.4962097168,50.9012940425,-9.09870595753,4.44648,10.9012940425,13.460168457,67.3091067776,2.72995,-27.3091067776,48.51235,-95.92305,TT180
1309301357,FWS.FGF.20130930.BEACH.02.20130930.135703.964329036,18,18,183,23.3333333333,32,5.36448,-0.0,21.6666666667,32.0,5.3656555092,23.201776123,38.6859021721,6.68590217208,6.7,6.68590217208,20.1884094238,36.7738717698,4.9245,-4.77387176979,48.76,-96.49,KITM5
1309241330,FWS.FGF.20130924.THIEF.01.20130924.133041.743125374,12,14,270,22.2222222222,38,3.57632,-13.0,22.2222222222,51.0,2.6802555324,22.7499938965,41.4587094469,-9.54129055311,3.85079,3.45870944689,22.2199951172,50.5711099217,4.68544,-12.5711099217,48.5,-95.91,TT180
1309241420,FWS.FGF.20130924.EASTP.01.20130924.142004.1126652003,14,18,160,23.3333333333,31,3.57632,10.0,25.5555555556,21.0,4.9180888464,22.6135803223,39.6312191537,18.6312191537,4.1,8.63121915368,24.1768432617,30.3067041376,4.72741,0.693295862436,48.54,-96.3,KITM5
