date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091450,FWS.FWD.20140409.RAYRO.01.20140409.145035.2487103766,26,-6,100,25.0,28,5.81152,1.07,26.7,26.93,8.74555548,25.0436645508,32.1450569136,5.21505691355,7.2,4.14505691355,26.0598999023,29.0080943826,5.78101,-1.00809438265,33.38447,-97.01696,KDTO
1403271630,FWS.FWD.20140327.UNIT1.01.20140327.163036.2594903739,26,-4,150,27.7777777778,34,8.04672,5.48,28.3,28.52,11.31777768,27.3280273438,32.4564061552,3.93640615519,10.8,-1.54359384481,26.7770935059,41.5740973421,7.26398,-7.5740973421,33.38447,-97.01696,KDTO
1403251343,FWS.FWD.20140325.LAKEM.01.20140325.134311.3566596279,9,0,197,17.2222222222,26,4.4704,7.23,17.2,18.77,6.17333328,,,,,,17.14296875,22.182456654,5.162,3.817543346,32.86062,-98.02031,KMWL
1403201222,FWS.FWD.20140320.WARDB.01.20140320.122227.3108599699,36,-94,158,25.0,19,4.4704,5.0,24.4444444444,14.0,4.4705221836,24.4500061035,19.191188891,5.19118889098,5.1,0.191188890983,24.4465270996,14.703023517,4.94675,4.29697648302,32.74167,-98.91917,PKLT2
1403200215,FWS.FWD.20140320.HENDE.01.20140320.021514.982032761,17,-14,705,23.8888888889,22,4.4704,7.0,23.3333333333,15.0,4.0229555208,23.35,21.3205729918,6.32057299184,5.60059,-0.679427008163,22.8671813965,14.1030545205,4.29385,7.89694547952,33.3337,-98.28417,JCRT2
1403201411,FWS.FWD.20140320.LBRAN.01.20140320.141159.2774765981,21,30,109,22.7777777778,25,3.12928,8.6,23.4,16.4,5.1444444,22.7499938965,24.9221877301,8.52218773008,4.1,-0.0778122699239,22.6199279785,20.5489311598,4.36235,4.45106884018,31.81405,-97.99664,KMNZ
1403201406,FWS.FWD.20140320.LAVON.02.20140320.140625.3721918671,11,21,54,22.2222222222,25,3.12928,4.21,21.5,20.79,5.65888884,21.4341369629,28.1817920765,7.39179207649,3.6,3.18179207649,21.0733581543,23.3282212848,2.97411,1.67177871519,33.03,-96.46,KF46
1403191403,FWS.FWD.20140319.WARDB.01.20140319.140331.4047103377,3,14,57,17.7777777778,27,5.36448,7.58,18.1,19.42,6.68777772,,,,,,17.385369873,21.4888643423,7.38034,5.51113565765,32.74167,-98.91917,KBKD
1403171419,FWS.FWD.20140317.LAVON.01.20140317.141907.3696206344,13,20,41,15.0,33,3.12928,8.9,15.4,24.1,4.11555552,13.8993164063,34.138603091,10.038603091,2.6,1.13860309098,15.014855957,28.4479038853,3.03625,4.55209611469,33.05028,-96.46417,KF46
1403171511,FWS.FWD.20140317.WARDB.01.20140317.151118.27773743,3,14,49,20.0,20,4.4704,2.97,20.1,17.03,7.7166666,18.2529846191,22.7999834197,5.7699834197,5.1,2.7999834197,19.4100585938,18.5366685627,5.25349,1.46333143733,32.74167,-98.91917,KBKD
1403141159,FWS.FWD.20140314.FSCAD.01.20140314.115926.1328383129,6,-4,151,22.2222222222,46,6.25856,-3.0,21.1111111111,49.0,7.150777716,21.149987793,45.3324143161,-3.66758568389,7.2,-0.66758568389,20.7946716309,47.999560724,7.78126,-1.99956072396,33.7425,-95.98806,CDDT2
1403131146,FWS.FWD.20140313.FSCAD.01.20140313.114635.2739404798,0,-2,194,20.0,24,4.02336,3.0,19.4444444444,21.0,4.9180888464,18.85,25.8509312616,4.85093126165,4.6,1.85093126165,18.6590209961,20.6818026176,4.64152,3.31819738237,33.74083,-95.92222,CDDT2
1403071349,FWS.FWD.20140307.FSLBJ.02.20140307.134939.439647629,3,10,71,21.6666666667,32,7.15264,-2.0,20.5555555556,34.0,6.7032110532,21.9598327637,30.5670757927,-3.43292420731,9.8,-1.43292420731,19.4643493652,35.0903621427,7.83007,-3.09036214268,33.31806,-97.63028,LBJT2
1403071248,FWS.FWD.20140307.MATHE.01.20140307.124819.991014953,28,-45,192,18.3333333333,40,6.25856,5.0,17.7777777778,35.0,6.2607888348,18.3282409668,39.8957857176,4.89578571763,8.7,-0.104214282369,18.0131469727,37.4563908428,6.4731,2.54360915719,33.27,-96.29,GELT2
1403061329,FWS.FWD.20140306.WARDB.01.20140306.132921.2602116142,3,14,151,16.1111111111,33,2.68224,6.24,17.0,26.76,4.11555552,15.4520507813,33.4823953526,6.72239535257,3.1,0.482395352568,15.6832824707,29.8228272728,4.13675,3.17717272718,32.74167,-98.91917,KBKD
1403061302,FWS.FWD.20140306.MATHE.01.20140306.130218.1997476682,1,-32,238,12.7777777778,59,4.02336,11.83,13.0,47.17,6.17333328,11.3579040527,59.8684885417,12.6984885417,5.1,0.868488541728,11.604119873,57.5354438053,5.30355,1.46455619474,33.08,-96.07,KGVT
1403061325,FWS.FWD.20140306.REMBE.02.20140306.132547.3557894450,17,-78,155,15.0,33,2.68224,-2.0,15.5555555556,35.0,2.6802555324,15.550012207,33.273039303,-1.72696069702,3.1,0.273039302983,15.2217346191,32.2136829316,3.94343,0.786317068378,32.91194,-98.74583,PKLT2
