date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404081231,FWS.GID.20140408.CENTR.01.20140408.123119.355253296,10,-10,149,17.7777777778,27,4.4704,2.25,16.6,24.75,8.23111104,17.2499938965,27.5500500476,2.80005004762,5.7,0.550050047616,16.6609130859,26.841025275,4.53546,0.158974725026,40.8,-99.9,KLXN
1403301054,FWS.GID.20140330.LOUPR.01.20140330.105413.3848504857,42,28,126,23.8888888889,20,7.15264,-2.61,20.0,22.61,6.17333328,24.3008361816,21.9016959093,-0.708304090674,9.8,1.90169590933,21.3016906738,21.5533677008,5.77163,-1.55336770082,41.36583,-98.56972,KODX
1403291004,FWS.GID.20140329.LOUPR.01.20140329.100411.2121275384,42,30,176,16.1111111111,25,8.04672,0.56,17.8,24.44,10.80333324,15.9872375488,25.709919094,1.26991909402,9.36781,0.709919094025,16.2011047363,28.2414283297,9.81807,-3.24142832974,41.36583,-98.56972,KODX
1403281058,FWS.GID.20140328.LOUPR.01.20140328.105854.3818811977,42,30,182,7.22222222222,55,3.57632,6.48,5.6,48.52,7.7166666,10.0034729004,49.6061710361,1.08617103615,5.76781,-5.39382896385,7.25899658203,43.6669865448,7.09177,11.3330134552,41.36583,-98.56972,KODX
1403260954,FWS.GID.20140326.LOUPR.01.20140326.095435.2712491632,42,13,306,18.8888888889,37,9.38784,13.88,20.6,23.12,14.40444432,18.7631774902,35.9353430449,12.8153430449,12.1813,-1.06465695515,20.0092102051,26.1144050074,13.6833,10.8855949926,41.36556,-98.56917,KODX
1403251512,FWS.GID.20140325.CENTR.01.20140325.151253.2001828496,25,34,108,6.66666666667,25,4.4704,-0.59,5.0,25.59,5.65888884,,,,,,4.58812866211,25.0306799854,4.89509,-0.0306799853892,41.11,-97.91,KAUH
1403251242,FWS.GID.20140325.CENTR.01.20140325.124258.644559698,25,34,258,6.66666666667,25,4.4704,-0.59,5.0,25.59,5.65888884,,,,,,4.58812866211,25.0306799854,4.89509,-0.0306799853892,41.11,-97.91,KAUH
1402061118,FWS.GID.20140206.HANNO.01.20140206.111830.1907951274,24,35,342,-12.7777777778,50,4.4704,-0.63,-14.0,50.63,5.1444444,-13.350012207,59.9659500356,9.33595003562,3.1,9.96595003562,-14.221105957,54.6674125622,2.74796,-4.66741256219,40.74,-98.71,KEAR
1402051641,FWS.GID.20140205.ATLAN.01.20140205.164133.209515167,13,-19,199,-13.8888888889,60,5.81152,9.31,-13.6,50.69,7.20222216,-13.9877075195,65.7388266858,15.0488266858,6.7,5.73882668579,-13.8175720215,57.2832294219,4.91413,2.71677057813,40.39,-99.47,KHDE
1402031549,FWS.GID.20140203.KENES.01.20140203.154956.1440445158,18,-28,131,-2.22222222222,48,4.02336,-6.87,-2.8,54.87,4.62999996,-2.75000610352,52.3191908129,-2.55080918711,6.2,4.31919081289,-3.60874023437,65.0284114559,4.062,-17.0284114559,40.597,-98.641,KHSI
1312091540,FWS.GID.20131209.CLARK.01.20131209.154057.4008810812,25,41,200,-8.33333333333,56,4.02336,-1.5,-9.6,57.5,6.17333328,-8.85001220703,50.6098648671,-6.89013513293,4.6,-5.39013513293,,,,,40.37,-99.05,KHDE
