date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403131244,FWS.GRB.20140313.UIHLE.01.20140313.124413.3358748557,15,-2,286,3.33333333333,56,7.59968,-4.75,2.2,60.75,7.7166666,1.64998779297,58.7569629574,-1.99303704256,6.7,2.75696295744,1.26452026367,65.7577831837,6.84504,-9.75778318369,43.94361,-88.74917,KOSH
1310011549,FWS.GRB.20131001.BLOCH.01.20131001.154927.96987153,14,10,26,25.0,39,8.04672,-11.25,25.0,50.25,6.17333328,22.9759460449,34.9639272399,-15.2860727601,7.61785,-4.03607276006,23.3077026367,53.0658849916,6.54093,-14.0658849916,45.00757,-87.69518,KMNM
1309271626,FWS.GRB.20130927.POWEL.01.20130927.162652.2089465008,6,5,34,25.0,45,6.7056,-3.95,24.4,48.95,10.2888888,23.9110961914,51.6808282208,2.73082822078,8.17985,6.68082822078,26.0481811523,42.413260834,9.66465,2.58673916597,46.06275,-89.88867,KD25
1309271637,FWS.GRB.20130927.POWEL.01.20130927.163721.191364047,6,5,23,25.0,45,6.7056,-3.95,24.4,48.95,10.2888888,23.9110961914,51.6808282208,2.73082822078,8.17985,6.68082822078,26.0481811523,42.413260834,9.66465,2.58673916597,46.06275,-89.88867,KD25
1309261523,FWS.GRB.20130926.POWEL.01.20130926.152354.1717868079,7,5,67,21.6666666667,47,5.81152,-0.48,21.0,47.48,5.65888884,19.9500061035,49.0710150141,1.59101501411,5.7,2.07101501411,23.1162353516,40.3842289419,5.36292,6.6157710581,46.06275,-89.92448,KD25
1306041520,FWS.GRB.20130604.SPREA.01.20130604.152033.1370359233675,5,17,100,18.8888888889,24,4.4704,-11.88,15.6,35.88,3.60111108,17.2243286133,37.898222698,2.01822269797,2.6,13.898222698,15.7214904785,38.7559416991,2.83621,-14.7559416991,45.8363,-88.16676,KIMT
1306041438,FWS.GRB.20130604.DUNBA.01.20130604.143855.1370356735392,20,-29,52,18.8888888889,25,4.91744,-10.88,15.6,35.88,3.60111108,17.1555419922,39.7530740917,3.87307409174,2.6,14.7530740917,13.9587341309,41.8074211833,3.58996,-16.8074211833,45.66226,-88.25084,KIMT
1305291539,FWS.GRB.20130529.POWEL.01.20130529.153935.1369841975010,8,1,21,24.4444444444,52,5.36448,2.14,25.1,49.86,4.62999996,24.2471557617,51.8706014749,2.01060147486,4.79133,-0.129398525135,27.1498352051,41.216298759,5.20104,10.783701241,46.04867,-89.90432,KD25
1305241537,FWS.GRB.20130524.DUNBA.01.20130524.153707.1369409827040,18,-33,23,16.6666666667,25,4.4704,-2.71,17.8,27.71,3.60111108,16.4154296875,25.3601455401,-2.34985445985,2.05836,0.360145540145,16.6751953125,27.6519528494,3.82075,-2.65195284945,45.6853,-88.25749,KIMT
1305161608,FWS.GRB.20130516.HEDMA.01.20130514.160840.1368547720011,33,20,8,22.7777777778,31,4.91744,15.0,24.4444444444,16.0,3.1278221952,21.649987793,27.5198906833,11.5198906833,2.6,-3.48010931674,,,,,45.75582,-88.56336,LAAW3
1305161327,FWS.GRB.20130516.HEDMA.03.20130516.132715.1368710834842,33,20,153,22.7777777778,23,6.7056,7.0,24.4444444444,16.0,3.1278221952,21.649987793,27.5198906833,11.5198906833,2.6,4.51989068326,,,,,45.75582,-88.56336,LAAW3
