date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091237,FWS.GRR.20140409.PRAIR.01.20140409.123716.3723858715,9,46,53,14.4444444444,30,5.36448,-0.2,14.4,30.2,8.23111104,13.35,32.464351918,2.26435191797,4.1,2.46435191797,14.2681213379,33.3167678516,5.16251,-3.31676785162,42.32169,-85.35411,KBTL
1404071421,FWS.GRR.20140407.F45RX.01.20140407.142143.1580896843,23,15,159,9.44444444444,54,6.7056,23.8,14.4,30.2,6.17333328,10.6101623535,59.5228654062,29.3228654062,5.1,5.52286540622,10.3965087891,45.7292236568,3.15987,8.27077634324,42.5448,-86.179,KBIV
1403311351,FWS.GRR.20140331.LITTL.01.20140331.135155.887427614,14,0,189,15.5555555556,32,7.59968,-0.93,15.0,32.93,9.77444436,15.0291381836,40.6158595986,7.68585959856,6.7655,8.61585959856,15.0815673828,36.5975622143,6.5447,-4.59756221428,42.8068,-84.4004,KLAN
1309271146,FWS.GRR.20130927.PENIN.01.20130927.114624.3385068862,6,46,314,26.1111111111,35,5.81152,-6.49,25.0,41.49,4.11555552,24.9871154785,39.9786793981,-1.51132060186,4.6,4.97867939814,25.1013427734,46.9303033043,2.81627,-11.9303033043,42.31687,-85.32461,KBTL
1309261242,FWS.GRR.20130926.DRYSA.01.20130926.124202.2011796666,16,-64,17,23.8888888889,34,4.4704,-1.0,23.8888888889,35.0,0.8951333256,23.532434082,37.6860558496,2.6860558496,3.1,3.6860558496,24.2040039063,38.8892584943,2.61445,-4.88925849426,42.609,-85.457,BDLM4
1309041508,FWS.GRR.20130904.MUERT.01.20130904.150849.1378307324248,24,-26,112,25.5555555556,45,8.04672,-8.27,25.4,53.27,6.17333328,23.85,52.9211272234,-0.348872776606,6.89179,7.92112722339,25.9433837891,61.6594732754,5.38069,-16.6594732754,43.45667,-85.695,KFFX
1308161322,FWS.GRR.20130816.HAPPY.01.20130816.132201.1376659321317,14,-20,128,23.3333333333,40,4.91744,10.14,26.0,29.86,3.60111108,23.35,46.5626697877,16.7026697877,3.45192,6.56266978772,28.0111633301,38.205798416,1.88905,1.79420158403,43.52227,-86.13551,KFFX
1308041313,FWS.GRR.20130804.BLUEB.01.20130804.131316.1375621996285,14,-8,227,23.8888888889,40,8.04672,5.4,22.5,34.6,5.1444444,22.2499938965,45.6438730838,11.0438730838,4.45192,5.64387308377,21.9585510254,50.0801491327,5.18655,-10.0801491327,43.52227,-86.13551,KFFX
1308031437,FWS.GRR.20130803.HAPPY.01.20130803.143708.1375540628153,14,-8,113,23.8888888889,44,6.7056,5.9,24.2,38.1,7.7166666,22.6595397949,45.9380455472,7.8380455472,6.7,1.9380455472,24.0444580078,48.1155859014,4.85446,-4.11558590138,43.52227,-86.13551,KFFX
1308031257,FWS.GRR.20130803.HAPPY.01.20130803.125723.1375534643445,14,-8,213,23.8888888889,44,8.04672,5.9,24.2,38.1,7.7166666,22.6595397949,45.9380455472,7.8380455472,6.7,1.9380455472,24.0444580078,48.1155859014,4.85446,-4.11558590138,43.52227,-86.13551,KFFX
