date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1312052319,FWS.HFO.20131205.MAUIP.01.20131205.231938.323297700,12,19,1,26.6666666667,59,2.2352,7.95,28.0,51.05,4.11555552,,,,,,,,,,20.85,-156.65,PHJH
1312051853,FWS.HFO.20131205.MFDPR.01.20131205.185306.3940997436,11,19,37,26.6666666667,63,2.2352,11.95,28.0,51.05,4.11555552,,,,,,,,,,20.85834,-156.65656,PHJH
1312032017,FWS.HFO.20131203.LAUNI.01.20131203.201738.471099338,14,9,7,27.7777777778,65,2.68224,10.35,28.0,54.65,6.17333328,,,,,,,,,,20.84,-156.63,PHJH
1312022240,FWS.HFO.20131202.LAUNI.01.20131202.224040.4222903608,13,9,20,27.7777777778,62,3.57632,3.82,28.0,58.18,2.05777776,,,,,,,,,,20.84139,-156.64667,PHJH
1209121335,FWS.HFO.20120912.KIIPR.01.20120912.133539.1347456939413,0,0,325,27.2222222222,65,9.83488,-0.0,27.7777777778,65.0,8.9410443672,,,,,,,,,,21.6883,-157.9525,KFWH1
1209111336,FWS.HFO.20120911.KIIPR.01.20120911.133613.1347370573449,0,0,354,27.2222222222,65,10.28192,-0.0,27.2222222222,65.0,8.4934777044,,,,,,,,,,21.6883,-157.9525,KFWH1
1209101408,FWS.HFO.20120910.KIIPR.01.20120910.140843.1347286122439,0,0,292,27.7777777778,70,10.28192,3.0,27.2222222222,67.0,8.4934777044,,,,,,,,,,21.6883,-157.9525,KFWH1
1206281729,FWS.HFO.20120628.2012S.01.20120628.172914.342413001,1,143,61,25.0,65,4.4704,65.0,25.0,0.0,1.3426999884,,,,,,,,,,21.49,-158.1,SCSH1
1206281454,FWS.HFO.20120628.2012S.01.20120629.145440.379091621,1,143,216,25.5555555556,60,4.02336,60.0,25.0,0.0,1.3426999884,,,,,,,,,,21.49,-158.1,SCSH1
1204241640,FWS.HFO.20120424.USFWS.01.20120425.164054.292923529,1,0,140,26.1111111111,58,7.15264,-5.0,24.4444444444,63.0,10.2837443556,,,,,,,,,,21.68333,-157.96667,KFWH1
1109201510,FWS.HFO.20110920.KIIPR.01.20110920.151004.649033303,0,0,230,27.7777777778,65,5.36448,-1.0,27.2222222222,66.0,9.38861103,,,,,,,,,,21.68333,-157.95,KFWH1
1109192157,FWS.HFO.20110919.KIIPR.01.20110920.215733.122497798,0,0,147,27.7777777778,65,7.59968,1.0,27.2222222222,64.0,8.4934777044,,,,,,,,,,21.68333,-157.95,KFWH1
1108171923,FWS.HFO.20110817.KEALA.01.20110817.192346.271856929,4,-77,13,29.4444444444,60,11.176,12.0,30.5555555556,48.0,8.9410443672,,,,,,,,,,19.29128,-155.15456,KMOH1
1106161454,FWS.HFO.20110616.SCHOF.02.20110616.145456.256141303,3,133,191,26.6666666667,62,4.91744,62.0,24.4444444444,0.0,2.2326888696,,,,,,,,,,21.495,-158.08194,SCSH1
1106161816,FWS.HFO.20110616.SCHOF.01.20110614.181645.435529658,3,121,11,26.6666666667,55,4.4704,55.0,24.4444444444,0.0,2.2326888696,,,,,,,,,,21.495,-158.08194,SCSH1
1106161834,FWS.HFO.20110616.SCHOF.02.20110615.183419.779220471,3,133,29,26.6666666667,50,6.7056,50.0,24.4444444444,0.0,2.2326888696,,,,,,,,,,21.495,-158.08194,SCSH1
1106021846,FWS.HFO.20110602.2011S.01.20110531.184658.077486369,0,-33,76,25.5555555556,68,5.81152,1.0,26.1111111111,67.0,63.4772994516,,,,,,,,,,21.495,-158.08194,SCBH1
1009291755,FWS.HFO.20100929.MAUIH.02.20100929.175502.362751026,10,-121,5,30.5555555556,45,3.57632,-1.13,29.4,46.13,5.65888884,,,,,,,,,,20.80139,-156.41806,PHOG
1009201155,FWS.HFO.20100920.KIIUN.01.20100920.115501.223556643,0,0,455,28.3333333333,63,6.7056,-12.0,27.2222222222,75.0,7.150777716,,,,,,,,,,21.68333,-157.95,KFWH1
1007052026,FWS.HFO.20100705.HI190.01.20100705.202625.693217114,0,-23,43,24.4444444444,50,8.9408,-4.0,24.4444444444,54.0,3.575388858,,,,,,,,,,19.795,-155.8453,PWWH1
1005042139,FWS.HFO.20100504.OLOWA.01.20100504.213915,5,133,30,24.4444444444,74,7.59968,15.0,26.1111111111,59.0,11.6212998996,,,,,,,,,,20.49,-156.61028,KAOH1
1003251753,FWS.HFO.20100325.PRESC.01.20100325.175335,10,-151,187,27.7777777778,45,8.04672,-17.24,26.1,62.24,11.83222212,,,,,,,,,,20.8,-156.425,PHOG
1003251852,FWS.HFO.20100325.PRESC.01.20100325.185232,10,-151,128,27.7777777778,45,8.04672,-17.24,26.1,62.24,11.83222212,,,,,,,,,,20.8,-156.425,PHOG
1001271643,FWS.HFO.20100127.PRESI.01.20100127.164339,1,40,2,20.0,63,2.68224,10.0,23.3333333333,53.0,1.3426999884,,,,,,,,,,19.42,-155.28,KSRH1
1001251609,FWS.HFO.20100125.PRESI.01.20100125.160944,1,40,11,21.1111111111,60,4.4704,-9.0,19.4444444444,69.0,1.7902666512,,,,,,,,,,19.42,-155.28,KSRH1
1001231632,FWS.HFO.20100123.PRESI.01.20100123.163226,1,40,3,20.0,61,2.68224,11.0,21.1111111111,50.0,2.6802555324,,,,,,,,,,19.42,-155.28,KSRH1
1001221820,FWS.HFO.20100122.PRESI.01.20100122.182039,1,40,5,18.3333333333,57,2.2352,-7.0,18.8888888889,64.0,1.3426999884,,,,,,,,,,19.42,-155.28,KSRH1
1001171743,FWS.HFO.20100117.PRESI.01.20100117.174322,1,40,68,20.0,60,4.02336,-5.0,22.2222222222,65.0,3.1278221952,,,,,,,,,,19.42,-155.28,KSRH1
1001121727,FWS.HFO.20100112.PRESI.02.20100112.172705,1,40,12,20.5555555556,63,2.2352,-7.0,20.5555555556,70.0,3.1278221952,,,,,,,,,,19.42,-155.28,KSRH1
1001111632,FWS.HFO.20100111.PRESI.01.20100111.163209,1,40,28,22.2222222222,53,2.68224,-2.0,22.7777777778,55.0,3.575388858,,,,,,,,,,19.42,-155.28,KSRH1
1001071726,FWS.HFO.20100107.PRESI.01.20100107.172655,1,40,21,23.8888888889,52,4.4704,-0.0,22.7777777778,52.0,4.0229555208,,,,,,,,,,19.42,-155.28,KSRH1
1001051636,FWS.HFO.20100105.PRESI.01.20100105.163627,1,40,24,21.1111111111,47,3.12928,-17.0,21.1111111111,64.0,3.575388858,,,,,,,,,,19.42,-155.28,KSRH1
1001041631,FWS.HFO.20100104.PRESI.01.20100104.163148,1,40,1,21.1111111111,45,4.02336,-14.0,20.0,59.0,4.0229555208,,,,,,,,,,19.42,-155.28,KSRH1
1001021711,FWS.HFO.20100102.PRESI.01.20100102.171104,1,40,16,20.0,63,2.2352,6.0,20.5555555556,57.0,2.2326888696,,,,,,,,,,19.42,-155.28,KSRH1
0912311624,FWS.HFO.20091231.PRESI.01.20091231.162427,1,40,11,21.1111111111,55,2.68224,-4.0,21.6666666667,59.0,3.575388858,,,,,,,,,,19.42,-155.28,KSRH1
0912301743,FWS.HFO.20091230.PRESI.01.20091230.174305,1,40,23,21.6666666667,59,2.68224,-1.0,22.2222222222,60.0,3.1278221952,,,,,,,,,,19.42,-155.28,KSRH1
0912291628,FWS.HFO.20091229.PRESI.01.20091229.162847,1,40,7,20.5555555556,68,2.68224,-2.0,21.1111111111,70.0,2.6802555324,,,,,,,,,,19.42,-155.28,KSRH1
0912171911,FWS.HFO.20091217.PRESI.01.20091217.191124,1,40,14,20.0,47,2.2352,5.0,25.0,42.0,3.575388858,,,,,,,,,,19.42,-155.28,KSRH1
0912152142,FWS.HFO.20091215.PRESI.01.20091215.214256,1,40,3,21.1111111111,45,3.12928,-0.0,21.6666666667,45.0,2.2326888696,,,,,,,,,,19.42,-155.28,KSRH1
0912151506,FWS.HFO.20091215.HUMUU.01.20091216.150630,14,-266,234,19.4444444444,41,2.68224,32.99,21.0,8.01,4.62999996,,,,,,,,,,19.70683,-155.43862,PHSF
0912151518,FWS.HFO.20091215.HUMUU.01.20091215.151850,14,-266,222,18.8888888889,48,2.2352,39.99,21.0,8.01,4.62999996,,,,,,,,,,19.70683,-155.43862,PHSF
0912141501,FWS.HFO.20091214.HUMUU.01.20091214.150131,14,-266,269,17.7777777778,60,2.68224,45.88,20.0,14.12,6.17333328,,,,,,,,,,19.70683,-155.43862,PHSF
0912122149,FWS.HFO.20091212.PRESI.01.20091212.214921,1,40,1,21.6666666667,57,3.12928,8.0,23.3333333333,49.0,3.1278221952,,,,,,,,,,19.42,-155.28,KSRH1
0912101727,FWS.HFO.20091210.PRESI.01.20091210.172743,1,40,22,20.5555555556,55,2.68224,21.0,23.3333333333,34.0,5.3656555092,,,,,,,,,,19.42,-155.28,KSRH1
0912041823,FWS.HFO.20091204.PRESI.01.20091204.182343,1,40,28,21.6666666667,66,2.2352,-18.0,19.4444444444,84.0,2.2326888696,,,,,,,,,,19.42,-155.28,KSRH1
0912032037,FWS.HFO.20091203.PRESI.01.20091203.203758,1,40,13,20.0,63,3.57632,10.0,21.1111111111,53.0,4.4705221836,,,,,,,,,,19.42,-155.28,KSRH1
0911122046,FWS.HFO.20091112.PRESI.01.20091112.204617,1,40,1,20.5555555556,68,2.68224,-6.0,21.1111111111,74.0,2.2326888696,,,,,,,,,,19.42,-155.28,KSRH1
0910141819,FWS.HFO.20091014.PRESI.01.20091014.181918,1,40,6,22.7777777778,66,3.57632,3.0,22.7777777778,63.0,1.7902666512,,,,,,,,,,19.42,-155.28,KSRH1
0910082121,FWS.HFO.20091008.PRESI.01.20091008.212107,1,40,11,22.7777777778,71,2.68224,-3.0,23.8888888889,74.0,2.6802555324,,,,,,,,,,19.42,-155.28,KSRH1
0909161327,FWS.HFO.20090916.KIIUN.01.20090916.132733,0,0,333,28.3333333333,60,7.59968,-9.0,27.7777777778,69.0,6.7032110532,,,,,,,,,,21.68833,-157.9525,KFWH1
0909081054,FWS.HFO.20090908.AGBUR.01.20090916.105417,14,-261,441,19.4444444444,55,4.4704,10.22,21.0,44.78,6.17333328,,,,,,,,,,19.70683,-155.43862,PHSF
0909081524,FWS.HFO.20090908.AGBUR.01.20090912.152451,14,-261,171,18.3333333333,63,4.4704,18.22,21.0,44.78,6.17333328,,,,,,,,,,19.70683,-155.43862,PHSF
