date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403251719,FWS.HFO.20140325.KAUKO.01.20140325.171951.757911150,6,-171,33,22.2222222222,60,7.15264,5.6,27.0,54.4,6.17333328,,,,,,,,,,21.51721,-157.98215,PHHI
1311261054,FWS.HFO.20131126.HWY19.01.20131126.105412.4174843450,20,-8,50,28.3333333333,45,4.4704,-8.0,25.0,53.0,3.1278221952,,,,,,,,,,19.66756,-155.98117,PWWH1
1310251753,FWS.HFO.20131025.10231.01.20131025.175322.822296573,3,7,23,29.4444444444,65,2.2352,-1.0,28.8888888889,66.0,4.0229555208,,,,,,,,,,21.52139,-158.09306,SCBH1
1310232241,FWS.HFO.20131023.10231.01.20131023.224112.4062053665,3,7,21,26.1111111111,60,6.7056,-3.0,28.3333333333,63.0,3.1278221952,,,,,,,,,,21.52139,-158.09306,SCBH1
1310232247,FWS.HFO.20131023.10231.01.20131023.224728.2594944367,3,7,27,26.1111111111,60,6.7056,-3.0,28.3333333333,63.0,3.1278221952,,,,,,,,,,21.52139,-158.09306,SCBH1
1308181923,FWS.HFO.20130818.MAKUA.01.20130818.192320.1376853800660,4,-77,24,29.4444444444,35,6.7056,-16.0,31.6666666667,51.0,4.9180888464,,,,,,,,,,21.49571,-158.20872,MKRH1
1211201510,FWS.HFO.20121120.TA22_.01.20121120.151054.1353424254720,0,0,4,18.3333333333,55,5.81152,-19.0,19.4444444444,74.0,4.4705221836,,,,,,,,,,19.7458,-155.6261,PTRH1
1211191441,FWS.HFO.20121119.TA22_.01.20121119.144159.1353336119776,0,0,46,20.0,55,4.4704,-3.0,20.5555555556,58.0,5.813222172,,,,,,,,,,19.7458,-155.6261,PTRH1
1211181739,FWS.HFO.20121118.TA22_.01.20121118.173904.1353260343642,0,0,16,16.1111111111,75,4.91744,16.0,20.0,59.0,7.150777716,,,,,,,,,,19.7458,-155.6261,PTRH1
1211171600,FWS.HFO.20121117.TA22F.01.20121117.160033.1353168033291,0,0,14,16.6666666667,70,4.91744,5.0,18.3333333333,65.0,8.0459110416,,,,,,,,,,19.7458,-155.6261,PTRH1
1207031927,FWS.HFO.20120703.HIKIM.01.20120703.192718.329115457,1,235,27,23.3333333333,65,5.36448,3.0,21.1111111111,62.0,4.4705221836,,,,,,,,,,22.09833,-159.69,PLRH1
1207021858,FWS.HFO.20120702.HIKIM.01.20120702.185804.028973648,1,235,24,22.7777777778,70,3.57632,14.0,23.3333333333,56.0,4.0229555208,,,,,,,,,,22.09833,-159.69,PLRH1
1207011823,FWS.HFO.20120701.HIKIM.01.20120701.182326.791744411,1,235,54,22.7777777778,71,3.12928,5.0,22.7777777778,66.0,3.1278221952,,,,,,,,,,22.09833,-159.69,PLRH1
1206291747,FWS.HFO.20120629.HIKIM.01.20120629.174750.678967878,1,235,19,22.2222222222,71,4.4704,17.0,22.2222222222,54.0,5.3656555092,,,,,,,,,,22.09833,-159.69,PLRH1
1206282015,FWS.HFO.20120628.HIKIM.01.20120628.201526.395176066,1,235,41,25.5555555556,40,2.2352,-16.0,22.7777777778,56.0,4.0229555208,,,,,,,,,,22.09833,-159.69,PLRH1
1206272222,FWS.HFO.20120627.HIKIM.01.20120627.222243.077042127,1,235,48,25.5555555556,50,2.2352,-14.0,20.5555555556,64.0,8.0459110416,,,,,,,,,,22.09833,-159.69,PLRH1
1206191527,FWS.HFO.20120619.FONGR.01.20120619.152704.705954440,20,155,16,21.1111111111,84,5.81152,28.0,24.4444444444,56.0,7.150777716,,,,,,,,,,20.821,-156.2715,KPGH1
1206181844,FWS.HFO.20120618.FONGR.01.20120618.184417.884574361,16,155,22,21.1111111111,30,13.4112,12.0,23.3333333333,18.0,14.7542665392,,,,,,,,,,20.58333,-156.26667,KPGH1
1206081709,FWS.HFO.20120608.KUKAH.01.20120608.170952.887107039,1,-233,23,27.7777777778,45,6.25856,-1.0,28.8888888889,46.0,2.6802555324,,,,,,,,,,21.489,-158.1486,WNVH1
1206051442,FWS.HFO.20120605.OAHUA.01.20120606.144212.592000293,0,7,198,27.7777777778,45,3.57632,-3.0,27.2222222222,48.0,3.575388858,,,,,,,,,,21.4804,-158.1552,WNVH1
1206051841,FWS.HFO.20120605.OAHUA.01.20120605.184147.385485479,0,7,41,27.7777777778,40,4.4704,-8.0,27.2222222222,48.0,3.575388858,,,,,,,,,,21.4804,-158.1552,WNVH1
1110071722,FWS.HFO.20111007.KILOH.01.20111007.172233.106226583,9,-265,16,21.1111111111,60,6.7056,57.0,20.5555555556,3.0,5.813222172,,,,,,,,,,19.83972,-155.64222,PKWH1
1109262013,FWS.HFO.20110926.KAHAN.01.20110926.201320.375119929,37,2,103,23.8888888889,69,3.57632,11.06,25.5,57.94,4.11555552,,,,,,,,,,20.93806,-156.62944,PHNY
