date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401271544,FWS.HGX.20140127.FIREH.01.20140127.154448.544999043,3,0,23,13.8888888889,64,7.59968,9.0,20.5555555556,55.0,5.813222172,13.85,56.5101167426,1.51011674258,8.7,-7.48988325742,,,,,29.13028,-95.27,BZRT2
1309070538,FWS.HGX.20130907.GRIME.03.20130907.053825.1378532304613,43,69,23,35.5555555556,39,3.12928,-1.17,35.2,40.17,7.20222216,36.149987793,37.8430717315,-2.32692826851,4.17759,-1.15692826851,31.8397155762,59.5902316368,3.37925,-20.5902316368,30.32722,-95.93444,K11R
1308061512,FWS.HGX.20130806.DEERF.01.20130806.151230.1375801950717,20,0,22,39.4444444444,26,5.36448,-4.62,39.4,30.62,8.23111104,,,,,,38.8255859375,32.7834578114,7.25248,-6.78345781143,30.41719,-96.46784,KCLL
1307151550,FWS.HGX.20130715.WFCAR.01.20130715.155035.1373903435286,12,0,19,30.0,61,5.81152,1.0,31.1111111111,60.0,7.150777716,31.6436401367,57.6525088905,-2.34749110953,7.19365,-3.34749110953,30.5272155762,64.0570776988,8.68184,-3.05707769883,29.56556,-94.47611,TR474
1306071822,FWS.HGX.20130607.BAITH.01.20130607.182229.1370629349224,24,12,38,30.5555555556,55,2.68224,10.47,32.9,44.53,4.62999996,30.7905822754,54.5385325618,10.0085325618,3.73657,-0.461467438185,29.8952575684,54.0915295143,3.02987,0.908470485704,28.76222,-95.80833,KBYY
1303291616,FWS.HGX.20130329.SANJA.01.20130329.161643.1364573803523,7,-16,16,25.0,48,4.02336,-4.0,24.4444444444,52.0,1.7902666512,24.4500061035,46.5660158344,-5.43398416561,5.7,-1.43398416561,24.2304626465,52.2371858383,4.81321,-4.23718583831,30.47472,-95.03389,CPGT2
1303281919,FWS.HGX.20130328.BULLO.01.20130328.191913.1364498352916,27,50,24,21.6666666667,53,4.02336,5.0,21.6666666667,48.0,4.0229555208,21.1790100098,48.725272739,0.725272739026,5.1,-4.27472726097,21.2882019043,57.8853796551,2.53587,-4.88537965509,30.71806,-94.6875,WVLT2
1302261138,FWS.HGX.20130226.RICHM.01.20130226.113859.1361878739609,26,12,19,17.7777777778,30,8.04672,-10.4,13.5,40.4,6.68777772,18.35,36.8755757683,-3.52442423167,6.7,6.87557576833,17.5954223633,33.243496965,7.63214,-3.24349696496,29.5952,-95.7364,KAXH
1302261129,FWS.HGX.20130226.GALVE.01.20130226.112946.1361878184533,10,0,12,16.1111111111,41,8.9408,4.61,17.8,36.39,7.7166666,16.3798461914,45.1152215834,8.72522158336,8.91734,4.11522158336,16.091973877,39.3074418439,8.52269,1.69255815608,29.3137,-94.7628,KGLS
1302161217,FWS.HGX.20130216.SARGE.01.20130216.121737.1361017057666,3,3,7,15.0,33,5.81152,3.0,17.2222222222,30.0,5.3656555092,15.550012207,31.8437860917,1.84378609175,6.2,-1.15621390825,16.3252502441,26.7755114738,5.00476,6.22448852619,28.84039,-95.5826,SRDT2
1211061241,FWS.HGX.20121106.WFFRO.01.20121106.124130.1352205690682,12,0,16,22.7777777778,34,6.25856,-0.0,22.2222222222,34.0,5.3656555092,22.7499938965,34.1111701604,0.1111701604,5.66198,0.1111701604,22.3518615723,30.6920755555,4.02766,3.30792444453,29.56806,-94.50583,TR474
1208301623,FWS.HGX.20120830.CORRE.01.20120830.162358.SATFWSHGX,39,56,27,34.4444444444,44,6.25856,9.83,36.1,34.17,6.68777772,33.7850891113,44.4005982732,10.2305982732,7.7,0.400598273184,35.5121704102,40.689750969,2.95882,3.31024903099,30.96498,-95.25687,KUTS
