date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1402260545,FWS.HNX.20140226.BARNE.01.20140226.054559.745364834,3,85,675,13.8888888889,45,9.83488,-10.0,11.6666666667,55.0,2.6802555324,15.074822998,47.5576489709,-7.44235102911,8.62067,2.55764897089,12.6370788574,60.6106893281,4.49027,-15.6106893281,37.00333,-119.23333,FSBC1
1402250707,FWS.HNX.20140225.BARNE.01.20140225.070753.884124166,3,85,653,17.2222222222,38,3.12928,23.0,20.5555555556,15.0,2.6802555324,18.3277526855,36.1468966267,21.1468966267,3.5613,-1.85310337332,20.3699279785,33.0501621642,1.70025,4.9498378358,37.00333,-119.23333,FSBC1
1402240225,FWS.HNX.20140224.BARNE.01.20140224.022506.3791381053,3,85,965,17.7777777778,40,2.68224,26.0,20.5555555556,14.0,2.6802555324,17.985345459,43.6094650056,29.6094650056,4.53711,3.60946500563,20.9192443848,26.8924014742,4.45156,13.1075985258,37.00333,-119.23333,FSBC1
1402060546,FWS.HNX.20140206.BRECK.01.20140206.054643.3386441792,30,129,794,0.0,65,5.36448,-13.0,2.22222222222,78.0,4.9180888464,5.90252075195,49.9795483455,-28.0204516545,5.81782,-15.0204516545,1.11275634766,62.5228073307,7.24149,2.47719266932,35.466,-118.616,PIVC1
1402061739,FWS.HNX.20140206.HUMEL.01.20140206.173920.3084506001,21,-292,21,1.66666666667,77,3.12928,-23.0,3.33333333333,100.0,4.0229555208,1.52840576172,65.6482169934,-34.3517830066,1.70777,-11.3517830066,-0.168157958984,89.4540360371,2.9409,-12.4540360371,36.7543,-118.91155,SHQC1
1402060300,FWS.HNX.20140206.ELKPA.01.20140206.030044.863247272,2,-3,900,10.5555555556,80,6.7056,-18.0,10.5555555556,98.0,7.5983443788,10.7351623535,82.3657590824,-15.6342409176,5.52267,2.36575908244,9.96569213867,81.7558472482,6.03012,-1.75584724821,37.18333,-120.81667,SLWC1
1312191825,FWS.HNX.20131219.BRECK.01.20131219.182540.3423039909,30,297,15,-0.555555555556,98,2.68224,42.0,2.22222222222,56.0,4.0229555208,4.70339355469,61.8182750359,5.81827503592,8.37297,-36.1817249641,,,,,35.4757,-118.608,PIVC1
1312100115,FWS.HNX.20131210.BRECK.01.20131210.011532.1216881597,30,297,885,6.11111111111,22,7.15264,9.0,9.44444444444,13.0,1.3426999884,6.79143676758,19.4436055753,6.44360557529,3.9961,-2.55639442471,,,,,35.4757,-118.608,PIVC1
1312090233,FWS.HNX.20131209.BRECK.01.20131209.023325.1833232958,30,297,807,2.77777777778,25,8.9408,11.0,2.22222222222,14.0,2.2326888696,1.96169433594,33.9467896849,19.9467896849,9.74095,8.9467896849,,,,,35.4757,-118.608,PIVC1
1312050425,FWS.HNX.20131205.ISABE.01.20131205.042553.2142462103,41,240,725,2.22222222222,31,6.25856,-5.0,8.33333333333,36.0,2.6802555324,3.24135742188,31.4960613673,-4.50393863271,4.22677,0.496061367287,,,,,35.70611,-118.51667,FTNC1
1312050330,FWS.HNX.20131205.BRECK.01.20131205.033023.628934279,0,300,870,-1.11111111111,34,4.4704,2.0,-1.66666666667,32.0,0.0,0.0537658691406,35.3090687951,3.30906879514,4.21985,1.30906879514,,,,,35.45363,-118.59519,BKGC1
1312050225,FWS.HNX.20131205.ELKPA.01.20131205.022534.406938354,2,-3,995,8.33333333333,24,3.57632,-1.0,10.0,25.0,3.575388858,8.35,34.0105663736,9.01056637364,3.29794,10.0105663736,,,,,37.18333,-120.81667,SLWC1
1312022053,FWS.HNX.20131202.CLARE.01.20131202.205339.2453815805,10,185,78,12.2222222222,20,3.57632,3.0,21.6666666667,17.0,1.7902666512,18.111138916,31.2052252576,14.2052252576,2.91484,11.2052252576,,,,,37.0296,-119.26128,MTQC1
1311250245,FWS.HNX.20131125.BRECK.01.20131125.024535.296953402,28,297,915,7.77777777778,58,3.57632,39.0,15.5555555556,19.0,2.6802555324,11.8398681641,38.5087518638,19.5087518638,2.65365,-19.4912481362,12.1654907227,46.2425879467,5.47537,11.7574120533,35.45363,-118.59519,PIVC1
1311190425,FWS.HNX.20131119.ICE__.01.20131119.042526.1736934915,41,220,815,10.0,56,6.7056,27.0,12.7777777778,29.0,4.4705221836,9.60671386719,70.2231797845,41.2231797845,6.18778,14.2231797845,9.36196289063,50.4467664975,4.57519,5.55323350245,35.73412,-118.5635,PIVC1
1311190215,FWS.HNX.20131119.CARST.01.20131119.021528.4086288047,4,0,885,13.8888888889,54,6.25856,13.0,16.1111111111,41.0,0.8951333256,13.3576599121,67.6880644637,26.6880644637,3.56907,13.6880644637,15.4177490234,45.7490119799,2.05052,8.2509880201,37.53585,-119.88933,JSDC1
1311180501,FWS.HNX.20131118.KREWB.01.20131119.050103.3344164542,31,-48,779,6.11111111111,54,8.9408,13.0,10.0,41.0,0.8951333256,10.2429138184,45.7418849771,4.7418849771,3.6,-8.2581150229,9.00936279297,33.8397172376,2.88099,20.1602827624,36.98655,-119.06457,PRGC1
1311180758,FWS.HNX.20131118.THIST.01.20131118.075824.3582902349,14,-3,602,21.1111111111,38,3.57632,-11.0,18.3333333333,49.0,2.6802555324,19.872277832,43.132071421,-5.86792857905,3.18999,5.13207142095,18.3776184082,48.4491291373,2.56645,-10.4491291373,37.17778,-120.62722,SLWC1
