date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401181742,FWS.HNX.20140118.SODA_.01.20140118.174200.1576116395,15,71,68,13.8888888889,12,3.57632,4.0,16.1111111111,8.0,3.1278221952,13.273034668,12.5917785477,4.59177854771,3.17914,0.591778547705,,,,,36.20852,-118.53097,PEPC1
1401161903,FWS.HNX.20140116.SODA_.02.20140116.190319.3652358559,15,71,114,17.7777777778,7,3.12928,1.0,16.6666666667,6.0,3.1278221952,12.9638305664,10.1344741658,4.1344741658,3.3043,3.1344741658,,,,,36.20852,-118.53097,PEPC1
1401161800,FWS.HNX.20140116.SODA_.02.20140116.180020.3058025323,15,71,51,17.7777777778,7,3.12928,1.0,16.6666666667,6.0,3.1278221952,12.9638305664,10.1344741658,4.1344741658,3.3043,3.1344741658,,,,,36.20852,-118.53097,PEPC1
1401161915,FWS.HNX.20140116.SODA_.01.20140116.191541.4177996585,15,71,127,17.7777777778,7,3.12928,1.0,16.6666666667,6.0,3.1278221952,12.9638305664,10.1344741658,4.1344741658,3.3043,3.1344741658,,,,,36.20852,-118.53097,PEPC1
1401142229,FWS.HNX.20140114.SODA_.01.20140114.222907.1361696070,15,239,38,18.8888888889,8,3.12928,-0.0,18.3333333333,8.0,2.6802555324,11.6342102051,14.6488905616,6.64889056164,9.16694,6.64889056164,,,,,36.2083,-118.5256,PEPC1
1310071023,FWS.HNX.20131007.KELSO.01.20131007.102304.3560903938,8,227,97,28.3333333333,7,5.36448,1.0,23.8888888889,6.0,8.9410443672,25.9496704102,7.09699233409,1.09699233409,5.94688,0.0969923340917,24.0347839355,6.05801702984,5.02548,0.941982970156,35.36778,-118.26222,JWBC1
1308252248,FWS.HNX.20130825.WINDY.01.20130825.224836.1377470916186,30,259,147,26.6666666667,24,4.4704,11.0,20.0,13.0,3.1278221952,26.3581787109,16.6752641246,3.67526412457,7.69158,-7.32473587543,20.3521972656,24.8290254366,8.51282,-0.829025436636,36.9975,-118.6064,HUMC1
1308231958,FWS.HNX.20130823.BOOLE.01.20130823.195848.1377287927974,28,-192,46,25.0,30,4.02336,5.0,28.3333333333,25.0,4.4705221836,26.2033325195,20.7325575872,-4.26744241277,3.13735,-9.26744241277,26.9786010742,22.3566417906,4.35375,7.64335820939,36.81681,-118.91681,FNWC1
1308221630,FWS.HNX.20130822.BOOLE.01.20130822.163020.1377189019971,31,-219,23,25.5555555556,22,5.36448,3.0,31.1111111111,19.0,4.0229555208,25.3784729004,26.5705462994,7.57054629944,3.83654,4.57054629944,23.2959838867,18.8340773972,6.0929,3.16592260281,36.76677,-118.91681,FNWC1
1308211455,FWS.HNX.20130821.BOOLE.01.20130821.145556.1377096956563,27,-228,12,28.8888888889,31,6.7056,11.0,32.2222222222,20.0,3.1278221952,27.312677002,26.4594173169,6.45941731689,4.54017,-4.54058268311,29.3422180176,32.1864022769,4.60734,-1.18640227688,36.82267,-118.91681,FNWC1
1308201739,FWS.HNX.20130820.SHIRL.01.20130820.173906.1377020345983,29,-248,101,32.2222222222,30,5.81152,-9.0,32.7777777778,39.0,2.6802555324,31.1941467285,24.0166719817,-14.9833280183,5.119,-5.9833280183,30.1516357422,27.3353537972,2.21606,2.6646462028,35.71333,-118.595,JSNC1
1308202042,FWS.HNX.20130820.TENAN.01.20130820.204205.1377031325834,3,110,99,37.2222222222,25,3.57632,9.0,37.2222222222,16.0,3.575388858,33.8191162109,20.6244694144,4.62446941444,5.7,-4.37553058556,33.4547973633,24.2250421886,2.89065,0.774957811435,35.55028,-118.66639,DEMC1
1308192158,FWS.HNX.20130819.SHIRL.02.20130819.215840.1376949520614,29,-248,68,28.8888888889,33,8.9408,-1.0,32.7777777778,34.0,2.2326888696,30.0941711426,21.9581389539,-12.0418610461,4.13436,-11.0418610461,28.0588012695,36.5952466075,4.21527,-3.59524660747,35.71333,-118.595,JSNC1
1308191921,FWS.HNX.20130819.TENAN.01.20130819.192157.1376940117047,3,110,56,38.3333333333,19,4.02336,-0.0,38.3333333333,19.0,4.0229555208,32.428338623,19.100105927,0.100105927035,4.88241,0.100105927035,31.8359313965,36.1648148418,5.0641,-17.1648148418,35.55028,-118.66639,DEMC1
1307261649,FWS.HNX.20130726.RANCH.01.20130726.164947.1374857387226,38,219,89,25.0,37,2.68224,10.0,32.2222222222,27.0,3.1278221952,,,,,,30.4913269043,30.0372319086,12.1594,6.96276809145,34.88694,-118.90472,WTPC1
1307242012,FWS.HNX.20130724.CANE_.01.20130724.201256.1374696776230,20,218,1,35.0,19,3.57632,1.0,32.7777777778,18.0,4.0229555208,25.5208984375,34.1562353962,16.1562353962,8.26739,15.1562353962,28.7526794434,32.9958281405,5.92273,-13.9958281405,35.78,-118.2,TR174
1307242021,FWS.HNX.20130724.CANE_.01.20130724.202123.1374697283069,20,218,10,31.6666666667,19,3.57632,1.0,32.7777777778,18.0,4.0229555208,25.5208984375,34.1562353962,16.1562353962,8.26739,15.1562353962,28.7526794434,32.9958281405,5.92273,-13.9958281405,35.78,-118.2,TR174
1307211522,FWS.HNX.20130721.RANCH.01.20130721.152244.1374420164312,38,219,38,31.1111111111,22,4.02336,-19.0,28.3333333333,41.0,6.7032110532,35.3241516113,19.6137145715,-21.3862854285,2.40444,-2.38628542853,33.4716125488,23.7100645531,3.79743,-1.71006455307,34.88694,-118.90472,WTPC1
1307211526,FWS.HNX.20130721.RANCH.01.20130721.152631.1374420391743,38,219,42,31.1111111111,22,4.02336,-19.0,28.3333333333,41.0,6.7032110532,35.3241516113,19.6137145715,-21.3862854285,2.40444,-2.38628542853,33.4716125488,23.7100645531,3.79743,-1.71006455307,34.88694,-118.90472,WTPC1
1306281444,FWS.HNX.20130628.MAMMO.01.20130628.144452.1372430692281,20,-130,28,35.0,27,3.57632,7.0,40.5555555556,20.0,2.2326888696,32.0842529297,34.964213993,14.964213993,3.17141,7.96421399304,34.105645752,27.2988254125,7.98953,-0.298825412514,37.335,-119.31667,NFRC1
1306151957,FWS.HNX.20130615.DAKOT.01.20130615.195703.1371326223582,1,100,15,35.0,17,4.4704,7.69,35.6,9.31,4.62999996,35.1871276855,11.7598579468,2.44985794682,2.8562,-5.24014205318,34.897454834,11.8300091698,3.78835,5.16999083018,36.78944,-119.72083,KFAT
1305282056,FWS.HNX.20130528.FREMO.01.20130528.205609.1369774569773,18,-3,49,26.6666666667,32,6.25856,-8.0,26.6666666667,40.0,4.9180888464,26.149987793,29.35981101,-10.64018899,7.2302,-2.64018899001,25.269708252,39.9091878206,6.25126,-7.90918782057,37.29778,-120.9375,SLWC1
1305120234,FWS.HNX.20130512.CHIQU.01.20130513.023411.1368412450950,6,-102,1091,25.0,27,3.57632,9.0,29.4444444444,18.0,2.2326888696,29.6105895996,27.1310779129,9.13107791287,4.85385,0.131077912869,25.380670166,22.7868082217,4.79512,4.21319177834,37.4309,-119.40722,MTTC1
