date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403241629,FWS.HUN.20140324.KINLO.01.20140324.162931.2423929761,9,9,16,14.4444444444,25,2.68224,3.56,13.8,21.44,3.60111108,13.3657165527,32.5795966753,11.1395966753,3.6,7.57959667528,13.8709960938,28.0540462193,2.6122,-3.05404621928,34.31493,-87.51117,K1M4
1403211211,FWS.HUN.20140321.KINLO.01.20140321.121133.2923887134,9,9,32,21.6666666667,24,4.02336,3.19,20.5,20.81,5.1444444,20.9873596191,24.2880275325,3.47802753246,4.89029,0.288027532465,20.6960083008,25.932347406,3.10371,-1.93234740599,34.31493,-87.51117,K1M4
1403141224,FWS.HUN.20140314.TAPSV.01.20140314.122420.1122540907,1,-29,27,19.4444444444,25,5.81152,-0.0,18.8888888889,25.0,4.4705221836,17.9553161621,30.9435585821,5.94355858215,6.2,5.94355858215,18.2456604004,28.1100752029,4.70368,-3.11007520288,34.34911,-87.32167,BHFA1
1303171353,FWS.HUN.20130317.HALLF.01.20130317.135303.1363528383611,4,-20,47,22.2222222222,41,5.81152,-5.0,21.1111111111,46.0,3.1278221952,23.0671325684,40.9820381288,-5.01796187123,6.7,-0.0179618712252,20.7538391113,42.6060441343,4.45064,-1.60604413425,34.34064,-87.29283,BHFA1
1303171343,FWS.HUN.20130317.GOATB.01.20130317.134346.1363527826198,13,17,39,22.2222222222,41,5.81152,-5.0,21.1111111111,46.0,3.1278221952,24.3525634766,37.8033832442,-8.19661675577,6.7,-3.19661675577,20.8855224609,45.2527872792,5.315,-4.25278727922,34.39261,-87.46667,BHFA1
1303161657,FWS.HUN.20130316.GOATB.01.20130316.165712.1363453031237,13,17,26,24.4444444444,32,5.81152,1.0,23.8888888889,31.0,5.3656555092,24.3788696289,33.4445615719,2.44456157191,6.7,1.44456157191,24.0595947266,35.233237383,8.13919,-3.23323738296,34.39261,-87.46667,BHFA1
1206281355,FWS.HUN.20120628.TURKE.01.20120628.135505.851171645,15,1,23,36.6666666667,27,2.2352,6.0,37.7777777778,21.0,2.6802555324,36.2428222656,27.3872699796,6.38726997959,3.1,0.387269979587,38.1003967285,16.6442770475,1.18223,10.3557229525,34.30681,-87.17222,BHFA1
1206271317,FWS.HUN.20120627.TURKE.01.20120627.131722.322951453,15,1,22,33.8888888889,23,1.34112,3.0,36.1111111111,20.0,1.7902666512,,,,,,34.6810241699,16.2840741286,1.59932,6.71592587137,34.30681,-87.17222,BHFA1
1206271427,FWS.HUN.20120627.TURKE.01.20120627.142733.850957660,15,1,92,34.4444444444,17,3.12928,-3.0,36.1111111111,20.0,1.7902666512,,,,,,34.6810241699,16.2840741286,1.59932,0.715925871368,34.30681,-87.17222,BHFA1
1204051825,FWS.HUN.20120405.LIRI_.05.20120405.182542.405599018,10,-196,16,21.6666666667,53,5.36448,6.22,24.0,46.78,5.65888884,21.5294128418,51.6604986886,4.88049868857,5.74634,-1.33950131143,21.7565246582,57.8510492106,3.96302,-4.85104921055,34.45089,-85.60706,K4A9
1203211446,FWS.HUN.20120321.WATER.01.20120321.144640.902588481,22,15,20,28.8888888889,36,6.7056,-10.0,26.1111111111,46.0,5.813222172,28.35,38.249052591,-7.75094740897,7.7,2.24905259103,25.0907226563,54.1170756051,7.92501,-18.1170756051,34.9535,-88.0357,TISM6
1203111533,FWS.HUN.20120311.TANKE.01.20120311.153326.258817290,14,-41,15,18.8888888889,49,4.4704,-3.0,19.4444444444,52.0,2.6802555324,,,,,,19.8165222168,42.5458190438,5.54608,6.45418095618,34.33408,-87.17469,BHFA1
1102241405,FWS.HUN.20110224.FORDD.01.20110224.140550.760182806,16,-14,53,23.8888888889,51,6.25856,-14.47,21.1,65.47,9.77444436,23.1192871094,52.1200626414,-13.3499373586,7.2,1.1200626414,20.2626586914,71.3304549551,6.44846,-20.3304549551,34.41175,-87.52222,K1M4
1102231413,FWS.HUN.20110223.FORDD.01.20110223.141352.370308795,16,-14,37,19.4444444444,35,3.12928,0.33,16.1,34.67,4.62999996,19.5473876953,34.6916659799,0.0216659799312,3.6,-0.308334020069,14.8218017578,48.3182010206,2.99189,-13.3182010206,34.41175,-87.52222,K1M4
1102221354,FWS.HUN.20110222.FORD_.01.20110222.135458.783047717,16,-14,31,13.8888888889,36,4.02336,2.41,16.6,33.59,5.1444444,12.7214294434,37.7057295121,4.11572951208,3.6,1.70572951208,15.5737548828,44.0072446525,3.3833,-8.00724465247,34.41175,-87.52222,K1M4
1102221331,FWS.HUN.20110222.FORDU.01.20110222.133109.374417687,16,-14,14,14.4444444444,34,4.02336,0.41,16.6,33.59,5.1444444,12.7214294434,37.7057295121,4.11572951208,3.6,3.70572951208,15.5737548828,44.0072446525,3.3833,-10.0072446525,34.41175,-87.52222,K1M4
1102211347,FWS.HUN.20110221.FORD_.01.20110221.134717.795602470,16,-14,23,22.2222222222,60,5.81152,7.3,20.5,52.7,9.77444436,22.7499938965,52.7279670083,0.0279670082721,8.2,-7.27203299173,19.499017334,61.6168006192,7.22492,-1.61680061918,34.41175,-87.52222,K1M4
1102202017,FWS.HUN.20110220.POPLA.01.20110220.201723.491556147,11,-5,27,22.2222222222,50,6.7056,1.04,22.2,48.96,8.23111104,22.2801452637,45.5603574048,-3.3996425952,7.7,-4.4396425952,20.781427002,50.4438027985,4.66652,-0.443802798511,34.36472,-87.51944,K1M4
1011081815,FWS.HUN.20101108.FREED.01.20101108.181533.897927291,14,-156,23,18.8888888889,28,2.2352,4.0,21.6666666667,24.0,3.1278221952,,,,,,13.4014526367,58.4921665534,1.39131,-30.4921665534,34.71172,-88.03322,TISM6
1510171143,FWS.HUN.20151017.BIGTR.01.20151017.114302.1917598339,8,-32,24,18.3333333333,26,4.4704,8.0,21.1111111111,18.0,2.2326888696,,,,,,19.3880554199,21.2428311077,3.55003,4.75716889234,34.33427,-87.43466,BHFA1,0
1510181200,FWS.HUN.20151018.BIGTR.01.20151018.120045.322116348,8,-32,18,17.7777777778,24,3.57632,-0.0,18.8888888889,24.0,2.2326888696,,,,,,17.994744873,27.4966578858,3.05822,-3.49665788577,34.33427,-87.43466,BHFA1,0
1510191136,FWS.HUN.20151019.BIGTR.01.20151019.113655.3529771743,8,-32,27,20.5555555556,30,3.12928,4.0,22.2222222222,26.0,2.2326888696,,,,,,20.5731750488,29.8854690983,2.5107,0.114530901676,34.33427,-87.43466,BHFA1,0
1510201120,FWS.HUN.20151020.BIGTR.01.20151020.112025.1095683947,8,-32,5,22.7777777778,38,2.2352,3.0,24.4444444444,35.0,1.7902666512,,,,,,22.9567504883,37.0632784626,2.40125,0.936721537398,34.33427,-87.43466,BHFA1,0
1510211131,FWS.HUN.20151021.BIGTR.01.20151021.113113.2789900331,8,-32,16,25.5555555556,38,1.34112,1.0,26.1111111111,37.0,1.7902666512,,,,,,25.3680969238,41.0551877096,2.20243,-3.0551877096,34.33427,-87.43466,BHFA1,0
1510221121,FWS.HUN.20151022.BIGTR.01.20151022.112140.3396877629,8,-32,15,27.2222222222,41,2.2352,1.0,27.2222222222,40.0,1.7902666512,,,,,,26.1309143066,45.457794556,1.68766,-4.45779455601,34.33427,-87.43466,BHFA1,0
1510231550,FWS.HUN.20151023.BIGTR.01.20151023.155040.672308979,8,-32,290,28.3333333333,52,2.68224,6.0,27.2222222222,46.0,1.7902666512,,,,,,26.8450866699,49.9393951049,2.96261,2.06060489506,34.33427,-87.43466,BHFA1,0
1510231113,FWS.HUN.20151023.BIGTR.01.20151023.111308.596607279,8,-32,13,26.6666666667,52,2.68224,6.0,27.2222222222,46.0,1.7902666512,,,,,,26.8450866699,49.9393951049,2.96261,2.06060489506,34.33427,-87.43466,BHFA1,0
1510241146,FWS.HUN.20151024.BIGTR.01.20151024.114648.2946722034,8,-32,23,24.4444444444,58,2.68224,-1.0,24.4444444444,59.0,1.7902666512,,,,,,25.5176025391,61.9923840382,3.20569,-3.9923840382,34.33427,-87.43466,BHFA1,0
1510251122,FWS.HUN.20151025.BIGTR.01.20151025.112202.2548458834,8,-32,23,22.2222222222,68,2.2352,-21.0,19.4444444444,89.0,1.3426999884,,,,,,21.0747924805,82.1337815047,2.63383,-14.1337815047,34.33427,-87.43466,BHFA1,0
1510251548,FWS.HUN.20151025.BIGTR.01.20151025.154802.1924648454,8,-32,289,22.2222222222,68,2.2352,-21.0,19.4444444444,89.0,1.3426999884,,,,,,21.0747924805,82.1337815047,2.63383,-14.1337815047,34.33427,-87.43466,BHFA1,0
1510261146,FWS.HUN.20151026.BIGTR.01.20151026.114648.2486958827,8,-32,13,19.4444444444,84,4.4704,-16.0,18.3333333333,100.0,2.2326888696,,,,,,18.8247619629,96.0624685534,4.2114,-12.0624685534,34.33427,-87.43466,BHFA1,0
1510271115,FWS.HUN.20151027.BIGTR.01.20151027.111526.171400957,8,-32,13,17.7777777778,86,5.81152,-13.0,15.0,99.0,2.2326888696,,,,,,14.9134155273,97.2898669081,7.0145,-11.2898669081,34.33427,-87.43466,BHFA1,0
1510281208,FWS.HUN.20151028.BIGTR.01.20151028.120828.483415819,8,-32,22,21.6666666667,69,3.57632,10.0,22.2222222222,59.0,3.1278221952,,,,,,21.5159851074,70.4905182234,4.12969,-1.49051822342,34.33427,-87.43466,BHFA1,0
1510291211,FWS.HUN.20151029.BIGTR.01.20151029.121154.1708107239,8,-32,16,21.6666666667,38,2.68224,10.0,23.8888888889,28.0,2.2326888696,,,,,,22.8674865723,31.0392950778,3.57074,6.96070492222,34.33427,-87.43466,BHFA1,0
1510301211,FWS.HUN.20151030.BIGTR.01.20151030.121104.528092575,8,-32,25,18.8888888889,36,2.2352,10.0,21.1111111111,26.0,1.3426999884,,,,,,20.1191650391,34.3323094618,2.07922,1.66769053823,34.33427,-87.43466,BHFA1,0
1510311246,FWS.HUN.20151031.BIGTR.01.20151031.124642.1302028584,8,-32,49,17.2222222222,65,4.02336,5.0,15.5555555556,60.0,1.7902666512,,,,,,16.2585388184,63.4415665501,3.88256,1.55843344985,34.33427,-87.43466,BHFA1,0
1602111418,FWS.HUN.20160211.FREED.01.20160211.141810.3417552607,14,-121,27,10.0,42,2.68224,15.0,12.7777777778,27.0,2.6802555324,,,,,,11.0431152344,37.1843533364,3.3771,4.81564666358,34.71361,-88.03306,TISM6,0
1602111732,FWS.HUN.20160211.FREED.01.20160211.173248.3792155074,14,-121,221,11.1111111111,30,3.57632,3.0,12.7777777778,27.0,2.6802555324,,,,,,11.0431152344,37.1843533364,3.3771,-7.18435333642,34.71361,-88.03306,TISM6,0
1602111706,FWS.HUN.20160211.FREED.01.20160211.170627.2990804392,14,-121,195,10.0,42,2.68224,15.0,12.7777777778,27.0,2.6802555324,,,,,,11.0431152344,37.1843533364,3.3771,4.81564666358,34.71361,-88.03306,TISM6,0
