date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403280944,FWS.ICT.20140328.MITIG.01.20140328.094457.2413898768,43,23,316,12.2222222222,45,5.81152,-9.09,10.6,54.09,6.68777772,11.649987793,44.6289853028,-9.46101469719,5.1,-0.371014697191,10.1819396973,58.4730636919,4.71817,-13.4730636919,37.78833,-95.95,KCNU
1403281355,FWS.ICT.20140328.TALLG.01.20140328.135558.713233212,0,0,125,12.7777777778,40,2.68224,-3.0,11.1111111111,43.0,4.0229555208,12.2499938965,39.4425535147,-3.55744648531,3.59464,-0.557446485312,10.7197814941,46.3859213829,3.46922,-6.38592138288,38.435,-96.56056,TGSK1
1403271022,FWS.ICT.20140327.MITIG.01.20140327.102222.4105561769,43,23,278,21.6666666667,36,11.176,12.66,25.0,23.34,15.4333332,21.649987793,36.0807997248,12.7407997248,13.9,0.0807997247732,22.7740112305,34.8092622639,11.4407,1.19073773608,37.78833,-95.95,KCNU
1403261201,FWS.ICT.20140326.MITIG.02.20140326.120146.83301232,43,23,14,14.4444444444,39,8.04672,9.3,13.9,29.7,12.34666656,14.1759277344,41.0258306902,11.3258306902,12.2576,2.02583069025,13.0659423828,36.5001501743,8.79593,2.49984982574,37.78833,-95.95,KCNU
1403261017,FWS.ICT.20140326.MITIG.01.20140326.101728.1498443838,44,66,283,13.8888888889,43,9.38784,-0.97,10.0,43.97,15.94777764,13.35,44.9652707249,0.995270724922,13.7831,1.96527072492,9.13024291992,47.0660800865,10.4703,-4.06608008646,37.7,-96.71667,KAAO
1403250951,FWS.ICT.20140325.MITIG.02.20140325.095142.1718673382,43,23,309,8.33333333333,26,4.4704,-0.73,6.7,26.73,6.17333328,,,,,,6.85915527344,29.0387539563,5.77641,-3.03875395635,37.78833,-95.95,KCNU
1403250949,FWS.ICT.20140325.MITIG.01.20140325.094930.2584617528,49,52,311,8.33333333333,28,4.4704,6.99,8.7,21.01,6.17333328,,,,,,7.13887939453,28.465466686,5.16746,-0.465466685985,37.7,-96.71667,KIAB
1403241042,FWS.ICT.20140324.MITIG.02.20140324.104218.3753588073,43,23,258,10.0,40,6.7056,1.91,8.9,38.09,6.68777772,8.8248840332,43.6974953624,5.6074953624,5.7,3.6974953624,7.89272460938,39.4526903482,3.01132,0.547309651767,37.78833,-95.95,KCNU
1403241039,FWS.ICT.20140324.MITIG.01.20140324.103947.3056324206,44,66,261,10.5555555556,36,6.25856,0.23,9.4,35.77,9.25999992,9.29482421875,37.5557262274,1.78572622743,7.7,1.55572622743,7.44045410156,42.7781080071,6.09612,-6.77810800708,37.7,-96.71667,KAAO
1403141327,FWS.ICT.20140314.LUCAS.01.20140314.132741.2452750611,25,100,2,17.7777777778,24,6.7056,9.25,17.8,14.75,7.7166666,17.2031188965,24.3568867568,9.60688675682,6.7,0.356886756824,18.3048339844,14.9955395455,7.39174,9.00446045452,38.93278,-98.53442,KRSL
1304121330,FWS.ICT.20130412.WILSO.01.20130412.133041.1365773441351,28,74,30,13.3333333333,40,5.81152,9.52,15.6,30.48,6.68777772,11.649987793,42.8741398579,12.3941398579,5.7,2.87413985789,13.3898254395,40.5013062918,2.99486,-0.501306291806,38.96614,-98.511,KRSL
1304031506,FWS.ICT.20130403.WILSO.01.20130403.150644.1365001603986,30,94,54,10.0,43,4.02336,0.21,7.2,42.79,8.74555548,8.67403564453,41.0575780203,-1.73242197969,5.7,-1.94242197969,6.76479492188,45.6858186469,5.46308,-2.68581864692,38.96369,-98.48097,KRSL
1303281543,FWS.ICT.20130328.CROSS.01.20130327.154354.1364399034003,41,23,43,12.2222222222,46,5.36448,-2.51,18.9,48.51,4.62999996,15.1402526855,59.2759613925,10.7659613925,2.6,13.2759613925,19.6619506836,44.9548358868,2.50907,1.04516411316,37.78583,-95.92722,KCNU
1303281547,FWS.ICT.20130328.JACKM.01.20130327.154752.1364399272874,44,0,47,12.7777777778,46,5.81152,5.57,20.0,40.43,5.1444444,14.3881164551,60.8003545314,20.3703545314,3.6,14.8003545314,19.7912841797,38.7775706864,4.06277,7.2224293136,37.71278,-96.71278,KAAO
1303280914,FWS.ICT.20130328.CROSS.01.20130328.091425.1364462065439,41,23,346,16.6666666667,47,2.68224,-1.51,18.9,48.51,4.62999996,15.1402526855,59.2759613925,10.7659613925,2.6,12.2759613925,19.6619506836,44.9548358868,2.50907,2.04516411316,37.78583,-95.92722,KCNU
1303280925,FWS.ICT.20130328.JACKM.01.20130328.092534.1364462734341,44,0,335,16.1111111111,48,2.68224,7.57,20.0,40.43,5.1444444,14.3881164551,60.8003545314,20.3703545314,3.6,12.8003545314,19.7912841797,38.7775706864,4.06277,9.2224293136,37.71278,-96.71278,KAAO
1303271022,FWS.ICT.20130327.CROSS.01.20130327.102202.1364379721963,41,23,278,12.2222222222,51,6.25856,9.29,14.4,41.71,8.74555548,11.149987793,50.1261891818,8.41618918183,8.46839,-0.873810818165,14.424005127,39.4636873485,9.97089,11.5363126515,37.78583,-95.92722,KCNU
1303271011,FWS.ICT.20130327.JACKM.01.20130327.101105.1364379065903,44,0,289,12.7777777778,49,6.7056,14.66,16.1,34.34,9.25999992,10.8135620117,51.2581476886,16.9181476886,8.7,2.25814768861,15.1482177734,38.3333472025,5.22058,10.6666527975,37.71278,-96.71278,KAAO
1303260935,FWS.ICT.20130326.CROSS.01.20130326.093538.1364290538843,41,15,265,5.0,51,2.68224,-1.21,3.9,52.21,2.05777776,5.44841918945,46.1315272037,-6.07847279631,2.6,-4.86847279631,5.7198425293,43.543679475,2.86453,7.45632052498,37.78583,-95.92722,KCNU
1303261413,FWS.ICT.20130326.CROSS.01.20130325.141310.1364220790799,41,15,13,2.22222222222,58,8.04672,5.79,3.9,52.21,2.05777776,5.44841918945,46.1315272037,-6.07847279631,2.6,-11.8684727963,5.7198425293,43.543679475,2.86453,14.456320525,37.78583,-95.92722,KCNU
1303251407,FWS.ICT.20130325.JACKM.01.20130325.140732.1364220452579,44,0,1438,1.11111111111,57,7.59968,3.71,1.1,53.29,9.25999992,0.213586425781,58.6938050368,5.40380503675,9.8,1.69380503675,-0.910192871094,68.4370096506,5.85374,-11.4370096506,37.71278,-96.71278,KAAO
1303251400,FWS.ICT.20130325.JACKM.01.20130325.140055.1364220055769,44,0,1445,1.11111111111,57,7.59968,3.71,1.1,53.29,9.25999992,0.213586425781,58.6938050368,5.40380503675,9.8,1.69380503675,-0.910192871094,68.4370096506,5.85374,-11.4370096506,37.71278,-96.71278,KAAO
1303250941,FWS.ICT.20130325.JACKM.01.20130326.094139.1364290899675,44,0,1704,5.0,49,2.2352,-4.29,1.1,53.29,9.25999992,0.213586425781,58.6938050368,5.40380503675,9.8,9.69380503675,-0.910192871094,68.4370096506,5.85374,-19.4370096506,37.71278,-96.71278,KAAO
1303251411,FWS.ICT.20130325.JACKM.01.20130325.141115.1364220675831,44,0,1434,1.11111111111,57,7.59968,3.71,1.1,53.29,9.25999992,0.213586425781,58.6938050368,5.40380503675,9.8,1.69380503675,-0.910192871094,68.4370096506,5.85374,-11.4370096506,37.71278,-96.71278,KAAO
1204231408,FWS.ICT.20120423.TALLG.01.20120423.140802.007353274,0,0,142,20.5555555556,31,2.2352,5.0,21.6666666667,26.0,3.575388858,19.9500061035,33.3811774399,7.38117743991,1.5,2.38117743991,21.2325073242,26.2935911876,2.42681,4.70640881235,38.435,-96.5606,TGSK1
1203300958,FWS.ICT.20120330.TALLG.01.20120330.095829.201114256,4,-5,302,26.1111111111,34,2.68224,12.0,27.7777777778,22.0,4.0229555208,24.960748291,33.7685470857,11.7685470857,2.97517,-0.231452914283,27.2772460938,24.3365745597,3.86922,9.66342544034,38.4723,-96.5792,TGSK1
1203280900,FWS.ICT.20120328.SHADY.01.20120328.090043.226854060,43,17,300,26.6666666667,51,6.25856,-3.32,26.7,54.32,8.74555548,25.550012207,50.3365350725,-3.98346492747,6.2,-0.663464927471,25.665612793,54.4904972068,3.49418,-3.49049720682,37.84178,-96.73768,KAAO
1203270900,FWS.ICT.20120327.JDFRE.01.20120327.090052.169970001,44,12,300,26.1111111111,52,6.7056,-3.85,24.4,55.85,9.77444436,25.550012207,46.8710187754,-8.97898122456,7.96916,-5.12898122456,24.6028991699,56.4375422628,10.2172,-4.43754226278,37.7142,-96.71876,KAAO
1104181339,FWS.ICT.20110418.DUVAL.01.20110418.133938.955261280,17,104,141,18.8888888889,47,5.81152,-10.36,15.6,57.36,7.7166666,19.9500061035,48.8073618177,-8.5526381823,7.7,1.8073618177,15.7317443848,60.2268377024,7.05222,-13.2268377024,38.95343,-98.63774,KRSL
1104081516,FWS.ICT.20110408.JACKM.01.20110408.151650.360652679,36,12,104,28.8888888889,45,6.7056,10.11,30.0,34.89,6.17333328,27.7538696289,42.5398459176,7.64984591757,6.20323,-2.46015408243,29.1179138184,41.1163304838,6.40596,3.88366951616,37.72,-96.8,KAAO
1104071714,FWS.ICT.20110407.TALLG.01.20110407.171411.264561629,2,-51,14,20.0,51,5.36448,-10.0,19.4444444444,61.0,4.9180888464,18.85,50.5195260565,-10.4804739435,7.7,-0.480473943524,19.375390625,63.5270161291,6.22063,-12.5270161291,38.43,-96.59,TGSK1
1104061458,FWS.ICT.20110406.TALLG.01.20110406.145826.971974316,2,-51,2,21.1111111111,32,6.7056,9.0,23.3333333333,23.0,6.7032110532,20.550012207,33.1598671917,10.1598671917,6.7,1.15986719175,23.4459777832,25.8341190299,7.81465,6.16588097007,38.43,-96.59,TGSK1
1104060830,FWS.ICT.20110406.TALLG.01.20110406.083019.611490497,2,-51,390,21.1111111111,32,8.9408,9.0,23.3333333333,23.0,6.7032110532,20.550012207,33.1598671917,10.1598671917,6.7,1.15986719175,23.4459777832,25.8341190299,7.81465,6.16588097007,38.43,-96.59,TGSK1
1104060903,FWS.ICT.20110406.TALLG.01.20110406.090327.814152951,2,-51,357,21.1111111111,32,8.9408,9.0,23.3333333333,23.0,6.7032110532,20.550012207,33.1598671917,10.1598671917,6.7,1.15986719175,23.4459777832,25.8341190299,7.81465,6.16588097007,38.43,-96.59,TGSK1
1104050820,FWS.ICT.20110405.TALLG.01.20110405.082013.717101950,8,-43,280,21.6666666667,16,7.59968,2.0,22.2222222222,14.0,11.1737332368,21.1223999023,16.1668650399,2.16686503991,11.2311,0.166865039908,22.0268798828,15.1701569977,11.0691,0.829843002321,38.48,-96.64,TGSK1
1103301352,FWS.ICT.20110330.WILSO.01.20110330.135207.414765644,20,92,188,10.0,54,4.02336,-26.78,4.0,80.78,7.7166666,9.41158447266,53.9096257588,-26.8703742412,5.1,-0.0903742411933,4.36431274414,75.8521482749,3.63178,-21.8521482749,38.93194,-98.59333,KRSL
1103241056,FWS.ICT.20110324.JACKM.01.20110324.105618.692038877,49,4,439,11.1111111111,40,4.91744,5.33,12.0,34.67,8.23111104,11.149987793,39.1095732066,4.43957320655,6.7,-0.890426793447,9.32119140625,43.7998530528,6.1426,-3.79985305284,37.71375,-96.71839,KIAB
1103241044,FWS.ICT.20110324.JACKM.01.20110325.104410.853520416,49,4,451,14.4444444444,53,4.4704,18.33,12.0,34.67,8.23111104,11.149987793,39.1095732066,4.43957320655,6.7,-13.8904267934,9.32119140625,43.7998530528,6.1426,9.20014694716,37.71375,-96.71839,KIAB
1103231007,FWS.ICT.20110323.JACKM.02.20110323.100734.386816672,49,-39,148,18.3333333333,25,8.04672,3.59,17.4,21.41,11.83222212,17.2907958984,26.287988661,4.877988661,11.3,1.287988661,15.5577636719,31.6216596337,8.82813,-6.62165963367,37.71414,-96.71814,KIAB
1103221606,FWS.ICT.20110322.JACKM.01.20110322.160622.575862338,49,4,129,26.1111111111,31,9.38784,20.5,28.6,10.5,14.40444432,24.9500061035,35.389244363,24.889244363,12.3,4.38924436296,25.7472167969,22.1604089791,12.5035,8.83959102093,37.71375,-96.71839,KIAB
1103191018,FWS.ICT.20110319.JACKM.01.20110321.101858.950947490,49,4,477,27.2222222222,48,7.59968,-39.38,13.5,87.38,9.77444436,13.35,71.4006013461,-15.9793986539,6.7,23.4006013461,10.0745178223,75.9640311668,5.78795,-27.9640311668,37.71375,-96.71839,KIAB
1103191037,FWS.ICT.20110319.JACKM.01.20110322.103726.598637357,49,4,458,26.1111111111,31,9.38784,-56.38,13.5,87.38,9.77444436,13.35,71.4006013461,-15.9793986539,6.7,40.4006013461,10.0745178223,75.9640311668,5.78795,-44.9640311668,37.71375,-96.71839,KIAB
1007121529,FWS.ICT.20100712.WILSO.01.20100712.152905.523858518,17,104,211,29.4444444444,58,4.02336,4.71,30.6,53.29,8.23111104,31.0981689453,50.0697838764,-3.22021612355,5.1,-7.93021612355,29.652947998,60.6625647749,4.54038,-2.66256477488,38.9396,-98.6299,KRSL
1004201239,FWS.ICT.20100420.BOTTO.01.20100420.123954,3,10,141,19.4444444444,41,4.4704,8.0,21.1111111111,33.0,3.575388858,19.4500061035,40.1647012424,7.16470124238,5.7,-0.835298757623,,,,,38.405,-96.553,TGSK1
1004080935,FWS.ICT.20100408.PATCH.01.20100408.093558,1,-25,325,18.8888888889,29,4.91744,5.0,17.7777777778,24.0,6.7032110532,17.8047424316,28.3997025657,4.39970256568,6.2,-0.600297434316,,,,,38.4178,-96.5581,TGSK1
