date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1208041638,FWS.ICT.20120804.NWMCP.01.20120804.163800.407385669,34,-82,9,32.7777777778,35,7.15264,-14.48,28.3,49.48,9.25999992,33.1571594238,33.5489122877,-15.9310877123,10.8,-1.45108771226,27.8647094727,49.1612300913,11.1727,-14.1612300913,38.57,-97.93,KSLN
1206141704,FWS.ICT.20120614.LINCO.01.20120614.170428.875155151,38,109,37,35.0,39,8.9408,3.74,36.1,35.26,11.31777768,34.4500061035,38.7353959557,3.47539595565,11.3,-0.26460404435,37.0954223633,39.4460969996,10.3085,-0.446096999583,39.02,-98.41,KRSL
1104291815,FWS.ICT.20110429.SANDH.01.20110429.181510.720672024,6,-11,22,27.2222222222,25,13.85824,0.47,28.3,24.53,18.51999984,,,,,,24.6919799805,33.9846279446,11.3558,-8.9846279446,38.13018,-97.86132,KHUT
1104060808,FWS.ICT.20110406.82NDP.01.20110407.080834.169983017,10,-30,615,20.5555555556,43,4.4704,15.06,22.8,27.94,9.77444436,21.649987793,30.0709652594,2.13096525945,8.7,-12.9290347406,21.5183959961,29.9810826831,7.66568,13.0189173169,38.1445,-97.9221,KHUT
1104061836,FWS.ICT.20110406.82NDP.01.20110406.183633.424650662,10,-30,13,22.2222222222,30,7.59968,2.06,22.8,27.94,9.77444436,21.649987793,30.0709652594,2.13096525945,8.7,0.0709652594482,21.5183959961,29.9810826831,7.66568,0.0189173169038,38.1445,-97.9221,KHUT
1011041752,FWS.ICT.20101104.OBEEC.01.20101104.175236.321561744,4,12,105,15.0,21,6.7056,0.24,15.6,20.76,10.2888888,14.4500061035,21.5895970277,0.82959702775,8.7,0.58959702775,13.4417663574,24.9731980468,6.96169,-3.97319804683,38.106,-97.85347,KHUT
1004141312,FWS.ICT.20100414.SANDH.01.20100414.131238,20,24,20,25.5555555556,39,8.49376,1.14,26.1,37.86,13.37555544,24.567010498,43.0038477389,5.1438477389,9.7056,4.0038477389,,,,,38.08611,-97.62516,KHUT
1004131036,FWS.ICT.20100413.SANDH.01.20100413.103659,20,24,3,25.0,38,8.9408,3.32,25.0,34.68,15.94777764,24.9500061035,38.8045379735,4.1245379735,13.9,0.804537973503,,,,,38.08611,-97.62516,KHUT
1004131642,FWS.ICT.20100413.SANDH.02.20100413.164226,20,24,17,25.0,36,8.9408,1.32,25.0,34.68,15.94777764,24.9500061035,38.8045379735,4.1245379735,13.9,2.8045379735,,,,,38.08611,-97.62516,KHUT
1004131020,FWS.ICT.20100413.SANDH.02.20100413.102023,20,24,365,25.0,38,8.9408,3.32,25.0,34.68,15.94777764,24.9500061035,38.8045379735,4.1245379735,13.9,0.804537973503,,,,,38.08611,-97.62516,KHUT
1004121709,FWS.ICT.20100412.SANDH.01.20100412.170939,20,24,24,25.0,50,6.7056,-7.39,23.9,57.39,9.77444436,24.9500061035,50.6807999721,-6.70920002789,9.8,0.680799972112,,,,,38.08611,-97.62516,KHUT
1004091812,FWS.ICT.20100409.BURRT.01.20100409.181236,20,0,10,24.4444444444,21,11.176,0.07,25.0,20.93,11.83222212,,,,,,,,,,38.10133,-97.6288,KHUT
1404161330,FWS.ICT.20140416.TALLG.01.20140416.133040.1379796286,0,0,14,20.5555555556,23,12.07008,4.0,22.2222222222,19.0,13.8591332136,19.4500061035,23.9836260427,4.98362604275,15.39,0.983626042746,20.6225219727,20.5401871451,12.0016,2.45981285494,38.435,-96.56056,TGSK1
1404171340,FWS.ICT.20140417.TALLG.01.20140417.134013.1842535260,0,0,15,11.6666666667,49,4.4704,4.0,11.1111111111,45.0,3.575388858,10.8279052734,51.1651311544,6.1651311544,5.1,2.1651311544,11.8281494141,45.1373492523,4.05864,3.86265074768,38.435,-96.56056,TGSK1
1504061547,FWS.ICT.20150406.RANGE.01.20150406.154732.3083931736,49,31,20,29.4444444444,43,13.4112,4.2,29.4,38.8,11.31777768,29.35,42.2304380316,3.43043803164,10.4,-0.769561968358,30.1060424805,34.7253395915,8.38977,8.27466040849,37.25,-97.67,KICT,0
1603241326,FWS.ICT.20160324.HAVEY.01.20160324.132650.408888137,12,28,7,12.2222222222,26,9.83488,4.16,12.8,21.84,10.2888888,,,,,,11.6628356934,25.8183000314,9.45594,0.181699968601,38.05762,-97.72044,KHUT,0
1603261034,FWS.ICT.20160326.BURRT.01.20160326.103409.281466358,10,21,16,13.8888888889,48,5.36448,-6.08,14.0,54.08,10.2888888,,,,,,14.047479248,61.948257736,7.26696,-13.948257736,38.08433,-97.39546,KEWK,0
1604101018,FWS.ICT.20160410.TALLG.01.20160410.101803.869180564,5,-10,20,26.1111111111,39,6.25856,4.0,28.3333333333,35.0,6.2607888348,,,,,,26.7198120117,37.4466085841,10.6072,1.55339141589,38.41861,-96.505,TGSK1,0
