date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404051231,FWS.ILM.20140405.SHAKE.01.20140405.123143.4066894516,8,-9,14,24.4444444444,30,6.7056,7.0,29.4444444444,23.0,4.4705221836,22.632409668,35.2838020536,12.2838020536,4.08839,5.28380205357,27.845513916,24.9970142878,4.58176,5.0029857122,34.59183,-77.66433,BKIN7
1204171342,FWS.ILM.20120417.GODFR.01.20120417.134209.717451579,14,-9,13,29.4444444444,48,5.36448,9.0,33.3333333333,39.0,3.1278221952,27.577142334,49.8977709156,10.8977709156,3.29017,1.8977709156,29.7799926758,47.307972561,5.03374,0.692027438968,34.40478,-77.7398,BKIN7
1204151412,FWS.ILM.20120415.GODFR.01.20120415.141225.517192904,14,-9,36,25.0,54,8.9408,6.0,26.6666666667,48.0,4.9180888464,24.1099487305,52.7555896689,4.75558966886,6.45005,-1.24441033114,24.7299743652,53.42404235,7.16242,0.575957650041,34.40083,-77.73694,BKIN7
1203091737,FWS.ILM.20120309.OCEAN.02.20120309.173729.421054716,23,18,90,18.3333333333,66,4.4704,8.0,20.5555555556,58.0,4.2493110744,18.5354858398,64.2332628669,6.23326286686,6.96825,-1.76673713314,19.1914611816,66.680819756,4.01175,-0.680819755965,33.9,-78.43,NATN7
1107251438,FWS.ILM.20110725.HORNE.01.20110725.143854.113799703,11,3,11,33.8888888889,61,5.36448,-8.98,29.0,69.98,7.20222216,34.1731506348,55.1048259506,-14.8751740494,5.1,-5.89517404938,28.1598754883,79.1053013964,3.6854,-18.1053013964,33.78306,-78.9,KMYR
1107241432,FWS.ILM.20110724.HORNE.01.20110724.143229.433768529,11,3,14,35.5555555556,55,6.7056,7.66,36.0,47.34,7.7166666,35.4412475586,51.3743696439,4.03436964394,6.79062,-3.62563035606,35.9165893555,48.4660392295,3.98215,6.53396077048,33.78306,-78.9,KMYR
1107211006,FWS.ILM.20110721.SIMMO.01.20110721.100610.990186402,21,24,9,37.7777777778,39,3.12928,1.0,38.3333333333,38.0,3.1278221952,37.1836181641,40.8842547858,2.88425478584,4.1,1.88425478584,37.7226501465,42.5513761539,4.43515,-3.55137615393,34.84267,-78.70983,TURN7
1107211015,FWS.ILM.20110721.JUNIP.01.20110721.101525.440973707,4,-1,16,37.2222222222,47,4.91744,9.0,36.6666666667,38.0,4.4705221836,36.149987793,46.8730500879,8.87305008791,5.88584,-0.126949912087,33.4163757324,65.9465634473,2.45968,-18.9465634473,34.52467,-77.67467,BKIN7
1107201014,FWS.ILM.20110720.SIMMO.01.20110720.101455.365467437,21,21,19,37.2222222222,42,3.12928,3.0,37.2222222222,39.0,3.1278221952,36.649987793,42.0892118607,3.08921186066,2.6,0.0892118606555,36.4118896484,43.7950618476,2.91994,-1.7950618476,34.84267,-78.70983,TURN7
1107201006,FWS.ILM.20110720.JUNIP.01.20110720.100652.289561814,4,-1,13,35.5555555556,49,4.91744,20.0,37.7777777778,29.0,4.9180888464,34.7483459473,48.4998274038,19.4998274038,5.20553,-0.500172596206,35.7415100098,53.7978945644,4.54494,-4.79789456441,34.52467,-77.67467,BKIN7
