date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091233,FWS.ILX.20140409.HLWES.01.20140409.123354.4036042527,24,27,327,16.6666666667,36,5.36448,7.58,16.7,28.42,6.68777772,16.149987793,35.7596102671,7.33961026711,5.7,-0.240389732895,16.4121032715,34.5705327462,4.53277,1.42946725384,40.07218,-87.99132,KCMI
1404011216,FWS.ILX.20140401.RAYBU.01.20140401.121647.4200892681,21,17,284,13.3333333333,38,7.15264,1.04,13.3,36.96,10.2888888,12.9581848145,39.3442592292,2.38425922918,8.7,1.34425922918,12.2293334961,40.8887390754,9.22403,-2.88873907538,40.2031,-88.39099,KCMI
1403311209,FWS.ILX.20140331.PATTO.01.20140331.120915.969008906,17,1,291,18.8888888889,36,8.9408,10.97,20.0,25.03,11.31777768,18.85,36.4479848484,11.4179848484,10.4998,0.4479848484,18.5417114258,31.1156723039,10.1527,4.88432769606,40.3977,-87.99123,KTIP
1403261756,FWS.ILX.20140326.IZAAK.01.20140326.175657.3401545572,21,16,34,5.55555555556,31,5.36448,0.99,6.1,30.01,9.25999992,5.60091552734,29.5081716422,-0.501828357792,6.80946,-1.49182835779,5.49233398438,38.3546785964,5.71451,-7.35467859642,40.20123,-88.38526,KCMI
1403201200,FWS.ILX.20140320.PTPLE.01.20140320.120027.586469903,17,5,240,11.1111111111,44,5.36448,-0.1,11.8,44.1,5.65888884,11.649987793,43.4944324752,-0.60556752483,4.6,-0.50556752483,11.1599060059,46.9170300509,4.90088,-2.91703005093,40.36849,-87.96989,KTIP
1403171200,FWS.ILX.20140317.WEBER.01.20140317.120025.2657596239,17,7,240,4.44444444444,40,4.4704,-12.16,4.2,52.16,0.0,3.43041381836,47.5816780236,-4.57832197636,3.1,7.58167802364,3.79003295898,54.4763099717,3.06266,-14.4763099717,40.36853,-87.96743,KTIP
1311181347,FWS.ILX.20131118.BTPHA.01.20131118.134747.1227560473,22,-6,253,8.88888888889,42,7.15264,-0.38,10.0,42.38,11.83222212,8.04552612305,44.3857675762,2.00576757621,8.7,2.38576757621,8.97216186523,50.5651664851,8.72842,-8.56516648507,40.20802,-88.40984,KCMI
1311071426,FWS.ILX.20131107.HOMER.01.20131107.142600.1513280007,24,27,154,9.44444444444,45,5.36448,-8.62,9.4,53.62,8.23111104,8.85,45.466730897,-8.15326910298,6.2,0.466730897024,8.70754394531,63.2348027916,6.92911,-18.2348027916,40.07223,-87.98894,KCMI
1311041357,FWS.ILX.20131104.BUFFA.01.20131104.135700.3911104820,22,9,183,15.0,45,6.7056,-7.72,15.0,52.72,9.25999992,,,,,,14.1592956543,58.6389048107,7.44167,-13.6389048107,40.20794,-88.39768,KCMI
1309151324,FWS.ILX.20130915.GURGE.01.20130915.132400.1379251438507,4,17,216,25.0,43,3.57632,-6.89,23.9,49.89,5.1444444,25.550012207,41.4866361287,-8.40336387132,5.1,-1.51336387132,23.3705993652,46.3548451717,4.41052,-3.35484517174,39.87088,-89.6426,KSPI
1309141436,FWS.ILX.20130914.GURGE.02.20130914.143639.1379169393438,4,17,144,24.4444444444,26,2.2352,-9.09,22.8,35.09,4.62999996,23.35,32.9840747108,-2.10592528917,2.6,6.98407471083,22.7747436523,34.6977604014,2.5514,-8.69776040143,39.87088,-89.6426,KSPI
1304031456,FWS.ILX.20130403.SRSEP.01.20130403.145606.1365000966208,17,9,94,10.0,27,3.57632,4.16,10.2,22.84,5.65888884,8.91597900391,32.5827666159,9.74276661589,2.15497,5.58276661589,9.16549072266,31.2485589904,6.2835,-4.24855899038,40.27637,-88.34908,KTIP
1304021210,FWS.ILX.20130402.HLWES.01.20130402.121008.1364904607948,24,26,170,7.22222222222,33,3.12928,9.04,8.9,23.96,7.20222216,6.64998779297,36.3024392581,12.3424392581,3.22624,3.30243925812,8.75731811523,25.670871223,4.92371,7.329128777,40.07256,-87.99129,KCMI
