date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1304301138,FWS.IWX.20130430.SWAMP.01.20130430.113803.1367321883055,31,-14,322,25.5555555556,50,8.9408,2.67,25.0,47.33,5.65888884,24.9500061035,50.5820759724,3.25207597242,7.7,0.582075972422,23.6350646973,55.9372778292,5.01488,-5.93727782917,41.5058,-85.3304,KGWB
1304041015,FWS.IWX.20130404.SPORO.01.20130404.101510.1365070510244,20,-12,315,13.3333333333,26,4.4704,6.46,13.9,19.54,5.1444444,12.7499938965,26.6033446024,7.06334460239,4.1,0.603344602386,13.4620605469,22.201498165,3.49044,3.79850183499,41.24013,-86.45565,KOXI
1304041007,FWS.IWX.20130404.SPORO.01.20130404.100750.1365070070093,20,-12,323,13.3333333333,26,4.4704,6.46,13.9,19.54,5.1444444,12.7499938965,26.6033446024,7.06334460239,4.1,0.603344602386,13.4620605469,22.201498165,3.49044,3.79850183499,41.24013,-86.45565,KOXI
1304031512,FWS.IWX.20130403.TIPPE.01.20130403.151218.1365001938313,25,-8,78,8.88888888889,29,2.2352,8.35,7.9,20.65,6.17333328,7.53984985352,31.358791031,10.708791031,3.42149,2.35879103102,8.03542480469,19.6899305856,4.99587,9.31006941436,41.11,-86.6,KOXI
1202061701,FWS.IWX.20120206.TESTS.01.20120206.170135.464528923,29,-14,1,3.33333333333,77,6.7056,-1.11,2.2,78.11,4.62999996,7.24999389648,57.4411544143,-20.6688455857,5.1,-19.5588455857,2.7982421875,91.6398959397,4.50188,-14.6398959397,40.56,-86.66,KLAF
1201251423,FWS.IWX.20120125.MNOKE.01.20120125.142321.340647871,1,2,7,2.22222222222,69,4.4704,-9.0,0.0,78.0,3.575388858,1.64998779297,66.80683028,-11.19316972,3.65115,-2.19316972001,1.19097290039,78.9465086556,4.98564,-9.9465086556,41.6169,-87.097,TS480
1111041203,FWS.IWX.20111104.BERRI.01.20111104.120333.198541372,16,-47,237,11.1111111111,52,4.4704,-0.32,11.1,52.32,2.5722222,10.1084533691,55.0195422574,2.69954225744,4.1,3.01954225744,10.2460571289,60.3720089966,4.01566,-8.37200899664,42.00559,-86.54056,KBEH
1004231202,FWS.IWX.20100423.LOMBA.01.20100423.120216,19,15,178,18.8888888889,31,6.7056,1.94,16.0,29.06,5.65888884,18.35,31.0633520552,2.0033520552,5.7,0.0633520551993,,,,,42.02221,-84.39033,KJYM
1004180746,FWS.IWX.20100418.LIMEL.01.20100418.074628,22,-6,434,12.7777777778,38,4.4704,-8.88,13.0,46.88,4.62999996,12.7499938965,39.5464961559,-7.33350384413,4.98416,1.54649615587,,,,,41.75361,-85.18083,KIRS
1004141225,FWS.IWX.20100414.STJOE.01.20100414.122547,17,-53,275,25.0,33,6.7056,2.77,23.0,30.23,5.1444444,24.4308105469,33.2971638367,3.06716383668,6.2,0.297163836683,,,,,41.8501,-85.7431,KHAI
1003180748,FWS.IWX.20100318.SAWMI.01.20100318.074832,18,7,492,18.3333333333,35,6.7056,3.42,17.0,31.58,7.7166666,18.35,34.1062746722,2.52627467222,7.04021,-0.893725327778,,,,,41.69028,-85.28889,KIRS
0911131041,FWS.IWX.20091113.ELKHA.01.20091113.104118,9,0,319,15.0,43,4.4704,-0.9,14.0,43.9,5.1444444,14.4500061035,38.6821201924,-5.21787980765,4.1,-4.31787980765,13.4806152344,49.390172183,4.92352,-6.39017218295,41.74361,-85.89278,KEKM
0904091145,FWS.IWX.20090409.ELKHA.01.20090409.114548,9,0,195,11.6666666667,33,4.4704,10.62,14.0,22.38,4.11555552,,,,,,13.8440490723,26.2625805965,3.74888,6.73741940353,41.74417,-85.89,KEKM
1404111224,FWS.IWX.20140411.SPINN.01.20140411.122406.351454711,11,-37,276,20.5555555556,23,2.2352,0.86,19.6,22.14,4.11555552,19.4500061035,24.0048276868,1.86482768679,2.6,1.00482768679,20.4125,21.0290034892,3.46612,1.97099651075,40.77688,-86.87331,KMCX
1404131524,FWS.IWX.20140413.BOGAR.01.20140413.152442.1688559471,18,37,156,23.8888888889,54,11.176,2.64,23.3,51.36,7.20222216,22.6432739258,55.7846621082,4.42466210819,7.08931,1.78466210819,21.2258544922,61.9165492347,8.19226,-7.91654923475,41.9712,-85.8137,KHAI
1504141541,FWS.IWX.20150414.KINGS.01.20150414.154124.3817430747,18,-4,41,18.3333333333,23,4.4704,21.12,18.0,1.88,6.68777772,18.550012207,26.0615810237,24.1815810237,3.6,3.06158102369,19.223840332,15.633998119,6.66445,7.36600188097,41.49611,-86.62556,KOXI,0
1504151436,FWS.IWX.20150415.POKAG.01.20150415.143637.2349693765,28,-4,24,18.8888888889,23,6.7056,-0.55,18.9,23.55,8.23111104,19.050012207,22.1465377925,-1.40346220745,6.8,-0.853462207454,19.8339782715,20.6180248877,8.06642,2.38197511229,41.94694,-86.18806,KBEH,0
1603211442,FWS.IWX.20160321.DOWAG.01.20160321.144209.2226967651,28,86,48,6.66666666667,41,4.4704,6.33,6.7,34.67,7.20222216,,,,,,7.55559692383,27.6519158449,5.65438,13.3480841551,41.94889,-86.18694,KSBN,0
1603221304,FWS.IWX.20160322.DOWAG.01.20160322.130412.3775765385,28,38,29,14.4444444444,49,8.9408,8.55,16.7,40.45,6.68777772,,,,,,18.6977172852,34.7842113833,9.17994,14.2157886167,41.94889,-86.18667,KBEH,0
1604131438,FWS.IWX.20160413.88THR.01.20160413.143828.940221598,12,34,12,13.8888888889,37,4.4704,0.87,14.1,36.13,4.62999996,,,,,,13.5287109375,36.7095942838,4.19776,0.290405716189,41.48806,-86.62778,KPPO,0
