date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404031158,FWS.JAN.20140403.COMPA.01.20140403.115815.1666189398,10,0,182,26.6666666667,54,6.7056,12.0,29.4444444444,42.0,3.1278221952,26.649987793,47.9588404849,5.95884048491,6.7,-6.04115951509,28.8420043945,44.3694947009,5.64144,9.63050529906,33.20139,-89.0825,TNFM6
1404021302,FWS.JAN.20140402.COMPT.02.20140402.130207.635584160,20,1,118,26.1111111111,53,4.02336,-9.0,25.0,62.0,2.6802555324,25.550012207,62.1181420439,0.118142043852,5.1,9.11814204385,24.3186279297,73.3567115887,3.8223,-20.3567115887,32.45,-89.61667,FSTM6
1404021236,FWS.JAN.20140402.COMPA.01.20140402.123607.2228790606,9,0,114,25.5555555556,48,4.4704,-13.0,25.5555555556,61.0,3.1278221952,25.550012207,57.9477348036,-3.05226519635,5.7,9.94773480365,23.779107666,65.9150003647,4.04586,-17.9150003647,33.20306,-89.10139,TNFM6
1404021259,FWS.JAN.20140402.COMPT.01.20140402.125909.1374771482,32,1,121,26.1111111111,52,4.4704,-10.0,25.0,62.0,2.6802555324,25.550012207,60.1910240671,-1.80897593286,5.1899,8.19102406714,25.0252929688,68.261707285,4.06402,-16.261707285,32.05,-89.66667,FSTM6
1404011240,FWS.JAN.20140401.COMPT.01.20140401.124035.1454622277,17,1,140,26.1111111111,36,3.57632,-4.0,27.7777777778,40.0,3.1278221952,26.149987793,36.1420637441,-3.85793625587,4.6,0.142063744133,25.4571166992,46.9436383619,3.6233,-10.9436383619,32.2,-89.35,FSTM6
1404011246,FWS.JAN.20140401.COMPT.02.20140401.124617.856022109,32,1,134,26.1111111111,38,3.57632,-2.0,27.7777777778,40.0,3.1278221952,26.5750671387,36.689667558,-3.31033244198,4.6,-1.31033244198,24.9774108887,54.6072762251,3.83209,-16.6072762251,32.05,-89.66667,FSTM6
1404011306,FWS.JAN.20140401.CHICK.01.20140401.130605.105928546,10,14,114,26.1111111111,38,4.02336,6.0,27.7777777778,32.0,3.1278221952,26.3225646973,37.2387631835,5.23876318351,4.6,-0.761236816488,26.2569519043,39.1752803485,4.95828,-1.17528034848,31.55944,-88.98833,LAUM6
1404011225,FWS.JAN.20140401.COMPA.02.20140401.122555.1473131946,0,15,185,25.5555555556,35,3.12928,-6.0,26.6666666667,41.0,2.2326888696,25.550012207,34.777201158,-6.22279884202,4.6,-0.222798842017,25.7917114258,43.7892880352,3.23111,-8.78928803521,33.28028,-89.13917,TNFM6
1404011158,FWS.JAN.20140401.HOMOC.01.20140401.115809.3405210666,14,44,242,23.8888888889,55,4.02336,10.0,27.2222222222,45.0,4.0229555208,25.550012207,50.3365350725,5.33653507253,4.6,-4.66346492747,26.9792724609,48.8193587344,4.14452,6.18064126564,31.44,-90.99167,BDEM6
1404011205,FWS.JAN.20140401.COMPA.01.20140401.120551.4127856781,10,0,205,25.5555555556,34,3.12928,-7.0,26.6666666667,41.0,2.2326888696,25.550012207,34.777201158,-6.22279884202,4.6,0.777201157983,25.5985656738,43.4315855523,3.09924,-9.43158555234,33.20139,-89.0825,TNFM6
