date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404090936,FWS.JKL.20140409.SHELT.01.20140409.093611.114322275,20,-60,294,16.6666666667,29,4.4704,-0.0,17.7777777778,29.0,4.4705221836,16.4278503418,30.1098145829,1.10981458293,4.1,1.10981458293,16.0945678711,33.3771047541,3.88332,-4.37710475412,36.88333,-84.525,SOMK2
1404091410,FWS.JKL.20140409.SHELT.02.20140409.141012.1146305510,20,-60,0,16.6666666667,29,3.57632,-0.0,17.7777777778,29.0,4.4705221836,16.4278503418,30.1098145829,1.10981458293,4.1,1.10981458293,16.0945678711,33.3771047541,3.88332,-4.37710475412,36.88333,-84.525,SOMK2
1404091407,FWS.JKL.20140409.SHELT.02.20140409.140731.3282628736,20,-60,3,16.6666666667,29,3.57632,-0.0,17.7777777778,29.0,4.4705221836,16.4278503418,30.1098145829,1.10981458293,4.1,1.10981458293,16.0945678711,33.3771047541,3.88332,-4.37710475412,36.88333,-84.525,SOMK2
1404060935,FWS.JKL.20140406.SHELT.01.20140406.093532.2889335865,20,-60,265,18.8888888889,36,2.2352,13.0,20.0,23.0,3.575388858,18.6278625488,37.5405254605,14.5405254605,2.6,1.54052546048,19.1694274902,24.9441206608,3.95085,11.0558793392,36.88333,-84.525,SOMK2
1404020955,FWS.JKL.20140402.DARKR.01.20140402.095509.2644748628,1,-84,5,25.0,39,3.57632,10.0,27.2222222222,29.0,3.1278221952,24.1740661621,41.533815091,12.533815091,3.72543,2.533815091,25.9360595703,35.2133721743,2.70882,3.78662782571,36.61089,-83.68589,YELK2
1404021036,FWS.JKL.20140402.PREWI.01.20140402.103631.213035659,34,56,264,25.5555555556,39,3.57632,5.0,27.2222222222,34.0,3.1278221952,24.9658447266,41.9938784709,7.9938784709,3.35468,2.9938784709,26.0047241211,37.2952812433,2.53108,1.70471875669,36.70456,-84.39175,BSFT1
1404021051,FWS.JKL.20140402.SANDH.01.20140402.105105.1229612472,35,-97,249,26.1111111111,40,3.57632,2.0,26.1111111111,38.0,3.1278221952,24.9500061035,42.1498512398,4.14985123981,3.1,2.14985123981,25.9637390137,37.5244588104,2.34572,2.47554118964,36.78011,-84.40981,SOMK2
1404021610,FWS.JKL.20140402.PREWI.02.20140402.161039.2669033539,34,56,10,24.4444444444,40,3.57632,6.0,27.2222222222,34.0,3.1278221952,24.9658447266,41.9938784709,7.9938784709,3.35468,1.9938784709,26.0047241211,37.2952812433,2.53108,2.70471875669,36.70456,-84.39175,BSFT1
1404021029,FWS.JKL.20140402.SHOPB.01.20140402.102924.1518227036,42,42,211,25.5555555556,41,3.57632,5.02,25.6,35.98,2.5722222,25.0644165039,41.7484063747,5.76840637474,3.43622,0.748406374744,25.9968811035,36.9355850023,2.3423,4.06441499773,36.75,-84.3,KLOZ
1404011006,FWS.JKL.20140401.BRUSH.01.20140401.100638.149126230,36,-46,264,23.8888888889,35,4.02336,10.0,26.1111111111,25.0,6.7032110532,24.200982666,31.8765245648,6.87652456477,5.00294,-3.12347543523,27.0892883301,24.1121624606,4.87956,10.8878375394,36.78483,-84.37133,SOMK2
1404010957,FWS.JKL.20140401.DARKR.01.20140401.095704.3891608193,1,-84,303,20.5555555556,32,5.81152,11.0,26.6666666667,21.0,2.6802555324,22.6942687988,32.7936085226,11.7936085226,4.91649,0.79360852259,26.0519348145,26.5898743919,4.07572,5.41012560812,36.61089,-83.68589,YELK2
1404011014,FWS.JKL.20140401.SHOPB.01.20140401.101400.1600890224,42,42,256,25.0,26,4.02336,3.06,26.7,22.94,7.20222216,24.0265136719,31.8406040011,8.90060400114,4.86416,5.84060400114,26.8196960449,22.815214288,4.87994,3.184785712,36.75,-84.3,KLOZ
