date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404061428,FWS.JKL.20140406.BOWEN.01.20140406.142800.2730852148,11,91,12,20.0,30,2.2352,5.0,20.0,25.0,3.575388858,17.2923217773,37.2483408998,12.2483408998,2.969,7.24834089983,19.4110656738,30.878491098,3.20906,-0.878491098016,37.85138,-83.73158,KOMK2
1403241741,FWS.JKL.20140324.COUCH.01.20140324.174121.1257233325,14,-10,16,6.66666666667,25,2.2352,6.0,9.44444444444,19.0,1.7902666512,6.93639526367,29.2472856968,10.2472856968,2.1,4.24728569682,7.89586791992,21.1013372158,2.54144,3.89866278423,37.26475,-83.52438,CHTK2
1403231455,FWS.JKL.20140323.SANDH.01.20140323.145514.2953474872,30,67,17,8.88888888889,45,4.02336,11.0,11.1111111111,34.0,3.1278221952,8.85,46.8686625717,12.8686625717,4.61568,1.86866257171,9.35665283203,39.6179943955,4.78408,5.38200560447,36.7035,-84.4593,BSFT1
1403221559,FWS.JKL.20140322.AUGER.01.20140322.155916.2776891074,15,15,13,17.2222222222,32,4.4704,6.45,17.8,25.55,4.62999996,17.3163085938,36.3962248284,10.8462248284,4.1,4.39622482843,17.7230163574,30.6924700698,2.99324,1.30752993018,36.9828,-84.1892,KLOZ
1403161554,FWS.JKL.20140316.BETHE.01.20140316.155435.2191122039,28,-106,50,7.77777777778,44,4.4704,-36.63,3.0,80.63,8.23111104,3.5775390625,70.9317122283,-9.69828777172,6.7,26.9317122283,4.15923461914,70.8281761269,3.88629,-26.8281761269,37.44111,-84.11633,KI39
1403021430,FWS.JKL.20140302.BROWN.01.20140302.143023.2270521437,35,59,25,13.8888888889,66,6.7056,2.0,18.8888888889,64.0,4.0229555208,13.7214599609,71.5172088303,7.51720883032,5.1,5.51720883032,15.8944641113,62.1792851202,5.83353,3.82071487982,36.74183,-84.44389,BSFT1
1402251624,FWS.JKL.20140225.MIDNI.01.20140225.162453.3004774343,32,-96,23,8.33333333333,26,2.2352,-7.0,6.66666666667,33.0,3.575388858,6.78243408203,36.1733713365,3.1733713365,2.6,10.1733713365,6.24929199219,31.310408312,1.73554,-5.31040831203,36.83667,-84.37,SOMK2
1402241903,FWS.JKL.20140224.HORSE.01.20140224.190333.3601989248,30,-42,18,5.55555555556,29,2.68224,9.02,6.1,19.98,3.60111108,5.08178100586,29.7776291406,9.79762914056,3.6,0.777629140559,4.48323974609,27.4800330271,2.3539,1.51996697291,37.36389,-84.12972,KLOZ
1312201647,FWS.JKL.20131220.SCUTT.01.20131220.164711.3527573730,26,-48,27,16.6666666667,39,5.36448,-18.0,17.2222222222,57.0,4.9180888464,16.3245178223,61.96979188,4.96979188,5.1,22.96979188,,,,,36.95842,-84.34544,SOMK2
1311151303,FWS.JKL.20131115.VANOV.01.20131115.130320.2408215794,28,-95,9,13.3333333333,39,3.57632,-4.0,12.7777777778,43.0,2.6802555324,12.3546081543,57.2337888695,14.2337888695,4.03195,18.2337888695,12.214654541,51.7705187763,2.81005,-12.7705187763,36.85611,-84.40361,SOMK2
1305301506,FWS.JKL.20130530.TACKE.01.20130530.150656.1369926416182,9,122,20,27.7777777778,38,4.4704,-2.62,29.9,40.62,4.11555552,28.9865356445,35.4869648346,-5.13303516541,3.67559,-2.51303516541,28.0016723633,39.9807662835,2.78675,-1.98076628355,36.5475,-83.80528,K1A6
1304161618,FWS.JKL.20130416.GRAVE.01.20130416.161825.1366129105121,12,0,26,25.5555555556,50,5.36448,10.0,29.4444444444,40.0,3.1278221952,25.0765014648,53.9025672532,13.9025672532,5.1,3.90256725319,27.4128967285,44.0455219523,7.43865,5.95447804774,37.44472,-84.10833,TR652
1304071630,FWS.JKL.20130407.WINDC.01.20130407.163016.1365352216084,10,-15,9,22.2222222222,29,5.36448,1.0,22.7777777778,28.0,3.575388858,21.649987793,32.4890763754,4.48907637543,6.2,3.48907637543,21.0548950195,35.6138461002,6.78098,-6.61384610022,37.51972,-83.92778,TR652
1304061655,FWS.JKL.20130406.WINDC.01.20130406.165534.1365267334225,10,-30,16,21.1111111111,24,3.57632,6.0,22.2222222222,18.0,2.6802555324,19.9500061035,24.143961396,6.143961396,4.59982,0.143961396005,21.4488464355,23.5009975892,5.6786,0.499002410772,37.51972,-83.92778,TR652
1304051130,FWS.JKL.20130405.WINDC.01.20130405.113029.1365161429338,10,-15,29,16.1111111111,32,4.4704,10.0,18.8888888889,22.0,2.6802555324,15.550012207,33.273039303,11.273039303,4.6,1.27303930298,17.0441223145,24.4526251911,4.39425,7.54737480892,37.51978,-83.92765,TR652
1304051711,FWS.JKL.20130405.WINDC.01.20130405.171152.1365181912312,10,-15,370,16.6666666667,25,6.7056,3.0,18.8888888889,22.0,2.6802555324,15.550012207,33.273039303,11.273039303,4.6,8.27303930298,17.0441223145,24.4526251911,4.39425,0.547374808917,37.51978,-83.92765,TR652
1304031043,FWS.JKL.20130403.DRYFO.01.20130404.104344.1365072224889,9,-30,280,11.6666666667,43,3.57632,24.0,12.2222222222,19.0,3.1278221952,11.3925109863,18.1435763032,-0.856423696816,3.6,-24.8564236968,9.79430541992,22.4674221753,4.46947,20.5325778247,37.51444,-84.00444,TR652
1304031554,FWS.JKL.20130403.DRYFO.01.20130403.155411.1365004451799,9,-30,31,12.2222222222,13,4.4704,-6.0,12.2222222222,19.0,3.1278221952,11.3925109863,18.1435763032,-0.856423696816,3.6,5.14357630318,9.79430541992,22.4674221753,4.46947,-9.46742217529,37.51444,-84.00444,TR652
1304031111,FWS.JKL.20130403.DRYFO.01.20130404.111127.1365073887081,9,-30,252,11.6666666667,43,3.57632,24.0,12.2222222222,19.0,3.1278221952,11.3925109863,18.1435763032,-0.856423696816,3.6,-24.8564236968,9.79430541992,22.4674221753,4.46947,20.5325778247,37.51444,-84.00444,TR652
1304031806,FWS.JKL.20130403.DRYFO.01.20130403.180604.1365012364628,9,-30,163,11.6666666667,14,8.9408,-5.0,12.2222222222,19.0,3.1278221952,11.3925109863,18.1435763032,-0.856423696816,3.6,4.14357630318,9.79430541992,22.4674221753,4.46947,-8.46742217529,37.51444,-84.00444,TR652
1303161604,FWS.JKL.20130316.CATRO.01.20130316.160444.1363449880210,35,-69,29,22.2222222222,30,7.59968,-12.0,22.2222222222,42.0,8.9410443672,19.557824707,52.476882479,10.476882479,6.7,22.476882479,22.3158203125,39.7970781933,6.72964,-9.79707819328,36.78472,-84.39361,SOMK2
1211231217,FWS.JKL.20121123.TURKE.01.20121123.121719.1353673039632,37,99,16,12.7777777778,42,4.4704,3.0,12.2222222222,39.0,2.6802555324,13.85,43.6838905123,4.68389051228,5.7,1.68389051228,11.6743713379,53.4159565519,2.98705,-11.4159565519,36.74514,-84.40306,BSFT1
1211191848,FWS.JKL.20121119.LIMEK.01.20121119.184849.1353350929655,4,-45,56,17.2222222222,28,1.34112,-1.0,17.2222222222,29.0,1.7902666512,16.5678955078,35.9718219817,6.97182198168,1.0,7.97182198168,,,,,37.47256,-83.94889,TR652
1210251719,FWS.JKL.20121025.BRAMB.01.20121025.171900.1351185540281,4,86,44,27.2222222222,30,4.4704,-0.0,27.7777777778,30.0,2.6802555324,26.2853027344,31.905975242,1.905975242,2.6,1.905975242,26.1468139648,32.5807637936,2.75619,-2.58076379358,38.21739,-83.39764,TRMK2
1210240914,FWS.JKL.20121024.BRAMB.01.20121025.091448.1351156488005,4,64,473,27.2222222222,28,4.4704,-1.0,27.2222222222,29.0,2.2326888696,26.2853027344,34.3680016186,5.3680016186,2.6,6.3680016186,25.8504882813,31.2756879761,2.60762,-3.27568797607,38.21739,-83.39764,TRMK2
1210241725,FWS.JKL.20121024.BRAMB.01.20121024.172518.1351099518296,4,64,18,26.6666666667,30,3.12928,1.0,27.2222222222,29.0,2.2326888696,26.2853027344,34.3680016186,5.3680016186,2.6,4.3680016186,25.8504882813,31.2756879761,2.60762,-1.27568797607,38.21739,-83.39764,TRMK2
1207041749,FWS.JKL.20120704.YOCUM.01.20120704.174902.243316849,16,79,53,35.5555555556,37,2.2352,4.0,36.6666666667,33.0,2.6802555324,36.1481872559,37.0845139632,4.08451396316,2.1,0.0845139631571,34.3811584473,31.2383910977,5.50228,5.76160890235,38.02761,-83.36236,TRMK2
1207021229,FWS.JKL.20120702.PINEG.01.20120702.122937.478646839,0,-124,67,35.0,32,2.2352,1.0,36.6666666667,31.0,2.2326888696,34.3565917969,39.5254607895,8.52546078951,1.77171,7.52546078951,34.9939208984,39.393861544,3.78835,-7.39386154401,36.6036,-83.6961,YELK2
1206301330,FWS.JKL.20120630.US60_.01.20120630.133020.335108323,3,124,48,38.3333333333,29,4.4704,-0.0,38.3333333333,29.0,2.2326888696,38.1045166016,31.7183039158,2.71830391585,4.1,2.71830391585,38.6487670898,27.91282794,3.99887,1.08717206005,38.20889,-83.39444,TRMK2
1204161529,FWS.JKL.20120416.PARTI.01.20120416.152946.205893788,15,41,8,25.0,47,6.7056,7.08,24.4,39.92,7.20222216,22.8166442871,55.2023746624,15.2823746624,8.52516,8.20237466241,24.9159790039,35.5481571969,6.72635,11.4518428031,36.96272,-84.13378,KLOZ
1204161520,FWS.JKL.20120416.HICKO.01.20120416.152012.258182689,23,89,9,23.3333333333,52,8.9408,5.0,25.5555555556,47.0,3.575388858,22.619317627,55.8656654668,8.86566546679,7.69587,3.86566546679,23.1092468262,51.7337980297,5.83932,0.266201970257,36.68917,-84.62444,BSFT1
1203281806,FWS.JKL.20120328.HECTO.01.20120328.180634.045065489,9,19,18,25.0,44,6.7056,13.0,28.8888888889,31.0,4.0229555208,24.9500061035,45.8827157158,14.8827157158,7.7,1.88271571582,27.2423950195,35.9893747827,4.26882,8.01062521728,37.14537,-83.68488,CHTK2
1201311716,FWS.JKL.20120131.POND_.01.20120131.171601.245780654,23,-121,370,18.3333333333,20,8.49376,1.3,18.0,18.7,9.77444436,16.149987793,31.0675713511,12.3675713511,6.2,11.0675713511,16.6017700195,21.9034172435,5.9671,-1.9034172435,37.43064,-84.25814,KI39
1201311406,FWS.JKL.20120131.POND_.01.20120131.140601.472732433,23,-121,180,18.3333333333,20,5.36448,1.3,18.0,18.7,9.77444436,16.149987793,31.0675713511,12.3675713511,6.2,11.0675713511,16.6017700195,21.9034172435,5.9671,-1.9034172435,37.43064,-84.25814,KI39
1201311116,FWS.JKL.20120131.POND_.01.20120131.111614.799768311,23,-121,10,16.6666666667,29,6.7056,10.3,18.0,18.7,9.77444436,16.149987793,31.0675713511,12.3675713511,6.2,2.06757135113,16.6017700195,21.9034172435,5.9671,7.0965827565,37.43064,-84.25814,KI39
1111141831,FWS.JKL.20111114.CLOUD.01.20111114.183100.865700115,5,76,52,22.7777777778,57,6.7056,-4.0,21.6666666667,61.0,5.813222172,21.5085083008,61.0968212449,0.0968212448784,7.7,4.09682124488,21.3346801758,62.1288013794,4.9448,-5.12880137936,37.83237,-83.6235,KOMK2
1111131840,FWS.JKL.20111113.SANDF.01.20111113.184018.009959495,44,15,21,18.8888888889,37,8.9408,-7.0,18.8888888889,44.0,7.150777716,18.2765441895,47.3305097949,3.33050979486,9.37335,10.3305097949,18.6530090332,46.2652554303,9.21254,-9.26525543032,37.50139,-84.00106,KOMK2
1111081341,FWS.JKL.20111108.RYANS.01.20111108.134139.439132022,33,-62,10,21.6666666667,31,4.4704,-11.0,21.1111111111,42.0,3.1278221952,20.5075927734,42.4694205483,0.469420548263,2.65539,11.4694205483,21.015222168,43.0409305938,2.4029,-12.0409305938,36.63375,-84.33203,BSFT1
1104041708,FWS.JKL.20110404.RUSSE.01.20110404.170812.972855835,40,3,16,25.5555555556,57,9.38784,-0.0,21.6666666667,57.0,8.9410443672,23.5529724121,57.4933246884,0.493324688351,11.2941,0.493324688351,21.7969909668,59.6521569029,9.27644,-2.65215690289,37.53944,-83.98167,KOMK2
1011141030,FWS.JKL.20101114.NEWLI.01.20101114.103031.063728281,40,56,54,12.7777777778,56,2.68224,-39.0,8.33333333333,95.0,1.3426999884,12.0042358398,61.959035098,-33.040964902,3.1,5.95903509798,9.95961914063,87.6917335553,1.6091,-31.6917335553,36.73664,-84.33822,BSFT1
1011141017,FWS.JKL.20101114.NEWLI.01.20101114.101735.159007246,40,56,41,12.7777777778,56,2.68224,-39.0,8.33333333333,95.0,1.3426999884,12.0042358398,61.959035098,-33.040964902,3.1,5.95903509798,9.95961914063,87.6917335553,1.6091,-31.6917335553,36.73664,-84.33822,BSFT1
1011021650,FWS.JKL.20101102.GOOSE.01.20101102.165019.555986407,32,-57,48,15.5555555556,36,3.12928,-4.0,16.1111111111,40.0,3.1278221952,14.540246582,37.2624046808,-2.73759531918,3.6,1.26240468082,17.2483154297,39.32419432,2.05495,-3.32419432005,37.55517,-83.87,KOMK2
1011011441,FWS.JKL.20101101.FISHT.01.20101101.144117.823279851,5,64,24,15.5555555556,30,6.7056,-4.0,13.8888888889,34.0,3.575388858,13.9345947266,34.0606051073,0.0606051073048,2.6,4.0606051073,13.2340332031,38.6143964431,5.26398,-8.61439644307,37.81911,-83.67467,KOMK2
1010311632,FWS.JKL.20101031.FISHT.01.20101031.163222.214866276,5,64,36,18.3333333333,31,4.4704,-1.0,19.4444444444,32.0,3.1278221952,17.5854125977,34.0045072127,2.00450721268,1.11326,3.00450721268,16.9612365723,33.9193642202,3.42342,-2.91936422022,37.81911,-83.67467,KOMK2
1010281948,FWS.JKL.20101028.FISHT.01.20101028.194817.680414717,5,64,233,19.4444444444,27,5.81152,-1.0,19.4444444444,28.0,5.3656555092,15.7029968262,35.3410262015,7.34102620152,5.7,8.34102620152,16.0648742676,32.7100248443,5.60953,-5.7100248443,37.81911,-83.67467,KOMK2
1010281943,FWS.JKL.20101028.FISHT.01.20101028.194321.977975575,5,64,228,19.4444444444,27,5.81152,-1.0,19.4444444444,28.0,5.3656555092,15.7029968262,35.3410262015,7.34102620152,5.7,8.34102620152,16.0648742676,32.7100248443,5.60953,-5.7100248443,37.81911,-83.67467,KOMK2
1010281605,FWS.JKL.20101028.FISHT.01.20101028.160545.759836036,5,64,10,16.1111111111,30,8.9408,2.0,19.4444444444,28.0,5.3656555092,15.7029968262,35.3410262015,7.34102620152,5.7,5.34102620152,16.0648742676,32.7100248443,5.60953,-2.7100248443,37.81911,-83.67467,KOMK2
1010241007,FWS.JKL.20101024.FISHT.01.20101024.100704.790750338,5,64,23,26.1111111111,30,6.25856,-5.0,26.1111111111,35.0,4.9180888464,24.709954834,33.6384431974,-1.36155680258,6.05401,3.63844319742,25.4812561035,33.3175866866,4.85288,-3.31758668659,37.81911,-83.67467,KOMK2
1010231528,FWS.JKL.20101023.GREEN.01.20101023.152837.986757144,43,-103,18,25.0,22,6.7056,-0.35,23.9,22.35,4.62999996,24.6982971191,22.3519277773,0.00192777725258,5.00484,0.351927777253,26.0100341797,13.5580905256,3.15231,8.44190947435,37.45722,-84.24472,KLOZ
1010111605,FWS.JKL.20101011.RUSHR.01.20101011.160502.815783831,4,76,33,30.0,22,2.68224,-1.0,30.5555555556,23.0,2.6802555324,29.6957946777,23.3208457732,0.320845773197,3.21555,1.3208457732,28.5602050781,17.4204349995,1.83762,4.57956500053,37.81889,-83.64722,KOMK2
1010101506,FWS.JKL.20101010.RUSHR.01.20101010.150647.962856155,4,76,51,30.0,20,2.2352,-2.0,30.5555555556,22.0,2.2326888696,28.6079345703,21.2959567702,-0.70404322979,2.6,1.29595677021,28.7987609863,18.6446644399,1.99428,1.35533556005,37.81889,-83.64722,KOMK2
1010081446,FWS.JKL.20101008.RUSHR.01.20101008.144623.925941534,4,57,40,27.2222222222,23,4.4704,-1.0,26.6666666667,24.0,3.1278221952,25.3121887207,24.579307982,0.579307981989,1.63865,1.57930798199,25.6067749023,19.9044551506,1.65932,3.09554484936,37.81889,-83.65,KOMK2
1010071219,FWS.JKL.20101007.BEAR_.01.20101007.121924.006424867,3,30,20,25.0,28,4.4704,-7.0,25.0,35.0,2.6802555324,23.6325622559,28.9082825919,-6.09171740812,3.1,0.908282591875,24.0736633301,31.180100947,2.57731,-3.180100947,37.81111,-83.63917,KOMK2
1010071551,FWS.JKL.20101007.BEAR_.01.20101007.155141.670763038,3,30,232,25.0,28,4.4704,-7.0,25.0,35.0,2.6802555324,23.6325622559,28.9082825919,-6.09171740812,3.1,0.908282591875,24.0736633301,31.180100947,2.57731,-3.180100947,37.81111,-83.63917,KOMK2
1004181236,FWS.JKL.20100418.LAURE.01.20100418.123656,38,74,15,17.7777777778,25,3.57632,2.0,19.4444444444,23.0,3.1278221952,16.649987793,27.5352718359,4.5352718359,4.1,2.5352718359,,,,,36.74667,-84.39194,BSFT1
1004161533,FWS.JKL.20100416.LONGB.01.20100416.153346,24,33,43,28.3333333333,30,6.7056,3.85,27.2,26.15,9.77444436,27.5900512695,29.0060014177,2.85600141772,8.2,-0.993998582284,,,,,37.25556,-84.24778,KLOZ
1004070949,FWS.JKL.20100407.BRUSH.01.20100407.094920,36,-66,37,28.3333333333,18,8.9408,-20.0,25.5555555556,38.0,8.4934777044,,,,,,,,,,36.78483,-84.37133,SOMK2
1004070938,FWS.JKL.20100407.MASON.01.20100407.093850,31,-100,28,27.7777777778,20,8.9408,-18.0,25.5555555556,38.0,8.4934777044,,,,,,,,,,36.79333,-84.48389,SOMK2
1004041304,FWS.JKL.20100404.ROCKB.01.20100404.130403,2,45,30,26.6666666667,24,2.68224,2.0,25.5555555556,22.0,2.6802555324,25.7370239258,25.4155782009,3.41557820092,3.06964,1.41557820092,,,,,37.77067,-83.60617,KOMK2
0911281536,FWS.JKL.20091128.LAWNM.01.20091128.153634,32,22,16,15.0,35,4.4704,5.0,18.3333333333,30.0,2.2326888696,13.85,38.7041122351,8.70411223507,3.6,3.70411223507,18.7669921875,33.544628567,2.39211,1.45537143304,36.69025,-84.4015,BSFT1
0911151246,FWS.JKL.20091115.LITTL.01.20091115.124638,9,15,86,21.6666666667,35,2.2352,11.0,22.2222222222,24.0,0.0,,,,,,13.9939819336,62.4222440128,1.0894,-27.4222440128,37.46,-83.86306,TR652
0911151235,FWS.JKL.20091115.LITTL.01.20091115.123515,9,15,75,21.6666666667,35,2.2352,11.0,22.2222222222,24.0,0.0,,,,,,13.9939819336,62.4222440128,1.0894,-27.4222440128,37.46,-83.86306,TR652
0911081534,FWS.JKL.20091108.ROCKB.01.20091108.153406,3,30,27,22.7777777778,25,3.57632,-1.0,23.3333333333,26.0,3.575388858,,,,,,23.3860107422,24.6207765081,2.95386,0.379223491859,37.76944,-83.59194,KOMK2
0904271329,FWS.JKL.20090427.KLABE.01.20090427.132943,7,76,53,30.0,24,6.7056,6.0,30.5555555556,18.0,5.3656555092,29.5792175293,23.2453726949,5.24537269489,5.41258,-0.75462730511,29.8734680176,17.9550679414,5.32809,6.04493205856,37.84933,-83.6125,KOMK2
0904271326,FWS.JKL.20090427.KLABE.01.20090427.132601,7,76,50,30.0,24,6.7056,6.0,30.5555555556,18.0,5.3656555092,29.5792175293,23.2453726949,5.24537269489,5.41258,-0.75462730511,29.8734680176,17.9550679414,5.32809,6.04493205856,37.84933,-83.6125,KOMK2
0904251807,FWS.JKL.20090425.KLABE.01.20090425.180751,7,76,50,31.1111111111,20,5.36448,1.0,31.6666666667,19.0,5.3656555092,30.5390869141,22.0398241507,3.0398241507,6.2,2.0398241507,29.9475036621,20.9425474478,5.3306,-0.942547447804,37.84933,-83.6125,KOMK2
0904241509,FWS.JKL.20090424.COLLE.01.20090424.150938,14,-25,46,28.8888888889,29,7.15264,15.0,32.2222222222,14.0,4.9180888464,28.048059082,28.869804139,14.869804139,5.94839,-0.130195860993,30.7570739746,21.820876006,6.09414,7.17912399401,37.02948,-83.4914,CHTK2
