date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1109151109,FWS.KEY.20110915.BP11_.01.20110915.110924.207518915,1,2,51,31.1111111111,55,3.12928,19.0,33.8888888889,36.0,2.6802555324,31.0697875977,55.8078532352,19.8078532352,2.32837,0.807853235211,32.1883789063,48.7698643552,6.16306,6.23013564484,24.71434,-81.3868,TS607
1109151044,FWS.KEY.20110915.BP11_.01.20110915.104453.769052792,1,2,76,31.1111111111,52,3.12928,16.0,33.8888888889,36.0,2.6802555324,31.0697875977,55.8078532352,19.8078532352,2.32837,3.80785323521,32.1883789063,48.7698643552,6.16306,3.23013564484,24.71434,-81.3868,TS607
1009131051,FWS.KEY.20100913.52___.01.20100913.105142.263869184,6,0,99,30.5555555556,70,2.68224,4.0,33.3333333333,66.0,3.575388858,30.550012207,70.0417044352,4.04170443519,5.94846,0.0417044351941,31.0421386719,72.0579101398,5.02678,-2.05791013978,24.673,-81.354,TS607
1009131112,FWS.KEY.20100913.52___.01.20100913.111209.100090116,6,0,78,30.5555555556,70,2.68224,4.0,33.3333333333,66.0,3.575388858,30.550012207,70.0417044352,4.04170443519,5.94846,0.0417044351941,31.0421386719,72.0579101398,5.02678,-2.05791013978,24.673,-81.354,TS607
1009091247,FWS.KEY.20100909.52___.01.20100909.124715.781210639,6,0,22,31.6666666667,65,3.57632,-7.0,32.7777777778,72.0,2.6802555324,30.550012207,67.5703390622,-4.42966093779,4.1,2.57033906221,31.2938171387,74.6944505618,3.12756,-9.69445056178,24.673,-81.354,TS607
1009091237,FWS.KEY.20100909.52___.01.20100909.123730.540365061,6,0,12,31.6666666667,65,3.57632,-7.0,32.7777777778,72.0,2.6802555324,30.550012207,67.5703390622,-4.42966093779,4.1,2.57033906221,31.2938171387,74.6944505618,3.12756,-9.69445056178,24.673,-81.354,TS607
1009081210,FWS.KEY.20100908.BIGPI.01.20100908.121024.290308355,1,1,110,30.5555555556,68,3.57632,-4.0,32.2222222222,72.0,4.0229555208,30.5083862305,67.731007431,-4.26899256897,5.76939,-0.268992568968,31.3087097168,74.6250663513,6.29481,-6.62506635127,24.7099,-81.38215,TS607
1008261144,FWS.KEY.20100826.BP293.01.20100826.114444.635315992,4,1,16,31.6666666667,66,4.91744,-6.0,33.3333333333,72.0,4.0229555208,31.649987793,65.7985423028,-6.20145769724,4.6,-0.201457697243,31.764642334,74.7956918278,5.6489,-8.7956918278,24.69064,-81.37211,TS607
1008251116,FWS.KEY.20100825.BIGPI.01.20100825.111612.114284624,4,0,6,31.6666666667,63,2.2352,-3.0,33.8888888889,66.0,3.1278221952,31.649987793,63.4768935029,-2.52310649707,3.6,0.476893502932,31.9992004395,72.7462908756,3.69047,-9.74629087562,24.688,-81.377,TS607
1008241145,FWS.KEY.20100824.BIGPI.01.20100824.114501.189204953,1,1,15,31.1111111111,66,4.4704,-3.0,32.7777777778,69.0,4.4705221836,31.0667053223,65.6114621006,-3.38853789942,3.66939,-0.38853789942,32.0165344238,71.3204851004,4.60977,-5.32048510044,24.7099,-81.38215,TS607
