date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1304271541,FWS.LBF.20130427.SEMIB.01.20130427.154144.1367077304471,4,-6,72,26.6666666667,13,4.4704,4.28,27.1,8.72,6.68777772,24.7039733887,14.1307567951,5.41075679509,4.6,1.13075679509,26.1740966797,10.2979523641,3.9111,2.70204763592,41.1611,-101.75081,KOGA
1304262001,FWS.LBF.20130426.SEMIB.01.20130426.200119.1367006479367,4,-6,80,22.7777777778,13,8.9408,0.79,23.4,12.21,7.7166666,20.5298095703,22.4213909832,10.2113909832,6.49101,9.42139098321,22.5428710938,12.9704449668,6.46866,0.0295550332389,41.1611,-101.75081,KOGA
1209011635,FWS.LBF.20120901.WELLN.01.20120901.163521.OMAFWSLBF,34,-198,81,37.7777777778,11,8.49376,1.65,37.8,9.35,12.861111,36.649987793,11.0756660563,1.72566605627,10.3,0.0756660562719,35.1100402832,13.4478301807,7.47405,-2.44783018075,42.71722,-102.46028,KIEN
1208141456,FWS.LBF.20120814.OGALL.01.20120814.145629.OMAFWSLBF,6,-6,72,33.3333333333,23,4.4704,-5.11,32.4,28.11,7.20222216,34.275567627,21.0878302147,-7.02216978525,6.2,-1.91216978525,31.535546875,30.8503286816,5.89332,-7.85032868155,41.15649,-101.71118,KOGA
1208131626,FWS.LBF.20120813.OGALL.01.20120813.162648.OMAFWSLBF,6,-6,88,30.0,25,4.4704,0.95,29.1,24.05,5.65888884,29.275567627,27.0457342297,2.99573422966,5.7,2.04573422966,28.3284851074,26.0470390092,5.649,-1.04703900917,41.15649,-101.71118,KOGA
1208031220,FWS.LBF.20120803.OSHKO.01.20120803.122027.639532906,31,16,80,35.0,19,4.02336,2.98,35.8,16.02,5.65888884,34.9500061035,17.3340346676,1.31403466762,4.47229,-1.66596533238,36.6240478516,16.3024372068,7.72308,2.69756279316,41.38407,-101.89398,KOGA
1208031736,FWS.LBF.20120803.KEITH.01.20120803.173650.809161039,0,0,85,36.6666666667,18,6.7056,1.98,35.8,16.02,5.65888884,36.149987793,18.48601115,2.46601115001,4.6,0.486011150015,35.3016296387,22.3941125404,5.68455,-4.39411254044,41.12167,-101.77056,KOGA
1207241146,FWS.LBF.20120724.FAIRF.01.20120724.114625.864699145,30,4,68,41.6666666667,18,6.25856,1.75,39.8,16.25,9.25999992,40.9457336426,17.3885292908,1.13852929081,6.81619,-0.611470709186,41.3055664063,13.918170296,8.28721,4.08182970396,42.83194,-100.155,KANW
1207231734,FWS.LBF.20120723.FAIRF.01.20120723.173451.474398509,30,4,164,41.1111111111,18,6.25856,5.18,41.5,12.82,10.80333324,39.4500061035,19.0018150246,6.18181502464,6.7,1.00181502464,42.3860107422,12.4315092381,7.3583,5.56849076187,42.83194,-100.155,KANW
1207231508,FWS.LBF.20120723.FAIRF.01.20120723.150854.858662488,30,4,18,41.1111111111,18,6.25856,5.18,41.5,12.82,10.80333324,39.4500061035,19.0018150246,6.18181502464,6.7,1.00181502464,42.3860107422,12.4315092381,7.3583,5.56849076187,42.83194,-100.155,KANW
1207221658,FWS.LBF.20120722.FAIRF.02.20120722.165833.379271086,4,-5,18,41.1111111111,18,2.68224,-9.08,37.1,27.08,3.60111108,37.3742004395,25.6555337809,-1.42446621914,3.1,7.65553378086,37.5750061035,28.1725882017,2.60189,-10.1725882017,42.57247,-100.05705,KANW
1207221124,FWS.LBF.20120722.FAIRF.01.20120722.112444.540957437,4,-5,14,41.1111111111,27,4.02336,-0.08,37.1,27.08,3.60111108,37.3742004395,25.6555337809,-1.42446621914,3.1,-1.34446621914,37.5750061035,28.1725882017,2.60189,-1.1725882017,42.57247,-100.05705,KANW
1207211841,FWS.LBF.20120721.FAIRF.01.20120721.184141.523037090,4,-5,70,41.1111111111,16,8.04672,2.68,42.8,13.32,9.77444436,39.8591247559,20.1729029386,6.85290293864,7.06154,4.17290293864,41.0053344727,13.9895236087,6.55851,2.01047639126,42.57247,-100.05705,KANW
1207201541,FWS.LBF.20120720.171__.01.20120720.154159.246626372,34,-74,83,41.1111111111,20,5.81152,2.92,41.7,17.08,10.80333324,40.550012207,22.2939490981,5.21394909807,7.0843,2.29394909807,41.1234985352,15.2748761295,13.5535,4.72512387046,42.73714,-100.93889,KVTN
1207201943,FWS.LBF.20120720.171__.01.20120720.194340.840297374,34,-74,325,41.1111111111,22,9.83488,4.92,41.7,17.08,10.80333324,40.550012207,22.2939490981,5.21394909807,7.0843,0.293949098072,41.1234985352,15.2748761295,13.5535,6.72512387046,42.73714,-100.93889,KVTN
1207041354,FWS.LBF.20120704.OGALL.01.20120704.135427.634003766,4,-14,75,37.7777777778,24,3.57632,4.23,38.1,19.77,3.60111108,35.5485778809,25.4736815697,5.70368156968,6.2,1.47368156968,36.562097168,23.7405342983,2.82267,0.259465701728,41.13775,-101.72695,KOGA
1207021535,FWS.LBF.20120702.CAMP5.01.20120702.153547.572862930,11,0,78,37.7777777778,23,7.15264,3.0,38.3333333333,20.0,3.575388858,37.2499938965,23.2168808397,3.21688083973,8.58095,0.21688083973,38.1197753906,23.5998847834,7.89882,-0.599884783421,41.7975,-100.28306,HSYN1
1207011147,FWS.LBF.20120701.CAMP5.01.20120701.114732.800255673,11,0,17,36.6666666667,29,6.7056,4.0,35.0,25.0,3.575388858,36.1532531738,28.4169920416,3.41699204159,8.2,-0.58300795841,36.0583435059,27.7052204942,7.348,1.29477950576,41.7975,-100.28306,HSYN1
1206141139,FWS.LBF.20120614.LEWEL.01.20120614.113953.767991173,30,-67,68,28.3333333333,33,8.49376,8.52,30.7,24.48,9.77444436,27.7499938965,32.9068944271,8.42689442709,10.7463,-0.0931055729095,29.1821838379,29.021821163,7.85502,3.97817883699,41.26,-102.08,KOGA
1205180933,FWS.LBF.20120518.POWDE.01.20120518.093327.038894048,42,-31,74,32.2222222222,20,8.04672,-0.0,32.7777777778,20.0,7.150777716,31.649987793,21.0292895885,1.02928958846,10.0557,1.02928958846,30.283807373,18.5710709641,6.26007,1.42892903589,42.6125,-101.00639,VRFN1
1203270915,FWS.LBF.20120327.VALEN.01.20120327.091525.291608906,6,-3,19,20.5555555556,18,10.28192,-1.0,20.0,19.0,11.6212998996,19.9500061035,18.0497907021,-0.950209297935,13.2475,0.0497907020654,18.7466369629,23.6343762928,12.128,-5.63437629279,42.43028,-100.53139,VRFN1
1203271216,FWS.LBF.20120327.VALEN.01.20120327.121605.905308548,6,-3,200,20.5555555556,17,11.176,-2.0,20.0,19.0,11.6212998996,19.9500061035,18.0497907021,-0.950209297935,13.2475,1.04979070207,18.7466369629,23.6343762928,12.128,-6.63437629279,42.43028,-100.53139,VRFN1
1605041909,FWS.LBF.20160504.NPFDT.01.20160504.190937.545713599,8,221,74,23.8888888889,28,3.12928,4.53,24.4,23.47,6.17333328,,,,,,24.2969604492,23.4483874062,4.41096,4.55161259383,41.14768,-100.76337,KLBF,0
