date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021241,FWS.LCH.20140402.ANGBU.01.20140402.124140.3394671367,23,-14,139,27.2222222222,61,6.25856,-5.0,26.6666666667,66.0,4.0229555208,26.649987793,69.2068995819,3.2068995819,6.7,8.2068995819,22.1889282227,75.3424435747,4.68312,-14.3424435747,31.05794,-94.18411,ZVLT2
1403311051,FWS.LCH.20140331.CALRD.01.20140331.105107.1393248413,21,10,219,26.1111111111,40,4.02336,29.0,25.0,11.0,6.2607888348,24.9500061035,40.3906911449,29.3906911449,5.1,0.390691144872,26.1960083008,38.7910416316,5.4073,1.20895836842,31.32444,-92.78639,GARL1
1403311052,FWS.LCH.20140331.ANGBL.01.20140331.105245.2035209394,22,-28,248,25.0,53,4.02336,12.0,26.6666666667,41.0,4.4705221836,24.1917053223,54.5766470786,13.5766470786,4.84021,1.57664707859,23.0706115723,51.1656357131,4.34841,1.83436428687,31.04167,-94.20833,ZVLT2
1403251203,FWS.LCH.20140325.NORTH.01.20140325.120313.2359836369,24,-7,117,20.5555555556,26,4.4704,5.0,21.1111111111,21.0,4.0229555208,,,,,,19.0225769043,26.7255025754,3.31864,-0.725502575436,30.36521,-94.20495,WRRT2
1403241115,FWS.LCH.20140324.ANGBL.01.20140324.111535.503936138,22,-28,225,18.3333333333,46,2.2352,5.0,19.4444444444,41.0,2.6802555324,17.2499938965,51.8240825895,10.8240825895,4.6,5.82408258955,16.513269043,46.8469046887,2.36715,-0.846904688711,31.04167,-94.20833,ZVLT2
1403241106,FWS.LCH.20140324.KISAT.01.20140324.110640.2953122356,0,22,234,16.6666666667,50,2.68224,10.0,18.3333333333,40.0,3.1278221952,16.649987793,50.9450643257,10.9450643257,5.1,0.945064325668,18.2081237793,40.9407607262,2.97676,9.05923927382,31.01944,-93.18528,LEVL1
1403211151,FWS.LCH.20140321.NORTH.01.20140321.115108.3721228841,24,-7,24,24.4444444444,57,4.02336,12.0,25.5555555556,45.0,3.575388858,23.85,52.5356980442,7.53569804417,5.1,-4.46430195583,25.007409668,52.6561057601,4.39924,4.3438942399,30.36521,-94.20495,WRRT2
1403201157,FWS.LCH.20140320.TCURA.02.20140320.115742.1166481967,1,-7,123,23.3333333333,45,2.2352,22.0,25.0,23.0,1.7902666512,21.9359985352,38.7549861585,15.7549861585,2.1,-6.24501384152,23.5947509766,30.4011928911,1.21636,14.5988071089,30.54889,-94.3575,WRRT2
1403201053,FWS.LCH.20140320.KISAT.01.20140320.105334.752775895,0,22,217,22.7777777778,47,2.2352,22.0,23.3333333333,25.0,3.1278221952,21.149987793,39.0217074161,14.0217074161,2.1,-7.97829258391,22.9238525391,29.0292847425,1.78911,17.9707152575,31.01944,-93.18528,LEVL1
1403191133,FWS.LCH.20140319.NORTH.01.20140319.113320.1866447391,24,-7,207,22.2222222222,54,3.12928,3.0,24.4444444444,51.0,2.2326888696,,,,,,22.2375732422,65.7217539024,1.43297,-11.7217539024,30.36521,-94.20495,WRRT2
1403191111,FWS.LCH.20140319.ANGBL.01.20140319.111112.3726909749,22,-28,229,22.2222222222,38,2.68224,12.0,24.4444444444,26.0,2.2326888696,,,,,,19.8980041504,48.8270134269,1.7806,-10.8270134269,31.04167,-94.20833,ZVLT2
1403181327,FWS.LCH.20140318.KISAT.02.20140318.132747.3499847500,8,5,63,20.5555555556,53,6.7056,7.0,21.1111111111,46.0,4.0229555208,20.550012207,46.4108915257,0.410891525688,6.64997,-6.58910847431,20.8439880371,48.0557773684,5.45801,4.94422263158,31.00528,-93.07056,VRNL1
1403181051,FWS.LCH.20140318.KISAT.02.20140318.105114.2160837353,8,5,219,20.5555555556,53,6.25856,7.0,21.1111111111,46.0,4.0229555208,20.550012207,46.4108915257,0.410891525688,6.64997,-6.58910847431,20.8439880371,48.0557773684,5.45801,4.94422263158,31.00528,-93.07056,VRNL1
1403141243,FWS.LCH.20140314.KISAT.01.20140314.124301.3615696180,14,16,77,18.8888888889,58,4.02336,5.0,20.5555555556,53.0,3.1278221952,19.3837524414,65.345966981,12.345966981,4.6,7.345966981,20.0054260254,55.689551515,4.20742,2.31044848505,30.90722,-93.01222,VRNL1
1403141228,FWS.LCH.20140314.CALRD.02.20140314.122837.3906471906,21,10,92,18.8888888889,54,4.02336,16.0,20.0,38.0,4.4705221836,19.9500061035,58.8411135225,20.8411135225,4.6,4.84111352254,19.9977661133,54.4199033154,4.00972,-0.419903315443,31.32444,-92.78639,GARL1
1403141103,FWS.LCH.20140314.KISAC.01.20140314.110327.2396581283,14,-27,2,18.8888888889,45,4.02336,7.0,20.0,38.0,4.4705221836,20.5168395996,59.1091117141,21.1091117141,4.6,14.1091117141,19.5292297363,56.9288381656,3.31474,-11.9288381656,31.08694,-92.53694,GARL1
