date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403261045,FWS.LCH.20140326.KNFCA.01.20140326.104538.1976332458,16,-19,8,17.7777777778,37,4.4704,14.0,16.6666666667,23.0,4.0229555208,14.9500061035,42.3185742147,19.3185742147,6.2,5.31857421472,15.8229003906,33.5311222104,4.31973,3.46887778963,31.04444,-92.58778,GARL1
1403151225,FWS.LCH.20140315.GOOSE.01.20140315.122543.850424715,5,0,18,22.2222222222,68,4.02336,-14.0,20.0,82.0,5.3656555092,21.647088623,68.3134768201,-13.6865231799,5.7,0.313476820097,20.5225463867,78.6731576654,4.84749,-10.6731576654,30.00417,-92.83944,LACL1
1403141219,FWS.LCH.20140314.GOOSE.01.20140314.121951.2646152730,5,0,18,19.4444444444,53,4.4704,-8.0,20.0,61.0,5.813222172,17.2465454102,67.0427064532,6.04270645321,5.10346,14.0427064532,20.7059570313,63.0087125651,4.78731,-10.0087125651,30.00417,-92.83944,LACL1
1403131136,FWS.LCH.20140313.GOOSE.01.20140313.113658.4030360805,5,0,25,17.2222222222,27,2.68224,-3.0,17.7777777778,30.0,4.0229555208,16.0743347168,42.000786704,12.000786704,2.6,15.000786704,18.204888916,28.3598044586,3.369,-1.35980445864,30.00417,-92.83944,LACL1
1310261310,FWS.LCH.20131026.UINT1.01.20131026.131008.684139949,16,0,18,24.4444444444,53,4.02336,-5.0,25.0,58.0,4.0229555208,23.9859863281,60.8440306437,2.84403064372,4.91502,7.84403064372,24.7109619141,60.5750916166,4.54589,-7.57509161664,29.62472,-94.26056,FADT2
1310251310,FWS.LCH.20131025.UNIT1.01.20131025.131038.2948278638,16,-3,22,23.8888888889,35,6.25856,-10.0,23.3333333333,45.0,6.7032110532,23.7041259766,46.8280258491,1.82802584912,8.74691,11.8280258491,22.1640563965,52.1480409654,6.55607,-17.1480409654,29.62472,-94.26056,FADT2
1309081109,FWS.LCH.20130908.LEONA.01.20130908.110906.1378638543643,15,0,66,32.2222222222,56,3.12928,1.0,32.2222222222,55.0,4.4705221836,31.8469482422,58.1198352038,3.11983520378,3.6,2.11983520378,30.7617431641,59.2165133348,3.9314,-3.21651333483,29.84808,-93.55694,HAKL1
1309071312,FWS.LCH.20130907.LEONA.01.20130907.131235.1378559551920,15,0,9,31.1111111111,59,4.02336,-8.0,31.6666666667,67.0,4.0229555208,32.2499938965,55.952628773,-11.047371227,3.7654,-3.04737122699,30.482019043,68.5763811968,2.52402,-9.57638119682,29.84808,-93.55714,HAKL1
1309061211,FWS.LCH.20130906.LEONA.01.20130906.121105.1378469464092,15,0,14,31.6666666667,57,3.12928,-4.0,32.7777777778,61.0,4.4705221836,31.8484741211,58.7427405076,-2.25725949242,3.7654,1.74274050758,31.2876220703,63.9637768483,4.8867,-6.96377684827,29.84808,-93.55714,HAKL1
1309061049,FWS.LCH.20130906.WFDIP.01.20130906.104926.1378464562940,5,0,18,31.6666666667,60,4.02336,-1.0,32.2222222222,61.0,4.9180888464,31.1810241699,63.3138568421,2.31385684208,4.61607,3.31385684208,29.4411254883,70.0716350556,4.41681,-10.0716350556,29.69861,-94.06028,FADT2
