date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091154,FWS.LIX.20140409.CPTG0.01.20140409.115450.4248556186,0,0,66,20.5555555556,36,3.12928,11.0,23.3333333333,25.0,3.1278221952,19.9500061035,38.9136577941,13.9136577941,4.87143,2.9136577941,22.6102844238,28.5592486569,4.16315,7.44075134306,30.45901,-88.66693,SHCM6
1404031238,FWS.LIX.20140403.DESOT.01.20140403.123856.1536928442,19,-6,142,24.4444444444,69,4.4704,4.0,25.0,65.0,5.3656555092,24.7824645996,67.5110646292,2.51106462915,7.69135,-1.48893537085,25.3454833984,63.987268814,6.15903,5.01273118598,30.66917,-89.1055,CKWM6
1404031152,FWS.LIX.20140403.CPTO0.01.20140403.115211.3422823431,10,0,68,23.3333333333,76,4.4704,11.0,25.5555555556,65.0,5.3656555092,23.1075073242,77.0128612237,12.0128612237,7.2,1.01286122374,25.1199279785,67.813096565,5.51084,8.18690343498,30.47,-88.77,SHCM6
1404021200,FWS.LIX.20140402.DESOT.01.20140402.120012.3392013602,11,-6,180,23.8888888889,74,4.02336,9.0,25.0,65.0,6.2607888348,24.4500061035,71.0489905731,6.04899057307,5.60043,-2.95100942693,25.0189147949,67.1691977555,4.52169,6.83080224454,30.60467,-89.05383,CKWM6
1404011231,FWS.LIX.20140401.HOMOC.01.20140401.123133.2991682400,18,44,9,25.0,58,2.2352,13.0,27.2222222222,45.0,4.0229555208,25.804284668,55.296311219,10.296311219,4.1,-2.70368878099,26.9815307617,49.1104542695,4.18561,8.88954573054,31.295,-90.99167,BDEM6
1404011153,FWS.LIX.20140401.CPTO0.01.20140401.115303.2213771496,12,3,67,22.2222222222,68,2.68224,-2.39,21.2,70.39,6.68777772,23.0811706543,68.3201239201,-2.06987607988,4.6,0.32012392012,22.4438720703,62.8092958994,4.11517,5.19070410061,30.47,-88.8,KBIX
1404011202,FWS.LIX.20140401.CPTO0.01.20140401.120223.3832055299,12,3,58,22.2222222222,68,2.68224,-2.39,21.2,70.39,6.68777772,23.0811706543,68.3201239201,-2.06987607988,4.6,0.32012392012,22.4438720703,62.8092958994,4.11517,5.19070410061,30.47,-88.8,KBIX
1403311159,FWS.LIX.20140331.DESOT.01.20140331.115922.328573285,7,-6,181,25.5555555556,24,2.68224,-6.0,22.2222222222,30.0,4.9180888464,25.550012207,38.5767367467,8.57673674674,4.1,14.5767367467,21.5810180664,34.1171119354,4.69751,-10.1171119354,30.54667,-89.057,CKWM6
1403311141,FWS.LIX.20140331.CPTO0.01.20140331.114120.396968600,10,0,79,24.4444444444,30,2.68224,-2.0,21.1111111111,32.0,4.0229555208,23.6560302734,41.0976241924,9.09762419243,4.6,11.0976241924,21.7211547852,33.2175472077,4.97295,-3.21754720773,30.47,-88.77,SHCM6
1403301333,FWS.LIX.20140330.DESOT.01.20140330.133332.726533368,13,-6,87,21.6666666667,35,1.78816,9.0,22.7777777778,26.0,3.1278221952,21.9364257813,33.0621217186,7.06212171862,2.6,-1.93787828138,21.5796142578,28.5492598843,3.22499,6.4507401157,30.62467,-89.055,CKWM6
1403271150,FWS.LIX.20140327.CPTO0.01.20140327.115021.1329052601,10,0,70,21.1111111111,65,5.81152,9.0,20.5555555556,56.0,4.4705221836,21.149987793,60.924676954,4.92467695402,8.18,-4.07532304598,20.3237854004,58.0873064702,5.98978,6.91269352983,30.47,-88.77,SHCM6
1403261126,FWS.LIX.20140326.HOMOC.01.20140326.112625.2741382205,20,44,214,16.6666666667,32,2.68224,7.0,15.5555555556,25.0,4.0229555208,16.3078552246,30.9782879849,5.97828798492,4.1,-1.02171201508,16.0216003418,29.7635593131,4.71944,2.23644068689,31.26,-90.97167,BDEM6
1403211609,FWS.LIX.20140321.CPTO0.02.20140321.160956.2415945894,10,0,24,23.8888888889,35,2.68224,7.0,23.3333333333,28.0,3.575388858,21.4622131348,46.9416153952,18.9416153952,4.6,11.9416153952,23.6092468262,27.2378400837,4.26594,7.76215991633,30.47,-88.77,SHCM6
1403201155,FWS.LIX.20140320.HOMOC.01.20140320.115533.730800939,35,44,185,20.5555555556,39,1.78816,18.0,23.3333333333,21.0,2.6802555324,20.9258972168,36.3417690124,15.3417690124,2.6,-2.65823098759,22.1545959473,30.1088464315,3.17412,8.89115356853,31.31056,-91.19639,BDEM6
1403191303,FWS.LIX.20140319.DESOT.01.20140319.130333.935145335,7,-6,117,21.6666666667,51,2.2352,-4.0,20.5555555556,55.0,4.0229555208,,,,,,20.7664123535,60.920406193,3.72554,-9.92040619296,30.545,-88.91067,CKWM6
1403151149,FWS.LIX.20140315.DESOT.01.20140315.114909.222898164,7,-6,191,20.0,76,2.2352,-16.0,17.2222222222,92.0,2.6802555324,20.550012207,68.0766399229,-23.9233600771,4.6,-7.92336007709,17.7689147949,85.2268450994,2.68478,-9.22684509938,30.5455,-89.05817,CKWM6
1403141222,FWS.LIX.20140314.DESOT.01.20140314.122254.1152722763,7,-6,158,20.5555555556,49,3.12928,1.0,19.4444444444,48.0,4.9180888464,20.550012207,43.3141369561,-4.68586304387,5.09306,-5.68586304387,18.9442687988,53.100117246,4.73106,-4.10011724602,30.5455,-89.05817,CKWM6
1403131441,FWS.LIX.20140313.DESOT.01.20140313.144152.2091967330,8,-21,79,17.2222222222,28,1.78816,3.0,18.8888888889,25.0,4.4705221836,16.649987793,27.3740555326,2.37405553256,4.1,-0.625944467437,17.9612365723,28.3844330746,2.9737,-0.384433074582,30.58658,-88.93883,CKWM6
1403101317,FWS.LIX.20140310.DESOT.01.20140310.131729.297052160,9,-6,103,24.4444444444,50,1.78816,10.0,25.5555555556,40.0,4.0229555208,24.4567504883,51.672629361,11.672629361,2.6,1.67262936096,24.830682373,44.5554464103,3.00713,5.44455358974,30.59467,-88.92217,CKWM6
1403101354,FWS.LIX.20140310.HOLYR.01.20140310.135404.2572957917,0,1,66,22.7777777778,59,1.34112,19.0,25.0,40.0,3.1278221952,23.1104980469,56.5654793674,16.5654793674,2.38353,-2.4345206326,23.7145324707,51.0472509689,2.71534,7.95274903112,30.32139,-89.94166,BBNL1
1403081302,FWS.LIX.20140308.DESOT.01.20140308.130219.2026307214,7,-6,178,19.4444444444,63,2.68224,11.0,20.0,52.0,3.1278221952,20.5445800781,56.7218228048,4.72182280482,3.6,-6.27817719518,19.9152770996,56.2282074962,3.53047,6.77179250385,30.54527,-89.05765,CKWM6
1403081547,FWS.LIX.20140308.ASSUM.01.20140308.154729.338059108,19,1,23,20.5555555556,61,2.2352,8.86,21.0,52.14,3.08666664,20.550012207,63.3897717314,11.2497717314,3.6,2.38977173137,20.2877441406,55.0408171294,2.10314,5.95918287063,30.1,-91.13,KL38
1403071429,FWS.LIX.20140307.ASSUM.01.20140307.142953.1583981026,19,1,16,17.2222222222,60,1.34112,-3.15,14.1,63.15,2.05777776,17.2499938965,50.8545646238,-12.2954353762,2.1,-9.14543537619,14.304498291,66.3027425085,1.70499,-6.30274250854,30.1,-91.13,KL38
1403061526,FWS.LIX.20140306.ASSUM.01.20140306.152633.2802396515,19,1,46,13.8888888889,62,3.57632,-26.37,9.0,88.37,5.65888884,12.5938049316,67.4798391645,-20.8901608355,6.2,5.47983916454,8.45211181641,91.4964701269,4.75444,-29.4964701269,30.1,-91.13,KL38
1403051447,FWS.LIX.20140305.ASSUM.01.20140305.144726.937624892,19,1,3,14.4444444444,67,2.2352,-0.06,15.8,67.06,2.05777776,14.3685241699,68.510627788,1.45062778797,3.1,1.51062778797,13.1348510742,81.0730132234,2.50688,-14.0730132234,30.1,-91.13,KL38
1403031430,FWS.LIX.20140303.ASSUM.01.20140303.143006.1537307272,19,1,15,11.1111111111,46,4.02336,-15.29,8.1,61.29,6.68777772,11.0685058594,56.2048977384,-5.08510226156,6.24615,10.2048977384,7.88170776367,63.0736807533,7.23966,-17.0736807533,30.1,-91.13,KL38
1403021516,FWS.LIX.20140302.ASSUM.01.20140302.151636.1891849994,19,1,26,25.0,62,3.57632,3.48,26.4,58.52,5.65888884,24.1257263184,65.5195118631,6.99951186315,6.2,3.51951186315,25.35,60.9089254812,5.27783,1.09107451884,30.1,-91.13,KL38
1402282058,FWS.LIX.20140228.DESOT.02.20140228.205834.2459669812,16,-6,298,17.2222222222,41,4.4704,9.0,15.0,32.0,4.0229555208,16.649987793,42.4871602818,10.4871602818,4.66602,1.48716028183,15.8763977051,31.3496072514,4.01884,9.65039274863,30.6625,-89.02967,CKWM6
1402221343,FWS.LIX.20140222.DESOT.01.20140222.134321.400328227,13,-6,137,19.4444444444,32,2.68224,8.0,20.5555555556,24.0,3.1278221952,19.0160766602,34.3504527537,10.3504527537,3.1,2.35045275373,18.3184448242,30.6426141759,2.63981,1.35738582412,30.642,-88.97917,CKWM6
1402181326,FWS.LIX.20140218.DESOT.01.20140218.132631.4098639699,16,-6,154,22.2222222222,68,2.2352,-9.0,21.6666666667,77.0,2.6802555324,21.2567382813,74.6021891766,-2.39781082337,3.00715,6.60218917663,21.3487487793,74.3023006213,3.25738,-6.30230062134,30.67337,-88.97442,CKWM6
