date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403211626,FWS.LKN.20140321.SOUTH.01.20140321.162633.565478077,23,199,16,10.5555555556,22,36.65728,-7.0,8.88888888889,29.0,4.9180888464,5.7272277832,30.6186021255,1.61860212551,8.10681,8.61860212551,9.828515625,21.9841311305,3.46163,0.0158688695009,40.56611,-115.6075,CRSN2
1312212133,FWS.LKN.20131221.TOMER.01.20131221.213307.2960450139,33,54,25,3.88888888889,54,5.36448,-10.52,4.4,64.52,7.7166666,0.447290039063,65.6841040538,1.16410405383,6.45718,11.6841040538,,,,,40.69667,-116.14139,KEKO
1308231512,FWS.LKN.20130823.SWEEN.01.20130823.151247.1377270766903,20,123,35,26.1111111111,15,5.36448,6.0,25.5555555556,9.0,7.150777716,24.382989502,14.9243928543,5.92439285428,7.61117,-0.0756071457231,24.8007141113,23.5713443896,3.34297,-8.57134438956,39.2388,-116.4049,SEVN2
1308211537,FWS.LKN.20130821.BLACK.01.20130821.153715.1377099435345,23,66,19,27.2222222222,16,4.4704,-18.0,22.2222222222,34.0,2.6802555324,28.0890136719,15.1684447992,-18.8315552008,6.03625,-0.831555200828,26.8635498047,27.8610613984,3.82035,-11.8610613984,38.83111,-114.16667,MTHN2
1308201519,FWS.LKN.20130820.BLACK.01.20130820.151905.1377011944862,23,66,13,24.4444444444,31,4.4704,-8.0,22.2222222222,39.0,5.813222172,27.0568786621,23.8007973428,-15.1992026572,8.51595,-7.19920265723,24.9070068359,35.9851660829,6.31793,-4.98516608288,38.83111,-114.16667,MTHN2
1308201528,FWS.LKN.20130820.WILLA.01.20130820.152800.1377012480064,13,-185,19,23.3333333333,26,4.91744,4.0,27.7777777778,22.0,4.9180888464,24.7533813477,31.53914754,9.53914754002,8.63111,5.53914754002,20.0235839844,45.4444016679,2.88636,-19.4444016679,39.03194,-114.36611,BKFN2
1308191752,FWS.LKN.20130819.WILLA.01.20130819.175201.1376934721927,13,-185,13,29.4444444444,24,4.4704,4.0,26.1111111111,20.0,4.4705221836,24.918572998,21.3589770604,1.35897706035,7.23652,-2.64102293965,20.3539672852,42.3119800832,2.19022,-18.3119800832,39.03194,-114.36611,BKFN2
1308191456,FWS.LKN.20130819.BLACK.01.20130819.145611.1376924171328,23,66,16,25.0,24,4.4704,-16.0,21.1111111111,40.0,3.575388858,26.6853271484,17.9707660343,-22.0292339657,6.33696,-6.02923396574,25.4713989258,31.0526049368,4.30149,-7.05260493677,38.83111,-114.16667,MTHN2
1307231428,FWS.LKN.20130723.BLACK.01.20130723.142810.1374589690426,23,-9,24,26.6666666667,21,4.02336,3.0,27.2222222222,18.0,2.6802555324,29.6732421875,26.1898155388,8.1898155388,3.65054,5.1898155388,29.352166748,16.2105785108,11.1535,4.78942148923,38.83111,-114.16667,MTHN2
1307192023,FWS.LKN.20130719.SALMO.01.20130719.202346.1374265426480,3,23,14,37.2222222222,6,3.57632,-0.0,36.1111111111,6.0,5.3656555092,34.5809570313,11.1603906101,5.16039061007,3.57817,5.16039061007,34.8842407227,7.80990828186,5.06957,-1.80990828186,41.6589,-114.467,RSCN2
1307041709,FWS.LKN.20130704.NORTH.01.20130704.170935.1372957775474,39,217,17,29.4444444444,20,4.4704,-2.0,32.2222222222,22.0,4.0229555208,29.448449707,24.447919283,2.44791928297,3.14369,4.44791928297,26.0415893555,39.1183704404,3.14043,-19.1183704404,40.02611,-114.44944,CEDN2
