date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091102,FWS.LMK.20140409.TRACT.01.20140409.110252.1828317340,11,15,178,16.1111111111,32,2.68224,2.94,17.0,29.06,5.65888884,15.6364379883,33.3031735876,4.24317358756,4.01182,1.30317358756,15.7721191406,31.8281014223,4.2354,0.171898577742,37.71917,-84.27,KI39
1404021354,FWS.LMK.20140402.BILLK.01.20140402.135413.3123232577,23,-56,6,25.0,50,3.12928,6.83,26.0,43.17,5.1444444,24.6859069824,49.3408489042,6.1708489042,4.1,-0.659151095797,24.2760253906,48.6996368631,4.68011,1.3003631369,36.96825,-85.70586,KGLW
1403311220,FWS.LMK.20140331.MOFFA.01.20140331.122009.3619359252,41,-23,220,19.4444444444,38,5.36448,8.89,19.9,29.11,7.7166666,19.870690918,34.9101787245,5.80017872446,6.2,-3.08982127554,22.2087036133,20.7563511539,2.99318,17.2436488461,38.5993,-86.6679,KDCY
1403271053,FWS.LMK.20140327.LAKEG.01.20140327.105357.2311131545,13,15,157,16.6666666667,28,6.25856,12.48,16.0,15.52,8.74555548,15.550012207,29.3639766377,13.8439766377,8.2,1.3639766377,16.0299621582,17.9776186008,6.51294,10.0223813992,37.66722,-84.18528,KI39
1403231052,FWS.LMK.20140323.BOONE.02.20140323.105246.2164307540,13,16,248,7.22222222222,35,4.4704,5.0,8.33333333333,30.0,3.1278221952,6.64998779297,36.6417444742,6.64174447415,5.1,1.64174447415,7.98891601563,36.6640457163,3.27266,-1.66404571631,38.13829,-86.48358,TSWI3
1403211125,FWS.LMK.20140321.POSTO.01.20140320.112528.1496597846,33,6,275,12.7777777778,35,4.02336,16.0,22.2222222222,19.0,2.6802555324,20.470513916,28.6432370269,9.64323702687,7.2,-6.35676297313,20.7370849609,23.3278404449,4.17497,11.6721595551,38.18936,-86.26508,TSWI3
1403211244,FWS.LMK.20140321.SCHOO.01.20140321.124404.1739390937,9,24,136,20.5555555556,30,6.7056,7.0,20.0,23.0,5.813222172,19.4500061035,30.5088666206,7.5088666206,7.7,0.508866620605,20.8324829102,24.0261067443,4.79233,5.97389325573,38.8619,-85.4441,BIGI3
1403211050,FWS.LMK.20140321.MOFFA.01.20140321.105009.2977094991,41,-23,250,20.5555555556,32,6.25856,3.66,20.5,28.34,8.74555548,20.5255371094,30.9670525055,2.62705250552,7.7,-1.03294749448,20.3968139648,25.4889904325,3.53676,6.51100956754,38.5993,-86.6679,KDCY
1403211134,FWS.LMK.20140321.POSTO.01.20140321.113451.1995325663,33,6,266,20.5555555556,29,6.25856,10.0,22.2222222222,19.0,2.6802555324,20.470513916,28.6432370269,9.64323702687,7.2,-0.356762973133,20.7370849609,23.3278404449,4.17497,5.67215955508,38.18936,-86.26508,TSWI3
1403201037,FWS.LMK.20140320.KRWMA.01.20140320.103715.254123753,24,42,383,12.7777777778,34,4.02336,2.59,13.3,31.41,5.1444444,12.3845458984,36.4556382088,5.04563820882,4.72568,2.45563820882,12.9453979492,41.0617073076,3.79242,-7.06170730765,38.40913,-84.89513,KFFT
1403201038,FWS.LMK.20140320.KRWMA.02.20140320.103817.3910834659,28,42,382,13.3333333333,32,4.4704,0.59,13.3,31.41,5.1444444,12.9123168945,34.9121047043,3.50210470434,5.04146,2.91210470434,13.1084838867,41.6584042837,3.85559,-9.65840428369,38.43556,-84.95444,KFFT
1403201119,FWS.LMK.20140320.NORTH.01.20140320.111915.2227719676,25,61,221,13.8888888889,32,4.02336,0.98,13.3,31.02,6.68777772,13.2376647949,34.0943586578,3.07435865775,5.1,2.09435865775,13.0227600098,33.9680793817,3.84237,-1.96807938173,37.8162,-84.6837,KLEX
1403200208,FWS.LMK.20140320.DAVIS.01.20140320.020859.3729338251,29,28,832,14.4444444444,39,4.02336,8.0,15.0,31.0,2.2326888696,13.4681640625,36.0293166902,5.02931669021,5.1,-2.97068330979,14.7243286133,34.1938003723,4.04459,4.80619962772,37.94,-86.42,TSWI3
1403101646,FWS.LMK.20140310.KRWMA.01.20140310.164606.820854045,24,42,74,18.3333333333,38,6.25856,4.06,18.3,33.94,7.20222216,18.1991821289,39.3178353528,5.37783535277,6.94865,1.31783535277,18.2338806152,36.5413982136,4.94349,1.45860178638,38.40913,-84.89513,KFFT
1403101336,FWS.LMK.20140310.GOLFC.01.20140310.133653.3555449049,8,28,204,17.2222222222,39,6.25856,13.11,19.0,25.89,8.74555548,17.2499938965,39.5165674322,13.6265674322,7.20692,0.516567432154,17.8907714844,33.7193046628,5.95307,5.28069533721,37.66806,-84.25,KI39
1403101102,FWS.LMK.20140310.SHAKE.01.20140310.110248.1258554544,26,52,208,17.2222222222,41,6.7056,9.12,18.0,31.88,8.74555548,17.358392334,40.6552277752,8.77522777519,7.7,-0.344772224807,18.2667175293,32.7035537064,6.46367,8.29644629364,37.81756,-84.74056,KDVK
1403071237,FWS.LMK.20140307.SHAKE.01.20140307.123757.27898619,26,55,173,12.7777777778,52,1.78816,4.83,13.0,47.17,2.5722222,12.2665344238,52.1951910725,5.02519107249,2.1,0.195191072485,13.6420532227,47.2393603687,1.30679,4.7606396313,37.81756,-84.74056,KDVK
1311111041,FWS.LMK.20131111.ROLAN.01.20131111.104144.39495493,12,39,319,15.0,45,4.02336,14.0,13.8888888889,31.0,2.2326888696,13.1106506348,47.5617768375,16.5617768375,4.20969,2.56177683745,14.4974609375,40.0340711082,2.64305,4.96592889184,38.5993,-86.6679,TS563
1310261249,FWS.LMK.20131026.UNIT2.01.20131026.124953.2279546617,10,7,191,11.6666666667,44,6.25856,-1.0,12.7777777778,45.0,5.813222172,11.6036010742,44.6306928905,-0.369307109474,7.24639,0.630692890526,13.0605102539,48.3967341806,7.11461,-4.3967341806,38.8368,-85.4009,BIGI3
1310251333,FWS.LMK.20131025.JONES.01.20131025.133312.1687100133,16,48,27,10.5555555556,35,2.68224,0.82,9.4,34.18,3.08666664,10.5405517578,36.1464142751,1.96641427509,3.1,1.14641427509,9.74782714844,38.4273950093,2.55463,-3.42739500935,36.83794,-86.509,KBWG
1309261302,FWS.LMK.20130926.UNIT1.01.20130926.130234.1274610636,7,10,118,26.1111111111,39,1.78816,6.0,26.1111111111,33.0,3.1278221952,26.149987793,39.0025489293,6.0025489293,2.1,0.00254892930282,24.8588500977,38.0939378667,3.32429,0.906062133295,38.8619,-85.3914,BIGI3
1309241322,FWS.LMK.20130924.GILBE.01.20130924.132204.4275233510,28,80,128,25.0,47,1.78816,-3.64,26.7,50.64,3.08666664,23.85,50.0776652632,-0.562334736774,2.27598,3.07766526323,25.2239318848,57.5325528306,3.91445,-10.5325528306,38.43556,-84.95444,KFFT
1309171307,FWS.LMK.20130917.UNIT6.01.20130917.130716.1379423232496,4,16,173,23.8888888889,48,3.57632,6.0,23.8888888889,42.0,3.575388858,23.9337402344,47.0235217919,5.02352179188,4.07763,-0.976478208121,25.0649963379,35.167776867,5.9951,12.832223133,38.8908,-85.3935,BIGI3
1304151656,FWS.LMK.20130415.YELLO.01.20130414.165600.1365958560101,25,14,176,23.8888888889,30,5.36448,-16.0,24.4444444444,46.0,2.6802555324,23.392175293,57.1419413249,11.1419413249,5.2537,27.1419413249,22.0444580078,48.4915491425,6.76091,-18.4915491425,37.94,-86.48,TSWI3
1304151307,FWS.LMK.20130415.UNIT2.01.20130415.130723.1366031243079,10,10,113,22.7777777778,54,4.02336,4.0,21.1111111111,50.0,5.3656555092,22.2499938965,53.2631458834,3.26314588337,5.1,-0.736854116634,22.0037780762,51.241972814,5.20265,2.75802718595,38.839,-85.4035,BIGI3
1304101320,FWS.LMK.20130410.UNIT2.01.20130410.132036.1365600036433,10,8,160,26.6666666667,53,6.25856,14.0,29.4444444444,39.0,6.7032110532,26.6650024414,48.675829183,9.67582918299,7.47509,-4.32417081701,26.7212463379,48.0056357882,7.3149,4.99436421179,38.8412,-85.4036,BIGI3
1304091246,FWS.LMK.20130409.TOWER.01.20130409.124634.1365511593875,18,20,134,26.1111111111,55,5.36448,13.0,28.3333333333,42.0,3.1278221952,26.0723205566,54.159158803,12.159158803,6.7,-0.840841197034,27.2709899902,40.3321638487,6.76842,14.6678361513,37.96728,-86.60603,TSWI3
1304061332,FWS.LMK.20130406.UNIT4.01.20130406.133226.1365255146506,2,6,148,21.1111111111,25,6.7056,2.0,21.1111111111,23.0,5.813222172,20.550012207,34.7553951729,11.7553951729,6.7,9.75539517286,20.67421875,27.0714211246,4.50794,-2.0714211246,38.9317,-85.393,BIGI3
1304020420,FWS.LMK.20130402.PEABO.01.20130402.042043.1364876443038,26,23,580,9.44444444444,25,2.2352,-2.0,10.0,27.0,2.6802555324,9.95000610352,22.4041981549,-4.59580184506,3.1,-2.59580184506,9.19616088867,31.1913440991,5.52367,-6.19134409913,37.27333,-86.90111,GFSK2
1304020429,FWS.LMK.20130402.PEABO.01.20130402.042933.1364876973424,26,23,571,9.44444444444,25,2.2352,-2.0,10.0,27.0,2.6802555324,9.95000610352,22.4041981549,-4.59580184506,3.1,-2.59580184506,9.19616088867,31.1913440991,5.52367,-6.19134409913,37.27333,-86.90111,GFSK2
1303281056,FWS.LMK.20130328.TRACT.01.20130328.105627.1364468187787,14,29,4,8.88888888889,45,3.12928,8.25,9.0,36.75,4.11555552,8.82091674805,45.7052845269,8.95528452691,3.1,0.705284526912,8.97948608398,41.225906474,3.86669,3.77409352596,37.68556,-84.18333,KI39
1303281307,FWS.LMK.20130328.MIFFL.01.20130328.130746.1364476065882,20,35,173,10.0,42,2.68224,16.0,13.3333333333,26.0,1.7902666512,9.97484741211,42.2935188604,16.2935188604,3.1,0.293518860448,11.9193664551,32.4157801755,2.71189,9.58421982451,38.29722,-86.53694,TSWI3
1303221158,FWS.LMK.20130322.TWINC.01.20130322.115828.1363953508160,18,47,302,7.22222222222,30,1.34112,9.0,8.88888888889,21.0,2.2326888696,6.64998779297,32.841116892,11.841116892,1.5,2.84111689195,6.34313354492,33.0018542628,2.53654,-3.00185426275,38.65472,-86.20611,TT066
1303211628,FWS.LMK.20130321.KYFO_.02.20130321.162803.1363883283304,23,16,32,2.22222222222,33,3.57632,-3.35,1.3,36.35,4.62999996,2.43001708984,35.0176679614,-1.33233203855,4.6,2.01766796145,0.983972167969,35.3994812032,4.64362,-2.39948120324,37.8725,-86.23042,KFTK
1303140919,FWS.LMK.20130314.LEAVE.01.20130313.091901.1363166341096,28,74,461,7.77777777778,37,3.57632,-0.0,7.77777777778,37.0,2.2326888696,6.79348144531,44.5162964559,7.51629645593,2.6,7.51629645593,6.46013793945,35.9787320971,3.37935,1.02126790287,38.20694,-86.32778,TSWI3
1303140937,FWS.LMK.20130314.LEAVE.02.20130314.093702.1363253050899,28,74,443,6.66666666667,44,2.2352,7.0,7.77777777778,37.0,2.2326888696,6.79348144531,44.5162964559,7.51629645593,2.6,0.516296455927,6.46013793945,35.9787320971,3.37935,8.02126790287,38.20694,-86.32778,TSWI3
