date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401161807,FWS.LOX.20140116.COLBY.02.20140116.180759.2504375145,9,-198,19,29.4444444444,7,11.176,5.0,25.5555555556,2.0,5.813222172,25.8574462891,5.76944962325,3.76944962325,6.79407,-1.23055037675,,,,,34.15778,-117.83833,TANC1
1311130903,FWS.LOX.20131113.LIEBR.01.20131113.090344.3500439835,14,-211,23,21.1111111111,8,6.7056,-1.0,25.0,9.0,8.4934777044,20.7496582031,18.7465341165,9.74653411646,9.3111,10.7465341165,21.6477600098,16.9114782281,6.87449,-8.91147822815,34.71389,-118.65361,WMSC1
1310161702,FWS.LOX.20131016.VENTU.01.20131016.170246.2010260714,5,5,30,28.8888888889,14,7.15264,4.71,28.3,9.29,8.74555548,28.3702331543,16.9907574583,7.70075745829,8.54719,2.99075745829,27.6958862305,13.6308497352,6.30216,0.369150264792,34.23794,-119.23994,KOXR
1309241518,FWS.LOX.20130924.CREEK.01.20130924.151834.3838989746,24,172,29,27.2222222222,38,6.7056,16.0,31.6666666667,22.0,2.6802555324,25.4563842773,43.6662482833,21.6662482833,5.85216,5.66624828329,23.9623046875,47.0847944078,7.78095,-9.08479440778,35.44128,-120.85095,TABC1
1306021828,FWS.LOX.20130602.POWER.01.20130602.182809.1370197689280,5,190,46,31.1111111111,22,5.36448,-7.0,25.5555555556,29.0,9.38861103,31.4255615234,20.0453726124,-8.95462738758,12.5707,-1.95462738758,29.1625305176,21.4189161514,7.28454,0.581083848643,34.67681,-118.45317,GMTC1
1306021819,FWS.LOX.20130602.POWER.01.20130602.181959.1370197199379,5,190,37,31.1111111111,22,5.36448,-7.0,25.5555555556,29.0,9.38861103,31.4255615234,20.0453726124,-8.95462738758,12.5707,-1.95462738758,29.1625305176,21.4189161514,7.28454,0.581083848643,34.67681,-118.45317,GMTC1
1305311022,FWS.LOX.20130531.POWER.01.20130531.102222.1369995742571,13,79,30,33.8888888889,6,6.7056,1.0,36.6666666667,5.0,6.7032110532,31.7167907715,12.502961469,7.50296146895,6.26147,6.50296146895,31.2664428711,9.96235461895,6.12841,-3.96235461895,34.65,-118.5,PPPC1
1304221312,FWS.LOX.20130422.MADIS.01.20130422.131250.1366636370694,5,-156,342,24.4444444444,42,2.68224,14.0,28.8888888889,28.0,4.0229555208,22.9706359863,40.055357284,12.055357284,4.68856,-1.94464271597,25.9206176758,33.3233301101,2.16399,8.67666988992,34.148,-117.999,STFC1
1210211558,FWS.LOX.20121021.BIGRO.01.20121021.155826.1350835105940,6,-173,33,18.8888888889,37,5.36448,21.0,22.7777777778,16.0,4.9180888464,17.4190307617,43.9964199255,27.9964199255,5.43241,6.99641992553,18.1773925781,49.3788903577,3.49709,-12.3788903577,34.40167,-117.80139,VLYC1
0910042016,FWS.LOX.20091004.RANCH.01.20091004.201641,4,150,13,16.6666666667,50,6.25856,7.0,16.1111111111,43.0,6.2607888348,18.0804077148,41.2655898317,-1.73441016828,7.49998,-8.73441016828,17.3801818848,43.6320921643,8.92276,6.36790783571,34.17333,-118.85917,THDC1
0910041501,FWS.LOX.20091004.HIGHW.01.20091004.150149,3,188,12,17.2222222222,55,11.176,7.0,15.0,48.0,8.0459110416,14.3108154297,60.735686954,12.735686954,9.91218,5.73568695396,15.5295349121,54.5690141483,9.27417,0.430985851721,34.74562,-120.52169,VDBC1
0910031511,FWS.LOX.20091003.HIGHW.01.20091003.151114,3,195,14,17.2222222222,60,11.176,20.0,17.7777777778,40.0,7.5983443788,16.1986633301,63.1019718574,23.1019718574,8.73199,3.10197185743,15.9298950195,66.2277030513,8.38609,-6.22770305128,34.75095,-120.52036,VDBC1
0908302047,FWS.LOX.20090830.STATI.03.20090830.204750,3,0,85,-10.0,14,6.25856,5.0,35.5555555556,9.0,4.9180888464,29.8375488281,12.7413102155,3.74131021546,5.71404,-1.25868978454,34.5468383789,15.7414815542,3.35896,-1.74148155416,34.26222,-118.18528,CEKC1
0908302023,FWS.LOX.20090830.STATI.03.20090830.202324,3,0,61,-10.0,14,6.25856,5.0,35.5555555556,9.0,4.9180888464,29.8375488281,12.7413102155,3.74131021546,5.71404,-1.25868978454,34.5468383789,15.7414815542,3.35896,-1.74148155416,34.26222,-118.18528,CEKC1
0908301446,FWS.LOX.20090830.STATI.02.20090830.144626,7,-133,20,35.5555555556,14,3.57632,3.0,42.2222222222,11.0,4.0229555208,33.1707397461,14.9278686273,3.92786862727,5.0754,0.927868627272,35.1760803223,15.5950041869,3.22085,-1.59500418693,34.24792,-118.25333,SRXC1
1408111151,FWS.LOX.20140811.PANAR.01.20140811.115144.371341836,14,5,20,24.4444444444,30,2.68224,-10.0,23.3333333333,40.0,1.3426999884,25.1987854004,28.3645612754,-11.6354387246,4.79379,-1.63543872459,23.2085205078,26.9001659258,3.476,3.09983407422,34.38361,-117.85083,BPNC1,0
