date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404081225,FWS.LSX.20140408.NORTH.01.20140408.122516.2918963872,45,-63,365,15.0,39,2.68224,2.94,16.1,36.06,8.74555548,13.8325744629,45.164050103,9.10405010299,8.2,6.16405010299,15.6446166992,36.8075680268,6.99694,2.19243197315,39.06242,-90.93426,KSET
1404011346,FWS.LSX.20140401.STRIN.01.20140401.134641.1879465005,14,67,134,17.2222222222,32,1.34112,8.0,17.7777777778,24.0,2.6802555324,17.2528625488,37.4474184283,13.4474184283,3.74143,5.44741842834,15.423425293,36.0037629192,2.94497,-4.00376291921,37.84889,-90.94278,CBFM7
1404011430,FWS.LSX.20140401.ONOND.01.20140401.143031.3106734307,29,35,75,17.2222222222,30,1.34112,-0.0,15.5555555556,30.0,3.575388858,17.2499938965,35.8613229153,5.86132291533,3.6,5.86132291533,14.5325561523,31.3727269502,2.97487,-1.3727269502,38.,-91.,TS211
1404011354,FWS.LSX.20140401.LITTL.01.20140401.135444.686268561,20,92,16,17.2222222222,32,1.34112,8.0,17.7777777778,24.0,2.6802555324,17.2697692871,37.3985834467,13.3985834467,3.6,5.39858344674,15.3769165039,34.0929434724,2.9588,-2.09294347235,37.90278,-90.9775,CBFM7
1403281352,FWS.LSX.20140328.LREC3.01.20140328.135220.2317179101,10,10,248,15.0,37,17.8816,-18.0,11.1111111111,55.0,3.1278221952,13.844934082,47.0955024876,-7.90449751236,3.21101,10.0955024876,11.1805664063,58.800508212,3.42171,-21.800508212,38.6231,-90.3766,MBGM7
1403251417,FWS.LSX.20140325.YOUNG.01.20140325.141700.2357408788,27,-53,283,5.0,27,2.68224,-0.19,3.9,27.19,10.2888888,,,,,,4.31380615234,33.4242729719,6.54139,-6.42427297191,38.41233,-90.65253,KSUS
1403241441,FWS.LSX.20140324.COUNC.01.20140324.144102.4238673115,1,39,79,6.11111111111,32,1.34112,4.0,7.22222222222,28.0,2.2326888696,5.55001220703,37.3365739447,9.33657394466,3.1,5.33657394466,7.78600463867,29.1057739646,2.19198,2.89422603536,37.71472,-90.92278,CBFM7
1403241345,FWS.LSX.20140324.CLARE.01.20140324.134550.3304973556,41,81,75,2.22222222222,33,2.68224,-2.51,4.6,35.51,2.5722222,2.17766723633,38.7806755414,3.27067554136,3.1,5.78067554136,4.85527954102,34.6006296235,2.31784,-1.60062962352,39.26815,-90.78186,KPPQ
1403241253,FWS.LSX.20140324.HUZZA.01.20140324.125352.2406600299,21,82,127,6.66666666667,34,1.78816,4.0,6.11111111111,30.0,4.4705221836,4.89574584961,38.5532834487,8.55328344865,3.1,4.55328344865,6.41701660156,30.0612514136,2.67878,3.93874858638,38.049,-91.23,TS211
1403241341,FWS.LSX.20140324.CLARE.01.20140324.134122.480385805,41,81,79,2.22222222222,33,2.68224,-2.51,4.6,35.51,2.5722222,2.17766723633,38.7806755414,3.27067554136,3.1,5.78067554136,4.85527954102,34.6006296235,2.31784,-1.60062962352,39.26815,-90.78186,KPPQ
1403240955,FWS.LSX.20140324.CLARE.01.20140324.095505.3592564674,41,81,305,2.22222222222,33,2.68224,-2.51,4.6,35.51,2.5722222,2.17766723633,38.7806755414,3.27067554136,3.1,5.78067554136,4.85527954102,34.6006296235,2.31784,-1.60062962352,39.26815,-90.78186,KPPQ
1403221017,FWS.LSX.20140322.ADAMS.01.20140322.101713.1403805026,24,51,463,6.11111111111,36,2.68224,-1.4,5.6,37.4,9.25999992,5.55001220703,44.6249160525,7.22491605255,5.7,8.62491605255,4.8887878418,43.7874750611,4.94677,-7.78747506111,39.8425,-90.93772,KUIN
1403221314,FWS.LSX.20140322.STRIN.02.20140322.131447.1005739119,14,67,136,11.1111111111,30,1.34112,-3.0,12.2222222222,33.0,2.6802555324,10.550012207,37.5021957971,4.50219579706,4.6,7.50219579706,11.0364013672,37.0812684827,3.66515,-7.08126848266,37.84889,-90.94278,CBFM7
1403211341,FWS.LSX.20140321.ENTRA.01.20140321.134148.2836729422,19,38,4,21.6666666667,22,3.57632,3.0,21.6666666667,19.0,7.150777716,20.4740844727,35.6710865524,16.6710865524,7.2,13.6710865524,21.4116455078,24.5748597537,7.02895,-2.57485975374,37.83667,-90.23333,FMRM7
1403201226,FWS.LSX.20140320.TOWNE.01.20140320.122612.1644518605,32,-28,244,18.8888888889,26,3.12928,8.09,19.4,17.91,7.7166666,18.35,32.6745391276,14.7645391276,5.1,6.67453912763,19.5822998047,23.0622192923,6.6952,2.93778070771,38.87667,-90.89694,KSUS
1403201257,FWS.LSX.20140320.RPO__.01.20140320.125747.4188116118,13,29,183,17.7777777778,28,1.34112,12.74,19.0,15.26,7.7166666,18.0638977051,33.2657915585,18.0057915585,5.1,5.2657915585,19.4535461426,21.9237627348,6.00181,6.07623726517,38.86897,-90.18439,KALN
