date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401311558,FWS.LSX.20140131.DAVIS.01.20140131.155818.841011602,13,177,56,2.22222222222,51,1.34112,7.0,1.66666666667,44.0,1.7902666512,0.0981079101563,74.8699329507,30.8699329507,3.6,23.8699329507,,,,,37.45028,-91.11917,SINM7
1208051348,FWS.LSX.20120805.PATTE.01.20120805.134803.137232093,33,30,34,31.6666666667,40,1.78816,7.0,31.1111111111,33.0,4.9180888464,31.022454834,42.4518770547,9.45187705474,4.41055,2.45187705474,29.2289978027,46.3402492698,3.29715,-6.34024926983,37.4857,-90.57608,FMRM7
1207041545,FWS.LSX.20120704.LOWGA.01.20120704.154524.180577018,24,70,42,39.4444444444,23,0.89408,6.0,40.5555555556,17.0,1.7902666512,38.2295776367,24.5862055342,7.58620553425,3.10542,1.58620553425,38.973840332,18.025121283,6.03103,4.97487871701,37.50111,-90.96417,CBFM7
1206301201,FWS.LSX.20120630.EASTE.01.20120630.120131.145277649,10,52,29,39.4444444444,20,1.34112,2.0,40.5555555556,18.0,2.2326888696,38.35,27.5010543731,9.50105437313,4.1,7.50105437313,40.356652832,19.9274260331,4.5076,0.0725739669044,37.6708,-91.0311,CBFM7
1206171358,FWS.LSX.20120617.829__.01.20120617.135831.533375511,19,90,49,31.1111111111,46,2.2352,-2.0,32.2222222222,48.0,1.7902666512,,,,,,30.446282959,55.6540476667,10.3661,-9.6540476667,37.5489,-90.9906,CBFM7
1206161429,FWS.LSX.20120616.829__.01.20120616.142901.289789581,19,90,45,33.3333333333,36,1.34112,-0.0,35.0,36.0,2.2326888696,32.7499938965,42.5877096634,6.58770966342,4.6,6.58770966342,33.9170471191,42.8993569874,4.44241,-6.89935698738,37.5489,-90.9906,CBFM7
1206151341,FWS.LSX.20120615.829FI.01.20120615.134114.575274845,19,60,57,33.3333333333,28,1.34112,-9.0,32.2222222222,37.0,2.2326888696,,,,,,32.7360168457,44.4373047346,5.10655,-16.4373047346,37.54889,-90.99056,CBFM7
1206141357,FWS.LSX.20120614.829__.01.20120614.135706.643538224,19,60,55,30.5555555556,25,1.78816,2.0,32.7777777778,23.0,2.2326888696,29.9500061035,32.4460286725,9.44602867252,3.1,7.44602867252,32.9016662598,32.3548265611,3.95743,-7.35482656109,37.54889,-90.99056,CBFM7
1206131357,FWS.LSX.20120613.829__.01.20120613.135747.093841095,19,60,52,28.3333333333,29,1.34112,6.0,29.4444444444,23.0,1.7902666512,27.7499938965,32.9068944271,9.90689442709,2.6,3.90689442709,29.7141662598,30.0930303785,4.00199,-1.09303037846,37.54889,-90.99056,CBFM7
1206131329,FWS.LSX.20120613.829__.01.20120613.132949.044757846,19,60,24,28.3333333333,29,1.34112,6.0,29.4444444444,23.0,1.7902666512,27.7499938965,32.9068944271,9.90689442709,2.6,3.90689442709,29.7141662598,30.0930303785,4.00199,-1.09303037846,37.54889,-90.99056,CBFM7
1206121256,FWS.LSX.20120612.829__.01.20120612.125626.961704568,19,60,13,27.7777777778,30,0.89408,3.0,28.3333333333,27.0,2.2326888696,,,,,,27.737878418,32.1289260073,3.21244,-2.12892600734,37.54889,-90.99056,CBFM7
1206111402,FWS.LSX.20120611.829__.01.20120611.140242.581139908,19,60,39,29.4444444444,60,1.34112,-25.0,21.1111111111,85.0,2.2326888696,28.85,65.2112796817,-19.7887203183,2.6,5.21127968172,25.8015380859,76.938965374,7.73045,-16.938965374,37.54889,-90.99056,CBFM7
1204031611,FWS.LSX.20120403.AHWY_.01.20120403.161125.518606742,7,80,24,25.5555555556,51,1.78816,4.0,25.0,47.0,3.1278221952,24.8054443359,53.9663644629,6.96636446293,3.1,2.96636446293,24.3730712891,38.6561467819,2.7959,12.3438532181,37.43333,-91.27833,SINM7
1203031512,FWS.LSX.20120303.MARLO.01.20120303.151244.712178804,33,-31,15,9.44444444444,32,7.15264,9.0,8.88888888889,23.0,8.0459110416,7.66820678711,36.6175900864,13.6175900864,7.33117,4.61759008637,10.1710754395,27.6285388826,5.84482,4.37146111743,37.45861,-90.46778,FMRM7
1111061408,FWS.LSX.20111106.MINNI.01.20111106.140836.174492615,7,131,19,18.3333333333,49,5.36448,-13.0,15.0,62.0,4.0229555208,17.2076660156,61.7410625185,-0.258937481525,6.75835,12.7410625185,14.8905578613,55.902951003,3.79099,-6.90295100303,37.47222,-91.33694,SINM7
1111051259,FWS.LSX.20111105.MINNI.01.20111105.125930.262946217,7,131,7,17.2222222222,45,3.12928,-19.0,13.8888888889,64.0,3.1278221952,18.2065368652,41.7180067462,-22.2819932538,5.72517,-3.28199325379,12.8678833008,58.3166065668,1.91149,-13.3166065668,37.47222,-91.33694,SINM7
1111041250,FWS.LSX.20111104.MINNI.01.20111104.125019.109836186,7,131,17,14.4444444444,52,2.68224,-11.0,13.8888888889,63.0,1.7902666512,15.4137207031,49.7414732687,-13.2585267313,2.6,-2.2585267313,11.6677185059,67.9453680367,2.52754,-15.9453680367,37.47194,-91.33667,SINM7
1111031256,FWS.LSX.20111103.MINNI.01.20111103.125613.798222905,7,131,8,6.11111111111,70,3.12928,-25.0,5.0,95.0,3.575388858,6.59664306641,80.1898096636,-14.8101903364,8.63902,10.1898096636,5.53780517578,86.8650252992,5.08113,-16.8650252992,37.47194,-91.33667,SINM7
1111021230,FWS.LSX.20111102.MINNI.01.20111102.123037.160165211,7,131,5,21.6666666667,35,2.2352,-0.0,21.6666666667,35.0,4.4705221836,19.4227539063,43.4081530372,8.40815303723,8.17483,8.40815303723,20.6452575684,36.9781699522,3.36312,-1.97816995225,37.47222,-91.33694,SINM7
1008291641,FWS.LSX.20100829.CARTY.01.20100829.164138.096465978,22,122,26,31.1111111111,49,1.34112,7.0,33.3333333333,42.0,2.6802555324,29.6602416992,56.065999779,14.065999779,5.7,7.065999779,32.5247131348,42.5272812898,3.8467,6.47271871023,37.52306,-90.96694,CBFM7
1004071433,FWS.LSX.20100407.ANDER.01.20100407.143312,11,-11,23,22.7777777778,51,5.81152,22.0,22.7777777778,29.0,4.9180888464,,,,,,,,,,37.51306,-91.12444,SINM7
1501211459,FWS.LSX.20150121.COOKS.01.20150121.145911.37307878,21,86,50,10.0,43,1.34112,2.0,7.22222222222,41.0,1.3426999884,9.55001220703,47.1901606618,6.19016066179,3.6,4.19016066179,11.1979614258,31.6669992704,5.89513,11.3330007296,37.49167,-91.01944,SINM7,0
1501221424,FWS.LSX.20150122.COOKS.01.20150122.142438.182326709,21,71,30,6.11111111111,52,1.34112,-0.0,6.11111111111,52.0,1.7902666512,5.44176635742,55.0967827786,3.09678277863,2.8,3.09678277863,5.71727905273,56.2196829851,2.54798,-4.21968298506,37.4916,-91.0196,SINM7,0
1501231425,FWS.LSX.20150123.COOKS.01.20150123.142553.3905941357,21,71,33,7.22222222222,40,2.2352,-4.0,7.22222222222,44.0,1.7902666512,5.55001220703,50.7460683464,6.74606834638,1.6,10.7460683464,6.8317199707,49.3798641903,2.29401,-9.37986419033,37.4916,-91.0196,SINM7,0
1502081549,FWS.LSX.20150208.RIVER.01.20150208.154927.3851471830,23,116,33,21.1111111111,37,1.34112,2.0,21.6666666667,35.0,3.1278221952,17.35,55.8818866898,20.8818866898,4.0,18.8818866898,22.4717346191,40.282244042,3.83384,-3.28224404198,37.47667,-90.99528,SINM7,0
1505041256,FWS.LSX.20150504.CARTY.01.20150504.125629.3363240400,24,105,11,27.7777777778,37,2.2352,4.0,30.0,33.0,2.2326888696,26.85,45.3739246953,12.3739246953,5.6,8.37392469534,29.1682373047,37.2903173208,5.0945,-0.290317320802,37.49917,-90.96,CBFM7,0
1511151544,FWS.LSX.20151115.CLEAR.01.20151115.154416.2989696550,14,50,21,18.3333333333,28,2.2352,2.0,17.2222222222,26.0,2.6802555324,,,,,,16.223260498,33.8938944161,5.05728,-5.89389441611,37.84861,-90.89556,CBFM7,0
1604031645,FWS.LSX.20160403.SIDHO.01.20160403.164544.2284901870,14,86,21,21.6666666667,28,2.68224,7.0,23.8888888889,21.0,4.0229555208,,,,,,24.2978759766,18.2460770192,4.16915,9.7539229808,37.42111,-91.38306,SINM7,1
