date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021355,FWS.LUB.20140402.MATAD.01.20140402.135558.1610064506,6,36,5,31.6666666667,7,9.83488,-1.0,32.7777777778,8.0,7.5983443788,30.0039001465,7.64151699676,-0.358483003245,11.2887,0.641516996755,32.6016479492,8.94441210278,7.71874,-1.94441210278,34.15572,-100.35213,MATT2
1404011430,FWS.LUB.20140401.MATAD.01.20140401.143001.1115836032,6,36,5,27.2222222222,22,5.36448,-3.0,23.8888888889,25.0,3.575388858,27.7050720215,17.1543923655,-7.84560763452,7.69922,-4.84560763452,24.4366394043,27.7964805148,5.82797,-5.79648051475,34.15572,-100.35213,MATT2
1403311335,FWS.LUB.20140331.MATAD.01.20140331.133525.2657002483,6,36,5,31.1111111111,7,6.25856,4.0,30.5555555556,3.0,7.150777716,29.9050842285,7.07851974201,4.07851974201,7.7,0.0785197420054,30.3490844727,4.02071511292,8.69015,2.97928488708,34.15572,-100.35213,MATT2
1403301354,FWS.LUB.20140330.MATAD.01.20140330.135405.725385519,6,36,19,27.7777777778,18,15.6464,-0.0,27.7777777778,18.0,9.8361776928,26.649987793,20.6832166448,2.68321664482,11.8,2.68321664482,27.9913269043,18.5327763057,10.7418,-0.532776305681,34.15572,-100.35213,MATT2
1403291349,FWS.LUB.20140329.MATAD.01.20140329.134945.1675172529,6,36,4,23.8888888889,16,6.25856,2.0,22.7777777778,14.0,5.3656555092,22.716394043,16.4447737874,2.44477378745,7.2,0.44477378745,22.8342834473,14.5780234623,5.98729,1.42197653771,34.15572,-100.35213,MATT2
1403280956,FWS.LUB.20140328.MATAD.01.20140328.095623.4287412810,6,36,244,22.2222222222,24,6.25856,-4.0,19.4444444444,28.0,5.813222172,21.649987793,23.5688354093,-4.43116459067,7.16561,-0.431164590671,19.5733886719,29.2328412853,6.41994,-5.23284128534,34.15572,-100.35213,MATT2
1403190859,FWS.LUB.20140319.MATAD.01.20140319.085926.2447677897,2,27,301,17.7777777778,17,5.36448,-1.0,17.2222222222,18.0,5.813222172,,,,,,16.2829223633,19.6205614096,5.10386,-2.62056140962,34.11473,-100.39485,MATT2
1403131057,FWS.LUB.20140313.MATAD.01.20140313.105716.2998113341,4,27,123,22.2222222222,10,7.59968,-2.0,20.5555555556,12.0,6.7032110532,20.548059082,11.9583902979,-0.041609702054,7.7,1.95839029795,20.3669677734,12.416912441,7.4879,-2.41691244102,34.10812,-100.38542,MATT2
1403071346,FWS.LUB.20140307.MATAD.01.20140307.134617.1369136067,4,27,134,28.8888888889,14,6.25856,7.0,30.5555555556,7.0,8.0459110416,24.8177734375,17.4883734547,10.4883734547,7.33128,3.4883734547,29.3561340332,10.3356209627,7.18676,3.66437903731,34.10806,-100.38556,MATT2
1403061300,FWS.LUB.20140306.MATAD.01.20140306.130022.3233583850,6,6,180,17.2222222222,27,5.36448,5.0,18.8888888889,22.0,6.2607888348,17.7476135254,26.3829745029,4.38297450287,5.7,-0.617025497127,17.8179870605,23.6155874006,5.63081,3.38441259942,34.11333,-100.34583,MATT2
