date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1401201405,FWS.LUB.20140120.WILSO.01.20140120.140543.3406133710,39,46,12,18.8888888889,16,8.04672,5.55,20.0,10.45,11.31777768,18.2026306152,17.0045558165,6.55455581654,8.2,1.00455581654,,,,,33.32,-101.72,KLBB
1109291546,FWS.LUB.20110929.SOUTH.01.20110929.154650.653573940,42,229,28,34.4444444444,20,9.38784,3.23,35.0,16.77,9.25999992,32.2499938965,21.9184909543,5.14849095431,9.3,1.91849095431,35.442376709,16.1006545396,11.0051,3.89934546043,34.19933,-99.91517,KCDS
1109251344,FWS.LUB.20110925.COPPE.02.20110925.134427.536145602,40,76,20,29.4444444444,27,6.25856,-0.54,28.9,27.54,4.62999996,28.85,34.129221371,6.589221371,5.73156,7.129221371,27.4836364746,26.9217986318,2.80362,0.0782013682083,34.1765,-99.96467,KCDS
1109221215,FWS.LUB.20110922.SOUTH.02.20110922.121552.063964692,42,76,7,23.3333333333,45,9.83488,5.4,22.2,39.6,6.68777772,22.2499938965,47.5095871942,7.90958719419,5.1,2.50958719419,20.8671813965,43.8834707451,2.74977,1.11652925486,34.19933,-99.91517,KCDS
1109211614,FWS.LUB.20110921.COTTE.01.20110921.161459.579438982,15,60,27,28.3333333333,28,4.4704,6.0,32.7777777778,22.0,4.4705221836,,,,,,31.7121520996,24.7877030906,5.37466,3.21229690944,34.235,-100.29833,MATT2
1102281308,FWS.LUB.20110228.MATAD.01.20110228.130826.085076194,48,-63,17,16.1111111111,18,6.7056,4.0,17.7777777778,14.0,5.3656555092,15.6227966309,16.3369057267,2.33690572667,6.2,-1.66309427333,14.9026123047,16.2024386238,7.98599,1.79756137616,33.9854,-100.9196,CAPT2
1004061231,FWS.LUB.20100406.CAPRO.01.20100406.123156,18,237,28,28.3333333333,8,10.72896,-1.81,26.7,9.81,12.861111,26.8488098145,8.74834296111,-1.06165703889,13.9,0.748342961112,,,,,34.26667,-101.55,KPVW
1004051203,FWS.LUB.20100405.CAPRO.01.20100405.120348,1,-10,48,32.2222222222,9,9.83488,-5.0,33.3333333333,14.0,9.38861103,31.8495117188,8.88206918229,-5.11793081771,12.3,-0.117930817709,,,,,34.41706,-101.06923,CAPT2
1004051724,FWS.LUB.20100405.CAPRO.02.20100405.172422,18,237,22,31.1111111111,8,10.28192,-0.75,29.2,8.75,13.37555544,30.550012207,8.29142519218,-0.458574807819,12.9,0.291425192181,,,,,34.26667,-101.55,KPVW
1509291604,FWS.LUB.20150929.PITCH.01.20150929.160411.34393846,43,-102,10,31.1111111111,29,3.12928,2.0,32.7777777778,27.0,4.0229555208,,,,,,31.1543518066,25.4895159082,4.42406,3.51048409178,33.5788,-100.78151,TS996,0
1602201440,FWS.LUB.20160220.ROCKI.01.20160220.144052.606478108,9,0,13,29.4444444444,13,4.02336,1.42,30.0,11.58,5.65888884,,,,,,29.2137390137,12.4872512146,5.28898,0.512748785388,34.51183,-100.286,KCDS,0
1602211645,FWS.LUB.20160221.ROCKI.01.20160221.164511.919287210,9,0,10,20.0,23,7.59968,-2.55,17.8,25.55,8.23111104,,,,,,17.9805847168,29.1494155141,7.19759,-6.14941551406,34.51183,-100.286,KCDS,0
1603211900,FWS.LUB.20160321.FM103.01.20160321.190015.3291672091,21,76,14,23.8888888889,17,10.72896,-1.49,24.4,18.49,11.83222212,,,,,,24.6500183105,17.6801041813,10.6635,-0.680104181333,34.39132,-100.05617,KCDS,0
