date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403311125,FWS.LZK.20140331.FORKS.01.20140331.112528.3696168043,33,24,13,21.6666666667,44,4.4704,-7.76,20.0,51.76,6.68777772,21.7401062012,42.2716904546,-9.48830954544,5.1,-1.72830954544,18.1984802246,60.5012266055,3.11466,-16.5012266055,34.5025,-93.84389,KMEZ
1403311132,FWS.LZK.20140331.FORKS.01.20140331.113225.1183249128,33,24,20,21.6666666667,44,4.4704,-7.76,20.0,51.76,6.68777772,21.7401062012,42.2716904546,-9.48830954544,5.1,-1.72830954544,18.1984802246,60.5012266055,3.11466,-16.5012266055,34.5025,-93.84389,KMEZ
1403141136,FWS.LZK.20140314.BOXLE.01.20140314.113619.3504373490,38,32,12,20.5555555556,31,5.36448,1.9,18.9,29.1,7.20222216,19.8003479004,31.1615161218,2.06151612176,6.73535,0.161516121762,18.2563110352,37.4277296902,4.97655,-6.4277296902,35.97944,-93.39861,KHRO
1403141543,FWS.LZK.20140314.MOORE.01.20140314.154313.3518376307,38,40,17,20.5555555556,31,5.36448,1.9,18.9,29.1,7.20222216,19.8003479004,31.1615161218,2.06151612176,6.73535,0.161516121762,18.2563110352,37.4277296902,4.97655,-6.4277296902,35.97944,-93.39861,KHRO
1401261139,FWS.LZK.20140126.FROST.01.20140126.113922.4170779492,8,-37,25,17.2222222222,38,2.68224,12.0,20.0,26.0,5.3656555092,16.649987793,35.0875579003,9.08755790026,5.77716,-2.91244209974,,,,,34.61833,-93.20683,JVLA4
1401251306,FWS.LZK.20140125.FROST.01.20140125.130630.1903650776,8,-37,9,13.3333333333,35,5.36448,12.0,17.7777777778,23.0,3.1278221952,12.7499938965,31.2399586883,8.23995868829,4.6,-3.76004131171,,,,,34.61833,-93.20683,JVLA4
1401241405,FWS.LZK.20140124.FROST.01.20140124.140514.1738357568,8,-37,7,3.88888888889,17,3.12928,2.0,3.88888888889,15.0,3.575388858,3.00777587891,20.3676422959,5.36764229593,6.2,3.36764229593,,,,,34.61833,-93.20683,JVLA4
1401211319,FWS.LZK.20140121.BUFFO.01.20140121.131929.2986031591,1,-38,17,2.22222222222,29,5.81152,8.0,3.88888888889,21.0,3.575388858,0.643029785156,33.1611151715,12.1611151715,6.76968,4.16111517151,,,,,34.70833,-93.21694,JVLA4
1401201732,FWS.LZK.20140120.BUFFO.01.20140120.173256.4028510860,12,-114,14,18.3333333333,29,1.78816,4.0,21.6666666667,25.0,3.575388858,17.6623474121,26.3578418948,1.35784189476,3.1,-2.64215810524,,,,,34.805,-93.2356,JVLA4
1401182041,FWS.LZK.20140118.EASTE.01.20140118.204129.2955391201,27,-276,357,13.8888888889,33,7.59968,10.0,17.2222222222,23.0,8.9410443672,13.35,30.0398720981,7.03987209813,5.7,-2.96012790187,,,,,35.1597,-93.5895,BNVA4
1401181505,FWS.LZK.20140118.EASTE.01.20140118.150532.1264260207,27,-276,21,13.8888888889,33,5.81152,10.0,17.2222222222,23.0,8.9410443672,13.35,30.0398720981,7.03987209813,5.7,-2.96012790187,,,,,35.1597,-93.5895,BNVA4
1309281324,FWS.LZK.20130928.PIPEL.01.20130928.132413.392366453,8,-204,9,27.2222222222,59,2.68224,10.0,30.0,49.0,4.4705221836,28.4197937012,55.22136617,6.22136617004,4.1,-3.77863382996,28.6399475098,51.7548588115,4.88613,7.24514118847,34.7682,-93.2124,JVLA4
1309281401,FWS.LZK.20130928.WICKE.01.20130928.140148.1123535612,16,-47,4,26.6666666667,63,3.12928,18.0,30.5555555556,45.0,4.9180888464,28.7239624023,57.968248718,12.968248718,4.73439,-5.03175128197,26.2183776855,62.6811971065,4.08087,0.318802893491,35.18444,-93.71639,BNVA4
1309271233,FWS.LZK.20130927.PIPEL.01.20130927.123334.3511589724,8,-204,10,29.4444444444,46,2.68224,7.0,30.0,39.0,4.0229555208,29.6688476563,44.1475526148,5.14755261476,4.56828,-1.85244738524,29.5473571777,37.7126428342,4.19933,8.28735716582,34.7682,-93.2124,JVLA4
1309261135,FWS.LZK.20130926.PIPEL.01.20130926.113544.479922165,8,-204,10,28.8888888889,44,3.12928,7.0,30.5555555556,37.0,2.6802555324,28.5688415527,45.270418742,8.27041874196,2.89522,1.27041874196,30.5424743652,31.9662667195,1.8608,12.0337332805,34.7682,-93.2124,JVLA4
1309251110,FWS.LZK.20130925.PIPEL.01.20130925.111023.2852606881,8,-204,8,28.3333333333,42,3.57632,5.0,28.8888888889,37.0,2.6802555324,27.7997680664,42.4262752009,5.42627520088,3.77306,0.426275200877,27.4419494629,37.61225924,2.67838,4.38774075999,34.7682,-93.2124,JVLA4
1307141220,FWS.LZK.20130714.LOCUS.01.20130714.122043.1373804443135,12,-231,12,28.8888888889,48,3.57632,16.0,31.6666666667,32.0,4.0229555208,28.35,47.638671565,15.638671565,5.7,-0.361328435029,30.2052856445,35.9721876915,2.23743,12.0278123085,34.795,-93.16786,JVLA4
1307081350,FWS.LZK.20130708.FLETC.01.20130708.135040.1373291440018,12,-90,23,36.1111111111,40,1.34112,-3.0,35.5555555556,43.0,2.2326888696,34.9500061035,42.8046882093,-0.195311790674,3.6,2.80468820933,33.2390686035,46.955902775,1.93124,-6.95590277504,35.04417,-93.96722,BNVA4
1307071344,FWS.LZK.20130707.VANDE.01.20130707.134438.1373204678771,13,-75,22,33.3333333333,41,2.68224,3.85,33.9,37.15,3.08666664,32.7499938965,42.5877096634,5.43770966342,3.6,1.58770966342,34.6852661133,32.7761621696,4.73474,8.22383783038,34.64972,-93.50694,KMWT
1307061150,FWS.LZK.20130706.VANDE.01.20130706.115038.1373111438783,13,-75,13,33.3333333333,38,2.68224,3.83,33.3,34.17,3.60111108,32.7499938965,39.7414658343,5.57146583429,4.1,1.74146583429,33.7841430664,30.7945085581,2.83268,7.20549144187,34.64972,-93.50694,KMWT
1307051744,FWS.LZK.20130705.VANDE.01.20130705.174422.1373046262638,13,-75,26,32.7777777778,35,0.44704,7.47,32.8,27.53,2.5722222,32.0304504395,34.6082777011,7.07827770114,2.1,-0.391722298857,32.4511657715,31.1997996296,1.92546,3.8002003704,34.64972,-93.50694,KMWT
1304231215,FWS.LZK.20130423.KEYMO.01.20130423.121542.1366719342857,26,39,30,20.5555555556,55,3.57632,-13.61,21.0,68.61,7.20222216,18.5391479492,52.6055319465,-16.0044680535,4.6,-2.39446805355,17.7881103516,64.9398350167,5.18751,-9.93983501674,34.78,-94.15361,KMEZ
1304101905,FWS.LZK.20130410.GOGGI.01.20130410.190536.1365620736867,0,0,15,22.7777777778,67,4.4704,18.0,29.4444444444,49.0,4.4705221836,21.149987793,65.243385713,16.243385713,8.36822,-1.75661428702,27.2256103516,54.8306473726,6.32015,12.1693526274,35.97027,-92.74639,SVHA4
1303091746,FWS.LZK.20130309.SLICK.01.20130309.174610.1362851170629,25,99,7,21.1111111111,39,8.9408,19.26,21.7,19.74,8.23111104,19.4500061035,41.8671182079,22.1271182079,6.2,2.86711820795,21.6774841309,31.9281950388,6.73453,7.07180496124,36.13983,-92.48983,KBPK
