date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404021449,FWS.MEG.20140402.BUCKR.01.20140402.144903.391864475,9,-3,11,25.5555555556,55,4.4704,6.0,27.2222222222,49.0,4.0229555208,23.85,63.0087191581,14.0087191581,7.2,8.00871915812,24.9965454102,54.9135002333,3.80878,0.0864997666774,34.65,-89.2225,WINM6
1404021357,FWS.MEG.20140402.CONFE.01.20140402.135703.2077067066,4,-1,63,25.5555555556,54,5.36448,3.0,26.6666666667,51.0,1.7902666512,24.4500061035,53.7402398458,2.74023984578,6.02465,-0.259760154218,25.3457580566,58.9335062029,5.00968,-4.9335062029,34.36639,-88.67417,TFWM6
1404011533,FWS.MEG.20140401.BUCKR.01.20140401.153304.861319226,9,-3,147,25.5555555556,41,3.12928,4.0,26.6666666667,37.0,3.575388858,26.9171081543,42.3144994082,5.31449940823,3.6,1.31449940823,25.945916748,40.9834712213,2.83505,0.0165287787245,34.65,-89.2225,WINM6
1403241103,FWS.MEG.20140324.C1611.01.20140324.110332.1388294582,35,-27,237,13.8888888889,27,2.68224,11.0,13.8888888889,16.0,2.6802555324,13.35,25.2332986729,9.23329867293,3.6,-1.76670132707,13.0770812988,23.4554673842,1.74017,3.54453261581,34.83778,-89.025,WINM6
1403221150,FWS.MEG.20140322.C1611.01.20140322.115007.2522568240,35,-27,0,19.4444444444,45,3.12928,7.0,21.1111111111,38.0,3.575388858,17.2499938965,53.6237875853,15.6237875853,5.1,8.62378758529,19.9448486328,41.5072395031,3.67891,3.49276049687,34.83778,-89.025,WINM6
1403211407,FWS.MEG.20140321.HEADQ.01.20140321.140712.370259640,0,3,143,22.7777777778,27,4.02336,4.0,23.8888888889,23.0,1.7902666512,22.7499938965,33.0027903408,10.0027903408,6.2,6.00279034083,23.1791015625,28.7642436069,5.17263,-1.76424360688,34.33056,-88.70667,TFWM6
1403201335,FWS.MEG.20140320.HEADQ.01.20140320.133514.2573991296,0,3,85,18.3333333333,35,1.34112,15.0,21.1111111111,20.0,1.7902666512,18.35,35.3414043826,15.3414043826,2.1,0.34140438259,19.768182373,25.7517667724,2.21607,9.24823322762,34.33056,-88.70694,TFWM6
1403201132,FWS.MEG.20140320.C47LI.01.20140320.113241.868544333,16,12,208,18.3333333333,35,1.34112,19.0,20.5555555556,16.0,2.2326888696,18.35,35.3414043826,19.3414043826,1.5,0.34140438259,19.8271728516,20.4138594044,2.12165,14.5861405956,34.75083,-89.40278,WINM6
1403201136,FWS.MEG.20140320.C17HO.01.20140320.113656.3221977105,35,-27,204,18.3333333333,34,1.34112,18.0,20.5555555556,16.0,2.2326888696,18.35,35.3414043826,19.3414043826,1.5,1.34140438259,19.3221984863,21.1118752446,1.18533,12.8881247554,34.83833,-89.02639,WINM6
1403191047,FWS.MEG.20140319.BAGLE.01.20140319.104734.3400575293,16,0,283,17.7777777778,49,4.4704,14.75,18.0,34.25,5.65888884,,,,,,18.5911499023,37.8460738513,4.27184,11.1539261487,34.47944,-89.40278,KUOX
1403191050,FWS.MEG.20140319.BAGLE.01.20140319.105034.345311052,16,0,280,17.7777777778,49,4.4704,14.75,18.0,34.25,5.65888884,,,,,,18.5911499023,37.8460738513,4.27184,11.1539261487,34.47944,-89.40278,KUOX
1403141103,FWS.MEG.20140314.AVANT.01.20140314.110335.3560462590,13,-15,237,19.4444444444,33,6.25856,9.0,19.4444444444,24.0,4.9180888464,18.85,33.0571030317,9.05710303174,7.7,0.0571030317435,17.6311584473,30.0320747181,6.11287,2.96792528187,34.65472,-89.16889,WINM6
1403131057,FWS.MEG.20140313.YELLO.01.20140313.105724.1021777170,13,-11,303,15.5555555556,33,3.12928,7.96,16.0,25.04,4.62999996,14.9500061035,33.0934792461,8.05347924605,3.6,0.09347924605,16.6219726563,27.1393226738,2.29053,5.86067732623,34.37694,-89.38917,KUOX
1403121045,FWS.MEG.20140312.TIPPH.01.20140312.104517.2631138235,35,-27,315,13.3333333333,54,8.04672,16.0,10.0,38.0,6.7032110532,12.2556091309,42.2129614549,4.21296145493,10.3,-11.7870385451,7.74526367188,43.1809335395,5.40459,10.8190664605,34.83778,-89.025,WINM6
1403111333,FWS.MEG.20140311.EASTC.01.20140311.133351.137288409,11,-27,147,25.0,48,5.36448,6.0,25.0,42.0,3.575388858,23.8821044922,50.7712328128,8.77123281277,5.97743,2.77123281277,23.8777709961,51.6473028152,4.54623,-3.64730281522,34.72306,-89.32556,WINM6
1403111332,FWS.MEG.20140311.CHILL.01.20140311.133217.1733855116,17,-6,148,24.4444444444,50,5.36448,8.0,25.0,42.0,3.575388858,23.8229309082,49.9590781968,7.95907819676,5.7,-0.0409218032358,22.8757873535,54.147244529,3.95525,-4.14724452901,34.68028,-89.13611,WINM6
1403111340,FWS.MEG.20140311.C31BO.01.20140311.134016.2577863272,25,-38,260,24.4444444444,49,4.4704,7.0,25.0,42.0,3.575388858,23.85,50.6303297755,8.63032977552,6.2,1.63032977552,23.7869812012,50.5538310398,5.2931,-1.55383103983,34.85056,-89.31667,WINM6
1403101352,FWS.MEG.20140310.C55__.01.20140310.135203.2831349252,17,-6,68,20.5555555556,41,3.57632,1.0,20.0,40.0,3.1278221952,20.550012207,39.1153350424,-0.884664957591,5.1,-1.88466495759,19.6034790039,44.0945826128,2.6542,-3.09458261284,34.68028,-89.13611,WINM6
1403101408,FWS.MEG.20140310.C119_.01.20140310.140833.104728683,15,19,12,21.1111111111,41,3.57632,-1.32,19.0,42.32,5.65888884,21.149987793,39.5088868626,-2.8111131374,5.1,-1.4911131374,19.0303894043,46.0426131546,3.00782,-5.04261315462,34.49417,-89.43028,KUOX
1403101416,FWS.MEG.20140310.C31BB.01.20140310.141655.3716980152,25,-38,104,20.5555555556,40,4.02336,-0.0,20.0,40.0,3.1278221952,20.550012207,37.6674978001,-2.33250219994,5.1,-2.33250219994,19.4141174316,45.1588898707,3.03221,-5.15888987073,34.85056,-89.31667,WINM6
